APT, DR, AR, POP, CR, BPI, GDP, LAT, LON, ELEV, DMG, TREF, TORA, TODA, ASDA, LDA, AVD, AVA
AMS, 6, 6, 810938, 100, 101.7, 80624266898, 52.3086, 4.7639, -11, 1, 20.4, 3439, 3499, 3439, 3195, 28, 29.9
BCN, 07L, 07R, 1620809, 200, 77.3, 250301533870, 41.2971, 2.0785, 12, 1, 29, 3352, 3412, 3352, 2660, 28, 29.9
CDG, 08L, 08L, 2249977, 200, 97.6, 477199871907, 49.0128, 2.55, 392, 1, 24.7, 4142, 4142, 4142, 4142, 28, 29.9
DUB, 10, 10, 516255, 100, 88.1, 29529786000, 53.4213, -6.2701, 242, 0, 19.7, 2637, 2850, 2850, 2637, 28, 29.9
FCO, 16L, 16L, 2873494, 200, 72.8, 444408835052, 41.8003, 12.2389, 13, 1, 28.3, 3902, 3962, 3902, 3902, 28, 29.9
FRA, 07L, 07L, 736414, 100, 142.8, 49427371266, 50.0333, 8.5706, 364, 1, 18, 4000, 4000, 4000, 4000, 28, 29.9
LHR, 27R, 27L, 8797330, 200, 92.6, 4926267272090, 51.4706, -0.4619, 83, 0, 20, 3882, 3960, 3882, 3658, 28, 29.9
MAD, 14R, 18L, 3182981, 200, 96.4, 648061297562, 40.4719, -3.5626, 1998, 1, 34, 3988, 4210, 3988, 3800, 28, 29.9
VIE, 16, 16, 1868000, 200, 98.9, 22150744000, 48.1103, 16.5697, 600, 1, 27.4, 3600, 3600, 3600, 3600, 28, 29.9
ZRH, 14, 14, 396955, 75, 142.7, 38351013415, 47.4647, 8.5492, 1416, 1, 17.3, 3151, 3151, 3300, 3151, 28, 29.9
