,0,1,2,3,4,5,6,7,8,9
0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0
1,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0
2,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,2.0,0.0
3,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,6.0,10.0
4,10.0,10.0,10.0,10.0,0.0,9.0,0.0,0.0,0.0,10.0
5,10.0,10.0,10.0,10.0,10.0,0.0,10.0,5.0,10.0,5.0
6,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0
7,10.0,10.0,10.0,9.0,0.0,10.0,10.0,0.0,10.0,10.0
8,8.0,2.0,0.0,0.0,10.0,5.0,10.0,5.0,0.0,10.0
9,7.0,3.0,10.0,6.0,0.0,6.0,5.0,10.0,10.0,0.0
