,pax_number
0,0.0
1,310.0
2,620.0
3,620.0
4,372.0
5,310.0
6,0.0
7,620.0
8,0.0
9,49.0
10,39.0
11,0.0
12,620.0
13,46.0
14,620.0
15,606.0
16,558.0
17,245.0
18,0.0
19,528.0
20,609.0
21,0.0
22,0.0
23,0.0
24,124.0
25,620.0
26,620.0
27,617.0
28,620.0
29,0.0
30,52.0
31,366.0
32,0.0
33,0.0
34,620.0
35,0.0
36,0.0
37,0.0
38,0.0
39,610.0
40,0.0
41,310.0
42,620.0
43,124.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,620.0
51,0.0
52,620.0
53,0.0
54,186.0
55,0.0
56,310.0
57,0.0
58,0.0
59,0.0
60,620.0
61,0.0
62,610.0
63,0.0
64,617.0
65,248.0
66,0.0
67,186.0
68,0.0
69,620.0
70,620.0
71,592.0
72,0.0
73,0.0
74,0.0
75,620.0
76,62.0
77,0.0
78,620.0
79,620.0
80,62.0
81,620.0
82,0.0
83,0.0
84,496.0
85,366.0
86,0.0
87,53.0
88,0.0
89,620.0
90,0.0
91,496.0
92,620.0
93,0.0
94,0.0
95,0.0
96,0.0
97,550.0
98,620.0
99,0.0
