,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7649,52.3057,0.0,1.0,0.0,0.0,0.0,GND
1,116.7996,4.7649,52.3057,0.0,0.4472,0.0,0.0,0.0,GND
2,292.0553,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
3,395.1812,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
4,611.1106,4.7649,52.3057,0.0,0.2111,0.0,0.0,0.0,GND
5,757.987,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
6,823.094,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
7,901.7387,4.7649,52.3057,0.0,1.0,0.0,0.0,0.0,GND
8,1048.6237,4.7649,52.3057,0.0,0.5779,0.0,0.0,0.0,GND
9,1316.093,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
10,1445.22,4.7649,52.3057,0.0,0.0,0.0,0.0,0.0,GND
11,1676.3531,4.7639,52.3054,0.0,0.0,0.0,0.0,0.0,GND
12,1753.7802,4.7649,52.3046,0.0,3.6683,0.0,0.0,0.0,GND
13,1827.8535,4.7695,52.3036,0.0,2.9749,0.0,0.0,0.0,GND
14,1857.4774,4.7732,52.3051,0.0,20.0,0.0,0.0,0.0,GND
15,1872.5829,4.7752,52.3059,0.0,19.0,0.0,0.0,0.0,GND
16,1886.2702,4.7759,52.307,0.0,2.9598,0.0,0.0,0.0,GND
17,1900.2324,4.776,52.3082,0.0,7.1457,0.0,0.0,0.0,GND
18,1917.1653,4.7761,52.3096,0.0,0.7538,0.0,0.0,0.0,GND
19,1931.8328,4.7762,52.3107,0.0,8.0402,0.0,0.0,0.0,GND
20,1947.0553,4.7764,52.3118,0.0,15.0,0.0,0.0,0.0,GND
21,1959.608,4.7766,52.3126,0.0,13.392,0.0,0.0,0.0,GND
22,1974.3216,4.7775,52.313,0.0,10.0,0.0,0.0,0.0,GND
23,1988.7136,4.7784,52.3134,0.0,10.0,0.0,0.0,0.0,GND
24,2002.2663,4.7793,52.3135,0.0,7.0,0.0,0.0,0.0,GND
25,2017.8191,4.7794,52.3131,0.0,6.0,0.0,0.0,0.0,GND
26,2032.3719,4.7793,52.3118,0.0,47.4623,0.0,0.0,0.0,GND
27,2068.8025,4.7771,52.2906,1111.809,152.3255,3465.0951,0.0,0.0202,CL
28,2141.6049,4.855,52.2545,3906.2814,228.9551,2780.3756,0.0,0.0,CL
29,2218.0327,5.0122,52.277,7451.5075,313.9997,3657.0452,275.4372,0.4267,CL
30,2288.2307,5.1073,52.3616,11306.1558,322.3907,3134.5061,178.3719,0.2798,CL
31,2344.9411,5.2046,52.4262,14177.1357,340.7959,1229.7832,0.0,0.0,CL
32,2403.9394,5.3119,52.4941,16981.5327,350.889,2559.256,0.0,0.0,CL
33,2464.5614,5.4282,52.5668,19412.0603,369.5891,2935.0263,83.4573,0.1351,CL
34,2514.712,5.528,52.6302,21509.5477,380.0714,2941.5212,285.8291,0.4669,CL
35,2558.0508,5.6153,52.6853,22783.6683,399.2185,634.2109,133.1457,0.2191,CL
36,2600.6843,5.7106,52.7452,23267.4623,444.9063,1288.6783,377.7889,0.6153,CL
37,2648.3215,5.8257,52.8145,25404.1457,441.9413,1746.7481,234.4322,0.3812,CL
38,2698.0242,5.9446,52.8893,26650.3769,453.9998,1497.1538,429.8291,0.7124,CL
39,2754.3918,6.0833,52.9744,27680.7789,470.8219,1034.4282,247.6583,0.415,CL
40,2811.6163,6.2306,53.0638,28805.5276,480.0912,123.7531,50.191,0.0845,CR
41,2861.6897,6.3604,53.1432,29791.3317,484.184,981.4795,154.201,0.2613,CL
42,2911.4747,6.4922,53.2224,30907.4121,488.4522,1446.7698,0.0,0.0,CL
43,2973.6616,6.656,53.3205,32990.3266,477.9053,2086.8691,0.0,0.0,CL
44,3012.6432,6.7574,53.3816,34108.0402,470.3216,1623.7983,457.3568,0.788,CL
45,3058.7627,6.8748,53.4517,35271.8593,468.5917,855.0139,57.2864,0.099,CL
46,3115.5484,7.0226,53.5385,36421.3568,468.2891,872.3905,258.9347,0.4491,CL
47,3166.0459,7.1537,53.6146,37447.4874,466.7125,1370.4069,0.0,0.0,CL
48,3226.5647,7.3106,53.7065,38439.9497,463.3939,813.2554,240.7638,0.4176,CL
49,3256.1682,7.3843,53.7498,38800.0,465.0138,457.2864,411.5578,0.717,CR
50,3280.2369,7.4484,53.7863,39000.0,465.6965,-609.1061,288.4623,0.5003,CR
51,3313.934,7.5372,53.8369,39000.0,469.1061,0.0,367.3065,0.6408,CR
52,3349.7186,7.6318,53.8918,39000.0,468.0,0.0,456.0,0.796,CR
53,3400.0463,7.7634,53.967,39000.0,465.3084,0.0,319.397,0.5544,CR
54,3434.9836,7.855,54.0187,39000.0,462.0791,0.0,382.1608,0.6692,CR
55,3476.6426,7.9631,54.0812,39000.0,464.2018,0.0,269.0955,0.4688,CR
56,3510.8643,8.0543,54.1322,39000.0,466.0,0.0,452.0,0.788,CR
57,3548.5075,8.1543,54.1882,39000.0,467.0,0.0,454.0,0.792,CR
58,3582.5452,8.2438,54.2383,39000.0,467.3368,0.0,27.3769,0.0475,CR
59,3627.6784,8.3656,54.306,39000.0,467.0,0.0,452.0,0.788,CR
60,3666.3317,8.4693,54.364,39000.0,466.0,0.0,452.0,0.788,CR
61,3707.5555,8.578,54.424,39000.0,466.0288,0.0,127.196,0.2229,CR
62,3738.2714,8.662,54.4701,39000.0,464.0,0.0,456.0,0.792,CR
63,3776.6482,8.7647,54.5269,39000.0,463.8241,0.0,450.0,0.784,CR
64,3821.0167,8.8832,54.591,39000.0,461.916,0.0,168.0905,0.2925,CR
65,3856.0043,8.9773,54.6416,39000.0,462.4875,0.0,31.5176,0.0552,CR
66,3902.5731,9.1031,54.7099,39000.0,461.935,0.0,231.8794,0.4037,CR
67,3932.794,9.1829,54.7533,39000.0,461.1988,0.0,15.8995,0.0277,CR
68,3962.4741,9.2649,54.7966,39000.0,460.497,0.0,266.9246,0.4656,CR
69,4000.4896,9.3666,54.8511,39000.0,459.1964,0.0,63.8794,0.1114,CR
70,4023.0804,9.429,54.8849,39000.0,458.0,0.0,452.0,0.788,CR
71,4066.8857,9.5467,54.9466,39000.0,456.7773,0.0,110.804,0.193,CR
72,4096.3781,9.6263,54.9889,39000.0,455.1433,0.0,361.1457,0.6296,CR
73,4163.8657,9.8085,55.0845,39000.0,454.1388,0.0,290.4121,0.5056,CR
74,4213.6885,9.9425,55.1541,39000.0,451.4867,0.0,42.9648,0.0749,CR
75,4263.4236,10.0762,55.2244,39000.0,450.477,0.0,203.9497,0.3549,CR
76,4302.8534,10.1819,55.2787,39000.0,450.2109,0.0,0.0,0.0,CR
77,4339.8089,10.2818,55.3304,39000.0,450.9606,0.0,253.2663,0.4367,CR
78,4368.3467,10.3591,55.3706,39000.0,454.0,0.0,446.0,0.7765,CR
79,4400.005,10.449,55.4155,39000.0,455.3317,0.0,448.0,0.7813,CR
80,4433.6274,10.5411,55.462,39000.0,456.0066,0.0,0.0,0.0,CR
81,4478.3216,10.6636,55.5246,39000.0,454.4754,0.0,100.402,0.1755,CR
82,4512.6533,10.7607,55.5729,39000.0,455.0,0.0,446.0,0.7787,CR
83,4547.6382,10.8579,55.6215,39000.0,456.0,0.0,446.0,0.776,CR
84,4573.6755,10.9283,55.6577,39000.0,456.6356,0.0,253.2563,0.4406,CR
85,4609.8361,11.0297,55.7081,39000.0,458.3397,0.0,0.0,0.0,CR
86,4636.0754,11.1062,55.7459,39000.0,459.0,0.0,448.0,0.78,CR
87,4669.1703,11.2,55.7917,39000.0,461.0186,0.0,411.1156,0.7131,CR
88,4708.6947,11.3118,55.8466,39000.0,461.8652,0.0,0.0,0.0,CR
89,4740.9435,11.4037,55.8922,39000.0,463.1476,0.0,89.3668,0.1552,CR
90,4775.4099,11.5025,55.9405,39000.0,462.5572,0.0,115.0754,0.2,CR
91,4804.7739,11.5868,55.9819,39000.0,461.1439,0.0,137.4874,0.24,CR
92,4838.348,11.6831,56.0287,39000.0,460.0918,0.0,66.4523,0.1154,CR
93,4867.407,11.7668,56.0693,39000.0,459.0,0.0,451.1859,0.784,CR
94,4904.6873,11.8734,56.1202,39000.0,458.7573,0.0,18.0905,0.0315,CR
95,4941.7853,11.9816,56.1718,39000.0,458.3846,0.0,228.603,0.3977,CR
96,4976.8241,12.0818,56.2197,39000.0,460.1004,0.0,29.2663,0.051,CR
97,5012.8543,12.1898,56.2704,39000.0,461.0,0.0,452.0,0.784,CR
98,5043.1709,12.2774,56.3122,39000.0,462.0,-503.7337,456.0,0.792,CR
99,5071.7016,12.3587,56.3508,39000.0,463.6606,0.0,0.0,0.0,CR
100,5103.2916,12.4533,56.3951,39000.0,464.0173,0.0,329.9698,0.5731,CR
101,5125.7171,12.52,56.4263,39000.0,463.0314,0.0,378.0905,0.66,CR
102,5145.2803,12.5771,56.4526,39000.0,462.2003,0.0,281.8492,0.4895,CR
103,5169.2348,12.6475,56.4854,39000.0,461.1926,0.0,29.6583,0.0515,CR
104,5199.0799,12.7364,56.5267,39000.0,461.1004,0.0,231.6784,0.4018,CR
105,5225.0195,12.8134,56.5628,39000.0,460.0308,0.0,433.8291,0.7525,CR
106,5255.6406,12.9041,56.6038,39000.0,460.312,0.0,266.8342,0.4601,CR
107,5293.049,13.0143,56.6542,39000.0,460.6549,0.0,65.5779,0.1143,CR
108,5324.794,13.1076,56.6975,39000.0,461.2974,0.0,135.6784,0.2352,CR
109,5365.2198,13.2298,56.7533,39000.0,462.0766,0.0,338.4322,0.587,CR
110,5393.5582,13.3133,56.7911,39000.0,462.049,0.0,88.5829,0.1536,CR
111,5415.7136,13.3819,56.8214,39000.0,461.0,0.0,450.0,0.784,CR
112,5439.8375,13.4544,56.8543,39000.0,461.0584,0.0,411.1156,0.7167,CR
113,5464.4623,13.5287,56.8874,39000.0,461.0,0.0,450.9246,0.784,CR
114,5488.6927,13.5996,56.9195,39000.0,461.6358,0.0,6.7839,0.0118,CR
115,5506.777,13.6557,56.9447,39000.0,461.3739,0.0,255.5276,0.4452,CR
116,5543.4824,13.7673,56.9941,39000.0,461.0,0.0,450.0,0.784,CR
117,5570.2633,13.8477,57.0298,39000.0,461.1387,0.0,147.6382,0.2574,CR
118,5592.2915,13.9142,57.0589,39000.0,460.5932,0.0,102.6633,0.1791,CR
119,5627.128,14.0192,57.1056,39000.0,460.9894,0.0,100.3819,0.1742,CR
120,5654.07,14.1007,57.1419,39000.0,460.2542,0.0,302.0905,0.5267,CR
121,5677.7019,14.1732,57.1729,39000.0,460.095,0.0,52.0101,0.0906,CR
122,5701.4372,14.2483,57.2051,39000.0,459.0,0.0,450.0,0.78,CR
123,5732.8102,14.3415,57.2459,39000.0,459.4437,0.0,4.5025,0.0078,CR
124,5774.8097,14.472,57.3018,39000.0,459.3625,0.0,203.9497,0.3549,CR
125,5820.2297,14.6123,57.362,39000.0,459.1477,0.0,405.2261,0.7055,CR
126,5847.4384,14.6961,57.3973,39000.0,459.5754,0.0,158.2915,0.2744,CR
127,5876.4523,14.7863,57.4362,39000.0,460.1541,0.0,359.5477,0.6264,CR
128,5902.7538,14.8685,57.4706,39000.0,462.0,0.0,448.4925,0.783,CR
129,5927.316,14.944,57.5029,39000.0,462.026,0.0,310.6734,0.5437,CR
130,5948.4301,15.0091,57.5306,39000.0,462.6394,0.0,63.3166,0.1114,CR
131,5975.1228,15.0922,57.5657,39000.0,463.3663,0.0,184.603,0.3231,CR
132,5997.9296,15.1631,57.5958,39000.0,463.0,0.0,453.7889,0.7956,CR
133,6018.5176,15.2308,57.6239,39000.0,463.0,0.0,449.9296,0.7859,CR
134,6047.1902,15.3209,57.6613,39000.0,461.0454,0.0,416.4824,0.7288,CR
135,6073.6819,15.4035,57.6956,39000.0,458.5458,0.0,281.6482,0.491,CR
136,6097.4075,15.4692,57.73,39000.0,447.1235,0.0,78.794,0.1365,CR
137,6120.4573,15.5269,57.7666,38975.0,443.0,-385.8153,441.6281,0.7702,CR
138,6156.8689,15.6164,57.8221,39000.0,441.6504,0.0,0.0,0.0,CR
139,6183.7642,15.6855,57.8638,39000.0,440.1279,0.0,365.3668,0.6373,CR
140,6202.3869,15.7323,57.8932,39000.0,440.0,0.0,438.0,0.7625,CR
141,6229.5614,15.7985,57.9339,39000.0,440.152,0.0,0.0,0.0,CR
142,6263.9849,15.8872,57.988,39000.0,440.0,0.0,436.0,0.76,CR
143,6297.1061,15.9682,58.0376,39000.0,441.4564,0.0,19.7186,0.0346,CR
144,6326.7475,16.0453,58.0835,39000.0,442.1851,0.0,176.0804,0.3071,CR
145,6349.7011,16.1022,58.1187,39000.0,442.2629,0.0,66.0302,0.1152,CR
146,6368.5668,16.1509,58.1479,39000.0,442.2872,0.0,308.1407,0.5375,CR
147,6395.7688,16.2204,58.1909,39000.0,442.0,0.0,440.0,0.765,CR
148,6421.809,16.2871,58.2306,39000.0,442.0,0.0,438.3819,0.764,CR
149,6447.7709,16.3528,58.2696,39000.0,442.478,0.0,159.196,0.2779,CR
150,6492.3514,16.4663,58.3375,38954.2714,441.2673,-475.8444,0.0,0.0,DE
151,6530.6163,16.5651,58.3956,37556.5327,440.332,-2256.6062,0.0,0.0,DE
152,6555.0053,16.6303,58.433,36425.0,441.9974,-2572.2362,423.3166,0.7369,DE
153,6597.4585,16.7402,58.4981,34235.4271,448.3947,-3388.5203,254.3518,0.4445,DE
154,6640.3873,16.8519,58.5647,32181.1558,448.8186,-2449.2238,0.0,0.0,DE
155,6685.3568,16.9702,58.6337,30516.0804,437.3216,-2029.9951,414.0,0.716,DE
156,6719.4685,17.0575,58.6842,29332.6633,428.6968,-522.1892,93.8492,0.1618,DE
157,6767.9029,17.1799,58.7544,27746.608,415.6103,-2546.2567,86.4322,0.1478,DE
158,6806.3467,17.2754,58.8094,26457.9146,404.6633,-3936.8458,390.0,0.66,DE
159,6849.8135,17.3788,58.8679,25080.5276,393.2044,-1799.3793,336.2111,0.5657,DE
160,6887.4991,17.4649,58.9179,23888.9447,385.7136,-1932.7847,164.5025,0.2742,DE
161,6922.3272,17.5358,58.9673,22800.3769,373.7561,-1354.0068,1.8492,0.0031,DE
162,6961.5866,17.6024,59.0253,21572.6131,364.9845,-2448.2531,197.1859,0.3265,DE
163,6997.5455,17.6629,59.0765,20514.9497,364.574,-2017.5421,35.3769,0.0591,DE
164,7029.3162,17.7165,59.1229,19491.3317,364.0568,1152.4218,122.0503,0.2025,DE
165,7063.4555,17.7746,59.1713,18414.6985,358.1676,-2185.0801,279.4774,0.4573,DE
166,7099.8066,17.8333,59.2223,17281.0302,352.3349,-1432.5438,84.9045,0.136,DE
167,7144.2654,17.907,59.2842,15900.0,347.0523,-1516.3925,235.4472,0.3773,DE
168,7179.4095,17.9643,59.332,14652.1357,346.9035,-2630.2271,292.1407,0.4736,DE
169,7202.4171,18.0013,59.364,13854.1457,346.4171,-3448.1705,338.0,0.544,DE
170,7232.4092,18.0501,59.4044,12950.7538,342.1108,-1071.3932,10.1307,0.0162,DE
171,7271.2905,18.1128,59.4565,11759.6734,336.8408,-1902.4637,0.0,0.0,DE
172,7307.9959,18.1702,59.5051,10773.1156,329.5978,-104.1117,25.3266,0.0389,DE
173,7345.3113,18.2036,59.5559,10443.593,295.6882,-1017.5065,192.2111,0.2915,DE
174,7385.4552,18.2153,59.6089,9670.4774,284.7986,-1366.0636,232.6231,0.367,DE
175,7427.6442,18.2122,59.664,8688.3166,281.0081,-2028.3862,205.4271,0.3228,DE
176,7461.0716,18.2097,59.7073,7875.0,279.0151,-1070.3518,195.5176,0.3083,DE
177,7499.8392,18.2073,59.7569,7304.0201,264.0,-1453.0017,268.0,0.408,DE
178,7539.7575,18.1984,59.8035,6890.201,243.4427,-131.1195,147.1457,0.2311,LVL
179,7576.0411,18.1819,59.8414,6501.3819,228.2795,-1323.6871,12.7136,0.0197,DE
180,7612.4925,18.1228,59.8621,5837.6884,220.0,-1843.4201,222.0,0.35,DE
181,7642.1127,18.0675,59.8712,5197.4874,219.0365,-873.9356,212.7437,0.3305,DE
182,7665.0012,18.0214,59.8752,4709.9246,214.9725,-1589.8335,133.8693,0.2074,DE
183,7689.1059,17.9879,59.8615,4475.0,194.984,-633.1658,187.4171,0.2634,DE
184,7712.6922,17.9866,59.8409,4000.0,193.7018,-218.593,58.2915,0.0909,DE
185,7734.6476,17.9803,59.8222,3668.4673,183.7007,-1260.8943,52.2613,0.0773,DE
186,7758.9375,17.9732,59.8026,3250.0,174.1678,-335.2097,162.8141,0.2345,DE
187,7786.2406,17.9654,59.7806,2800.0,179.0283,-474.8744,126.6332,0.1798,DE
188,7823.8392,17.9542,59.7501,2102.0101,168.1608,-877.8467,200.0,0.2726,DE
189,7843.0926,17.9489,59.7359,1813.191,153.0793,-306.3306,105.5276,0.1309,DE
190,7862.9257,17.9443,59.7227,1549.3719,145.8759,-34.2,5.0251,0.0058,DE
191,7890.7569,17.9374,59.7039,1171.1055,147.4625,-903.3767,115.5779,0.1364,DE
