,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7746,52.3073,0.0,9.0,0.0,0.0,0.0,GND
1,79.2412,4.7753,52.3059,0.0,4.0603,0.0,0.0,0.0,GND
2,245.5075,4.7732,52.3029,0.0,50.4271,0.0,0.0,0.0,GND
3,314.2714,4.7114,52.2789,1129.5226,174.5427,1259.8708,0.0,0.2887,CL
4,344.3618,4.6876,52.2577,1943.0905,201.0,2670.2261,0.0,0.3445,CL
5,368.4523,4.6974,52.2357,3115.0754,214.603,2424.6231,228.3015,0.352,CL
6,393.4472,4.7327,52.2201,4138.3166,246.0854,2317.8392,250.1709,0.3862,CL
7,430.6332,4.7965,52.1974,6011.9347,267.4221,1922.1106,268.7337,0.4135,CL
8,460.2412,4.8563,52.1872,7431.0302,299.0,2638.191,284.0,0.436,CL
9,501.0854,4.9324,52.2191,9617.8392,318.0,3203.5176,292.5427,0.452,CL
10,526.5075,4.9749,52.2466,10722.6131,329.0151,795.2261,297.0151,0.462,CL
11,554.995,5.0286,52.2806,11358.1658,369.6633,2334.1709,344.6633,0.5373,CL
12,612.0854,5.1425,52.3535,14111.1809,389.7236,2319.0955,358.0,0.5614,CL
13,640.1759,5.2008,52.3908,15258.794,401.7839,2771.9849,370.0,0.584,CL
14,665.2663,5.2542,52.4248,16302.7638,409.5779,2293.6109,370.0,0.5897,CL
15,717.6181,5.3699,52.4986,18446.9849,425.3568,2437.5,384.7136,0.6196,CL
16,777.8241,5.4855,52.597,20718.8442,443.4472,2177.6382,396.9648,0.6419,CL
17,828.5628,5.5816,52.6857,22451.8844,457.5126,2141.206,410.0,0.6659,CL
18,851.7136,5.626,52.7267,23269.9749,461.5427,1825.6281,411.8291,0.6757,CL
19,880.5829,5.6807,52.7794,24257.5377,466.5729,2142.5879,420.0,0.692,CL
20,925.4271,5.7676,52.8606,25690.8291,473.206,1786.0732,425.206,0.704,CL
21,962.799,5.8594,52.9221,26654.1457,479.2663,1341.7085,429.2663,0.7145,CL
22,1018.9397,6.0078,53.0115,27915.3266,495.3166,1389.4472,436.6734,0.732,CL
23,1062.7739,6.1271,53.083,28877.0101,504.6935,1239.9497,449.3869,0.7588,CL
24,1086.1709,6.1917,53.1213,29429.2714,507.7236,1500.0,454.0,0.7709,CL
25,1112.0151,6.2634,53.164,30100.3769,509.0,1500.0,458.0,0.779,CL
26,1145.1357,6.356,53.2192,30922.9899,511.0,1793.9698,456.4322,0.78,CL
27,1169.4422,6.4233,53.2593,31611.0553,508.1859,1500.0,458.0,0.772,CL
28,1193.6884,6.4916,53.2995,32242.2111,508.0,1500.0,450.0,0.776,CL
29,1227.1206,6.5851,53.3548,33028.0151,509.0,1311.5578,450.0,0.7795,CL
30,1249.5226,6.6478,53.3924,33488.0653,509.0,1356.7839,450.0,0.7796,CL
31,1293.7387,6.7727,53.4647,34420.1005,510.0,1149.4975,452.0,0.784,CL
32,1321.8945,6.8517,53.5108,35047.3618,509.0,1488.2747,452.0704,0.788,CL
33,1354.9598,6.9449,53.5659,35823.995,504.0101,1498.7437,450.0101,0.788,CL
34,1387.1256,7.0333,53.6158,36527.5126,500.0,1492.4623,446.0,0.7841,CL
35,1423.1106,7.137,53.6742,37000.0,497.0,166.7159,446.0,0.788,CL
36,1478.3417,7.2895,53.7625,37000.0,494.0,0.0,444.0,0.784,CR
37,1516.0402,7.3935,53.8219,37000.0,493.8844,0.0,440.0,0.776,CR
