,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7718,52.3103,0.0,4.0,0.0,0.0,0.0,GND
1,245.809,4.7697,52.3109,0.0,12.0,0.0,0.0,0.0,GND
2,321.7495,4.7716,52.3136,0.0,1.8543,0.0,0.0,0.0,GND
3,367.6174,4.7717,52.3156,0.0,0.0,0.0,0.0,0.0,GND
4,435.813,4.7616,52.3154,0.0,0.0,0.0,0.0,0.0,GND
5,540.0339,4.743,52.3159,0.0,15.2764,0.0,0.0,0.0,GND
6,624.4171,4.7394,52.3204,0.0,18.0,0.0,0.0,0.0,GND
7,665.9236,4.7336,52.321,0.0,11.2764,0.0,0.0,0.0,GND
8,696.8666,4.7305,52.3231,0.0,10.8643,0.0,0.0,0.0,GND
9,760.2814,4.7234,52.3278,0.0,19.0,0.0,0.0,0.0,GND
10,789.0905,4.7202,52.3296,0.0,21.0,0.0,0.0,0.0,GND
11,817.8995,4.7167,52.3314,0.0,16.0,0.0,0.0,0.0,GND
12,903.8794,4.7149,52.3313,0.0,0.0,0.0,0.0,0.0,GND
13,1006.5176,4.7145,52.3311,0.0,6.5176,0.0,0.0,0.0,GND
14,1029.3266,4.7137,52.3305,0.0,7.0,0.0,0.0,0.0,GND
15,1150.2409,4.7109,52.3287,0.0,4.3216,0.0,0.0,0.0,GND
16,1214.9447,4.7097,52.3287,0.0,5.0,0.0,0.0,0.516,GND
17,1241.7538,4.7089,52.3289,0.0,4.0,0.0,0.0,0.516,GND
18,1264.5628,4.7089,52.3292,0.0,1.0,0.0,0.0,0.0,GND
19,1338.3719,4.709,52.3302,0.0,39.8593,0.0,0.0,0.0,GND
20,1418.5427,4.7134,52.3813,959.0452,186.0854,180.9045,202.3618,0.3094,LVL
21,1482.9698,4.7197,52.4469,3498.7437,237.9598,2500.0,263.9598,0.396,CL
22,1606.9899,4.8083,52.5747,10454.5226,282.593,2804.7739,292.794,0.4584,CL
23,1773.0569,5.14,52.763,16451.005,385.8563,2716.341,245.6482,0.394,CL
24,1883.8126,5.3888,52.9034,20254.2714,413.8426,1850.2489,251.8191,0.4104,CL
25,2027.3097,5.7387,53.0959,24497.6131,441.689,1189.1697,0.0,0.0,CL
26,2180.2734,6.1109,53.3319,28719.3467,462.0135,-1790.6415,16.392,0.028,DE
27,2277.0653,6.3408,53.4812,31284.4221,449.6884,1019.4724,459.6884,0.7914,CL
28,2341.9598,6.4965,53.5786,32673.995,456.0,2426.6323,466.0,0.804,CL
29,2426.7739,6.7261,53.6926,34621.2312,450.4623,1268.8442,454.0,0.792,CL
30,2509.8141,6.95,53.8035,35470.3518,448.0,1500.0,453.4573,0.7949,CL
31,2552.0804,7.0632,53.8587,36279.0201,445.9196,241.206,448.0,0.792,CR
32,2617.7789,7.2394,53.9449,37372.2362,443.0,832.9146,450.0,0.796,CL
33,2674.4149,7.389,54.0167,38350.0,436.5702,379.2018,135.6784,0.24,CL
