,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7692,52.3109,0.0,9.0,0.0,0.0,0.0,GND
1,452.0452,4.7703,52.3124,0.0,11.0,0.0,0.0,0.0,GND
2,706.1206,4.7438,52.3148,0.0,12.9698,0.0,0.0,0.0,GND
3,944.2261,4.7419,52.3204,0.0,4.0452,0.0,0.0,0.0,GND
4,1005.2412,4.7347,52.3206,0.0,16.9397,0.0,0.0,0.0,GND
5,1057.1508,4.7293,52.3239,0.0,23.0,0.0,0.0,0.0,GND
6,1137.4523,4.7194,52.3299,0.0,24.6382,0.0,0.0,0.0,GND
7,1190.4221,4.7144,52.331,0.0,14.0,0.0,0.0,0.0,GND
8,1233.4824,4.7112,52.3288,0.0,13.1206,0.0,0.0,0.0,GND
9,1279.8141,4.709,52.3302,0.0,22.9347,0.0,0.0,0.0,GND
10,1350.4523,4.7133,52.3749,1711.3065,164.4523,1181.5327,180.3015,0.2692,CL
11,1394.4975,4.7147,52.4139,2487.4372,211.4925,749.2462,226.995,0.31,CL
12,1438.5427,4.7198,52.4622,3927.1357,246.0,2692.8392,262.0,0.4047,CL
13,1482.7839,4.7289,52.5138,5899.4975,261.392,2478.0151,268.0,0.4192,CL
14,1526.4221,4.8015,52.5438,7615.8291,298.2111,2250.0,274.0,0.432,CL
15,1574.3568,4.8894,52.5113,9475.8794,298.2261,2332.9146,280.0,0.444,CL
16,1638.7236,4.9922,52.4417,10887.0603,347.7236,1000.0,315.6583,0.5043,CL
17,1703.5377,5.1335,52.3702,12357.6633,386.5126,2110.5528,357.4874,0.571,CL
18,1770.4422,5.2879,52.2906,14406.407,406.8141,2000.0,368.5427,0.5931,CL
19,1847.7186,5.4726,52.1944,16682.2864,426.2864,1714.5729,384.0,0.6171,CL
20,1901.6181,5.6061,52.1246,18472.9899,428.9045,1852.0101,393.206,0.6372,CL
21,1953.5829,5.735,52.0566,19931.6583,436.3166,1518.928,401.3668,0.656,CL
22,1996.6533,5.8431,51.9994,20799.6231,448.6633,1562.1859,408.6633,0.672,CL
23,2051.0402,5.9837,51.9247,22101.005,457.0,1744.9749,416.0,0.6854,CL
24,2116.0653,6.1504,51.8331,23533.5427,464.7236,1326.7408,421.4472,0.6989,CL
25,2191.5075,6.3466,51.7217,24778.2663,478.3769,735.5528,430.0,0.724,CL
26,2264.8794,6.54,51.6117,26047.9899,486.7839,1043.4314,437.5678,0.7367,CL
27,2330.8492,6.716,51.5106,27240.7035,488.8141,793.6109,445.1859,0.7544,CL
28,2426.799,6.9743,51.3611,28623.8693,497.1558,1262.9816,454.0,0.772,CL
29,2534.1809,7.2613,51.1933,30420.2261,495.4372,850.0359,449.1256,0.772,CL
30,2669.5226,7.6179,50.9818,32517.8392,488.5477,954.7739,437.0955,0.76,CL
31,2790.4121,7.9342,50.7918,33000.0,499.5327,0.0,443.0653,0.772,CR
32,2843.9648,8.0742,50.7069,33000.0,496.4824,0.0,442.0,0.768,CR
33,2893.9799,8.2041,50.6278,33000.0,497.0,0.0,441.005,0.77,CR
34,2946.5377,8.3414,50.5436,33025.0,497.0,0.0,440.0,0.768,CR
35,2991.5829,8.4559,50.473,33050.0,494.0,0.0,444.0,0.772,CR
36,3038.7136,8.5776,50.3976,33025.0,492.0,0.0,446.0,0.772,CR
37,3091.1156,8.7112,50.3149,32950.0,492.4422,-165.8291,440.8844,0.7675,CR
38,3135.2915,8.8236,50.2444,33025.0,488.8543,106.7839,450.0,0.78,CR
39,3179.5276,8.9342,50.1748,33050.0,485.0,0.0,448.8241,0.7776,CR
40,3229.2362,9.0575,50.0971,33009.9246,480.397,-75.3769,444.0,0.7696,CR
41,3301.8543,9.2357,49.9842,32950.0,478.0,-26.0393,438.7638,0.7615,CR
42,3347.8995,9.3458,49.9139,32950.0,480.0,0.0,437.2663,0.76,CR
43,3394.9447,9.4624,49.8391,32991.206,478.0,324.1206,442.0,0.7694,CL
44,3452.6533,9.6008,49.7499,33008.4171,479.0,-147.7387,438.0,0.76,CR
45,3504.7136,9.7269,49.6682,33000.0,480.0,0.0,440.0,0.764,CR
46,3548.4673,9.8322,49.5996,32975.0,483.6935,0.0,441.3869,0.7668,CR
47,3596.8342,9.951,49.5219,33000.0,486.7085,0.0,442.0,0.764,CR
48,3651.7889,10.084,49.4344,33025.0,488.5528,0.0,448.2111,0.784,CR
49,3705.4774,10.2119,49.35,33000.0,466.0,-130.6533,437.4774,0.755,CR
50,3755.7688,10.3338,49.2763,33000.0,477.5075,0.0,437.5075,0.759,CR
51,3804.3065,10.4722,49.2169,33000.0,487.7688,0.0,440.0,0.7618,CR
52,3854.7839,10.6305,49.1708,33000.0,495.0,0.0,438.0,0.756,CR
53,3907.397,10.8042,49.1275,33000.0,499.0,100.5025,439.598,0.7592,CR
54,3955.2563,10.9629,49.0877,32975.0,502.8141,0.0,440.0,0.756,CR
55,3999.6583,11.1087,49.0506,33000.0,505.0,0.0,442.6834,0.7607,CR
56,4048.5327,11.2718,49.0087,33050.0,504.1558,0.0,448.0,0.7674,CR
57,4101.1558,11.443,48.9644,33050.0,504.0,0.0,444.0,0.764,CR
58,4151.6231,11.6089,48.9213,33000.0,503.0,0.0,444.0,0.764,CR
59,4197.5578,11.7589,48.8821,33000.0,501.8894,0.0,442.0,0.7636,CR
60,4245.6181,11.9174,48.8404,32975.0,500.0,0.0,442.0,0.76,CR
61,4289.598,12.0602,48.8025,32950.0,501.0,0.0,438.0,0.752,CR
62,4333.7387,12.2019,48.7645,32975.0,502.0,0.0,440.0,0.756,CR
63,4381.6985,12.3585,48.7224,32975.0,504.9497,0.0,441.8995,0.756,CR
64,4433.9648,12.5297,48.6761,33000.0,505.9648,0.0,441.9296,0.756,CR
65,4486.9799,12.7023,48.629,33000.5025,508.9799,-1469.8492,444.0,0.76,DE
66,4536.9799,12.8677,48.5836,33025.0,509.005,0.0,448.0,0.768,CR
67,4585.0503,13.0249,48.5402,33050.0,508.0,0.0,446.0,0.764,CR
68,4637.1005,13.1926,48.4935,33025.0,505.9749,0.0,446.0,0.764,CR
69,4686.1608,13.3515,48.4491,32998.995,504.0,-15.0754,440.0804,0.7522,CR
70,4730.0553,13.4937,48.4091,32975.0,504.0,354.2714,442.0,0.756,CR
71,4778.2111,13.6503,48.3647,32975.0,504.0,0.0,442.0,0.7523,CR
72,4822.3417,13.7915,48.3243,33000.0,503.0,0.0,442.0,0.756,CR
73,4873.5025,13.9542,48.2774,33000.0,505.1005,0.0,446.0,0.764,CR
74,4925.5779,14.1212,48.229,33052.8894,503.8844,34.6734,449.7688,0.768,CR
75,4974.5226,14.2774,48.1836,33050.0,501.1307,0.0,446.0,0.764,CR
76,5018.4372,14.418,48.1424,32950.0,503.0,-256.2814,444.0,0.76,CR
77,5062.4472,14.5583,48.101,32950.0,505.0,0.0,442.3216,0.7566,CR
78,5118.5276,14.736,48.0482,33000.0,507.0,0.0,444.0,0.76,CR
79,5181.5729,14.9388,47.9875,33025.0,509.0,0.0,450.0,0.772,CR
80,5229.4121,15.0916,47.9415,33050.0,507.0,0.0,454.0,0.776,CR
81,5274.6633,15.2344,47.8982,33050.0,504.0,0.0,452.0,0.776,CR
82,5322.7085,15.3861,47.852,33000.0,503.0,0.0,448.0,0.764,CR
83,5368.0101,15.5289,47.8083,32956.2814,501.0,47.1106,444.5025,0.76,CR
84,5414.3317,15.6744,47.7634,32950.0,503.0,0.0,446.5327,0.7621,CR
85,5476.8442,15.8706,47.7025,33000.0,504.0,0.0,448.0,0.7669,CR
86,5542.3719,16.0745,47.6387,32975.0,506.0,0.0,444.0,0.76,CR
87,5597.5578,16.2465,47.5845,33007.7889,503.0,93.4673,446.7538,0.7628,CR
88,5653.6332,16.4222,47.5287,33000.0,505.0,0.0,446.6533,0.7613,CR
89,5713.0503,16.6045,47.4705,32975.0,491.6583,0.0,441.3668,0.7534,CR
90,5772.7839,16.7837,47.4127,33000.0,485.7136,0.0,432.7136,0.74,CR
91,5847.7186,17.0124,47.3382,33000.0,501.0,0.0,446.7437,0.7655,CR
92,5904.804,17.1851,47.2818,33015.3266,495.6131,421.1055,446.0,0.7625,CL
93,5966.804,17.3744,47.2194,33000.0,497.0,0.0,448.0,0.764,CR
94,6022.2513,17.5414,47.164,33000.0,496.0,0.0,446.8342,0.764,CR
95,6078.4322,17.7116,47.1071,33000.0,496.0,0.0,448.0,0.764,CR
96,6122.7889,17.846,47.062,33000.0,492.0,0.0,444.8945,0.7618,CR
97,6171.3869,17.9895,47.0136,33000.0,491.4623,0.0,444.0,0.7582,CR
98,6218.8643,18.1312,46.9654,33000.0,494.0,0.0,446.0,0.76,CR
99,6270.4472,18.2859,46.9126,33000.0,495.4925,0.0,446.9849,0.762,CR
100,6314.5075,18.4162,46.8679,33000.0,493.4925,0.0,446.9849,0.762,CR
101,6358.5678,18.5474,46.8226,33000.0,492.0,0.0,446.9548,0.7661,CR
102,6411.1508,18.7008,46.7694,33000.0,483.0,0.0,446.0,0.764,CR
103,6454.7638,18.8271,46.7253,33000.0,482.0,0.0,446.0,0.7618,CR
104,6503.1357,18.9669,46.6763,33000.0,483.0,0.0,448.0,0.764,CR
