,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.758,52.3123,0.0,0.0,0.0,0.0,0.0,GND
1,133.53,4.7581,52.3123,0.0,0.0,0.0,0.0,0.0,GND
2,218.9447,4.758,52.3123,0.0,0.0,0.0,0.0,0.0,GND
3,299.0503,4.7591,52.3124,0.0,3.0,0.0,0.0,0.0,GND
4,621.7796,4.7609,52.3145,0.0,0.0,0.0,0.0,0.0,GND
5,698.3618,4.7725,52.3144,0.0,18.0,0.0,0.0,0.0,GND
6,781.4028,4.7763,52.3108,0.0,0.0,0.0,0.0,0.0,GND
7,851.2778,4.776,52.307,0.0,0.0,0.0,0.0,0.0,GND
8,951.5357,4.7755,52.3058,0.0,0.0,0.0,0.0,0.0,GND
9,1039.1837,4.7759,52.3051,0.0,0.9497,0.0,0.0,0.0,GND
10,1113.9125,4.7761,52.304,0.0,0.0,0.0,0.0,0.0,GND
11,1204.7737,4.7121,52.2789,1704.0201,170.1946,-1043.6784,0.0,0.045,DE
12,1275.7682,4.7013,52.2228,3920.1005,242.361,2792.8532,170.2111,0.2612,CL
13,1339.4132,4.8059,52.195,6581.407,246.9439,1194.1838,154.5226,0.2387,CL
14,1395.4573,4.9156,52.1795,8336.9347,304.6749,178.2125,132.7136,0.2062,LVL
15,1457.5561,5.0626,52.1952,10606.2814,339.1207,757.7248,122.6231,0.1902,CL
16,1510.2462,5.2066,52.204,12388.9447,376.9347,2119.0957,336.6231,0.524,CL
17,1577.4491,5.4005,52.2158,15830.1508,382.2931,3416.8895,284.2412,0.4478,CL
18,1637.3015,5.5782,52.2255,18035.0503,408.201,2089.9497,365.397,0.5828,CL
19,1696.9671,5.7678,52.2359,20023.2412,432.9938,3158.1786,384.0603,0.6169,CL
20,1752.9731,5.9427,52.2455,22552.7638,426.3246,-929.3335,43.3367,0.0699,DE
21,1814.7035,6.1459,52.2558,24339.196,437.0804,547.3388,401.5678,0.6551,CL
22,1882.7136,6.3791,52.2673,26125.8794,459.6784,1245.603,430.0,0.7053,CL
23,1950.7186,6.6195,52.2788,27567.9648,478.1457,1316.9419,444.0,0.7343,CL
24,2002.6225,6.8049,52.2873,28610.0503,489.5266,1047.2657,212.1709,0.3533,CL
25,2067.6603,7.046,52.298,30081.407,496.091,1110.7672,169.3266,0.2837,CL
26,2165.5126,7.4105,52.3133,32737.8141,487.2563,1128.1407,454.0,0.769,CL
27,2233.1758,7.657,52.3227,33907.5377,495.9345,657.2082,69.0452,0.1182,CL
28,2272.2049,7.806,52.3284,34678.392,496.0363,2093.7877,437.2864,0.7524,CL
29,2323.8191,8.0007,52.3354,35795.4774,492.0603,1505.7736,456.0,0.788,CL
30,2364.4731,8.1453,52.3402,36400.0,486.5792,248.7437,74.6231,0.13,CR
31,2415.9146,8.3379,52.3463,37000.0,484.0,-100.577,445.4573,0.7789,CR
32,2481.4925,8.5756,52.3536,37000.0,485.0,0.0,448.0,0.7825,CR
33,2540.8755,8.7912,52.3597,37000.0,485.1814,0.0,231.8794,0.4058,CR
34,2597.4121,8.9991,52.3654,37000.0,484.0,0.0,448.0,0.784,CR
