,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7156,52.3993,3575.0,154.0,-78.6002,0.0,0.0,LVL
1,138.3266,4.7585,52.5464,9857.9146,274.0,3669.8197,0.0,0.0,CL
2,369.2864,5.1873,52.7907,19542.7136,362.6533,2463.3852,0.0,0.0,CL
3,560.6533,5.5494,52.9919,25830.4171,388.0,2791.809,0.0,0.0,CL
4,585.5377,5.6029,53.0213,26354.8342,381.0,973.3417,0.0,0.0,CL
5,606.4221,5.6457,53.0472,26909.5427,380.0,1560.603,0.0,0.0,CL
6,627.3065,5.684,53.0741,27240.5025,380.0,1466.0804,0.0,0.0,CL
7,648.191,5.7226,53.1038,27675.9849,380.0,979.6734,0.0,0.0,CL
8,669.0754,5.7596,53.1333,28189.7437,385.5377,1132.1608,0.0,0.0,CL
9,689.9598,5.7976,53.1635,28407.2965,388.0,1045.3266,0.0,0.0,CL
10,710.8442,5.8371,53.1944,29253.0704,397.0,2350.0251,0.0,0.0,CL
11,731.7286,5.8768,53.2249,30034.1809,393.1357,2341.809,0.0,0.0,CL
12,752.6131,5.9159,53.2546,30760.9246,390.0,2090.4271,0.0,0.0,CL
13,773.4975,5.955,53.284,31422.4171,386.5025,1932.8894,0.0,0.0,CL
14,794.3819,5.993,53.3125,31794.1106,380.9045,1082.1106,0.0,0.0,CL
15,815.2663,6.0312,53.3409,32234.3417,380.0,1433.7437,0.0,0.0,CL
16,836.1508,6.0709,53.3702,32681.9698,380.0,786.1055,0.0,0.0,CL
17,861.0352,6.1178,53.4051,33033.8744,386.7588,1072.2362,0.0,0.0,CL
18,881.9196,6.1568,53.434,33411.4925,388.0,1116.8593,0.0,0.0,CL
19,902.804,6.1975,53.464,33872.4623,388.0,1193.6683,0.0,0.0,CL
20,923.6884,6.2365,53.4928,34173.4824,388.0,870.0,0.0,0.0,CL
21,944.5729,6.2766,53.5225,34556.593,388.0,841.1307,0.0,0.0,CL
22,965.4573,6.317,53.5521,34864.8593,388.0,893.8945,0.0,0.0,CR
23,986.3417,6.357,53.5816,35031.206,388.0,-260.1256,0.0,0.0,CR
24,1007.2261,6.3963,53.6106,35000.0,388.0,0.0,0.0,0.0,CR
25,1028.1106,6.4356,53.6393,35000.0,382.9447,0.0,0.0,0.0,CR
26,1048.995,6.4743,53.6677,35000.0,380.0,0.0,0.0,0.0,CR
27,1069.8794,6.5126,53.6956,35000.0,380.0,-0.4523,0.0,0.0,CR
28,1090.7638,6.5525,53.7246,35005.5829,380.0,80.8794,0.0,0.0,CL
29,1111.6482,6.5911,53.7524,35221.196,376.0,751.8844,0.0,0.0,CL
30,1132.5327,6.6294,53.7802,35492.9899,375.2663,905.5025,0.0,0.0,CL
31,1153.4171,6.6684,53.8085,35723.7337,378.0,647.1859,0.0,0.0,CL
