,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7748,52.3089,0.0,15.0,0.0,0.0,0.0,GND
1,18.0452,4.7746,52.3076,0.0,16.0,0.0,0.0,0.0,GND
2,39.0603,4.775,52.3063,0.0,31.0,0.0,0.0,0.0,GND
3,77.1809,4.7763,52.3041,0.0,30.0905,0.0,0.0,0.0,GND
4,95.8442,4.7726,52.3026,0.0,57.0754,0.0,0.0,0.0,GND
5,145.1508,4.7316,52.2865,1059.4221,160.1508,2065.865,0.0,0.256,CL
6,168.3618,4.7062,52.277,2011.3065,165.0905,2443.4673,0.0,0.26,CL
7,201.2161,4.6871,52.2529,2914.5729,216.3266,918.0905,0.0,0.3139,CL
8,241.3618,4.7163,52.2093,4090.0754,273.2412,2374.3719,0.0,0.396,CL
9,263.5427,4.7395,52.1811,5198.7437,288.1357,4893.8442,0.0,0.424,CL
10,291.3015,4.7561,52.1473,6801.3819,290.8492,5886.9347,0.0,0.432,CL
11,310.1608,4.7584,52.1222,8224.6231,284.8342,4393.3955,0.0,0.428,CL
12,333.809,4.7601,52.0909,9776.6332,283.6382,4445.7286,0.0,0.432,CL
13,361.5879,4.7615,52.0551,11369.598,289.196,2459.4401,0.0,0.4408,CL
14,381.6332,4.7628,52.027,12130.2764,308.6332,894.4724,0.0,0.4745,CL
15,400.3568,4.7641,51.997,12416.9598,340.809,943.4673,70.5528,0.528,CL
16,425.206,4.7657,51.9569,13054.2714,371.4824,2548.2412,312.0,0.5659,CL
17,449.2814,4.7569,51.9155,14276.8844,375.2563,2874.8744,356.0,0.585,CL
18,472.8995,4.7316,51.8784,15426.7588,380.5427,1965.1831,360.0,0.5971,CL
19,501.8593,4.6941,51.8298,16842.9648,390.2864,2643.2161,366.5729,0.6131,CL
20,523.5075,4.6676,51.796,17695.2261,399.603,2376.2563,370.0,0.6212,CL
21,551.6332,4.6308,51.7486,18964.5729,406.0,3579.1457,382.0,0.648,CL
22,578.995,4.5948,51.7012,20324.7487,408.0,3077.1164,392.0,0.656,CL
23,606.7337,4.5598,51.6558,21520.3518,411.6935,2859.0452,392.0,0.664,CL
24,640.0854,4.5136,51.5938,22779.2714,424.3618,2521.3568,402.1709,0.6814,CL
25,660.2613,4.4898,51.5585,23450.3769,430.3769,2000.0,410.7538,0.696,CL
26,683.7437,4.4589,51.5135,24263.191,435.7839,2215.219,416.0,0.7056,CL
27,709.4422,4.4283,51.4686,25056.407,441.0,1703.5176,422.0,0.72,CL
28,763.1106,4.3559,51.3653,26642.2111,454.8442,1373.3668,428.0,0.7297,CL
29,790.3719,4.3184,51.3113,27101.5075,469.6231,796.7337,426.0,0.7377,CL
30,825.7136,4.2673,51.2378,27731.5327,485.9045,1386.9347,435.4271,0.76,CL
31,846.402,4.239,51.196,28123.3668,493.4673,946.7337,446.0,0.764,CL
32,864.9296,4.2115,51.1565,28498.2412,498.9648,1305.9045,448.9648,0.7739,CL
33,891.4874,4.1736,51.1,29224.4975,502.5025,2098.4925,452.0,0.784,CL
34,939.0503,4.1066,50.9984,31014.6985,494.0,2381.2814,452.0,0.776,CL
35,963.2211,4.0733,50.947,31818.7186,491.0,3724.5603,448.9447,0.772,CL
36,1004.2563,4.0174,50.8628,33031.407,486.4573,1597.9899,448.0,0.7782,CL
37,1024.6734,3.9884,50.8213,33591.8342,484.0,1500.0,452.8844,0.78,CL
38,1043.4372,3.9614,50.7819,33989.3216,483.0,356.7839,450.0,0.776,CL
39,1071.7638,3.9226,50.7235,34000.0,481.0,0.0,448.0,0.776,CL
40,1091.6181,3.8938,50.6815,34100.3769,481.397,952.2613,446.0,0.7744,CL
41,1123.4724,3.8507,50.6187,34930.9045,474.0,845.4774,440.0,0.7585,CL
42,1161.8995,3.7876,50.542,35000.0,477.3668,0.0,444.0,0.768,CR
43,1199.593,3.7284,50.4715,35000.0,479.0,0.0,446.0,0.768,CR
44,1231.6533,3.6743,50.4086,35000.0,479.3367,0.0,448.0,0.7693,CR
45,1261.7487,3.624,50.3497,35000.0,480.6784,0.0,452.0,0.772,CR
46,1280.0804,3.5928,50.3124,35000.0,480.0,0.0,448.0,0.772,CR
47,1313.5427,3.5392,50.2478,35000.0,480.0,0.0,448.0,0.7692,CR
48,1340.8945,3.4945,50.1939,35000.0,480.0,0.0,446.0,0.7691,CR
