,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.773,52.309,0.0,0.0,0.0,0.0,0.0,GND
1,249.1005,4.7735,52.3084,0.0,22.191,0.0,0.0,0.0,GND
2,286.3417,4.7746,52.3081,0.0,26.6985,0.0,0.0,0.0,GND
3,298.7387,4.7746,52.3074,0.0,27.0,0.0,0.0,0.0,GND
4,311.0804,4.7747,52.3067,0.0,27.6985,0.0,0.0,0.0,GND
5,322.608,4.775,52.3062,0.0,27.3769,0.0,0.0,0.0,GND
6,338.7387,4.7755,52.3056,0.0,18.9045,0.0,0.0,0.0,GND
7,346.9447,4.7757,52.3054,0.0,14.0,0.0,0.0,0.0,GND
8,358.794,4.7759,52.3051,0.0,16.0,0.0,0.0,0.0,GND
9,364.9296,4.776,52.305,0.0,17.0,0.0,0.0,0.0,GND
10,385.7387,4.7765,52.3043,0.0,19.0,0.0,0.0,0.0,GND
11,395.5126,4.7762,52.3041,0.0,15.4874,0.0,0.0,0.0,GND
12,404.5729,4.776,52.304,0.0,0.0,0.0,0.0,0.0,GND
13,425.3819,4.776,52.304,0.0,0.6633,0.0,0.0,0.0,GND
14,453.4472,4.7733,52.3029,0.0,60.397,0.0,0.0,0.0,GND
15,485.6884,4.7483,52.2932,0.0,145.1106,0.0,0.0,0.2156,CL
16,500.9698,4.7339,52.2875,158.794,155.0,1905.5276,0.0,0.248,CL
17,507.1558,4.7275,52.2853,396.8593,156.4372,2140.7035,0.0,0.248,CL
18,517.8593,4.7166,52.2811,851.8844,156.3568,2660.804,0.0,0.2534,CL
19,527.7035,4.7066,52.2773,1256.7839,159.2714,2216.0804,0.0,0.2605,CL
20,537.4322,4.6979,52.2729,1485.804,176.8643,1309.6734,0.0,0.2839,CL
21,552.5025,4.6865,52.2604,1897.9899,211.005,1713.5678,0.0,0.3203,CL
22,563.3668,4.686,52.2496,2393.3417,227.3417,3164.5729,0.0,0.3427,CL
23,572.1307,4.6896,52.2424,2873.1156,229.5327,3224.2462,0.0,0.3531,CL
24,581.9095,4.6978,52.231,3680.0251,232.3367,6091.206,0.0,0.3591,CL
25,598.3467,4.7111,52.2148,4617.3367,245.3467,3497.4874,0.0,0.3889,CL
26,604.2814,4.7161,52.2084,4936.0553,253.1206,3454.056,0.0,0.4042,CL
27,617.7538,4.7263,52.1962,5634.1709,257.9296,3804.379,0.0,0.4041,CL
28,697.603,4.7574,52.0933,10155.402,305.5829,3489.8167,257.9397,0.4614,CL
29,711.6281,4.7608,52.073,10790.7035,322.0704,1500.0,290.0,0.4858,CL
30,723.1709,4.7587,52.0557,10973.8693,341.3869,894.4724,298.8643,0.5148,CL
31,751.6332,4.7429,52.0093,12056.6583,368.3166,2722.2362,337.2864,0.5533,CL
32,763.5276,4.7358,51.9892,12661.6834,374.1759,2976.6332,342.0,0.5553,CL
33,775.6382,4.7284,51.9678,13319.0955,380.0503,3478.4719,342.0,0.5721,CL
34,788.1859,4.7205,51.9464,14006.1558,383.4372,3600.0,342.0,0.5777,CL
35,798.1709,4.7144,51.9294,14542.5879,387.0,3090.4523,351.407,0.584,CL
36,807.4322,4.7081,51.9114,15128.7688,388.5729,4156.2814,364.0,0.5891,CL
37,823.0553,4.6987,51.8852,15872.4874,392.8442,2721.5167,364.0,0.5897,CL
38,832.4925,4.6927,51.867,16342.8392,398.5427,3287.1174,365.3568,0.5971,CL
39,851.8442,4.681,51.8336,17189.196,404.3618,2517.229,378.0,0.6127,CL
40,871.8945,4.6678,51.7963,18120.1005,412.9548,2785.7143,378.0,0.6279,CL
41,883.2764,4.6597,51.7746,18686.5578,415.8191,3136.6206,378.0,0.628,CL
42,892.1709,4.6539,51.7572,19129.397,417.8342,3188.0653,378.0,0.632,CL
43,909.8643,4.6422,51.7235,19968.2161,421.5176,2896.626,394.1407,0.6461,CL
44,922.7337,4.6336,51.6995,20545.8543,425.6834,3241.206,398.0,0.6507,CL
45,931.4322,4.6276,51.6829,20936.809,427.0,2875.2513,398.0,0.652,CL
46,948.3266,4.6162,51.6497,21674.7487,428.4673,2460.3015,399.8693,0.6581,CL
47,969.3719,4.6015,51.6077,22520.7286,434.0,2271.3568,398.0,0.672,CL
48,981.5276,4.5935,51.5852,22941.8342,440.7638,2238.6935,398.0,0.6745,CL
49,1000.9548,4.5803,51.5471,23600.5025,445.9196,2033.9776,398.0,0.6849,CL
50,1035.3116,4.5559,51.4752,24794.3467,458.4623,2953.2663,403.5477,0.7058,CL
51,1049.5578,4.5454,51.4456,25275.6281,462.3116,2329.8995,422.0,0.7139,CL
52,1063.402,4.5361,51.4183,25689.0704,457.0,1548.2412,422.804,0.7243,CL
53,1078.0352,4.5236,51.3832,26276.005,468.005,2545.8004,440.0,0.732,CL
54,1119.397,4.4936,51.2974,28287.8141,457.8442,3060.3015,438.1407,0.7248,CL
55,1131.4171,4.4852,51.2727,28753.1407,453.4372,2213.5678,438.0,0.7132,CL
56,1140.3367,4.479,51.2547,28933.4171,452.0,1389.4472,438.0,0.7151,CL
57,1154.3317,4.4692,51.2259,28982.4121,460.2211,9.811,438.0,0.7256,CL
58,1171.6784,4.457,51.1904,29000.0,468.397,139.4472,438.0,0.7355,CL
59,1188.5276,4.4446,51.1543,29000.0,474.1055,0.0,424.0,0.748,CL
60,1200.4322,4.436,51.1289,29000.0,475.0,0.0,424.0,0.748,CR
61,1210.8241,4.428,51.1052,29000.0,476.0,0.0,424.0,0.748,CR
62,1223.9598,4.4184,51.0769,29000.0,476.0,0.0,429.8794,0.748,CR
63,1233.5075,4.4114,51.0555,29000.0,476.0,0.0,442.0,0.748,CR
64,1241.5276,4.4056,51.0392,29000.0,476.0,0.0,442.0,0.748,CR
65,1251.3065,4.3984,51.0168,29000.0,476.0,0.0,442.0,0.748,CR
66,1267.1508,4.3875,50.9847,29000.0,476.0,0.0,442.0,0.748,CR
67,1277.7487,4.3788,50.9612,29000.0,476.0,0.0,442.0,0.748,CR
68,1286.6231,4.3728,50.9434,29000.0,476.0,0.0,442.0,0.748,CR
69,1300.9899,4.3613,50.9108,29000.0,476.0,0.0,442.0,0.748,CR
70,1311.6181,4.3532,50.8877,29000.0,476.0,0.0,442.0,0.748,CR
71,1321.5377,4.3465,50.8675,29000.0,476.0,0.0,442.0,0.748,CR
72,1334.3015,4.3372,50.8397,29000.0,476.5729,0.0,444.0,0.748,CR
73,1346.4874,4.3288,50.8142,29000.0,476.0,0.0,444.0,0.748,CR
74,1360.1106,4.3184,50.7834,29000.0,477.0,0.0,444.0,0.748,CR
75,1369.3869,4.3117,50.7632,29000.0,477.0,0.0,444.0,0.748,CR
76,1380.9849,4.3036,50.739,29000.0,476.2714,0.0,443.4573,0.748,CR
77,1399.7839,4.2907,50.6996,29000.0,477.0,0.0,442.0,0.7512,CR
78,1408.603,4.2838,50.6779,29000.0,478.0,0.0,442.0,0.752,CR
79,1419.1357,4.277,50.6583,29000.0,478.0,0.0,442.0,0.7482,CR
80,1427.8191,4.2701,50.6358,29000.0,478.0,0.0,442.0,0.752,CR
81,1442.5779,4.2594,50.6043,29000.0,477.0,0.0,442.0,0.7516,CR
82,1453.0955,4.2523,50.5835,29000.0,477.8191,0.0,442.0,0.752,CR
83,1462.7186,4.2448,50.5623,29000.0,478.0,0.0,442.0,0.752,CR
84,1472.3417,4.2383,50.5415,29000.0,478.0,0.0,442.0,0.752,CR
85,1482.3719,4.231,50.5205,29000.0,478.0,0.0,442.0,0.752,CR
86,1490.5879,4.2248,50.5007,29000.0,478.0,0.0,442.0,0.752,CR
87,1502.3065,4.2166,50.476,29000.0,478.0,0.0,442.0,0.752,DE
88,1517.0352,4.2057,50.444,28954.1457,477.6332,-250.1142,442.0,0.752,DE
89,1530.4573,4.1962,50.4165,28770.8543,476.7085,-987.4372,442.5829,0.752,DE
90,1540.8643,4.1887,50.3946,28583.794,474.5678,-1027.0101,444.0,0.7511,DE
91,1555.4221,4.1779,50.3633,28339.4472,469.7186,-1031.2928,443.7186,0.7434,DE
92,1564.3266,4.1688,50.3431,28170.1005,465.8693,-993.4673,441.8693,0.74,DE
93,1574.9397,4.1581,50.3237,28001.005,464.0,-998.995,438.0201,0.7519,DE
94,1588.5729,4.1413,50.2955,27758.5427,462.0,-1182.9146,436.0,0.732,DE
95,1599.196,4.1284,50.2754,27428.1407,460.1608,-2043.7186,436.0,0.7352,DE
96,1607.0553,4.1175,50.2579,27110.4271,456.4724,-2338.5678,436.0,0.728,DE
97,1618.4422,4.1049,50.2383,26779.5226,453.3116,-1913.0653,436.0,0.7185,DE
98,1626.4523,4.0953,50.2226,26498.3668,450.3869,-2020.1005,436.0,0.716,DE
99,1639.3769,4.0786,50.196,26036.809,448.4623,-2169.3467,436.0,0.708,DE
100,1649.2362,4.0676,50.1779,25707.5377,448.0,-2002.3331,432.0,0.7022,DE
101,1660.9347,4.0538,50.155,25316.9598,443.0,-2075.8794,432.0,0.7,DE
102,1668.5578,4.0451,50.1396,25053.2663,440.0,-2281.9095,432.0,0.6948,DE
103,1682.5427,4.029,50.1139,24606.9095,439.2915,-1945.4415,427.7487,0.6871,DE
104,1699.6432,4.0094,50.0804,24004.8995,435.8392,-2315.5779,414.0,0.68,DE
105,1707.598,4.0004,50.0651,23753.6432,434.9146,-1897.8823,414.0,0.68,DE
106,1741.1106,3.9626,50.0039,22671.2312,434.0,-1890.4624,432.0,0.664,DE
107,1769.7588,3.9315,49.951,21715.8291,430.2613,-1978.3727,432.0,0.649,DE
108,1783.8744,3.9159,49.9251,21260.1759,429.0,-1892.5879,432.0,0.6446,DE
109,1794.4874,3.9036,49.9044,20884.4221,428.0,-2252.9612,432.0,0.6409,DE
110,1829.6332,3.8656,49.8417,19895.603,427.7085,-1636.2582,399.407,0.6315,DE
