,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7712,52.31,0.0,0.0,-8.4299,0.0,0.0,GND
1,79.9598,4.7712,52.3104,0.0,12.6734,0.0,0.0,0.0,GND
2,175.4523,4.7715,52.3108,0.0,0.0,0.0,0.0,0.0,GND
3,260.8995,4.7715,52.3108,0.0,0.0,0.0,0.0,0.0,GND
4,332.5327,4.7715,52.3108,0.0,0.0,0.0,0.0,0.0,GND
5,387.3317,4.7701,52.3109,0.0,18.8995,0.0,0.0,0.0,GND
6,480.4372,4.7719,52.3142,0.0,9.0,0.0,0.0,0.0,GND
7,513.1457,4.7718,52.3156,0.0,10.0,0.0,0.0,0.0,GND
8,547.8392,4.7691,52.3156,0.0,10.0,0.0,0.0,0.0,GND
9,581.6985,4.7665,52.3156,0.0,11.0,0.0,0.0,0.0,GND
10,614.0653,4.7634,52.3154,0.0,17.799,0.0,0.0,0.0,GND
11,658.0804,4.7546,52.3151,0.0,26.8141,0.0,0.0,0.0,GND
12,709.598,4.7447,52.3148,0.0,19.3216,0.0,0.0,0.0,GND
13,746.4925,4.743,52.3161,0.0,11.0,0.0,0.0,0.0,GND
14,779.1457,4.7432,52.3179,0.0,12.0,0.0,0.0,0.0,GND
15,824.598,4.7425,52.3203,0.0,13.0,0.0,0.0,0.0,GND
16,856.3568,4.7393,52.3204,0.0,15.0,0.0,0.0,0.0,GND
17,895.6583,4.7343,52.3207,0.0,15.4472,0.0,0.0,0.0,GND
18,929.5176,4.7315,52.3224,0.0,17.0,0.0,0.0,0.0,GND
19,962.8241,4.7282,52.3248,0.0,20.0,0.0,0.0,0.0,GND
20,1008.794,4.7235,52.3278,0.0,18.0,0.0,0.0,0.0,GND
21,1044.5779,4.7194,52.33,0.0,20.0,0.0,0.0,0.0,GND
22,1082.7437,4.7149,52.3313,0.0,17.0,0.0,0.0,0.0,GND
23,1129.6131,4.7109,52.3288,0.0,14.4874,0.0,0.0,0.0,GND
24,1164.3568,4.7089,52.3289,0.0,3.0,0.0,0.0,0.0,GND
25,1203.4874,4.7089,52.3289,0.0,0.0,0.0,0.0,0.0,GND
26,1264.9698,4.7089,52.3294,0.0,19.8945,0.0,0.0,0.0,LVL
