,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7531,52.3103,0.0,12.0,0.0,100.0,0.152,GND
1,283.6332,4.7532,52.3103,0.0,13.0,0.0,100.0,0.152,GND
2,337.0503,4.7549,52.3118,0.0,25.5327,0.0,100.0,0.152,GND
3,505.2965,4.7451,52.3148,0.0,16.1005,0.0,100.0,0.152,GND
4,515.7286,4.7439,52.3148,0.0,28.6734,0.0,100.0,0.152,GND
5,532.4975,4.743,52.3152,0.0,23.0,0.0,100.0,0.152,GND
6,548.196,4.743,52.3158,0.0,25.799,0.0,100.0,0.152,GND
7,561.1608,4.743,52.3166,0.0,25.2211,0.0,100.0,0.152,GND
8,577.196,4.7432,52.3179,0.0,18.0653,0.0,100.0,0.152,GND
9,590.794,4.7433,52.3191,0.0,17.3015,0.0,100.0,0.152,GND
10,606.9849,4.7431,52.3201,0.0,25.3317,0.0,100.0,0.152,GND
11,625.7538,4.7419,52.3203,0.0,24.0352,0.0,100.0,0.152,GND
12,638.794,4.7405,52.3204,0.0,16.598,0.0,100.0,0.152,GND
13,651.1558,4.7386,52.3205,0.0,19.2312,0.0,100.0,0.152,GND
14,672.3216,4.7356,52.3206,0.0,17.1357,0.0,100.0,0.152,GND
15,686.995,4.734,52.3207,0.0,34.0,0.0,100.0,0.152,GND
16,700.392,4.7328,52.3214,0.0,15.1307,0.0,100.0,0.152,GND
17,714.2915,4.7316,52.3223,0.0,19.5276,0.0,100.0,0.152,GND
18,728.794,4.73,52.3234,0.0,23.0,0.0,100.0,0.152,GND
19,744.2111,4.7285,52.3245,0.0,22.0,0.0,100.0,0.152,GND
20,760.6633,4.7266,52.3259,0.0,21.0,0.0,100.0,0.152,GND
21,787.3719,4.7236,52.3277,0.0,20.593,0.0,100.0,0.152,GND
22,805.5075,4.7213,52.3289,0.0,24.8593,0.0,100.0,0.152,GND
23,818.6884,4.7193,52.33,0.0,25.0,0.0,100.0,0.152,GND
24,833.9799,4.7174,52.331,0.0,20.608,0.0,100.0,0.152,GND
25,846.9749,4.716,52.3315,0.0,15.0,0.0,100.0,0.152,GND
26,860.3869,4.7146,52.3313,0.0,27.0,0.0,100.0,0.152,GND
27,875.5729,4.7136,52.3317,0.0,27.2864,0.0,100.0,0.152,GND
28,892.1005,4.7124,52.3323,0.0,19.8844,0.0,100.0,0.152,GND
29,905.0854,4.7109,52.3331,0.0,18.7236,0.0,100.0,0.152,GND
30,919.9849,4.7096,52.3342,0.0,21.0,0.0,100.0,0.152,GND
31,933.8844,4.7095,52.3355,0.0,20.0,0.0,100.0,0.152,GND
32,950.0452,4.7097,52.3377,0.0,53.8392,0.0,100.0,0.152,GND
33,964.3668,4.7103,52.3441,0.0,113.206,0.0,123.2563,0.152,CL
34,981.5829,4.7113,52.3558,0.0,150.0,0.0,162.0,0.152,CL
35,996.1256,4.7123,52.3656,219.2211,144.5176,2896.626,166.3216,0.256,CL
36,1015.3819,4.7139,52.3787,939.6985,153.1759,1154.5226,173.5879,0.2712,CL
37,1029.2814,4.7149,52.3893,1121.3568,173.2814,1071.608,177.9598,0.2771,CL
38,1043.3015,4.7161,52.401,1437.0603,188.2412,1554.2714,210.4824,0.3205,CL
39,1060.8543,4.7173,52.4151,2108.0402,190.3065,2702.7997,212.6131,0.3305,CL
40,1093.2864,4.7,52.4429,3382.6633,212.593,2300.0718,229.9598,0.3599,CL
41,1114.8794,4.6735,52.4591,3921.9849,235.9598,1680.9045,254.0,0.3958,CL
42,1131.1508,4.6529,52.4717,4583.4171,242.1859,2364.6805,259.1859,0.408,CL
43,1152.5829,4.6238,52.4893,5425.8794,250.6784,1983.8478,260.9045,0.4129,CL
44,1171.4372,4.5976,52.5051,6300.3769,252.1407,3099.8744,278.0,0.436,CL
45,1186.4774,4.5798,52.5171,7023.8693,247.5075,2809.6734,276.0,0.432,CL
46,1209.2513,4.557,52.5389,8143.8442,244.0,2663.8191,278.2513,0.436,CL
47,1262.794,4.477,52.5781,10681.9095,279.8291,1380.6892,303.0352,0.4742,CL
48,1277.9598,4.4473,52.5865,10934.799,301.9598,725.6281,325.5678,0.4929,CL
49,1306.1508,4.3849,52.6041,12333.794,315.0251,3500.0,344.0,0.548,CL
50,1323.6332,4.3499,52.6138,13197.4874,318.6583,3577.3869,347.3166,0.552,CL
51,1346.0402,4.3014,52.6272,14262.4372,326.2915,3406.4968,352.5829,0.564,CL
52,1371.6432,4.239,52.6445,15514.6985,335.5477,2804.8576,361.397,0.5791,CL
53,1389.2312,4.1971,52.6562,16344.7236,340.0,2704.1457,331.6482,0.5898,CL
54,1416.1457,4.1347,52.6745,17572.7387,346.191,4118.0905,374.7638,0.6088,CL
55,1432.7688,4.0963,52.6855,18272.2362,348.8241,2778.715,383.6482,0.62,CL
56,1455.201,4.0445,52.6998,19387.1859,347.0,3211.0553,384.0,0.628,CL
57,1481.3618,3.977,52.7182,20609.0452,352.0,2864.3216,388.0,0.636,CL
58,1495.6181,3.944,52.7269,21115.4523,355.7236,1748.7437,390.0,0.64,CL
59,1516.7789,3.891,52.7406,21851.5075,363.4271,1645.041,396.8543,0.6523,CL
60,1539.9497,3.8323,52.7558,22698.4925,368.9899,1802.0101,405.9799,0.668,CL
61,1563.1156,3.7683,52.7723,23640.201,372.6231,2624.6231,408.0,0.6825,CL
62,1577.7688,3.731,52.7821,24169.2211,374.2563,2243.7186,412.0,0.689,CL
63,1592.6683,3.6938,52.7919,24661.1809,376.8894,2389.4472,414.0,0.6956,CL
64,1619.0452,3.6259,52.8101,25564.196,379.0,1891.9598,420.0,0.708,CL
65,1636.6231,3.5784,52.823,26127.2613,382.1558,1675.2513,422.0,0.712,CL
66,1663.1558,3.503,52.8437,26928.8945,386.7889,1816.5829,427.5779,0.724,CL
67,1677.8442,3.4654,52.8541,27246.1055,390.8442,1211.0553,428.8442,0.724,CL
68,1691.995,3.4255,52.865,27492.9648,395.1658,2894.0536,434.1106,0.7364,CL
69,1720.5075,3.3486,52.8856,27968.8442,399.6884,827.8894,436.0,0.744,CL
70,1732.9648,3.3123,52.8952,28199.1206,402.6432,991.206,438.0,0.7493,CL
71,1756.7286,3.2477,52.9093,28821.608,409.9548,799.5748,440.0,0.7518,CL
72,1782.5226,3.1615,52.9212,29408.6683,420.5276,1114.267,444.3518,0.7584,CL
73,1809.4422,3.0776,52.9322,29955.5276,427.0,944.7236,448.0,0.768,CL
74,1835.2714,2.9928,52.9432,30556.7839,431.0,1500.0,452.0,0.78,CL
75,1908.0603,2.7616,52.9727,31756.5327,422.0754,854.948,446.0503,0.7741,CL
76,2030.4121,2.3769,53.0214,33238.3166,422.0,1443.0905,445.7588,0.78,CL
77,2060.0302,2.2822,53.0331,33956.9095,421.0,1358.6683,445.5075,0.78,CL
78,2113.9347,2.113,53.0537,34819.3467,410.6131,829.8995,440.4523,0.772,CR
79,2132.3015,2.0571,53.0606,35000.0,410.0,0.0,438.0402,0.772,CR
80,2160.2663,1.9746,53.0707,35000.0,410.6533,0.0,438.0,0.772,CR
81,2188.4322,1.8877,53.0815,35000.0,410.0,0.0,440.0,0.772,CR
82,2206.598,1.8296,53.0889,35000.0,410.9196,0.0,440.0,0.7757,CR
83,2226.2111,1.7683,53.0967,35380.2764,410.0,1500.0,442.0,0.78,CL
