,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7671,52.3093,0.0,11.0,0.0,0.0,0.0,GND
1,143.6533,4.7695,52.3109,0.0,11.6734,0.0,0.0,0.0,GND
2,168.9598,4.7701,52.3109,0.0,11.0,0.0,0.0,0.0,GND
3,195.9799,4.7704,52.3108,0.0,0.0,0.0,0.0,0.0,GND
4,277.598,4.7704,52.3108,0.0,0.0,0.0,0.0,0.0,GND
5,357.6985,4.7704,52.3108,0.0,1.2663,0.0,0.0,0.0,GND
6,384.9196,4.7695,52.3112,0.0,23.0,0.0,0.0,0.0,GND
7,420.5729,4.7704,52.3125,0.0,26.5729,0.0,0.0,0.0,GND
8,444.4523,4.7715,52.3135,0.0,24.0,0.0,0.0,0.0,GND
9,474.5176,4.772,52.3148,0.0,25.1206,0.0,0.0,0.0,GND
10,500.799,4.7732,52.3159,0.0,28.9397,0.0,0.0,0.792,GND
11,529.9648,4.776,52.317,0.0,15.407,0.0,0.0,0.792,GND
12,567.8392,4.7771,52.3198,0.0,16.0,0.0,0.0,0.792,GND
13,603.4925,4.7781,52.3206,0.0,16.0,0.0,0.0,0.792,GND
14,627.5729,4.7784,52.3209,0.0,0.0,0.0,0.0,0.792,GND
15,653.8995,4.7786,52.321,0.0,14.0,0.0,0.0,0.792,GND
16,725.5829,4.78,52.3192,0.0,46.593,0.0,0.0,0.792,LVL
17,752.4221,4.7788,52.3053,0.0,146.0553,0.0,0.0,0.792,LVL
18,815.397,4.7908,52.2602,2012.9397,181.794,1326.6332,183.7588,0.287,CL
19,854.4121,4.8058,52.2238,3045.603,232.8241,1957.9146,246.8241,0.3768,CL
20,887.196,4.8272,52.189,4536.4322,259.6633,2705.5276,262.804,0.4101,CL
21,923.2965,4.8923,52.1632,6436.3065,280.7186,3363.3166,272.0,0.4234,CL
22,956.3015,4.939,52.1341,8119.7236,272.0,2734.5657,284.3719,0.444,CL
23,998.5377,4.9821,52.0881,10351.2563,274.5377,2696.3388,290.0503,0.4541,CL
24,1029.3568,5.0161,52.0505,10866.9598,319.0352,870.603,286.0,0.5307,CL
25,1073.4925,5.0718,51.9919,12595.4774,340.4975,2972.3618,286.0,0.5653,CL
26,1107.8643,5.1148,51.9438,14181.2814,349.4774,2305.9045,365.9397,0.5839,CL
27,1148.6382,5.1511,51.8805,16152.3869,354.0,3653.0869,379.2764,0.6113,CL
28,1183.4372,5.1759,51.8255,17789.5729,361.1457,2533.9196,386.5829,0.6252,CL
29,1208.4171,5.1939,51.7844,19020.8543,364.0,3000.0,395.0553,0.6419,CL
30,1269.995,5.2394,51.681,21664.6985,376.799,3177.8894,409.598,0.672,CL
31,1322.5025,5.2812,51.5942,23525.1256,390.1256,1950.7538,418.0,0.6965,CL
32,1363.2613,5.3234,51.5228,24879.1457,400.0,1880.9045,424.9045,0.7138,CL
33,1410.8945,5.37,51.4429,26227.8894,409.0,1465.3266,439.5578,0.7382,CL
34,1467.4221,5.4305,51.3371,27835.5528,419.1055,1835.4271,444.0,0.756,CL
35,1509.593,5.4747,51.2604,28829.0201,427.4322,1391.9598,449.7286,0.7697,CL
36,1561.5879,5.5318,51.1615,30095.7286,434.0,2109.799,461.5176,0.792,CL
37,1625.598,5.5998,51.0423,31860.6784,433.0854,1189.0165,450.1709,0.7803,CL
38,1667.0603,5.6449,50.9626,32776.5075,436.0,1389.7613,454.0,0.788,CL
39,1709.6935,5.6903,50.8818,33742.3367,437.2613,1434.6734,454.0,0.792,CL
40,1744.5226,5.7276,50.8164,34638.0653,433.0,1500.0,454.1307,0.796,CL
41,1789.1759,5.7664,50.7319,35814.196,425.0,1435.3912,452.0,0.796,CL
42,1830.8744,5.7973,50.6524,36821.8593,418.2814,1359.2965,446.0,0.788,CL
43,1871.3166,5.8261,50.575,37679.5226,414.0,1164.0345,444.0,0.788,CL
44,1904.2312,5.8481,50.5141,38287.1859,411.6281,1000.0,444.0,0.788,CL
45,1950.794,5.8795,50.4285,38867.4623,412.6985,412.6884,440.794,0.784,CR
46,1994.1005,5.9089,50.3498,39000.0,415.0,0.0,444.0,0.788,CR
47,2027.8141,5.9375,50.2859,39000.0,416.7588,-243.0905,440.0,0.784,CR
48,2062.0704,5.9805,50.2259,39000.0,418.0,0.0,440.0,0.784,CR
49,2094.0201,6.0139,50.1684,39000.0,420.0,0.0,440.0,0.784,CR
50,2129.6583,6.0523,50.102,39000.0,421.0,0.0,441.3367,0.7867,CR
51,2161.2915,6.0866,50.0454,39000.0,422.6583,0.0,440.0,0.784,CR
52,2193.9397,6.1236,49.9845,39000.0,424.0,0.0,440.0,0.784,CR
53,2219.5578,6.1513,49.9376,39000.0,426.0,0.0,442.6231,0.7892,CR
54,2255.2111,6.1904,49.8732,39000.0,428.0,0.0,445.2764,0.792,CR
55,2284.7538,6.2232,49.8187,39000.0,429.0,0.0,446.0,0.8,CR
56,2324.4573,6.2669,49.7458,39000.0,428.0,0.0,450.0,0.8,CR
57,2356.6181,6.3042,49.6839,39000.0,427.0,0.0,446.0,0.792,CR
58,2392.6683,6.3432,49.6193,39000.0,429.0,0.0,447.8894,0.796,CR
59,2427.6281,6.3819,49.5543,39000.0,428.2714,0.0,450.0,0.7989,CR
60,2466.3819,6.4231,49.4846,39000.0,428.0,0.0,446.0,0.796,CR
61,2494.7739,6.4556,49.4297,39000.0,428.0,0.0,448.0,0.796,CR
62,2538.2864,6.5012,49.3524,39000.0,425.2362,0.0,446.0,0.792,CR
63,2611.0452,6.5802,49.2182,39000.0,427.4221,0.0,444.0,0.788,CR
64,2648.2814,6.6202,49.1497,39000.0,427.9045,0.0,444.0,0.788,CR
65,2692.1558,6.668,49.069,39000.0,428.0,0.0,444.0,0.7871,CR
66,2794.2312,6.8003,48.884,39000.0,431.5578,0.0,440.0,0.78,CR
67,2825.5377,6.8468,48.8273,39000.0,434.0,0.0,442.0,0.7875,CR
68,2864.0553,6.9016,48.7603,39000.0,434.0,0.0,446.0,0.788,CR
69,2898.6884,6.9504,48.6998,39000.0,435.5377,0.0,446.0,0.788,CR
70,2965.4221,7.0477,48.5807,39000.0,437.8643,0.0,448.0,0.7955,CR
