,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7665,52.3035,0.0,14.0,0.0,186.0,0.1,GND
1,28.1457,4.7681,52.3031,0.0,28.3065,0.0,186.0,0.1,GND
2,41.4523,4.7693,52.3035,0.0,22.5779,0.0,186.0,0.1,GND
3,58.8392,4.7713,52.3043,0.0,20.9196,0.0,186.0,0.1,GND
4,91.3568,4.7755,52.3061,0.0,20.2261,0.0,186.0,0.1,GND
5,106.196,4.776,52.3075,0.0,21.5327,0.0,186.0,0.1,GND
6,121.196,4.7761,52.3088,0.0,23.0,0.0,186.0,0.1,GND
7,131.4372,4.7763,52.3103,0.0,25.0,0.0,186.0,0.1,GND
8,153.809,4.7764,52.3122,0.0,29.2864,0.0,186.0,0.1,GND
9,171.8643,4.7771,52.3128,0.0,24.0,0.0,186.0,0.1,GND
10,206.392,4.7794,52.3135,0.0,20.6734,0.0,186.0,0.1,GND
11,220.3719,4.7795,52.3132,0.0,16.0,0.0,186.0,0.1,GND
12,235.0704,4.7794,52.3131,0.0,0.0,0.0,186.0,0.1,GND
13,251.9397,4.7794,52.3131,0.0,0.0,0.0,186.0,0.1,GND
14,289.1658,4.7788,52.3061,0.0,115.8291,0.0,186.0,0.1,GND
15,305.3819,4.7777,52.294,553.1407,161.196,3687.6047,186.0,0.1957,CL
16,326.6181,4.7765,52.2771,1808.2915,166.7136,2699.863,186.0,0.2688,CL
17,357.6332,4.8015,52.2581,2621.1055,204.8442,1820.6944,199.6683,0.3206,CL
18,370.1055,4.8213,52.257,2902.6382,225.1759,2223.6181,176.0,0.3521,CL
19,384.7688,4.8452,52.2562,3331.0302,244.4171,2029.7918,222.1508,0.3859,CL
20,396.392,4.8715,52.2552,3922.8643,255.2613,3586.9347,246.0,0.404,CL
21,415.1206,4.9046,52.254,4870.1005,261.7487,2953.1587,254.7437,0.4115,CL
22,431.7186,4.9385,52.253,5860.3015,265.7437,4469.0955,268.0,0.42,CL
23,468.3065,5.0124,52.2511,7155.2764,272.1005,1868.7669,274.201,0.4324,CL
24,503.7136,5.0864,52.249,8819.598,275.3568,3846.4824,280.0,0.444,CL
25,539.5628,5.1632,52.2476,10379.397,292.2663,2350.2188,283.3266,0.4825,CL
26,579.5477,5.2566,52.2461,12074.3719,315.0,3365.3266,284.0,0.532,CL
27,596.3819,5.2934,52.2453,12830.2764,318.5528,2400.0,284.0,0.5291,CL
28,612.9146,5.3372,52.2451,13606.1558,324.0,2950.2513,309.6482,0.54,CL
29,629.4472,5.377,52.2433,14400.1256,320.1106,2733.1658,328.0,0.5476,CL
30,644.9799,5.4143,52.239,15034.2965,324.196,2582.4121,340.0,0.5512,CL
31,662.5126,5.4525,52.2305,15813.191,319.4874,3275.1256,340.0,0.568,CL
32,678.8543,5.4881,52.2194,16496.3568,322.4271,1643.2161,353.6181,0.5872,CL
33,695.5779,5.5236,52.2088,17137.5628,324.0,3104.0201,354.0,0.6035,CL
34,711.6884,5.5591,52.1968,18173.8693,313.0452,3535.1759,359.0653,0.5937,CL
35,727.6432,5.5904,52.1839,18988.9447,304.2714,2781.407,366.0,0.596,CL
36,745.1759,5.6238,52.1704,19552.6382,309.1407,1478.8945,366.0,0.6003,CL
37,761.0503,5.6576,52.1568,19775.6281,326.3668,750.0,368.0,0.6122,CL
38,778.2412,5.6934,52.1421,20023.6181,334.9447,1005.5276,368.0,0.6426,CL
39,793.7739,5.7248,52.129,20419.3467,344.9548,1550.8794,384.0,0.656,CL
40,811.8744,5.7646,52.1122,21009.9246,347.4774,2125.2855,384.0,0.665,CL
41,832.407,5.8095,52.0933,21724.3719,351.0,2452.2613,402.0,0.672,CL
42,849.2462,5.8471,52.0775,22209.2965,349.7487,1422.7387,402.0,0.676,CL
43,865.9899,5.8805,52.0637,22879.0201,352.2764,2287.4829,402.0,0.676,CL
44,886.9497,5.9271,52.045,23960.9296,339.0251,2451.6332,407.0251,0.676,CL
45,908.9698,5.9737,52.0255,24953.6432,335.4121,2761.809,406.0,0.684,CL
46,925.402,6.0092,52.0101,25685.0503,325.0,2309.5477,402.0,0.68,CL
