,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7668,52.3064,0.0,12.0,0.0,0.0,0.0,GND
1,270.9837,4.7697,52.3051,0.0,8.4422,0.0,0.0,0.0,GND
2,317.5488,4.7658,52.3032,0.0,10.0804,0.0,0.0,0.0,GND
3,403.3222,4.7581,52.2992,0.0,21.3467,0.0,0.0,0.0,GND
4,479.323,4.748,52.3005,0.0,17.0955,0.0,0.0,0.0,GND
5,542.0704,4.7416,52.3037,0.0,9.9648,0.0,0.0,0.0,GND
6,599.4422,4.7401,52.303,0.0,9.0,0.0,0.0,0.0,GND
7,636.6231,4.7391,52.3021,0.0,6.8492,0.0,0.0,0.58,GND
8,682.2627,4.7374,52.3025,0.0,0.0,0.0,0.0,0.3643,GND
9,773.3266,4.7374,52.3028,0.0,22.6281,0.0,0.0,0.0,GND
10,871.202,4.7599,52.3628,2151.7588,181.7645,661.5943,160.1608,0.247,CL
11,919.9506,4.8076,52.4013,3516.206,234.3314,2084.8247,171.3769,0.26,CL
12,974.3766,4.8619,52.454,6090.8291,277.0752,1888.2135,0.0,0.0,CL
13,1053.1249,4.888,52.557,10425.5025,309.0487,2563.8814,43.1357,0.0665,CL
14,1102.1559,4.984,52.6029,12416.0804,339.4775,1697.959,0.0,0.0,CL
15,1143.0425,5.0702,52.6441,14621.7337,347.9841,3649.478,184.6231,0.2896,CL
16,1194.1224,5.178,52.6955,16925.6281,362.0108,2763.3062,89.1859,0.1415,CL
17,1262.1792,5.3298,52.7676,19666.9598,383.195,1899.5537,14.7136,0.0236,CL
18,1322.9799,5.4767,52.8369,21774.7487,408.6432,834.1709,389.3065,0.632,CL
19,1382.3954,5.6205,52.9044,24465.8291,400.1021,755.8945,246.9347,0.4027,CL
20,1427.3518,5.7344,52.9575,25785.5528,414.8593,5579.1155,399.8593,0.6563,CL
21,1476.7184,5.8563,53.0141,27077.3869,426.2086,2415.8857,92.2613,0.1529,CL
22,1521.4322,5.9772,53.07,28110.804,439.4774,1238.6935,414.0,0.6899,CL
23,1571.5328,6.1124,53.1321,29509.0452,443.1136,4528.8488,345.6583,0.5799,CL
24,1612.8276,6.2241,53.1831,31063.4422,433.1617,3215.3837,367.9196,0.6226,CL
25,1664.7383,6.3582,53.2442,32479.397,430.1372,576.035,243.407,0.4163,CL
