,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.771,52.3081,0.0,10.0,0.0,0.0,0.0,GND
1,223.1909,4.7742,52.3084,0.0,8.8945,0.0,0.0,0.0,GND
2,273.2756,4.7749,52.3063,0.0,1.3266,0.0,0.0,0.0,GND
3,338.3588,4.7706,52.3041,0.0,0.0,0.0,0.0,0.0,GND
4,447.5771,4.7529,52.298,0.0,12.8291,0.0,0.0,0.0,GND
5,499.7014,4.7456,52.3018,0.0,10.7337,0.0,0.0,0.0,GND
6,549.4324,4.7419,52.3037,0.0,3.3166,0.0,0.0,0.0,GND
7,595.9132,4.7401,52.303,0.0,1.5829,0.0,0.0,0.0,GND
8,643.8231,4.7391,52.3022,0.0,0.8844,0.0,0.0,0.0,GND
9,748.7253,4.7379,52.3019,0.0,0.0452,0.0,0.0,0.0008,GND
10,796.3166,4.7374,52.3023,0.0,0.8945,0.0,0.0,0.152,GND
11,858.817,4.7381,52.3104,-19.598,27.8744,-191.376,0.0,0.0,LVL
12,927.9003,4.7608,52.3648,1775.0,213.6381,900.4523,73.8191,0.1032,CL
13,984.1431,4.8338,52.4148,4482.6633,271.1437,4475.3718,0.0,0.0,CL
14,1031.0851,4.929,52.4243,7407.1608,279.9691,3804.0672,155.5578,0.2366,CL
15,1098.7586,5.0413,52.3787,10699.3719,303.249,1050.1336,208.0201,0.3212,CL
16,1161.5315,5.1457,52.3057,13438.4422,338.8958,1938.0486,82.7538,0.1294,CL
17,1222.8378,5.2697,52.2388,16159.9246,371.8768,2421.0405,45.1055,0.0714,CL
18,1293.2818,5.4351,52.1669,19199.2462,390.0145,1960.8666,3.9397,0.0063,CL
19,1372.3015,5.6263,52.0796,22290.0754,408.0,2325.3769,412.0,0.668,CL
20,1440.1507,5.7887,51.9956,24565.8291,422.7079,1930.2049,90.3317,0.1477,CL
21,1500.2864,5.9385,51.918,26565.201,431.0,1620.603,429.2161,0.72,CL
22,1553.1608,6.0695,51.8495,27768.2161,447.2965,1086.4322,443.7286,0.7377,CL
