,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7676,52.31,0.0,1.0,0.0,0.0,0.0,GND
1,81.6633,4.7692,52.3113,0.0,6.593,0.0,0.0,0.0,GND
2,252.0734,4.7701,52.3122,0.0,1.1156,0.0,0.0,0.0,GND
3,298.6073,4.7726,52.313,0.0,0.0,0.0,0.0,0.0,GND
4,372.8588,4.7762,52.31,0.0,9.4221,0.0,0.0,0.0,GND
5,464.396,4.7756,52.3056,0.0,0.0,0.0,0.0,0.0,GND
6,554.713,4.7758,52.3039,0.0,0.0,0.0,0.0,0.0,GND
7,624.6738,4.7355,52.2885,752.3869,155.2841,3531.9852,0.0,0.2242,CL
8,676.2814,4.6849,52.2641,2176.2563,188.5126,4055.5625,0.0,0.3063,CL
9,753.9899,4.7547,52.2117,5166.3317,227.3266,2168.3417,232.0,0.3627,CL
10,825.0756,4.8718,52.1751,7260.5528,272.7803,1915.6577,19.1357,0.0301,CL
11,873.7678,4.9757,52.1842,9085.804,289.704,2573.1512,144.2412,0.2279,CL
12,925.4118,5.0924,52.1911,10372.1106,319.5422,643.3029,32.8241,0.0518,CL
13,983.1104,5.2391,52.1999,11851.005,344.5312,717.3703,0.0,0.0,CL
14,1039.138,5.3871,52.2085,13922.2362,345.4549,3005.1497,230.5025,0.366,CL
15,1130.6332,5.6303,52.2223,16443.4673,365.0,1750.0,336.8442,0.5417,CL
16,1182.7144,5.7714,52.2233,17750.6281,374.6073,2838.2058,176.3216,0.285,CL
17,1247.9473,5.9599,52.2183,19420.9799,384.9439,4320.4331,329.2161,0.537,CL
18,1315.354,6.1545,52.2129,21040.8291,395.2881,1163.4602,0.0,0.0,CL
19,1396.9347,6.4041,52.2042,22948.3668,404.7337,1411.2228,374.9347,0.6248,CL
20,1452.7035,6.5738,52.1969,24264.0704,407.0,1457.7889,382.0,0.64,CL
21,1500.0389,6.7193,52.1891,24977.3869,417.765,773.2782,210.3317,0.3549,CL
22,1539.7682,6.842,52.1828,25450.0,427.3967,45.2261,17.4573,0.0295,CL
23,1603.8436,7.051,52.1707,26468.0905,436.2406,968.0603,143.2764,0.2417,CL
24,1685.1813,7.3223,52.1521,27088.4422,461.4341,332.3369,93.8492,0.1581,CL
25,1758.4037,7.5737,52.1565,28313.191,454.6769,408.5995,71.7588,0.1217,CL
26,1833.1658,7.8363,52.1726,29314.5729,473.0,1748.7753,411.6683,0.7097,CL
27,1893.9899,8.0551,52.1854,30075.0,485.9899,9.4133,422.0201,0.732,CR
28,1942.3382,8.2307,52.1954,30500.0,497.0085,456.7143,254.4724,0.4366,CL
29,1998.4121,8.4433,52.207,31475.5025,495.392,2402.0101,440.0,0.7496,CL
30,2048.8876,8.6193,52.2164,33355.2764,468.0516,80.2492,86.9548,0.1528,CR
31,2102.3907,8.809,52.2263,34150.0,467.3573,744.463,159.6382,0.278,CL
32,2153.8428,8.9874,52.2353,34550.0,472.4269,0.0,10.3015,0.0181,CL
33,2209.5867,9.1905,52.2452,34635.804,486.0778,152.5273,180.6432,0.3198,CR
34,2268.8392,9.41,52.2555,35004.0201,480.0,-1210.5528,446.3216,0.7733,DE
35,2347.7894,9.6854,52.2679,33819.2211,469.0876,137.773,107.8492,0.1871,CR
36,2410.1486,9.9056,52.2773,33000.0,469.9968,-259.0142,152.5628,0.2635,CR
37,2466.4221,10.1065,52.2855,33000.0,459.0,0.0,431.8794,0.748,CR
38,2516.4346,10.2759,52.2921,33000.0,462.3478,0.0,231.1759,0.4027,CR
39,2560.1066,10.4256,52.2978,33000.0,461.5644,0.0,53.7688,0.0935,CR
40,2612.9102,10.6108,52.3045,33000.0,465.4316,0.0,122.1307,0.2116,CR
41,2656.0071,10.7636,52.3099,33000.0,466.2178,0.0,298.7839,0.5177,CR
42,2722.2054,10.9926,52.3176,33000.0,464.2631,0.0,42.0101,0.0726,CR
43,2770.5075,11.1631,52.323,33000.0,452.0,0.0,430.0,0.744,CR
44,2833.8191,11.3789,52.3295,33000.0,454.0,0.0,436.0,0.756,CR
45,2897.0469,11.5924,52.3355,33000.0,449.7913,0.0,295.2362,0.5112,CR
46,2962.375,11.8118,52.3414,33000.0,453.2141,0.0,120.5025,0.2089,CR
47,3025.2344,12.0262,52.3466,33000.0,453.8907,0.0,56.9648,0.0988,CR
48,3082.5414,12.2221,52.3511,33000.0,449.056,0.0,231.206,0.4,CR
49,3145.9447,12.4422,52.3558,33000.0,455.0,0.0,432.1106,0.752,CR
50,3201.1106,12.6286,52.3594,33000.0,453.0,0.0,430.7035,0.7506,CR
51,3246.794,12.788,52.3623,33000.0,454.7588,0.0,432.0,0.748,CR
