,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7759,52.315,0.0,22.0,0.0,138.0,0.784,GND
1,197.5276,4.7441,52.3148,0.0,21.3719,0.0,138.0,0.784,GND
2,209.6884,4.743,52.3152,0.0,33.0,0.0,138.0,0.784,GND
3,251.5829,4.7432,52.3184,0.0,21.3166,0.0,138.0,0.784,GND
4,283.5327,4.7436,52.3222,0.0,27.8442,0.0,138.0,0.784,GND
5,295.1106,4.7437,52.3238,0.0,29.0,0.0,138.0,0.784,GND
6,307.799,4.7439,52.3255,0.0,28.0,0.0,138.0,0.784,GND
7,320.9095,4.744,52.3272,0.0,27.2613,0.0,138.0,0.784,GND
8,331.6884,4.7442,52.3286,0.0,27.0,0.0,138.0,0.784,GND
9,348.8995,4.7444,52.3308,0.0,27.0,0.0,138.0,0.784,GND
10,377.2764,4.7444,52.3342,0.0,23.8894,0.0,138.0,0.784,GND
11,409.4824,4.7397,52.3348,0.0,21.0,0.0,138.0,0.784,GND
12,418.2613,4.7379,52.3348,0.0,21.0,0.0,138.0,0.784,GND
13,439.8593,4.736,52.3335,0.0,21.0,0.0,138.0,0.784,GND
14,450.8643,4.7359,52.3324,0.0,21.0,0.0,138.0,0.784,GND
15,465.4975,4.7357,52.331,0.0,22.5829,0.0,138.0,0.784,GND
16,477.4422,4.7356,52.3297,0.0,23.6884,0.0,138.0,0.784,GND
17,490.7638,4.7355,52.3281,0.0,25.794,0.0,138.0,0.784,GND
18,503.2965,4.7353,52.3265,0.0,26.8995,0.0,138.0,0.784,GND
19,516.0151,4.7352,52.3249,0.0,27.0,0.0,138.0,0.78,GND
20,530.4422,4.735,52.3233,0.0,26.8894,0.0,138.0,0.78,GND
21,543.4322,4.7346,52.3217,0.0,19.0,0.0,138.0,0.78,GND
22,557.9648,4.7326,52.3217,0.0,19.0,0.0,138.0,0.78,GND
23,584.5628,4.73,52.3234,0.0,21.0,0.0,138.0,0.78,GND
24,636.7286,4.7239,52.3275,0.0,23.5327,0.0,138.0,0.78,GND
25,647.5528,4.7222,52.3284,0.0,25.2764,0.0,138.0,0.78,GND
26,660.4623,4.7203,52.3294,0.0,27.0,0.0,138.0,0.78,GND
27,676.397,4.7178,52.3308,0.0,24.603,0.0,138.0,0.78,GND
28,691.7286,4.7157,52.3315,0.0,21.0,0.0,138.0,0.78,GND
29,705.3015,4.7139,52.3306,0.0,22.0,0.0,138.0,0.78,GND
30,717.6633,4.7127,52.3298,0.0,31.5075,0.0,138.0,0.78,GND
31,734.3568,4.712,52.3293,0.0,19.5427,0.0,138.0,0.78,GND
32,747.5075,4.7117,52.3291,0.0,6.3618,0.0,138.0,0.78,GND
33,760.8945,4.7116,52.329,0.0,2.0,0.0,138.0,0.78,GND
34,778.4673,4.7114,52.3289,0.0,9.0553,0.0,138.0,0.78,GND
35,793.5477,4.711,52.3287,0.0,16.0,0.0,138.0,0.78,GND
36,820.5779,4.7102,52.3287,0.0,10.603,0.0,138.0,0.78,GND
37,837.6181,4.71,52.3287,0.0,0.0,0.0,138.0,0.78,GND
38,850.0503,4.71,52.3287,0.0,0.0,0.0,138.0,0.78,GND
39,860.6935,4.71,52.3287,0.0,0.0,0.0,138.0,0.78,GND
40,872.9899,4.71,52.3287,0.0,0.0,0.0,138.0,0.78,GND
41,897.3065,4.7099,52.3287,0.0,4.2864,0.0,138.0,0.78,GND
42,916.2965,4.7094,52.3287,0.0,13.4322,0.0,138.0,0.78,GND
43,930.1508,4.7089,52.3289,0.0,19.0,0.0,138.0,0.78,GND
44,941.2864,4.7089,52.3293,0.0,15.4975,0.0,138.0,0.78,GND
45,953.4975,4.7089,52.3294,0.0,0.0,0.0,138.0,0.78,GND
46,965.5628,4.7089,52.3295,0.0,15.1457,0.0,138.0,0.78,CL
47,977.9598,4.7092,52.3318,0.0,69.598,0.0,138.0,0.78,CL
48,990.196,4.7097,52.3379,0.0,125.3266,0.0,138.0,0.78,CL
49,1006.196,4.7107,52.3482,280.5276,148.6583,2134.2426,138.0,0.2527,CL
