,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
1,396.1709,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
2,888.6533,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
3,1241.2563,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
4,1379.8141,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
5,1560.1608,4.7671,52.3091,0.0,0.0,0.0,100.0,0.74,GND
6,1907.5427,4.7705,52.3108,0.0,0.0,0.0,100.0,0.74,GND
7,1999.6985,4.7705,52.3108,0.0,1.2663,0.0,100.0,0.74,GND
8,2047.9196,4.7703,52.3123,0.0,32.0,0.0,100.0,0.74,GND
9,2077.5126,4.7718,52.3139,0.0,32.0,0.0,100.0,0.74,GND
10,2101.5226,4.7721,52.3154,0.0,33.0,0.0,100.0,0.74,GND
11,2150.9598,4.7765,52.3172,0.0,15.0955,0.0,100.0,0.74,GND
12,2221.598,4.7771,52.3194,0.0,2.598,0.0,100.0,0.74,GND
13,2343.7035,4.7778,52.3204,0.0,1.6482,0.0,100.0,0.74,GND
14,2375.3317,4.7779,52.3205,0.0,2.0,0.0,100.0,0.74,GND
15,2427.8392,4.779,52.3209,0.0,13.7839,0.0,100.0,0.74,GND
16,2528.3417,4.7781,52.2966,642.0854,145.5528,2463.4939,100.0,0.264,CL
17,2571.7638,4.7871,52.2668,2280.6533,175.4523,1038.0474,184.1307,0.2969,CL
18,2626.1658,4.8048,52.2123,3907.6633,248.3065,2252.8411,198.0,0.4035,CL
19,2659.3116,4.8016,52.1718,5300.7538,275.593,2101.7588,198.0,0.412,CL
20,2688.2362,4.7955,52.1333,6632.0352,294.0,3303.392,198.0,0.436,CL
21,2730.2965,4.788,52.0763,9087.3116,295.1005,3230.4379,262.0,0.4404,CL
22,2817.9497,4.7702,51.9479,12598.4925,343.0,1812.0603,313.4774,0.5,CL
23,2852.4824,4.7431,51.8927,14430.1508,327.6784,3405.1508,318.0,0.508,CL
24,2883.8543,4.7095,51.8492,16254.8995,323.3417,2846.2312,314.0,0.5047,CL
25,2914.3065,4.6762,51.8064,17545.7286,339.7839,2321.608,316.0,0.509,CL
26,2944.7588,4.6431,51.7647,18651.3819,344.0,1872.3618,324.0,0.5374,CL
27,2975.2111,4.6064,51.7178,19352.3869,374.6734,1430.6533,316.0,0.5778,CL
28,3006.196,4.5688,51.669,20306.5327,392.598,1906.5327,316.0,0.596,CL
29,3037.1156,4.5279,51.6162,21452.8894,395.6231,1839.196,316.0,0.6105,CL
30,3066.8543,4.4881,51.5638,22532.0352,412.7136,2357.4121,332.0402,0.6189,CL
31,3098.0201,4.447,51.5097,23005.402,430.0201,1141.206,316.0,0.6616,CL
32,3128.4724,4.4025,51.4516,24031.5327,444.0,2068.3417,316.0,0.6796,CL
33,3158.9246,4.3591,51.3961,25021.9849,449.9849,2390.9548,316.0,0.6919,CL
34,3189.3769,4.3232,51.3355,25959.4221,461.0,2054.7739,416.0,0.704,CL
35,3219.8291,4.29,51.2758,26824.8744,457.4975,1341.206,420.0,0.712,CL
36,3250.2814,4.2575,51.2172,27539.0704,466.5628,991.9598,428.0,0.728,CL
37,3280.7337,4.2197,51.1479,28342.3367,476.9196,1579.8995,316.0,0.736,CL
38,3313.3719,4.1815,51.0793,29120.2261,478.0,1396.7337,430.0,0.7537,CL
39,3346.6382,4.1445,51.0114,29914.5729,490.0,1041.7085,437.3869,0.768,CL
40,3377.0905,4.1083,50.9451,30658.1658,493.0,1641.7085,448.0,0.776,CL
41,3414.5427,4.0598,50.8572,31000.0,504.3769,0.0,448.0,0.7988,CL
42,3445.995,4.024,50.7938,31000.0,511.799,0.0,448.0,0.804,CL
43,3476.4472,3.9803,50.7232,31705.6533,500.2261,2133.1658,448.0,0.7844,CL
44,3506.8995,3.9325,50.6591,32372.4874,496.0,1500.0,448.0,0.78,CL
45,3537.3518,3.8882,50.5983,33007.0352,497.1407,921.1055,448.0,0.776,CL
46,3570.5377,3.8326,50.5239,33572.3618,507.6784,1204.3856,453.4673,0.7853,CL
47,3618.7688,3.7464,50.4264,34875.6281,498.995,2074.8744,482.0,0.797,CL
48,3677.6834,3.6445,50.309,36483.5427,486.0,1243.7186,442.0,0.768,CL
49,3733.1608,3.5495,50.1986,36925.0,497.8643,0.0,440.0,0.7737,CR
50,3784.5678,3.4604,50.0944,37000.0,501.4774,0.0,444.0,0.7779,CR
51,3808.4523,3.419,50.0459,37000.0,501.0,0.0,444.0,0.784,CR
52,3836.1106,3.3708,49.9903,37000.0,501.0,0.0,482.0,0.7828,CR
53,3860.5879,3.3268,49.9397,37000.0,501.794,0.0,474.995,0.788,CR
54,3883.7688,3.2917,49.8916,37000.0,507.0,0.0,478.0704,0.792,CR
55,3911.8744,3.2489,49.8303,37000.0,505.0,0.0,448.0,0.792,CR
56,3951.3266,3.1935,49.7471,37000.0,501.0,0.0,444.6131,0.7805,CR
57,3975.7789,3.1583,49.6958,37000.0,501.0,0.0,444.0,0.784,CR
58,4001.9849,3.1226,49.6429,37000.0,502.0,0.0,444.4925,0.788,CR
59,4027.0101,3.0853,49.5867,37000.0,501.6633,0.0,445.3266,0.7853,CR
60,4051.2814,3.0511,49.5354,37000.0,501.0,0.0,444.0,0.784,CR
61,4076.0352,3.0157,49.4835,37000.0,501.0,0.0,444.0,0.784,CR
62,4104.8643,2.975,49.4239,37000.0,499.392,0.0,442.7839,0.78,CR
63,4129.4925,2.9392,49.37,37000.0,498.3015,0.0,440.0,0.776,CR
