,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.776,52.3078,0.0,23.0,0.0,0.0,0.0,GND
1,25.3317,4.7763,52.3107,0.0,24.0,0.0,0.0,0.0,GND
2,46.0804,4.7765,52.313,0.0,23.5829,0.0,0.0,0.0,GND
3,66.7487,4.7763,52.3146,0.0,32.8744,0.0,0.0,0.0,GND
4,90.8191,4.7751,52.3159,0.0,32.1658,0.0,0.0,0.0,GND
5,130.0603,4.7768,52.318,0.0,15.4573,0.0,0.0,0.0,GND
6,169.2412,4.7785,52.3209,0.0,16.7538,0.0,0.0,0.0,GND
7,211.5226,4.78,52.3187,0.0,46.0101,0.0,0.0,0.0,GND
8,249.9799,4.7782,52.2982,682.6633,154.6633,3814.0704,0.0,0.0876,CL
9,329.8693,4.8297,52.2532,3637.3116,208.4925,2094.2211,0.0,0.3305,CL
10,353.7437,4.8656,52.2478,4266.4573,231.7437,1925.2513,216.0,0.3713,CL
11,377.0603,4.9107,52.2407,5192.7136,252.6181,5320.1005,216.0,0.404,CL
12,400.4824,4.953,52.2348,6286.6834,258.4925,3835.6066,216.0,0.42,CL
13,423.5779,4.9991,52.2281,7563.0653,266.7889,4743.4673,216.0,0.4352,CL
14,446.1608,5.0425,52.2219,8839.0704,270.0,3575.0179,287.8392,0.4477,CL
15,465.2312,5.0827,52.2163,9911.5578,276.7437,3157.0352,286.0,0.447,CL
16,494.2864,5.1394,52.2049,11364.3216,275.6734,3000.0,292.0,0.4587,CL
17,510.9095,5.1684,52.1946,12070.4774,280.0,2977.3869,292.0,0.4678,CL
18,541.4925,5.2269,52.1737,13599.6231,285.0,3282.6633,300.0,0.488,CL
19,562.6131,5.2637,52.1602,14478.7688,290.6131,2231.1558,310.0,0.5043,CL
20,588.6332,5.3174,52.1411,14857.9146,325.7789,792.7136,312.0,0.5539,CL
21,607.603,5.3611,52.1254,15143.0905,349.2412,1096.4824,319.9598,0.593,CL
22,630.6482,5.41,52.1077,15605.9045,366.2965,978.0151,389.2965,0.6256,CL
23,653.8492,5.4707,52.0861,16359.1709,380.2211,2143.7186,404.2211,0.6473,CL
24,669.9849,5.5116,52.0717,16974.4975,385.0,2005.0251,412.0,0.66,CL
25,701.5729,5.5887,52.0431,18239.3216,390.0,2436.5578,416.5729,0.672,CL
26,725.7337,5.6524,52.0205,19232.7889,392.5779,2295.4774,423.1558,0.6823,CL
27,742.0854,5.6915,52.0057,19842.3367,393.8693,2156.8557,425.7387,0.684,CL
28,768.0905,5.7585,51.982,20797.3618,397.4824,5369.1535,431.6784,0.7,CL
29,787.809,5.81,51.9629,21442.8392,402.4523,1839.196,434.0,0.708,CL
30,811.4874,5.8707,51.9405,22155.7789,408.0,2167.6238,439.4874,0.716,CL
31,839.0704,5.9465,51.913,23001.7588,414.0,1741.206,446.0,0.7321,CL
32,857.6332,5.9944,51.895,23548.995,417.0,1710.2178,450.6533,0.7413,CL
33,879.4171,6.0531,51.8734,24144.9749,420.4724,3141.3317,451.2362,0.744,CL
34,908.8191,6.1269,51.8459,24822.7387,427.9095,799.7487,455.8191,0.756,CL
