,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,4.7737,52.3107,0.0,15.0,0.0,0.0,0.0,GND
1,16.8593,4.7748,52.3106,0.0,25.2864,0.0,0.0,0.0,GND
2,29.7186,4.7757,52.3104,0.0,27.2864,0.0,0.0,0.0,GND
3,57.7889,4.7764,52.3122,0.0,15.0,0.0,0.0,0.0,GND
4,71.7186,4.7769,52.3128,0.0,29.0,0.0,0.0,0.0,GND
5,85.1608,4.778,52.3132,0.0,28.0,0.0,0.0,0.0,GND
6,102.0151,4.7792,52.3133,0.0,27.1407,0.0,0.0,0.0,GND
7,128.5025,4.779,52.309,0.0,76.0101,0.0,0.0,0.0,CL
8,158.1658,4.7773,52.2913,457.7889,145.1457,2381.5955,0.0,0.232,CL
9,189.3668,4.7824,52.2695,1523.6181,159.5779,2399.7487,0.0,0.2432,CL
10,203.1608,4.7871,52.2597,1932.4121,169.0251,2092.4623,157.7286,0.2555,CL
11,223.3015,4.7954,52.2419,2255.6533,212.5276,1009.4221,200.603,0.3172,CL
12,237.4372,4.8021,52.227,2553.8945,245.3116,1968.593,227.4372,0.3629,CL
13,254.5327,4.8108,52.2082,3130.9045,270.1709,2542.7136,241.6181,0.3963,CL
14,270.0653,4.8231,52.1909,4131.0302,272.9548,6743.9119,260.0302,0.412,CL
15,296.8894,4.8686,52.1712,6250.5025,268.6482,4250.0,266.1106,0.424,CL
16,317.9146,4.9041,52.1581,7819.598,270.2915,3530.6533,270.0,0.4292,CL
17,339.608,4.932,52.1393,9510.3015,267.0653,2462.3116,268.0,0.4243,CL
18,367.4673,4.9597,52.1038,11019.4724,294.4673,2711.0553,296.3116,0.4766,CL
19,385.6533,4.9728,52.0806,11904.7739,309.3266,2776.7408,311.3266,0.5027,CL
20,406.1859,4.9897,52.052,13052.5126,320.4573,3330.402,323.1859,0.5189,CL
21,428.0452,5.0082,52.0211,14428.392,325.4925,4130.6533,336.0,0.544,CL
22,447.603,5.0237,51.9959,15712.6884,323.1508,2476.1307,332.3015,0.5406,CL
23,461.9698,5.0355,51.9758,16683.794,323.0,2987.1859,334.0,0.544,CL
24,476.7487,5.0484,51.9542,17588.9447,325.4372,3472.2362,336.0,0.5497,CL
25,492.402,5.0621,51.9317,18503.1407,329.0804,3096.4824,342.1608,0.5643,CL
26,508.1709,5.0764,51.9079,19412.8141,333.4472,3670.8543,348.0,0.576,CL
27,522.8342,5.0905,51.8855,20235.0503,338.3668,3220.1005,352.7337,0.5811,CL
28,539.0503,5.1041,51.8619,21101.5075,342.0101,4472.8643,358.0,0.5762,CL
29,571.2915,5.1308,51.8179,22541.5829,345.6533,2715.7215,367.1457,0.6157,CL
30,602.4824,5.1607,51.7682,24096.3568,358.8894,2422.6131,374.593,0.636,CL
31,626.3367,5.1835,51.7294,25196.3568,359.1206,2669.8492,376.0,0.64,CL
32,646.9146,5.2045,51.6944,26004.0201,361.0,2573.3668,376.0,0.6503,CL
33,679.5829,5.2372,51.6393,27275.8794,387.4523,2467.5162,381.5477,0.6511,CL
34,698.3467,5.2562,51.6065,27905.402,395.7387,1809.799,379.7387,0.6515,CL
35,717.5628,5.2751,51.574,28287.8141,409.0754,446.2312,391.0754,0.6722,CL
