,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9295,59.6432,0.0,0.0,0.0,0.0,0.0,GND
1,40.9033,17.9288,59.6427,0.0,1.8392,0.0,0.0,0.0,GND
2,81.5052,17.9288,59.6427,0.0,0.0,0.0,0.0,0.0,GND
3,131.7413,17.9288,59.6427,0.0,0.0,0.0,0.0,0.0,GND
4,173.0577,17.9293,59.6421,0.0,6.1055,0.0,0.0,0.0,GND
5,208.7437,17.9299,59.6407,0.0,8.3719,0.0,0.0,0.0,GND
6,243.0554,17.9349,59.64,0.0,8.201,0.0,0.0,0.0,GND
7,276.1579,17.9399,59.6416,0.0,10.0553,0.0,0.0,0.0,GND
8,309.6585,17.9465,59.6437,0.0,9.2764,0.0,0.0,0.0,GND
9,342.568,17.9531,59.6459,0.0,14.4724,0.0,0.0,0.0,GND
10,378.2971,17.9558,59.6466,0.0,0.0,0.0,0.0,0.0,GND
11,410.6297,17.9572,59.6451,0.0,0.809,0.0,0.0,0.0,GND
12,443.6579,17.9559,59.6404,0.0,97.6093,0.0,0.0,0.0,LVL
13,485.8502,17.9469,59.6138,1544.3467,144.6531,2162.0785,0.0,0.2215,CL
14,520.6231,17.9297,59.5859,2749.8744,201.7487,3979.4368,0.0,0.327,CL
15,560.239,17.8738,59.5595,5383.794,230.566,4464.5974,0.0,0.0783,CL
16,594.3936,17.814,59.5397,7964.196,221.7617,4182.0484,0.0,0.1169,CL
17,631.9932,17.7616,59.5117,10344.9749,224.0767,3494.9811,0.0,0.1541,CL
18,668.267,17.708,59.4829,11713.8191,259.5662,213.9731,0.0,0.2653,CL
19,702.4171,17.6484,59.4507,12720.8543,292.9447,1417.0854,0.0,0.5299,CL
20,738.392,17.5808,59.4141,14454.397,304.0,3407.1708,0.0,0.544,CL
21,774.8203,17.5115,59.3766,16146.7337,318.0511,2994.5633,0.0,0.3855,CL
22,812.6826,17.4344,59.3347,17698.1156,341.156,1622.936,0.0,0.4398,CL
23,848.7877,17.3562,59.292,19050.0,362.0929,1389.6757,0.0,0.0905,CL
24,885.2006,17.2717,59.2456,20807.0352,370.0477,4380.0912,0.0,0.5801,CL
25,921.7504,17.1909,59.2012,22650.0,370.0193,30.1508,0.0,0.0064,CL
26,956.7286,17.1103,59.1567,24090.9548,378.8191,2144.7236,0.0,0.652,CL
27,990.3838,17.0294,59.1145,25253.6432,386.5959,2563.0119,0.0,0.1155,CL
28,1025.1304,16.9421,59.0706,26612.3116,390.9733,1947.0366,0.0,0.5181,CL
29,1067.2424,16.8376,59.0173,28058.4171,396.0737,1681.5655,0.0,0.2348,CL
30,1104.3518,16.743,58.9688,29133.794,403.0,2603.6101,0.0,0.7264,CL
31,1139.4277,16.6529,58.9222,29975.3769,411.9472,1257.7598,0.0,0.3644,CL
32,1172.935,16.5659,58.8771,30946.3568,413.301,1893.3577,0.0,0.3229,CL
33,1206.7038,16.4768,58.8308,31859.6734,415.2506,423.3622,0.0,0.5017,CL
34,1245.2165,16.3787,58.7795,33131.6583,408.9178,1958.7235,0.0,0.5693,CL
35,1284.1289,16.2806,58.728,34634.2965,396.4937,1786.6924,0.0,0.1398,CL
36,1318.4221,16.1946,58.6828,34907.9146,410.1055,118.7186,0.0,0.7636,CL
37,1353.8557,16.1031,58.6343,35375.0,419.2323,759.248,0.0,0.0193,CL
38,1388.7262,16.0121,58.586,35969.4724,422.7539,1144.4259,0.0,0.0,CL
39,1425.3597,15.9178,58.5357,37622.8643,398.2879,2674.5154,0.0,0.6603,CL
40,1462.8019,15.8265,58.4868,38000.0,405.1378,0.0,0.0,0.1642,CR
41,1498.7099,15.7354,58.4378,38000.0,417.8144,0.0,0.0,0.2324,CR
42,1533.9883,15.6454,58.3893,38000.0,412.3265,0.0,0.0,0.4835,CR
43,1567.3734,15.5612,58.3436,38225.0,417.0223,685.9296,0.0,0.3549,CL
44,1603.0723,15.4699,58.2939,38448.1156,424.292,270.6214,0.0,0.0,CL
45,1640.6633,15.3732,58.2411,39028.6432,422.5022,345.9326,0.0,0.0,CL
46,1677.5747,15.279,58.1894,39475.0,422.2273,484.1676,0.0,0.542,CL
47,1710.7911,15.1945,58.1428,39630.5276,420.6047,116.9458,0.0,0.1725,CR
48,1744.299,15.1088,58.0954,39800.0,424.0411,625.0944,0.0,0.6703,CL
49,1783.5333,15.0086,58.0398,40000.0,424.9541,317.6804,0.0,0.047,CL
50,1816.8653,14.9242,57.9927,40000.0,424.2861,0.0,0.0,0.0157,CR
51,1853.6915,14.8291,57.9394,40000.0,422.9973,0.0,0.0,0.7016,CR
52,1888.3018,14.7438,57.8914,40000.0,422.0776,0.0,0.0,0.1411,CR
53,1924.4656,14.6533,57.8403,40000.0,419.3383,0.0,0.0,0.2049,CR
54,1959.9749,14.5646,57.79,40000.0,421.0,0.0,0.0,0.78,CR
55,1994.1558,14.478,57.7407,40000.0,420.0,0.0,0.0,0.78,CR
56,2027.995,14.3947,57.6931,40000.0,421.0,0.0,0.0,0.78,CR
57,2050.7319,14.3397,57.6616,40000.0,420.4526,0.0,0.0,0.3253,CR
58,2070.3367,14.2907,57.6335,40000.0,419.6633,0.0,0.0,0.7813,CR
59,2089.8209,14.2433,57.6062,40000.0,419.3406,0.0,0.0,0.1999,CR
60,2111.0123,14.1914,57.5762,40000.0,418.9646,0.0,0.0,0.6428,CR
61,2133.0135,14.1364,57.5444,40000.0,418.0763,0.0,0.0,0.7055,CR
62,2153.9609,14.0865,57.5154,40000.0,417.4883,0.0,0.0,0.0118,CR
63,2176.8693,14.03,57.4826,40000.0,417.0,0.0,0.0,0.78,CR
64,2197.7957,13.9802,57.4536,40000.0,418.1193,0.0,0.0,0.1137,CR
65,2220.0844,13.9262,57.422,40000.0,418.1081,0.0,0.0,0.1773,CR
66,2243.6935,13.8685,57.3883,40000.0,416.0,0.0,0.0,0.7812,CR
67,2263.9547,13.8196,57.3596,40000.0,414.2415,0.0,0.0,0.4782,CR
68,2279.0623,13.7836,57.3384,40000.0,413.9813,0.0,0.0,0.3645,CR
69,2300.434,13.7327,57.3084,40000.0,413.9807,0.0,0.0,0.3528,CR
70,2331.3719,13.6585,57.2645,40000.0,414.0,0.0,0.0,0.78,CR
71,2355.2915,13.6031,57.2317,40000.0,414.0,0.0,0.0,0.78,CR
72,2376.2111,13.5515,57.201,40000.0,414.0,0.0,0.0,0.78,CR
73,2399.4039,13.4978,57.169,40000.0,413.9694,0.0,0.0,0.1019,CR
74,2422.0483,13.4444,57.1371,40000.0,413.9666,0.0,0.0,0.0392,CR
75,2442.9698,13.3948,57.1074,40000.0,415.0,0.0,0.0,0.7801,CR
76,2469.9731,13.3312,57.0692,40000.0,415.4473,0.0,0.0,0.0858,CR
77,2494.7144,13.2722,57.0337,40000.0,419.015,0.0,0.0,0.1482,CR
