,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9294,59.6431,0.0,3.0,0.0,0.0,0.0,GND
1,35.2161,17.929,59.6428,0.0,1.392,0.0,0.0,0.0,GND
2,70.4322,17.9289,59.6427,0.0,0.392,0.0,0.0,0.0,GND
3,110.0603,17.9289,59.6427,0.0,0.5879,0.0,0.0,0.0,GND
4,163.2965,17.9289,59.6427,0.0,0.7839,0.0,0.0,0.0,GND
5,208.1608,17.9291,59.6426,0.0,3.0402,0.0,0.0,0.0,GND
6,247.2965,17.9288,59.6416,0.0,8.6482,0.0,0.0,0.0,GND
7,282.5126,17.9307,59.6405,0.0,12.6281,0.0,0.0,0.0,GND
8,317.1608,17.9354,59.6401,0.0,18.4322,0.0,0.0,0.0,GND
9,352.9447,17.9412,59.6419,0.0,20.5276,0.0,0.0,0.0,GND
10,388.1608,17.9468,59.6438,0.0,18.0,0.0,0.0,0.0,GND
11,423.3769,17.9519,59.6454,0.0,14.4673,0.0,0.0,0.0,GND
12,458.593,17.9544,59.6477,0.0,17.7035,0.0,0.0,0.0,GND
13,493.809,17.9557,59.6487,0.0,9.0,0.0,0.0,0.0,GND
14,529.0251,17.9587,59.6483,0.0,3.7688,0.0,0.0,0.0,GND
15,560.2412,17.9577,59.6456,0.0,69.206,0.0,0.0,0.0,CL
16,595.0503,17.9506,59.6249,834.2965,146.8643,2527.8177,0.0,0.2429,CL
17,630.6734,17.9383,59.6013,2091.8342,161.3417,1599.4975,0.0,0.2653,CL
18,665.8894,17.9167,59.5744,2960.4271,196.3618,1322.8643,0.0,0.3297,CL
19,700.1055,17.8583,59.5551,3912.1859,244.1055,2380.0251,0.0,0.4062,CL
20,736.3216,17.7867,59.5344,5943.0905,254.0804,3306.0302,0.0,0.4197,CL
21,774.6533,17.7072,59.5108,8026.8844,265.0,3971.1055,0.0,0.4475,CL
22,810.0653,17.6597,59.4761,10168.8442,272.3769,2194.7236,0.0,0.44,CL
23,845.9698,17.6099,59.4353,11061.5578,306.4774,1467.1572,0.0,0.51,CL
24,884.8894,17.5409,59.3906,12719.4724,322.2965,2788.9447,0.0,0.5332,CL
25,920.402,17.4764,59.3482,14450.1256,327.0,2805.5276,0.0,0.556,CL
26,952.7136,17.4167,59.3089,15795.2261,335.809,1119.3467,0.0,0.56,CL
27,990.8342,17.3438,59.2612,17298.995,347.0,2734.2965,0.0,0.5868,CL
28,1028.5126,17.2708,59.2128,18875.6281,352.0,3000.0,0.0,0.6,CL
29,1071.6332,17.1859,59.1567,20498.7437,359.3166,2079.1457,0.0,0.6213,CL
30,1118.4824,17.093,59.0948,22290.0754,362.0,1984.9246,0.0,0.6395,CL
31,1155.5477,17.018,59.0449,23242.4623,375.7739,1037.6884,0.0,0.6514,CL
32,1190.3719,16.9441,58.9954,24127.5126,388.0,1682.1608,0.0,0.6658,CL
33,1225.1307,16.8701,58.9457,25139.9497,394.5327,1533.9196,0.0,0.68,CL
34,1260.0201,16.7952,58.8949,26142.3367,399.6633,2165.8291,0.0,0.696,CL
35,1295.407,16.7175,58.8423,27220.7286,400.8593,2207.7889,0.0,0.712,CL
36,1338.8342,16.625,58.7793,28320.8543,406.0,1488.1551,0.0,0.724,CL
37,1373.995,16.5473,58.7261,29156.1558,410.7487,1219.2211,0.0,0.736,CL
38,1409.6583,16.4684,58.672,29930.2764,414.4472,1776.3819,0.0,0.752,CL
39,1444.1407,16.392,58.6193,30594.598,419.0,1089.196,0.0,0.7614,CL
40,1480.6432,16.3095,58.5621,31341.0804,422.0,1080.402,0.0,0.772,CL
41,1518.8945,16.2238,58.5027,32197.3618,422.0,1500.0,0.0,0.7761,CL
42,1567.0754,16.1171,58.4281,33546.1055,415.0,1788.3166,0.0,0.776,CL
43,1607.4372,16.0292,58.3664,34450.2513,411.8543,1643.2161,0.0,0.78,CL
44,1649.5075,15.9401,58.3036,35678.2663,400.0,1358.6683,0.0,0.7745,CL
45,1691.0854,15.8528,58.242,36259.0452,403.3618,704.7739,0.0,0.776,CL
46,1731.9397,15.7658,58.1802,36699.2462,408.0,753.7688,0.0,0.7799,CL
47,1766.9447,15.6916,58.1273,37264.4472,406.0,684.4221,0.0,0.776,CL
48,1801.7789,15.619,58.0752,37939.8241,399.0,754.397,0.0,0.776,CL
49,1840.191,15.5408,58.0189,38000.0,396.0,0.0,0.0,0.772,CL
50,1882.206,15.4539,57.9563,37980.0251,399.201,50.2513,0.0,0.7728,CR
51,1936.0201,15.345,57.8771,38000.0,398.0,0.0,438.0,0.776,CR
52,1984.809,15.2452,57.8042,37975.0,395.191,0.0,436.0,0.7752,CR
53,2021.8392,15.1723,57.7507,37975.0,395.0,0.0,436.0,0.776,CR
54,2060.4171,15.0949,57.6938,37975.0,394.0,0.0,0.0,0.776,CR
55,2100.8844,15.0142,57.6341,38000.0,393.0,116.8342,0.0,0.776,CR
56,2135.0754,14.9467,57.5841,37975.0,393.0,0.0,0.0,0.768,CR
57,2174.3166,14.8683,57.5258,37950.0,394.0,0.0,0.0,0.768,CR
58,2213.0653,14.7918,57.4687,37950.0,395.6332,0.0,0.0,0.768,CR
59,2247.6231,14.7238,57.4175,37985.9296,398.4372,109.2965,0.0,0.776,CR
60,2296.2412,14.6266,57.3443,38006.0302,401.0,361.809,0.0,0.776,CR
61,2339.1809,14.5408,57.2793,38025.0,401.9548,0.0,0.0,0.78,CR
62,2379.2462,14.4612,57.2188,38025.0,402.0,0.0,0.0,0.7766,CR
63,2418.6131,14.3842,57.1599,38000.0,402.0,0.0,0.0,0.776,CR
64,2460.4573,14.3017,57.0967,38000.0,401.0,0.0,0.0,0.772,CR
65,2504.5226,14.2149,57.0298,37975.0,403.0,0.0,0.0,0.776,CR
66,2543.5879,14.1371,56.9696,38000.0,401.0653,0.0,0.0,0.7757,CR
67,2580.8693,14.0648,56.9136,38000.0,401.1307,32.6633,0.0,0.776,CR
68,2618.3668,13.9918,56.8566,37983.1658,401.0,-202.0101,0.0,0.772,CR
69,2660.4322,13.9105,56.7931,37975.0,401.0,0.0,0.0,0.776,CR
70,2697.1256,13.8401,56.7378,38000.0,401.0,0.0,0.0,0.78,CR
71,2736.2563,13.7644,56.6781,38000.0,400.0,0.0,0.0,0.772,CR
72,2777.3367,13.6865,56.6165,37975.0,398.1106,0.0,0.0,0.772,CR
73,2811.7739,13.6203,56.5639,37975.0,398.6935,0.0,0.0,0.7748,CR
74,2848.4925,13.5509,56.5086,37975.0,398.0,0.0,0.0,0.772,CR
75,2886.4121,13.4784,56.4506,37975.0,398.3015,0.0,0.0,0.772,CR
76,2938.6332,13.3805,56.3718,37997.3618,401.0,-26.3819,0.0,0.772,CR
77,2986.005,13.2912,56.2997,37977.2613,404.0,-124.0292,0.0,0.772,CR
78,3029.1407,13.2083,56.2324,38000.0,404.2864,0.0,0.0,0.772,CR
79,3065.5879,13.1396,56.1764,38000.0,405.5176,0.0,0.0,0.776,CR
80,3102.3216,13.069,56.1186,38000.0,407.6784,-339.196,0.0,0.776,CR
81,3139.2513,13.0004,56.0623,38000.0,408.0,0.0,0.0,0.776,CR
82,3177.7889,12.9273,56.002,38000.0,408.0,0.0,0.0,0.776,CR
83,3234.201,12.8208,55.9141,38000.0,406.2663,0.0,0.0,0.776,CR
84,3269.6131,12.7542,55.8588,38000.0,406.0,0.0,0.0,0.776,CR
85,3316.6834,12.6651,55.7868,38000.0,405.0,0.0,0.0,0.7746,CR
86,3362.0201,12.5792,55.7169,37975.0,403.0,0.0,0.0,0.772,CR
87,3408.5477,12.4929,55.6463,37973.7437,404.0,158.2915,0.0,0.772,CR
88,3453.5226,12.4081,55.5765,37975.0,404.0,0.0,0.0,0.771,CR
89,3500.9045,12.3201,55.5039,37988.9447,406.0,119.5262,0.0,0.772,CR
90,3552.0854,12.2242,55.4244,37990.9548,407.0,-180.9045,0.0,0.772,CR
91,3600.8291,12.134,55.3494,37979.1457,408.0,49.7487,0.0,0.7713,CR
92,3635.9095,12.0684,55.2945,37975.0,409.0,0.0,0.0,0.768,CR
93,3691.6432,11.9643,55.2068,37975.0,411.0,0.0,0.0,0.772,CR
94,3733.0452,11.8861,55.1409,38000.0,414.0,0.0,0.0,0.776,CR
95,3768.6734,11.8195,55.0844,38025.0,415.0,0.0,0.0,0.776,CR
96,3812.7437,11.7375,55.0146,38025.0,416.0,0.0,0.0,0.78,CR
97,3852.9095,11.6633,54.9511,38000.2513,415.0,-164.9916,0.0,0.776,CR
98,3894.3819,11.587,54.8858,38000.0,413.0,0.0,0.0,0.776,CR
99,3934.196,11.5126,54.8217,38000.0,412.0,0.0,0.0,0.772,CR
100,3970.206,11.4474,54.7654,37975.0,411.402,0.0,0.0,0.772,CR
101,4005.206,11.3835,54.7099,37950.0,411.794,-170.1364,0.0,0.768,CR
102,4041.0302,11.3159,54.6538,37950.0,409.0,0.0,0.0,0.768,CR
103,4080.2563,11.2409,54.5945,37975.0,410.0,0.0,0.0,0.7753,CR
104,4118.8543,11.1662,54.5354,38000.0,412.0,0.0,0.0,0.772,CR
105,4153.5327,11.0991,54.4824,38000.0,411.0,0.0,0.0,0.772,CR
