,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9353,59.6544,0.0,0.0,0.0,0.0,0.0,GND
1,75.9662,17.9343,59.6543,0.0,2.3819,0.0,0.0,0.0,GND
2,118.2952,17.9338,59.6541,0.0,0.0,0.0,0.0,0.0,GND
3,184.0794,17.9338,59.6541,0.0,0.0,0.0,0.0,0.0,GND
4,246.2468,17.9333,59.6551,0.0,1.5829,0.0,0.0,0.0,GND
5,286.6448,17.9298,59.6549,0.0,0.3317,0.0,0.0,0.0,GND
6,325.8593,17.9258,59.6548,0.0,3.0704,0.0,0.0,0.0,GND
7,365.989,17.9242,59.6577,0.0,5.7487,0.0,0.0,0.0,GND
8,405.2312,17.9252,59.6604,0.0,10.3719,0.0,0.0,0.0,GND
9,445.5294,17.9264,59.6636,0.0,14.5226,0.0,0.0,0.0,GND
10,487.4451,17.9248,59.6662,0.0,0.7236,0.0,0.0,0.0,GND
11,528.0263,17.9235,59.6656,0.0,0.0,0.0,0.0,0.0,GND
12,567.3794,17.9194,59.6545,450.0,127.2971,-429.8106,0.0,0.0,DE
13,611.3745,17.9085,59.624,2091.0804,162.4289,1536.1429,0.0,0.0862,CL
14,657.4443,17.8488,59.5979,3608.6683,217.0358,3748.1374,0.0,0.3184,CL
15,707.7286,17.7499,59.5709,5954.6482,253.1809,4577.6748,0.0,0.4476,CL
16,753.7035,17.6459,59.5647,8392.5879,267.7035,3087.8339,0.0,0.4748,CL
17,813.5289,17.5082,59.5456,12036.809,264.9958,2966.9398,0.0,0.0,CL
18,865.5054,17.3838,59.5291,14732.2864,273.1631,2819.3095,0.0,0.3656,CL
19,909.0627,17.2745,59.5147,16672.8643,288.024,3483.7128,0.0,0.5012,CL
20,955.8103,17.1619,59.4975,19131.9095,287.2433,1929.4424,0.0,0.0,CL
21,1005.3946,17.036,59.4739,21033.1658,302.5274,-735.1691,0.0,0.1934,DE
22,1046.4824,16.9288,59.4534,22671.7337,309.2779,2410.7333,0.0,0.3239,CL
23,1087.5921,16.8189,59.4326,23926.1307,321.2764,2202.1131,0.0,0.1641,CL
24,1133.2211,16.6895,59.4077,25480.5276,331.1106,2308.412,0.0,0.644,CL
25,1183.5477,16.546,59.38,26863.6935,344.0,2134.7048,0.0,0.664,CL
26,1230.8743,16.4095,59.3534,28307.1608,346.4686,1720.3818,0.0,0.2426,CL
27,1276.6088,16.2736,59.3268,29371.8593,354.673,2398.0088,0.0,0.3043,CL
28,1321.298,16.1368,59.2998,30369.2211,361.1041,1272.8056,0.0,0.5474,CL
29,1364.0459,16.0079,59.2742,31325.0,364.0408,2012.3553,411.397,0.7019,CL
30,1410.0477,15.8676,59.2462,32275.0,368.0344,542.7136,77.4271,0.1331,CL
31,1452.4022,15.7357,59.2197,32934.6734,372.7893,-966.5249,167.9296,0.2894,CR
32,1498.062,15.5923,59.1906,33710.1759,376.1594,767.2597,0.0,0.4507,CR
33,1540.1727,15.4561,59.1628,34200.0,381.0012,1106.3007,353.1558,0.6168,CL
34,1583.9849,15.3159,59.134,34774.7487,382.995,1000.0783,443.9899,0.78,CL
35,1623.4724,15.1914,59.1082,35284.1709,385.2236,1420.1005,351.8693,0.6185,CL
36,1664.0357,15.0636,59.0817,35904.1457,382.2269,756.377,258.8141,0.4547,CL
37,1709.1327,14.9194,59.0514,36490.5779,382.0394,-847.1728,275.4171,0.486,DE
38,1750.7265,14.7906,59.0244,36954.2714,381.5401,93.4651,75.1759,0.1333,CL
39,1791.9129,14.6549,58.9955,37299.1206,384.9986,584.2698,426.4523,0.7564,CL
40,1832.5458,14.5291,58.9687,37693.9698,384.0198,692.3379,333.8693,0.5919,CL
41,1878.7281,14.3835,58.9375,38000.0,385.3756,0.0,244.3216,0.4312,CR
42,1921.2871,14.2493,58.9089,38000.0,376.1358,0.0,286.1307,0.5095,CR
43,1963.9863,14.1182,58.8832,38000.0,374.3558,0.0,61.6281,0.1092,CR
44,2004.7237,13.9908,58.8579,38000.0,378.9611,0.0,28.6131,0.051,CR
45,2042.0969,13.8722,58.834,38025.0,380.8442,0.0,119.9397,0.2127,CR
46,2089.4905,13.7214,58.8035,38050.0,382.0546,0.0,211.9598,0.3762,CR
47,2131.92,13.5878,58.7763,38000.0,383.289,0.0,0.0,0.2457,CR
48,2173.3722,13.4537,58.7487,38000.0,382.0844,0.0,393.1357,0.6938,CR
49,2215.4241,13.325,58.7221,37975.0,383.1837,-44.4909,0.0,0.0749,CR
50,2261.8007,13.178,58.6915,38000.0,381.1576,0.0,0.0,0.2352,CR
51,2303.8731,13.0447,58.6636,38000.0,382.2679,0.0,0.0,0.3959,CR
52,2350.1457,12.8973,58.6324,37975.0,383.0,-706.0368,0.0,0.7731,DE
53,2393.2412,12.7625,58.6037,37975.0,384.0,0.0,0.0,0.776,DE
54,2434.7487,12.6313,58.5757,38000.0,385.0,0.0,0.0,0.78,CR
55,2477.8722,12.4994,58.5473,38000.0,386.1867,0.0,0.0,0.2574,CR
56,2521.1299,12.3626,58.5177,38000.0,386.1291,0.0,0.0,0.4172,CR
57,2561.5126,12.2334,58.4895,38000.0,386.2563,0.0,0.0,0.776,CR
58,2603.1091,12.1029,58.4609,38000.0,389.0179,0.0,0.0,0.6572,CR
59,2646.4085,11.9651,58.4304,38000.0,390.9492,0.0,0.0,0.5943,CR
60,2689.2764,11.8289,58.4,38050.0,392.0,0.0,0.0,0.7826,CR
61,2733.0035,11.6922,58.3696,38000.0,391.9966,0.0,0.0,0.4429,CR
62,2776.9045,11.5507,58.3378,37975.0,391.0,0.0,0.0,0.7791,CR
63,2820.2367,11.4196,58.3079,38000.0,391.3464,0.0,0.0,0.0158,CR
64,2866.1434,11.2747,58.2749,38025.0,391.2711,0.0,0.0,0.1458,CR
65,2909.5983,11.1383,58.2435,38025.0,388.1562,0.0,0.0,0.3073,CR
66,2949.4712,11.013,58.2146,38025.0,385.161,896.9849,0.0,0.4664,CL
67,2997.9899,10.8658,58.1803,37975.0,384.7726,0.0,0.0,0.1521,CL
68,3043.9777,10.7203,58.1464,37950.0,382.9976,0.0,0.0,0.7682,CR
69,3089.4899,10.5858,58.1146,37975.0,384.2366,78.5747,78.2211,0.1677,CR
70,3137.9212,10.4376,58.0794,37950.0,382.3143,0.0,152.804,0.3242,CR
71,3185.5572,10.293,58.0449,37975.0,382.0656,0.0,134.6131,0.2871,CR
72,3232.1176,10.1534,58.0113,38000.0,385.1807,0.0,0.0,0.0,CR
73,3278.2774,10.0123,57.9771,38050.0,386.0572,12.738,0.0,0.0315,CR
74,3323.2613,9.8717,57.943,38050.0,386.0,0.0,0.0,0.78,CR
75,3366.7387,9.7392,57.9105,38025.0,385.4523,0.0,0.0,0.78,CR
76,3418.0666,9.5858,57.8727,37975.0,386.9595,0.0,0.0,0.2652,CR
77,3474.5412,9.416,57.8305,38000.0,388.6963,244.3888,0.0,0.0,CR
78,3526.5595,9.2578,57.7909,38000.0,389.1357,0.0,0.0,0.0,CR
79,3566.6828,9.132,57.7592,38000.0,391.8157,0.0,0.0,0.5615,CR
80,3622.8905,8.9613,57.7159,38012.0603,393.9854,-3420.1847,187.3668,0.4037,DE
81,3672.145,8.8113,57.6776,38025.0,393.3651,0.0,0.0,0.243,CR
82,3714.0912,8.6854,57.6432,38025.0,394.366,0.0,38.201,0.0823,CR
83,3772.5556,8.506,57.5931,38000.0,392.1096,0.0,0.0,0.698,CR
84,3821.9617,8.3591,57.552,37975.0,392.065,0.0,0.0,0.5354,CR
85,3875.2952,8.2017,57.5076,37950.0,393.9845,-186.7487,176.4523,0.3763,CR
86,3920.7548,8.0659,57.4691,37975.0,397.3144,0.0,0.0,0.2184,CR
87,3965.2674,7.9284,57.4299,38025.0,402.0075,0.0,0.0,0.7212,CR
88,4016.4721,7.777,57.3865,38050.0,404.2969,0.0,0.0,0.0,CR
89,4061.0848,7.6413,57.3473,38050.0,404.1533,0.0,0.0,0.0,CR
90,4105.0683,7.5056,57.3079,38025.0,402.0455,0.0,0.0,0.4233,CR
91,4151.2688,7.3664,57.2672,37975.0,402.1354,0.0,0.0,0.584,CR
92,4207.366,7.1999,57.2182,37976.1307,401.6303,102.1675,0.0,0.0351,DE
93,4250.6717,7.0699,57.1797,37979.0201,400.6556,-631.9247,0.0,0.1254,DE
94,4298.549,6.926,57.1369,38000.0,400.3555,0.0,0.0,0.2861,CR
95,4341.3083,6.7984,57.0987,38000.0,398.9639,0.0,0.0,0.3315,CR
96,4392.6202,6.6449,57.0524,38025.0,397.2045,0.0,0.0,0.6107,CR
97,4433.7915,6.5284,57.0172,38025.0,394.6194,0.0,0.0,0.0118,CR
98,4486.3113,6.3758,56.9715,38025.0,389.9628,0.0,0.0,0.0,CR
99,4534.6137,6.2305,56.9336,37975.0,386.2853,0.0,0.0,0.4679,CR
100,4583.953,6.0865,56.8958,37950.0,386.5654,0.0,0.0,0.3033,CR
101,4628.0999,5.9545,56.8609,38000.0,391.7887,0.0,0.0,0.6246,CR
102,4679.976,5.7972,56.8191,38000.0,396.9941,0.0,0.0,0.7682,CR
103,4729.7302,5.6536,56.7807,38000.0,395.2881,0.0,0.0,0.0,CR
104,4775.2726,5.5153,56.7435,38000.0,392.0905,0.0,0.0,0.4423,CR
105,4819.8571,5.3858,56.7084,37975.0,391.0717,0.0,0.0,0.2832,CR
106,4861.8105,5.2631,56.675,37975.0,391.4638,0.0,0.0,0.1241,CR
107,4904.8703,5.1339,56.6397,37975.0,391.9996,0.0,0.0,0.7371,CR
108,4947.5435,5.0115,56.606,37993.7186,393.5303,194.8162,0.0,0.0,CR
109,4988.8156,4.8879,56.5718,38000.0,396.0906,0.0,0.0,0.353,CR
110,5033.9548,4.7539,56.5344,38025.0,395.097,0.0,0.0,0.5174,CR
111,5081.2746,4.6136,56.4951,38050.0,394.1109,0.0,0.0,0.6781,CR
112,5128.7915,4.4735,56.4557,38025.0,393.9977,0.0,0.0,0.7212,CR
113,5169.8922,4.3547,56.422,38000.0,393.9915,0.0,0.0,0.5605,CR
114,5213.9821,4.2274,56.3857,38012.8141,394.435,198.8219,0.0,0.3783,CR
115,5265.6131,4.0749,56.342,38000.0,394.0,0.0,0.0,0.78,CR
116,5312.906,3.9409,56.3034,38000.0,393.8723,0.0,0.0,0.0784,CR
117,5380.0349,3.7398,56.2602,38000.0,386.6429,0.0,0.0,0.0823,CR
118,5426.5972,3.5918,56.2488,37975.0,384.359,0.0,0.0,0.2405,CR
119,5479.5748,3.4255,56.236,37950.0,385.6201,0.0,0.0,0.0,CR
120,5552.026,3.1917,56.2178,38000.0,387.9495,224.4473,0.0,0.5615,CR
121,5597.166,3.0476,56.2064,38000.0,388.0644,0.0,0.0,0.7251,CR
122,5648.7823,2.8865,56.1934,38025.0,389.1173,0.0,0.0,0.1058,CR
123,5703.8507,2.7075,56.1787,38025.0,389.0464,0.0,0.0,0.5135,CR
124,5757.0236,2.5424,56.1648,38000.0,389.1357,0.0,0.0,0.0,CR
125,5811.1984,2.3657,56.1498,37975.0,390.1118,0.0,0.0,0.5849,CR
126,5876.2004,2.1622,56.132,38000.0,392.6252,0.0,0.0,0.0314,CR
127,5927.4731,1.9975,56.1175,38004.1457,391.6444,-708.5256,0.0,0.1293,DE
128,5987.4766,1.8064,56.1004,38000.0,391.9922,0.0,0.0,0.0,CR
129,6035.77,1.6511,56.0862,38000.0,389.5864,0.0,0.0,0.3292,CR
130,6084.3325,1.4946,56.0717,37975.0,390.0506,0.0,0.0,0.6083,CR
131,6135.7684,1.3352,56.0568,37975.0,390.232,0.0,0.0,0.0077,CR
132,6183.8883,1.1788,56.0419,38000.0,390.0459,0.0,0.0,0.6271,CR
133,6225.7298,1.0465,56.0292,38025.0,389.2312,0.0,0.0,0.4664,CR
134,6275.8863,0.8894,56.0137,38025.0,388.557,0.0,0.0,0.3057,CR
135,6332.4386,0.7097,55.9959,38000.0,387.152,0.0,0.0,0.635,CR
136,6411.1977,0.4659,55.9712,37975.5025,390.2123,-256.2946,0.0,0.0,DE
137,6472.7499,0.2705,55.9511,37975.0,391.4277,0.0,0.0,0.1746,CR
138,6540.9602,0.0537,55.9284,38014.196,392.1865,354.0145,0.0,0.4406,CL
139,6600.0431,-0.1346,55.9084,38025.0,393.989,0.0,0.0,0.4978,CR
140,6664.8797,-0.3373,55.8866,38000.0,392.2119,0.0,0.0,0.0,CR
141,6731.4027,-0.547,55.8634,38000.0,391.322,0.0,0.0,0.0,CR
142,6789.8652,-0.7315,55.8428,38025.0,388.3544,0.0,0.0,0.2009,CR
143,6853.8065,-0.932,55.8201,38000.0,384.3985,0.0,0.0,0.3588,CR
144,6933.3348,-1.1751,55.7919,37991.7085,379.4595,-90.7162,0.0,0.256,CR
145,6991.4054,-1.3516,55.7713,37975.0,382.0249,0.0,0.0,0.096,CR
146,7043.7387,-1.5154,55.7518,38000.0,383.0163,0.0,0.0,0.7136,CR
147,7101.6391,-1.6923,55.7306,38000.0,389.6969,0.0,0.0,0.2223,CR
148,7162.0151,-1.8855,55.707,38050.0,393.0,0.0,0.0,0.8,CR
149,7224.2507,-2.0754,55.6836,38000.0,379.2073,0.0,0.0,0.5392,CR
150,7287.0223,-2.2647,55.6599,38000.0,380.0121,0.0,0.0,0.7055,CR
151,7347.7556,-2.4498,55.6364,38000.0,380.0383,0.0,0.0,0.6867,CR
152,7406.0345,-2.6233,55.6141,37975.0,383.4392,165.6346,0.0,0.2431,CR
