,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9285,59.6504,0.0,0.0,0.0,0.0,0.0,GND
1,51.169,17.9283,59.65,0.0,2.1106,0.0,0.0,0.5516,GND
2,93.7789,17.9282,59.6497,0.0,0.0,0.0,0.0,0.3191,GND
3,186.9578,17.9281,59.6497,0.0,0.0,0.0,0.0,0.0,GND
4,251.7134,17.9257,59.6497,0.0,2.2312,0.0,0.0,0.1473,GND
5,300.7009,17.9217,59.6506,0.0,6.2111,0.0,0.0,0.0,GND
6,344.1153,17.9225,59.6529,0.0,2.6533,0.0,0.0,0.0336,GND
7,388.6098,17.9248,59.655,0.0,0.9799,0.0,7.5377,0.0115,GND
8,429.6209,17.929,59.6557,0.0,6.2814,0.0,62.8141,0.0955,GND
9,472.8315,17.9333,59.6565,0.0,8.6884,0.0,66.8342,0.1016,GND
10,516.7387,17.9352,59.6574,0.0,0.1407,0.0,3.5176,0.0053,GND
11,561.1429,17.9373,59.6586,0.0,3.6935,0.0,73.8693,0.6116,GND
12,605.6169,17.9376,59.6586,0.0,0.0,0.0,0.0,0.0,CL
13,651.4204,17.9756,59.6634,406.7839,163.9455,1611.0222,133.2663,0.1298,CL
14,693.4924,18.042,59.6724,1882.5377,191.5876,2102.8078,142.6734,0.2276,CL
15,743.8038,18.0492,59.7127,4050.6281,205.4057,3693.2682,99.2864,0.1521,CL
16,798.1351,17.9583,59.7016,7323.1156,220.5047,3081.8378,166.593,0.2648,CL
17,847.86,17.9531,59.6437,9310.0503,280.8989,1700.9932,0.0,0.0,CL
18,900.8942,17.9382,59.5731,12450.2513,288.9799,4879.7582,188.3819,0.3131,CL
19,962.3556,17.9201,59.4897,15640.8291,306.1006,2166.1262,104.1809,0.1864,CL
20,1020.7977,17.9017,59.4048,18584.1709,316.9891,4493.2171,264.0201,0.4983,CL
21,1068.712,17.8867,59.3364,20839.5729,322.1478,1356.1192,0.0,0.0,CL
22,1119.6224,17.8697,59.2583,22226.1307,355.6269,582.5098,0.0,0.0,CL
23,1170.5546,17.8502,59.1677,23000.0,402.2616,749.6044,51.3769,0.1216,CL
24,1215.2231,17.8323,59.0828,24727.8894,408.0291,3017.085,251.1759,0.6156,CL
25,1263.5613,17.8131,58.9919,26355.9045,415.2072,2317.1745,166.9749,0.421,CL
26,1316.4853,17.791,58.89,28020.8543,422.0916,2717.0479,201.2261,0.5243,CL
27,1366.0539,17.7709,58.7954,29375.5025,427.59,501.2857,1.4271,0.0038,CL
