,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9353,59.6544,0.0,0.0,0.0,0.0,0.0,GND
1,60.1457,17.9344,59.6543,0.0,2.0,0.0,0.0,0.0,GND
2,109.7186,17.9337,59.6541,0.0,1.0,0.0,0.0,0.0,GND
3,172.593,17.9337,59.6541,0.0,0.0,0.0,0.0,0.0,GND
4,260.5829,17.9334,59.6549,0.0,3.1457,0.0,0.0,0.0,GND
5,305.2965,17.9302,59.655,0.0,14.4322,0.0,0.0,0.0,GND
6,350.593,17.9254,59.6552,0.0,15.7186,0.0,0.0,0.0,GND
7,395.0201,17.9245,59.6585,0.0,8.9799,0.0,0.0,0.0,GND
8,440.4573,17.9241,59.659,0.0,4.0,0.0,0.0,0.0,GND
9,486.3116,17.9216,59.6593,0.0,8.0,0.0,0.0,0.0,LVL
10,530.9146,17.9172,59.6484,68.2161,132.6583,391.9598,0.0,0.0,LVL
11,576.603,17.9052,59.6184,2055.1508,161.206,2681.5327,0.0,0.2972,CL
12,621.3116,17.8423,59.5945,4415.5779,224.1859,3000.0,0.0,0.3795,CL
13,666.6181,17.7454,59.5697,6319.7236,298.5126,2151.2563,0.0,0.4916,CL
14,711.0402,17.6175,59.5526,8702.7638,336.0201,4001.2563,0.0,0.548,CL
15,756.4824,17.479,59.5347,11453.7688,355.2965,4762.8141,0.0,0.584,CL
16,801.4975,17.3372,59.5164,14570.7286,356.7487,2917.0854,0.0,0.5863,CL
17,846.3467,17.1913,59.4974,16945.603,373.4774,2608.5427,0.0,0.6155,CL
18,892.6231,17.0393,59.4774,19402.2613,383.3116,3194.8492,0.0,0.644,CL
19,936.7688,16.8922,59.4522,21660.5528,385.0,3331.6583,0.0,0.6738,CL
20,981.1859,16.7568,59.4125,23472.8643,396.7286,2000.0,0.0,0.6949,CL
21,1034.0905,16.5882,59.3624,25553.0151,410.0151,2984.9246,0.0,0.7241,CL
22,1080.9045,16.4367,59.3169,26582.5377,431.3015,599.7846,0.0,0.7692,CL
23,1128.7638,16.2709,59.2668,27683.794,442.0,2000.0,0.0,0.792,CL
24,1175.3719,16.114,59.219,29137.4372,439.8744,1237.6884,0.0,0.788,CL
25,1220.4824,15.9603,59.1719,30716.0804,435.0,2479.5406,0.0,0.792,CL
26,1269.7889,15.7964,59.1213,32428.2663,429.5528,2210.4271,0.0,0.796,CL
27,1314.6683,15.6485,59.0754,33660.0503,429.2663,1720.1005,0.0,0.796,CL
28,1360.0804,15.5018,59.0295,35278.0151,416.0,1515.0754,0.0,0.788,CL
29,1403.2261,15.3625,58.9857,36330.6533,416.0,1846.7337,0.0,0.792,CL
30,1451.5578,15.2104,58.9376,37513.9447,410.407,1377.8894,0.0,0.792,CL
31,1501.5176,15.0569,58.8887,37996.9849,402.0,329.7739,0.0,0.781,CR
32,1554.995,14.8938,58.8364,38000.0,406.0,0.0,0.0,0.7887,CR
33,1613.2613,14.7155,58.7789,38000.0,392.5477,0.0,0.0,0.7786,CR
34,1658.9548,14.5816,58.7353,38000.0,395.7387,0.0,0.0,0.775,CR
35,1702.1005,14.451,58.6925,38000.0,410.9749,0.0,0.0,0.796,CR
36,1754.4925,14.2905,58.6398,38000.0,408.6231,0.0,0.0,0.788,CR
37,1814.7839,14.1065,58.5789,37975.0,406.0,0.0,0.0,0.78,CR
38,1874.6533,13.9259,58.5185,37950.0,404.1156,0.0,0.0,0.78,CR
39,1926.6834,13.7694,58.4658,38000.0,406.0,0.0,0.0,0.7833,CR
40,1973.3719,13.6291,58.4184,38025.0,407.4573,0.0,0.0,0.788,CR
41,2030.9749,13.4553,58.3592,38050.0,406.0,0.0,0.0,0.796,CR
42,2074.1206,13.3279,58.3155,38000.0,402.9698,0.0,0.0,0.7921,CR
43,2144.9497,13.1211,58.2441,37975.0,399.0,0.0,0.0,0.792,CR
44,2201.6181,12.956,58.1866,37975.0,396.0,0.0,0.0,0.792,CR
45,2254.2261,12.805,58.1337,37975.0,396.0,-15.0754,0.0,0.7916,CR
46,2312.5276,12.6363,58.0741,38000.0,393.0,154.5226,0.0,0.788,CR
47,2361.8492,12.4971,58.0248,37975.0,393.0,0.0,0.0,0.788,CR
48,2418.7437,12.3356,57.967,37981.2814,393.0,-224.6231,0.0,0.787,DE
49,2480.1407,12.1625,57.9046,37975.0,395.0,-180.9045,0.0,0.7843,CR
50,2548.3216,11.9693,57.8348,38025.0,394.0,0.0,0.0,0.792,CR
51,2597.8241,11.83,57.784,38025.0,392.0,0.0,0.0,0.792,CR
52,2647.0503,11.694,57.7339,37952.6382,394.8945,-149.0787,0.0,0.776,CR
53,2699.5427,11.5447,57.6787,37975.0,405.1809,0.0,0.0,0.7807,CR
54,2750.4673,11.3948,57.6233,38000.0,413.4673,0.0,0.0,0.792,CR
55,2814.7688,11.2084,57.5534,38000.0,408.0,0.0,0.0,0.788,CR
56,2858.2412,11.0856,57.5073,38000.0,404.9598,0.0,0.0,0.7878,CR
57,2904.6533,10.9545,57.4576,37975.0,402.0,0.0,0.0,0.78,CR
58,2949.8392,10.8277,57.4093,37975.0,401.0,0.0,0.0,0.7855,CR
59,3006.397,10.6682,57.3481,37975.0,402.0,0.0,0.0,0.78,CR
60,3052.5578,10.5399,57.2988,38000.0,395.8141,0.0,0.0,0.776,CR
61,3101.8894,10.4058,57.2468,38000.0,399.4724,0.0,0.0,0.7701,CR
62,3151.0352,10.2689,57.1934,38000.0,402.0,0.0,0.0,0.773,CR
63,3206.5427,10.1173,57.134,38023.8693,395.9548,471.7337,0.0,0.772,CL
64,3264.6583,9.9576,57.071,38000.0,400.0,0.0,0.0,0.78,CR
65,3310.5628,9.831,57.0207,38025.0,402.0,0.0,0.0,0.78,CR
66,3375.5226,9.6542,56.9503,38025.0,402.0,0.0,446.0,0.7764,CR
67,3419.1457,9.5339,56.9019,38000.0,402.809,0.0,0.0,0.776,CR
68,3464.8643,9.4085,56.8513,37988.0653,403.5226,-119.3467,0.0,0.772,CR
69,3513.5276,9.2767,56.7977,38000.0,403.0,0.0,0.0,0.772,CR
70,3580.0503,9.0959,56.7238,38000.0,401.0,0.0,0.0,0.768,CR
71,3633.0101,8.9527,56.6649,37975.0,401.0,0.0,438.0,0.764,CR
72,3683.6231,8.8166,56.6084,37975.0,403.0,0.0,0.0,0.7695,CR
73,3736.7286,8.6737,56.5491,38000.0,405.0,0.0,0.0,0.7836,CR
74,3785.5678,8.5417,56.4941,38050.0,401.0,0.0,0.0,0.784,CR
75,3832.4472,8.4185,56.4422,38000.0,398.0,-258.794,0.0,0.7741,CR
76,3880.5377,8.2915,56.3883,38000.0,400.0,0.0,0.0,0.772,CR
77,3925.4975,8.1743,56.3384,38000.0,400.0,0.0,24.1005,0.7718,CR
78,3977.3668,8.0368,56.2796,37975.0,402.0,0.0,436.0,0.776,CR
79,4025.7688,7.9096,56.2249,37975.0,405.0,0.0,0.0,0.7655,CR
80,4071.4874,7.7866,56.1719,38000.0,406.9146,0.0,0.0,0.772,CR
81,4122.804,7.651,56.1132,38030.0251,405.0,75.3769,436.0,0.7808,CR
82,4169.4623,7.5276,56.0594,38050.0,402.0,0.0,0.0,0.78,CR
83,4214.3216,7.4122,56.0086,38000.0,400.0,-84.799,0.0,0.7729,CR
84,4258.3015,7.2971,55.9579,37975.0,398.0,0.0,0.0,0.772,CR
85,4305.0402,7.1788,55.9055,37950.0,395.0,0.0,0.0,0.772,CR
86,4349.5327,7.0652,55.8551,37950.0,395.3668,0.0,0.0,0.772,CR
87,4394.598,6.9502,55.8037,37975.0,396.0,0.0,400.9447,0.768,CR
88,4443.0302,6.8288,55.7492,38000.0,396.0,0.0,0.0,0.772,CR
89,4488.9849,6.712,55.6963,38000.0,396.0,0.0,0.0,0.772,CR
90,4536.7889,6.5908,55.6413,38000.0,398.0,0.0,0.0,0.772,CR
91,4588.5226,6.4585,55.5812,38000.0,399.0653,0.0,0.0,0.772,CR
92,4639.0553,6.3304,55.5224,38025.0,398.0,0.0,0.0,0.776,CR
93,4693.5528,6.1949,55.46,38000.0,397.0,-108.5427,436.0,0.7734,CR
94,4738.7739,6.082,55.4075,38000.0,395.9246,0.0,0.0,0.772,CR
95,4785.6884,5.9661,55.3536,37994.7236,395.2111,-39.5729,0.0,0.7672,CR
96,4832.9849,5.8489,55.299,37975.0,397.0,0.0,0.0,0.774,CR
97,4878.9196,5.7348,55.2453,38000.0,396.0,0.0,0.0,0.772,CR
98,4923.2814,5.6251,55.1934,38000.0,397.0,0.0,0.0,0.776,CR
99,4972.1407,5.5043,55.1361,38025.0,396.6432,0.0,0.0,0.78,CR
100,5017.5729,5.3931,55.0831,38033.9196,394.0,-152.0101,280.4422,0.7814,CR
101,5065.8593,5.2752,55.0267,38025.0,391.1407,0.0,0.0,0.7797,CR
102,5119.0804,5.1482,54.9655,38000.0,388.0,0.0,343.3568,0.7751,CR
103,5181.5075,4.9998,54.8936,37950.0,388.0,-124.3719,438.0,0.772,CR
104,5229.9447,4.8844,54.8374,37975.0,388.7889,0.0,437.5779,0.772,CR
105,5288.603,4.7447,54.7692,38001.8844,388.9246,14.1332,404.9849,0.78,CR
106,5340.0854,4.6228,54.7094,38025.0,388.0,0.0,438.0,0.7774,CR
107,5393.593,4.4984,54.6478,38000.0,387.3518,0.0,283.9296,0.776,CR
108,5442.804,4.3961,54.5833,38000.0,389.9347,0.0,436.0,0.78,CR
109,5495.3266,4.3119,54.5023,38000.0,393.0,0.0,436.4422,0.772,CR
110,5545.0452,4.2385,54.4218,37975.0,393.0,0.0,358.0,0.766,CR
111,5594.7638,4.1658,54.3414,37975.0,394.0,0.0,0.0,0.768,CR
112,5659.2412,4.0735,54.2386,38025.0,394.0,0.0,0.0,0.776,CR
113,5735.8342,3.9633,54.1149,38000.0,394.0,0.0,438.0,0.7705,CR
114,5804.9598,3.8638,54.003,38000.0,395.0,0.0,438.0,0.7694,CR
115,5857.8191,3.789,53.9177,38000.0,396.0,0.0,438.0,0.7682,CR
116,5908.2261,3.7166,53.8352,38000.0,396.0,0.0,80.9548,0.772,CR
