,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9271,59.6513,0.0,0.0,0.0,0.0,0.0,GND
1,69.9017,17.9271,59.6512,0.0,0.0,0.0,0.0,0.0,GND
2,128.9773,17.9273,59.6517,0.0,0.1206,0.0,0.0,0.0,GND
3,181.8648,17.9271,59.6524,0.0,1.8794,0.0,0.0,0.0,GND
4,249.1435,17.9271,59.6524,0.0,0.0,0.0,0.0,0.0,GND
5,325.6355,17.9263,59.6525,0.0,0.5025,0.0,0.0,0.0,GND
6,378.1737,17.9255,59.6536,0.0,0.1206,0.0,0.0,0.0,GND
7,434.5185,17.9263,59.6541,0.0,7.7337,0.0,0.0,0.0,GND
8,485.917,17.9288,59.6556,0.0,10.9095,0.0,0.0,0.0,GND
9,538.983,17.937,59.6567,0.0,14.7437,0.0,0.0,0.0,GND
10,598.0522,17.9467,59.6579,0.0,4.6231,0.0,0.0,0.0,GND
11,650.5768,17.9591,59.6595,0.0,22.5879,0.0,0.0,0.0,GND
12,704.8553,17.9724,59.6612,0.0,6.0302,0.0,0.0,0.0,GND
13,759.3982,17.9786,59.6638,0.0,3.397,0.0,0.0,0.0,GND
14,816.0151,17.9342,59.6582,875.7538,133.0668,2879.397,0.0,0.1667,CL
15,874.1826,17.859,59.6552,1967.4623,173.2481,386.4768,0.0,0.2012,CL
16,929.0297,17.7522,59.6568,3109.799,244.9967,2582.4378,0.0,0.1286,CL
17,983.1724,17.6338,59.6458,5674.3719,266.3478,2688.4113,0.0,0.1422,CL
18,1044.9146,17.5441,59.5822,8654.7739,276.6382,2814.1456,0.0,0.4269,CL
19,1101.1289,17.4552,59.5205,10480.9045,307.9991,812.9204,0.0,0.2893,CL
20,1155.3642,17.3567,59.452,11639.9497,356.3685,2504.2644,0.0,0.2203,CL
21,1211.6164,17.2505,59.3767,14143.3417,354.3691,2110.2925,0.0,0.2398,CL
22,1264.8256,17.1495,59.3053,15969.7236,362.6258,2717.0245,0.0,0.2653,CL
23,1318.5582,17.048,59.2332,17926.8844,363.23,1659.1052,0.0,0.2829,CL
24,1374.8923,16.9337,59.1595,19663.8191,364.8411,2652.7243,0.0,0.3049,CL
25,1433.5797,16.8092,59.0825,21199.7487,376.2779,727.6754,0.0,0.0,CL
26,1488.2201,16.6899,59.0085,22575.0,385.296,783.9196,0.0,0.3512,CL
27,1552.3719,16.547,58.9192,24109.2965,393.4573,1856.4118,0.0,0.692,CL
28,1621.3206,16.3917,58.8215,25421.8593,407.3998,859.9589,0.0,0.3113,CL
29,1677.7359,16.2625,58.7394,26660.4271,410.3899,2067.667,0.0,0.302,CL
30,1734.191,16.13,58.655,27769.8492,415.0,1308.802,0.0,0.744,CL
31,1790.9482,15.9981,58.5708,28634.4221,424.3585,620.9085,0.0,0.4711,CL
32,1847.2938,15.8636,58.4838,29401.7588,433.9754,392.9338,0.0,0.0,CL
33,1905.4865,15.723,58.3925,30508.4171,432.216,1393.5434,0.0,0.5174,CL
34,1961.7693,15.5746,58.3134,31515.8291,427.1861,1353.4024,0.0,0.5331,CL
35,2021.1714,15.4203,58.2308,32775.0,421.1291,740.8914,0.0,0.5459,CL
36,2078.3974,15.2726,58.1514,33581.9095,419.9717,1011.9163,0.0,0.5644,CL
37,2136.6699,15.1249,58.0715,34494.2211,416.0277,368.1029,0.0,0.1999,CL
38,2192.0937,14.9855,57.9954,35186.809,414.141,186.2136,0.0,0.1833,CR
39,2246.0804,14.8503,57.9214,35760.804,413.0,3199.8303,0.0,0.78,CL
40,2302.0674,14.7111,57.8447,36000.0,412.0406,0.0,0.0,0.6271,CR
41,2356.9652,14.5756,57.7693,36000.0,415.0523,0.0,0.0,0.1372,CR
42,2412.3909,14.4378,57.6924,36000.0,419.2012,0.0,0.0,0.1221,CR
43,2479.6394,14.2706,57.5982,36025.0,420.671,0.0,0.0,0.1064,CR
44,2609.5039,13.949,57.4155,35975.0,420.1934,0.0,0.0,0.0,CR
45,2737.8287,13.6322,57.2329,36025.0,424.292,0.0,0.0,0.0,CR
46,2854.3769,13.3456,57.0652,36000.0,427.0,462.3116,0.0,0.78,CL
47,2914.0324,13.198,56.9781,36000.0,428.0379,0.0,0.0,0.7369,CR
48,2968.0138,13.0596,56.9021,36025.0,427.0207,0.0,0.0,0.7526,CR
49,3038.0458,12.8739,56.8102,36000.0,427.9905,0.0,0.0,0.7682,CR
50,3105.9849,12.6959,56.7187,36000.0,428.0,0.0,0.0,0.78,CR
51,3169.9865,12.5285,56.6318,36000.0,428.0117,0.0,0.0,0.7604,CR
52,3231.246,12.3699,56.549,36000.0,429.3301,0.0,0.0,0.0353,CR
53,3301.9592,12.184,56.4515,36000.0,430.0434,0.0,0.0,0.7253,CR
54,3376.8638,11.9894,56.3484,36000.0,431.9985,0.0,0.0,0.7134,CR
55,3435.8873,11.8388,56.268,36000.0,432.5739,0.0,0.0,0.0823,CR
56,3507.4975,11.6522,56.1678,36025.0,432.0,0.0,0.0,0.78,CR
57,3572.2216,11.4881,56.0788,36000.0,431.985,0.0,0.0,0.1131,CR
58,3650.005,11.2881,55.9695,35975.0,432.1658,-49.7487,0.0,0.776,CR
59,3773.0704,10.977,55.7978,36000.0,434.0,0.0,0.0,0.78,CR
60,3886.1759,10.6917,55.6385,36000.0,431.0,0.0,0.0,0.776,CR
61,3970.6927,10.4835,55.5207,36000.0,429.8024,0.0,0.0,0.6036,CR
62,4038.119,10.3169,55.4259,35975.0,429.031,0.0,0.0,0.5849,CR
63,4096.4902,10.1745,55.3442,36000.0,429.0336,0.0,0.0,0.5693,CR
64,4171.1407,9.991,55.2383,36000.0,429.0,0.0,0.0,0.776,CR
65,4243.9126,9.8161,55.1365,36000.0,429.0874,0.0,0.0,0.2391,CR
66,4333.7496,9.5996,55.0092,36000.0,426.9767,0.0,0.0,0.5225,CR
67,4408.0465,9.4224,54.9043,36000.0,427.5276,0.0,0.0,0.2691,CR
68,4476.8995,9.2575,54.806,36000.0,430.0,0.0,0.0,0.776,CR
69,4548.6658,9.0865,54.7033,36000.0,431.9892,0.0,0.0,0.3018,CR
70,4609.9206,8.9429,54.6129,36000.0,433.3013,0.0,0.0,0.4601,CR
71,4668.9356,8.805,54.5253,36000.0,437.1093,0.0,0.0,0.4445,CR
72,4743.5439,8.6315,54.4145,36000.0,439.6148,0.0,0.0,0.3471,CR
73,4819.3109,8.4527,54.2997,36025.0,441.8138,0.0,0.0,0.3645,CR
74,4885.9831,8.2971,54.1988,36012.1859,443.0966,428.1688,0.0,0.3802,CL
75,4964.4623,8.1142,54.0793,36000.0,443.0,0.0,0.0,0.776,CR
76,5035.8894,7.9483,53.9695,36000.0,443.5276,0.0,0.0,0.776,CR
77,5106.152,7.8001,53.8563,36000.0,442.6369,0.0,0.0,0.425,CR
78,5167.4896,7.6704,53.7583,36000.0,442.0388,0.0,0.0,0.4429,CR
79,5232.3615,7.5332,53.6544,36000.0,440.4536,0.0,138.0402,0.3198,CR
80,5323.4562,7.3421,53.5082,35984.799,440.2019,-392.7078,0.0,0.3042,DE
81,5428.0469,7.125,53.3403,36000.0,440.6335,0.0,0.0,0.0,CR
82,5557.7035,6.8682,53.1253,36000.0,440.0,0.0,0.0,0.273,CR
83,5658.8646,6.6734,52.9579,36000.0,440.7715,0.0,0.0,0.0,CR
84,5750.0071,6.4976,52.8058,36000.0,440.9912,0.0,0.0,0.0,CR
85,5857.4975,6.2919,52.626,36000.0,439.0,0.0,0.0,0.776,CR
86,5976.477,6.0667,52.4272,36000.0,441.0572,0.0,263.7688,0.5654,CR
87,6113.2999,5.8094,52.1971,36000.0,442.2318,0.0,0.0,0.0,CR
88,6226.2575,5.5986,52.0061,36000.0,443.545,0.0,83.6784,0.1794,CR
89,6315.8919,5.432,51.854,36050.0,444.2265,0.0,76.402,0.1646,CR
90,6396.644,5.2836,51.7174,36000.0,441.4826,0.0,0.0,0.0,CR
91,6529.4738,5.0405,51.4915,35975.0,445.0659,0.0,0.0,0.6434,CR
92,6651.0577,4.8197,51.2837,37000.0,439.8844,141.541,307.4271,0.659,CR
93,6775.5226,4.5955,51.0708,37000.0,438.8693,0.0,362.0,0.7765,CR
94,6835.7488,4.4906,50.9702,37000.0,436.7261,0.0,40.0201,0.0858,CR
95,6906.2,4.3672,50.8509,37000.0,434.0759,0.0,329.2563,0.7058,CR
96,7016.6226,4.1771,50.666,37000.0,434.1671,0.0,25.4673,0.0546,CR
97,7107.201,4.0211,50.5128,37025.0,434.0503,166.9937,0.0,0.78,CR
98,7211.3317,3.8473,50.3353,37000.0,436.0302,0.0,362.0,0.784,CR
99,7308.3993,3.6855,50.1695,37025.0,437.0358,0.0,3.6382,0.0079,CR
100,7378.9397,3.5686,50.0485,37000.2513,435.0,-247.4874,3.6382,0.788,DE
101,7442.9013,3.463,49.9388,37000.0,432.026,0.0,0.0,0.7604,CR
102,7504.8492,3.3628,49.8342,36975.0,432.0,0.0,362.0,0.78,CR
103,7571.9368,3.2551,49.7209,37000.0,430.9918,0.0,0.0,0.7326,CR
104,7670.4573,3.0969,49.5534,36997.7387,431.0,227.3869,362.0,0.784,CR
105,7748.6683,2.9722,49.4204,37025.0,430.0,0.0,0.0,0.788,CR
106,7863.9041,2.7914,49.2262,37000.0,427.2633,0.0,0.0,0.0,CR
107,7940.8526,2.6717,49.0966,37000.0,425.2959,0.0,0.0,0.1182,CR
108,8002.5262,2.5953,48.9875,37000.0,419.1533,0.0,0.0,0.6534,CR
109,8059.7119,2.5411,48.883,37000.0,418.2908,0.0,79.4372,0.1497,CR
110,8118.8814,2.484,48.7747,37000.0,416.127,0.0,328.201,0.6185,CR
111,8179.7086,2.4267,48.6649,36975.0,415.5556,0.0,0.0,0.1812,CR
112,8241.5502,2.3679,48.5521,37000.0,416.2859,0.0,0.0,0.197,CR
113,8329.3719,2.2857,48.3931,37025.0,412.2714,0.0,0.0,0.788,CR
114,8412.1256,2.2084,48.2429,36975.0,411.0,0.0,121.2462,0.788,CR
115,8478.9988,2.1482,48.1247,37000.0,409.79,0.0,0.0,0.0,CR
116,8542.943,2.0899,48.0099,37000.0,409.262,0.0,278.0302,0.524,CR
117,8605.1428,2.0336,47.8983,37000.0,409.5871,0.0,0.0,0.5108,CR
118,8671.2563,1.9771,47.7784,37025.0,408.0,0.0,0.0,0.788,CR
119,8731.1972,1.9729,47.6664,37025.0,406.0333,0.0,177.9497,0.3089,CR
120,8810.9397,1.9789,47.5159,36950.0,406.5879,0.0,446.0,0.776,CR
121,8890.8392,1.9864,47.3653,37000.0,418.5678,0.0,447.1357,0.78,CR
122,8966.6857,1.9955,47.2171,37000.0,424.1321,0.0,247.5779,0.4294,CR
123,9032.8668,1.9983,47.0878,36975.0,419.7353,0.0,236.3819,0.4137,CR
124,9108.184,1.9885,46.9428,36975.0,417.2607,2863.1541,0.0,0.0,CL
125,9175.4472,1.981,46.8122,36950.0,420.0571,0.0,229.6281,0.3977,CR
126,9235.402,1.9739,46.695,36975.0,425.0,0.0,448.0,0.788,CR
127,9291.5729,1.9663,46.5851,37025.0,427.1647,0.0,247.6382,0.4334,CR
