,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.96,59.6589,0.0,0.0,0.0,0.0,0.0,GND
1,27.4974,17.9583,59.6594,0.0,3.4824,0.0,0.0,0.0,GND
2,52.8446,17.9557,59.6591,0.0,10.0603,0.0,0.0,0.0,GND
3,80.6098,17.9523,59.6586,0.0,2.4121,0.0,0.0,0.0,GND
4,105.9362,17.9488,59.6582,0.0,7.2362,0.0,0.0,0.0,GND
5,132.7935,17.9444,59.6576,0.0,16.8241,0.0,0.0,0.0,GND
6,157.9808,17.9396,59.657,0.0,23.0,0.0,0.0,0.0,GND
7,184.761,17.9348,59.6564,0.0,14.8794,0.0,0.0,0.0,GND
8,210.7515,17.9294,59.6557,0.0,1.9095,0.0,0.0,0.0,GND
9,236.5385,17.9254,59.6555,0.0,7.2462,0.0,0.0,0.0,GND
10,264.7863,17.9242,59.6576,0.0,16.5176,0.0,0.0,0.0,GND
11,291.9294,17.9252,59.6602,0.0,5.3819,0.0,0.0,0.0,GND
12,317.227,17.9261,59.6629,0.0,7.8492,0.0,0.0,0.0,GND
13,343.8338,17.9262,59.6651,0.0,0.3618,0.0,0.0,0.0,GND
14,369.6904,17.9259,59.6656,0.0,0.0,0.0,0.0,0.0,GND
15,404.0361,17.9259,59.6656,0.0,0.0,0.0,0.0,0.0,GND
16,439.1309,17.9252,59.6661,0.0,2.4824,0.0,0.0,0.0,GND
17,463.5534,17.9235,59.6657,0.0,2.1106,0.0,0.0,0.0,GND
18,491.9528,17.9235,59.6657,0.0,0.0,0.0,0.0,0.0,GND
19,529.8254,17.9235,59.6655,0.0,11.2563,0.0,0.0,0.0,GND
20,558.7776,17.9192,59.6537,236.9347,142.0215,2541.4075,0.0,0.0,CL
21,586.5704,17.9123,59.6353,1562.5628,158.0373,1359.7311,0.0,0.0,CL
22,615.0663,17.9062,59.6115,2965.9548,199.0503,3915.1978,0.0,0.0,CL
23,643.7847,17.9373,59.589,4879.8995,237.3678,3873.214,0.0,0.0,CL
24,669.0835,17.9929,59.5906,6425.1256,256.5186,4316.3087,0.0,0.0,CL
25,696.2736,18.0578,59.5824,7559.1709,295.0303,2789.2438,0.0,0.0,CL
26,725.8004,18.1071,59.5508,9591.5829,299.045,2077.2573,0.0,0.0,CL
27,754.3782,18.1608,59.5201,10983.5427,332.2542,1030.7477,0.0,0.0,CL
28,780.5497,18.2182,59.4877,11629.2714,376.6805,2643.6116,0.0,0.0,CL
29,804.9612,18.2751,59.4556,13005.2764,386.6098,845.6356,0.0,0.0,CL
30,836.8843,18.3512,59.4127,14790.201,397.018,4020.9981,0.0,0.0,CL
31,863.0114,18.414,59.3771,16224.7487,404.9965,3276.6221,0.0,0.0,CL
32,890.0461,18.4685,59.3352,17557.2864,405.6519,2218.8903,0.0,0.0,CL
33,915.1359,18.4916,59.2894,18550.0,411.5901,462.3116,0.0,0.0,CL
34,944.6416,18.5033,59.2329,20227.2613,413.1845,4327.8215,0.0,0.0,CL
35,973.6944,18.5145,59.1786,21590.7035,421.7134,2982.6633,0.0,0.0,CL
36,1001.8796,18.5262,59.1226,22660.9296,436.2097,2570.2773,0.0,0.0,CL
37,1028.3525,18.5373,59.0689,23782.9146,444.4387,2002.7015,0.0,0.0,CL
38,1055.115,18.5489,59.0128,24805.5276,455.5892,2083.4677,0.0,0.0,CL
39,1081.2874,18.5589,58.958,25861.3065,461.0,3138.2364,0.0,0.0,CL
40,1111.5196,18.5494,58.8942,27036.9347,460.7837,2122.4317,0.0,0.0,CL
41,1139.4733,18.5227,58.8357,27961.4322,469.0,1994.257,0.0,0.0,CL
42,1169.0974,18.4933,58.773,29118.9698,474.543,2125.0533,0.0,0.0,CL
43,1198.6134,18.4639,58.7096,30229.7739,479.7036,2551.7273,0.0,0.0,CL
44,1226.9573,18.436,58.6488,31327.5126,481.1961,902.8237,0.0,0.0,CL
45,1254.1834,18.409,58.5901,32561.809,477.5322,2719.2793,0.0,0.0,CL
46,1286.121,18.3782,58.5226,34069.9749,470.8993,1270.3216,0.0,0.0,CL
47,1317.3414,18.3472,58.4549,35079.6482,475.9866,2469.1518,0.0,0.0,CL
48,1344.2511,18.3215,58.3984,35942.9648,479.9329,1836.3851,0.0,0.0,CL
