,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9299,59.653,0.0,0.0,0.0,0.0,0.0,GND
1,108.1106,17.9294,59.6529,0.0,3.0,0.0,0.0,0.0,GND
2,143.2211,17.9284,59.6527,0.0,3.0,0.0,0.0,0.0,GND
3,176.3317,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
4,219.4422,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
5,260.5528,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
6,310.1307,17.9278,59.653,0.0,5.0,0.0,0.0,0.0,GND
7,343.8191,17.9264,59.6543,0.0,12.0,0.0,0.0,0.0,GND
8,377.5075,17.9279,59.6555,0.0,13.0,0.0,0.0,0.0,GND
9,410.794,17.9315,59.656,0.0,12.0,0.0,0.0,0.0,GND
10,444.8844,17.9347,59.6571,0.0,12.0,0.0,0.0,0.0,GND
11,477.9296,17.9366,59.6583,0.0,8.3568,0.0,0.0,0.0,GND
12,512.2613,17.9372,59.6586,0.0,0.0653,0.0,0.0,0.0,GND
13,545.9497,17.9586,59.6613,0.0,137.3116,0.0,0.0,0.0,CL
14,591.6382,18.0234,59.6691,1320.4774,159.0,750.0,140.0704,0.2389,CL
15,624.6583,18.0595,59.6555,1758.2915,162.6633,767.8392,161.2965,0.28,CL
16,659.0151,18.0425,59.6315,2606.9095,173.0,2532.6633,170.5829,0.328,CL
17,692.7035,18.0007,59.6107,3392.5879,209.7035,1190.9548,154.0,0.3821,CL
18,725.9899,17.9495,59.588,4634.5477,229.598,2519.0955,176.0,0.412,CL
19,760.0804,17.892,59.5652,6153.0151,236.0,2984.9246,176.0,0.42,CL
20,792.7688,17.8359,59.5429,7366.3317,246.4422,2389.4472,154.0,0.4275,CL
21,827.4573,17.7752,59.518,8804.6482,252.8643,2270.3518,176.0,0.444,CL
22,860.4322,17.7444,59.4839,10167.9648,249.5729,1942.7136,176.0,0.4531,CL
