,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9319,59.6528,0.0,1.0,0.0,0.0,0.0,GND
1,55.9371,17.9321,59.6528,0.0,0.0,0.0,0.0,0.0,GND
2,107.7588,17.9319,59.6527,0.0,0.0,0.0,0.0,0.0,GND
3,150.2674,17.9325,59.6529,0.0,0.0,0.0,0.0,0.0,GND
4,183.7491,17.9329,59.6532,0.0,2.1106,0.0,0.0,0.0,GND
5,218.1672,17.9331,59.6532,0.0,0.0,0.0,0.0,0.0,GND
6,259.3024,17.9331,59.6532,0.0,0.0,0.0,0.0,0.0,GND
7,300.2068,17.9331,59.6532,0.0,0.0,0.0,0.0,0.0,GND
8,351.1921,17.933,59.6533,0.0,0.0,0.0,0.0,0.0,GND
9,386.7487,17.9324,59.6543,0.0,9.0,0.0,0.0,0.0,GND
10,418.9561,17.9328,59.6553,0.0,7.5879,0.0,0.0,0.0,GND
11,452.9219,17.9369,59.6558,0.0,13.0854,0.0,0.0,0.0,GND
12,485.4189,17.9409,59.6563,0.0,11.5628,0.0,0.0,0.0,GND
13,517.5101,17.9452,59.6569,0.0,12.1307,0.0,0.0,0.0,GND
14,548.979,17.9504,59.6575,0.0,6.9347,0.0,0.0,0.0,GND
15,579.6353,17.9525,59.6555,0.0,11.4874,0.0,0.0,0.0,GND
16,612.3318,17.9542,59.6522,0.0,19.5377,0.0,0.0,0.0,GND
17,642.9698,17.956,59.6496,0.0,17.0101,0.0,0.0,0.0,GND
18,673.67,17.9587,59.6482,0.0,1.4925,0.0,0.0,0.0,GND
19,704.925,17.9557,59.6401,0.0,125.448,0.0,0.0,0.0,GND
20,747.8017,17.9458,59.6099,1728.5176,156.8508,3938.4576,0.0,0.1387,CL
21,784.4203,17.929,59.585,3211.6834,154.3654,3046.185,0.0,0.1858,CL
22,814.7684,17.8986,59.568,4040.201,186.5964,2206.4638,0.0,0.2747,CL
23,856.4033,17.8319,59.5479,5226.1307,233.9795,1486.9458,0.0,0.0179,CL
24,892.6493,17.7612,59.5269,6724.7487,254.98,1680.057,0.0,0.0,CL
25,929.3831,17.6866,59.5038,8549.6231,261.9659,4651.1156,0.0,0.2677,CL
26,975.7338,17.608,59.4641,10735.6784,272.2145,-30.0978,0.0,0.2033,CL
27,1012.1618,17.5407,59.4269,11493.4673,309.9534,1894.7941,0.0,0.4013,CL
28,1052.9081,17.4622,59.3833,13042.4623,322.917,4640.7675,0.0,0.5067,CL
29,1089.2035,17.3917,59.3439,14547.6131,326.2644,436.4053,0.0,0.0571,CL
30,1124.162,17.3205,59.3039,15986.1809,331.0354,755.9297,0.0,0.4255,CL
31,1160.5757,17.2479,59.263,17525.0,330.212,1369.3467,0.0,0.3286,CL
32,1199.9262,17.1705,59.2193,19041.3317,330.6266,2043.8417,0.0,0.0,CL
33,1235.2617,17.0992,59.1789,20295.1005,333.2615,1062.7457,0.0,0.1239,CL
34,1275.9733,17.0158,59.1314,21673.4925,336.0037,3338.4752,0.0,0.635,CL
35,1315.6523,16.9371,59.0864,22698.3668,342.3483,347.0322,0.0,0.0,CL
36,1361.189,16.8436,59.0328,24191.7085,339.2313,793.9025,0.0,0.4545,CL
37,1396.8594,16.7731,58.9922,25250.7538,337.3951,-265.6236,0.0,0.0,LVL
38,1429.9185,16.7043,58.953,25925.0,344.2129,603.3982,0.0,0.2229,LVL
39,1468.269,16.6212,58.9095,26703.5176,350.5874,-3854.2156,60.7839,0.1013,CL
40,1501.0975,16.5448,58.8703,27500.8794,352.0001,1411.9402,345.407,0.7024,CL
41,1538.7553,16.4655,58.8292,28390.8291,351.3428,1457.8021,0.0,0.0,CL
