,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9301,59.6429,0.0,3.0,0.0,0.0,0.0,GND
1,45.3869,17.9296,59.6425,0.0,2.0,0.0,0.0,0.0,GND
2,85.3624,17.929,59.6424,0.0,0.0754,0.0,0.0,0.0,GND
3,145.4082,17.929,59.6424,0.0,0.0,0.0,0.0,0.0,GND
4,196.3537,17.929,59.6424,0.0,0.0,0.0,0.0,0.0,GND
5,242.1126,17.9288,59.6415,0.0,2.804,0.0,0.0,0.0,GND
6,280.5982,17.9259,59.6417,0.0,2.0352,0.0,0.0,0.0,GND
7,319.8327,17.9219,59.6428,0.0,3.5427,0.0,0.0,0.0,GND
8,358.1227,17.9186,59.6422,0.0,4.2211,0.0,0.0,0.0,GND
9,396.6432,17.9177,59.6398,0.0,12.1608,0.0,0.0,0.0,GND
10,436.5402,17.9156,59.6376,0.0,5.6533,0.0,0.0,0.0,GND
11,476.0548,17.9136,59.6384,0.0,13.7186,0.0,0.0,0.0,GND
12,533.1308,17.9256,59.6698,1198.2412,149.4878,1531.4705,90.9246,0.1446,CL
13,582.0429,17.88,59.6958,2776.7588,219.977,787.3987,1.7487,0.0034,CL
14,631.9523,17.776,59.6877,5698.6181,226.358,3868.7485,91.809,0.1878,CL
15,676.672,17.6823,59.6718,7253.2663,271.2639,-3698.0256,11.3668,0.0277,CL
16,725.7089,17.6112,59.6199,9869.4724,284.3287,893.9185,69.0754,0.1794,CL
17,767.6416,17.5558,59.5668,11110.9296,326.5915,2024.2556,149.5176,0.4468,CL
18,816.696,17.4847,59.4976,13058.0402,352.7073,3217.2996,118.0402,0.3799,CL
19,858.7519,17.4197,59.4345,14528.392,377.011,4097.1407,136.402,0.4547,CL
20,909.0751,17.3388,59.3553,16618.8442,391.082,-80.3194,0.0,0.4523,CL
21,954.2303,17.2636,59.2815,18323.995,403.8304,3187.6541,123.2864,0.4421,CL
22,993.4165,17.1967,59.2155,19754.2714,413.994,3756.6713,0.0,0.534,CL
23,1035.1031,17.1253,59.1446,21222.4874,419.7895,1474.9006,110.1709,0.4154,CL
24,1080.0291,17.0456,59.0651,22422.6131,435.9101,1256.6273,157.3869,0.6042,CL
25,1119.3966,16.9743,58.9939,23011.0553,457.9499,-513.4534,76.9447,0.3042,CL
