,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9305,59.6396,0.0,0.0,-2624.036,0.0,0.0,DE
1,69.2619,17.9302,59.6398,0.0,3.8442,0.0,0.0,0.0,GND
2,103.3783,17.9293,59.6409,0.0,5.0854,0.0,0.0,0.0,GND
3,137.3252,17.9249,59.642,0.0,4.9045,0.0,0.0,0.0,GND
4,172.7002,17.9206,59.6432,0.0,13.8693,0.0,92.4623,0.1405,GND
5,205.3761,17.9194,59.6444,0.0,10.1307,0.0,0.0,0.1283,GND
6,240.3391,17.9206,59.6476,0.0,8.8995,0.0,38.6935,0.0588,GND
7,276.9343,17.922,59.6516,0.0,14.2161,0.0,61.809,0.0939,GND
8,314.0352,17.9235,59.6556,0.0,3.6181,0.0,15.0754,0.0229,GND
9,349.017,17.9245,59.6586,0.0,11.0352,0.0,91.9598,0.1398,GND
10,381.0267,17.9221,59.6593,0.0,0.0,0.0,0.0,0.0,GND
11,416.7787,17.9211,59.6589,0.0,0.0,0.0,54.2714,0.0825,GND
12,456.5477,17.9203,59.6569,0.0,57.9648,0.0,100.0,0.152,GND
13,497.634,17.9132,59.6346,1151.1307,137.9682,1866.0174,0.0,0.0012,CL
14,540.1231,17.8928,59.6108,2773.6181,138.7307,2424.1443,23.6181,0.0576,CL
15,576.2553,17.852,59.5978,4123.3668,154.2475,1668.3279,46.7337,0.129,CL
16,612.1003,17.7989,59.5824,4887.3116,212.6791,1755.5943,69.8492,0.2515,CL
17,653.1527,17.7255,59.5595,6505.6533,247.443,2281.0273,0.0,0.0,CL
18,694.0925,17.6573,59.5266,8761.1809,258.8404,-776.4298,0.0,0.0714,DE
19,742.1759,17.5722,59.4855,11648.995,268.7839,3019.6883,0.0,0.4791,CL
20,782.3098,17.4988,59.4489,13165.5779,305.6724,1292.649,37.6884,0.2035,CL
21,830.2413,17.4012,59.4006,15946.3568,317.2436,1614.7671,0.0,0.0839,CL
22,881.542,17.2957,59.347,18871.3568,328.0473,338.9069,0.0,0.0516,CL
23,917.5657,17.2164,59.3085,20671.2312,337.8247,-3481.0883,0.0,0.1975,DE
24,960.1167,17.1212,59.261,22795.8543,344.9867,4533.2615,0.0,0.3571,CL
25,999.4594,17.0353,59.216,24761.3065,344.8478,3344.9457,0.0,0.5234,CL
26,1044.0146,16.9437,59.1628,26750.0,348.0049,3414.9283,0.0,0.6811,CL
27,1089.6578,16.8499,59.1047,28256.0302,362.0794,2610.2364,0.0,0.5403,CL
28,1125.8044,16.7737,59.0579,29125.0,378.2782,1116.3008,0.0,0.382,CL
29,1167.7923,16.6804,59.0022,30370.3518,388.4772,2440.3718,0.0,0.2182,CL
30,1206.6207,16.5923,58.9498,31573.3668,393.4956,890.7818,0.0,0.0483,CL
31,1243.8253,16.5055,58.8956,32187.4372,410.1838,1485.3215,0.0,0.6373,CL
32,1287.0215,16.4076,58.8307,33274.6231,417.2897,907.4633,0.0,0.3081,CL
33,1327.2012,16.3138,58.7682,34247.1106,422.6634,1315.9372,0.0,0.4899,CL
34,1363.844,16.228,58.7118,34939.4472,430.1244,3681.1176,0.0,0.6771,CL
35,1400.9004,16.1392,58.6574,36034.0452,426.4893,-2516.3366,0.0,0.0,DE
36,1441.2486,16.0377,58.5958,37000.0,426.44,1017.5879,309.3467,0.5346,CR
37,1475.3962,15.9556,58.5444,37766.4573,426.0223,-926.7685,252.0603,0.4334,CR
38,1514.6131,15.8611,58.4856,38308.794,432.6752,1289.5262,99.397,0.1703,CL
39,1553.0603,15.7665,58.4247,39052.2613,433.0,1872.8915,458.0,0.788,CL
40,1590.4681,15.6801,58.3675,39631.1558,431.8211,109.9573,112.7739,0.194,CR
41,1624.816,15.5974,58.3135,39861.9347,437.1337,2216.4568,218.6432,0.3762,CL
42,1662.6453,15.5056,58.2536,40000.0,435.0171,0.0,0.0,0.5583,CL
43,1700.0958,15.4224,58.1955,40000.0,432.3361,0.0,0.0,0.047,CR
44,1740.9743,15.3276,58.1309,40025.0,431.4389,0.0,0.0,0.1326,CR
45,1778.9302,15.2335,58.0741,40025.0,428.6812,0.0,180.9045,0.312,CR
46,1817.8995,15.1267,58.018,40025.0,427.0,0.0,450.7337,0.776,CR
47,1853.8643,15.0333,57.9688,40025.0,427.0,0.0,448.2714,0.772,CR
48,1893.7003,14.9317,57.9152,40000.0,428.4222,0.0,42.5829,0.0733,CR
49,1929.0586,14.838,57.8656,40025.0,428.3143,0.0,145.6784,0.2509,CR
50,1974.611,14.7176,57.8011,40000.0,429.3472,0.0,0.0,0.4262,CR
51,2011.2079,14.6235,57.7504,40025.0,429.6194,0.0,0.0,0.1612,CR
52,2050.0601,14.5223,57.696,40000.5025,431.9824,6.1158,0.0,0.0,CR
53,2088.5786,14.4204,57.6408,40006.2814,433.4765,116.5382,0.0,0.193,CR
54,2125.4472,14.3208,57.5864,40025.0,434.0,0.0,0.0,0.78,CR
55,2162.5076,14.2246,57.5338,40000.0,435.1427,0.0,0.0,0.5594,CR
56,2198.6382,14.1336,57.484,40000.0,433.9622,0.0,0.0,0.0429,CR
57,2234.4206,14.0401,57.4325,40025.0,434.1481,0.0,0.0,0.1351,CR
58,2271.2905,13.9434,57.3789,40025.0,434.9045,0.0,0.0,0.3142,CR
59,2308.0473,13.8492,57.3265,40000.0,434.5354,-171.0951,0.0,0.2822,CR
