,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9351,59.6548,0.0,0.0,0.0,0.0,0.0,GND
1,61.055,17.9337,59.6547,0.0,3.0,0.0,0.0,0.0,GND
2,128.7633,17.9334,59.6546,0.0,0.0,0.0,0.0,0.0,GND
3,210.1859,17.9334,59.6548,0.0,0.0,0.0,0.0,0.0,GND
4,250.4974,17.9297,59.6549,0.0,9.1206,0.0,0.0,0.0,GND
5,295.8188,17.9252,59.6555,0.0,15.9899,0.0,0.0,0.0,GND
6,338.4135,17.925,59.6597,0.0,14.1106,0.0,0.0,0.0,GND
7,381.0098,17.9265,59.6646,0.0,4.4623,0.0,0.0,0.0,GND
8,423.784,17.9236,59.6659,0.0,0.6482,0.0,0.0,0.0,CL
9,473.0047,17.9191,59.6534,257.2864,141.7638,2265.4576,0.0,0.0,CL
10,515.8023,17.9093,59.6261,1972.9899,154.9186,2112.5538,0.0,0.2626,CL
11,558.1828,17.8638,59.6016,3697.2362,195.4419,4064.1999,0.0,0.2057,CL
12,607.4148,17.7852,59.5791,6804.397,217.0688,2632.5072,0.0,0.0704,CL
13,657.1529,17.6797,59.569,9563.6935,250.49,2370.8442,0.0,0.1004,CL
14,704.9746,17.5637,59.571,12349.3719,277.0,5722.0942,0.0,0.496,CL
15,756.9577,17.4314,59.5736,15669.7236,284.0731,3318.1039,0.0,0.0157,CL
16,807.1265,17.2964,59.5762,18549.3719,294.947,5204.9838,0.0,0.3203,CL
17,856.7309,17.1686,59.5785,21804.0201,284.4205,1465.3266,0.0,0.0975,CL
18,902.2723,17.0468,59.576,23983.6683,293.791,3651.1261,0.0,0.4705,CL
19,945.8819,16.9304,59.5707,25827.1357,302.0791,1715.1078,0.0,0.2316,CL
20,990.8207,16.8048,59.5648,27422.9899,313.0133,3080.3197,0.0,0.6335,CL
21,1039.7555,16.6645,59.558,29225.0,317.1261,880.6646,0.0,0.3815,CL
22,1081.3896,16.5422,59.552,30540.5779,322.087,1540.7513,0.0,0.591,CL
23,1127.2762,16.4084,59.5453,31906.5327,325.1022,1636.3493,0.0,0.5457,CL
24,1170.0005,16.2829,59.5388,32951.3819,331.7196,1410.3341,0.0,0.2603,CL
25,1215.5252,16.1447,59.5316,33921.2312,338.5986,1133.197,0.0,0.0,CL
26,1263.6636,15.9962,59.5225,34938.6935,340.5563,1041.7953,0.0,0.3491,CL
27,1307.9182,15.8611,59.5077,35600.0,346.1382,1025.1256,0.0,0.6663,CL
28,1349.7877,15.7335,59.4933,36474.3719,347.3877,931.7836,0.0,0.0,CL
29,1392.4785,15.601,59.4781,37058.5427,351.1922,699.8835,0.0,0.5108,CL
30,1439.4743,15.4547,59.4614,37873.4925,352.6213,938.5294,0.0,0.047,CL
31,1482.2371,15.3193,59.4455,38000.0,358.083,0.0,0.0,0.3588,CR
32,1528.0445,15.1748,59.4285,38000.0,358.8853,0.0,0.0,0.6776,CR
33,1574.3637,15.0313,59.4116,38025.0,350.4454,0.0,0.0,0.2067,CR
34,1620.1933,14.8899,59.3944,37991.7085,348.1613,-493.5392,0.0,0.516,DE
35,1661.7051,14.7632,59.3791,37950.0,348.0806,-129.8003,0.0,0.714,DE
36,1713.2193,14.6055,59.3597,37975.0,349.4246,0.0,0.0,0.3647,CR
37,1762.2702,14.4522,59.3408,38000.0,353.9974,0.0,0.0,0.6785,CR
38,1806.9608,14.3146,59.3236,38025.0,356.1096,0.0,0.0,0.5615,CR
39,1848.9597,14.1827,59.3069,38025.0,359.0813,0.0,0.0,0.5264,CR
40,1897.5534,14.0302,59.2876,38050.0,360.5254,0.0,0.0,0.0634,CR
41,1945.5487,13.8779,59.2679,38050.0,360.3816,0.0,0.0,0.4058,CR
42,1992.1459,13.7318,59.249,38025.0,361.0095,0.0,0.0,0.0902,CR
43,2040.2861,13.5791,59.2289,38025.0,360.0,0.0,0.0,0.78,CR
44,2091.1799,13.4206,59.2078,37975.0,361.4502,0.0,0.0,0.0,CR
45,2138.5876,13.271,59.1878,38025.0,359.0,0.0,0.0,0.784,CR
46,2180.7908,13.1401,59.1701,38025.0,357.0282,0.0,0.0,0.3861,CR
47,2225.9994,13.0004,59.151,38000.0,357.0498,0.0,0.0,0.0823,CR
48,2271.3818,12.8603,59.1316,38000.0,355.2095,0.0,0.0,0.2301,CR
49,2319.184,12.7125,59.1111,37975.0,354.3913,0.0,0.0,0.542,CR
50,2366.852,12.566,59.0906,37975.0,355.052,0.0,0.0,0.698,CR
51,2416.854,12.4131,59.069,38000.0,355.0,0.0,0.0,0.778,CR
52,2466.8338,12.2605,59.0471,38000.0,357.0557,0.0,0.0,0.0,CR
53,2511.7799,12.1215,59.027,38000.0,358.2594,0.0,0.0,0.2379,CR
54,2558.9523,11.9753,59.0058,38025.0,357.8528,0.0,0.0,0.5527,CR
55,2611.3797,11.8154,58.9823,38025.0,358.8135,0.0,0.0,0.0,CR
56,2664.2716,11.6526,58.9581,38000.0,357.4555,0.0,0.0,0.3977,CR
57,2706.1487,11.5224,58.9386,38000.0,358.0132,0.0,0.0,0.7097,CR
58,2756.2581,11.3693,58.9156,37950.0,361.8955,-115.7665,0.0,0.5249,CR
59,2808.4173,11.2072,58.8908,37975.0,363.244,0.0,0.0,0.5634,CR
60,2855.1981,11.0621,58.8686,38025.0,365.3564,0.0,0.0,0.0946,CR
61,2903.6085,10.9103,58.845,38000.0,367.3925,-305.0271,0.0,0.4055,DE
62,2953.1041,10.7558,58.8207,38025.0,368.6483,0.0,0.0,0.0585,CR
63,3000.2057,10.6063,58.7972,38025.0,366.0,0.0,0.0,0.7853,CR
64,3048.9656,10.4562,58.7733,38025.0,366.0175,0.0,0.0,0.5683,CR
65,3102.467,10.2903,58.7466,38021.7337,363.0,434.6734,0.0,0.784,CL
66,3149.8796,10.1455,58.7231,38000.0,362.3291,0.0,0.0,0.0,CR
67,3207.5889,9.9689,58.6943,37975.0,359.4418,0.0,0.0,0.051,CR
68,3248.3824,9.8448,58.6738,38000.0,357.6199,0.0,0.0,0.2626,CR
69,3302.9836,9.6791,58.6462,37975.0,356.9571,-244.979,0.0,0.5732,CR
70,3351.9931,9.5338,58.6219,38000.0,355.9631,41.3672,0.0,0.1092,CR
71,3401.718,9.3842,58.5965,37975.0,357.1495,0.0,0.0,0.3549,CR
72,3444.3975,9.2568,58.5747,37998.6181,357.4678,-22.6295,0.0,0.0429,CR
73,3487.3798,9.1273,58.5525,37991.3317,359.4523,420.919,0.0,0.2691,CR
74,3536.7064,8.9778,58.5267,38000.0,364.3941,0.0,0.0,0.197,CR
75,3584.7082,8.8301,58.5008,38050.0,364.0,0.0,0.0,0.784,CR
76,3631.0809,8.6903,58.4764,38025.0,365.1105,0.0,0.0,0.0,CR
77,3685.5817,8.5245,58.447,38025.0,364.5264,0.0,0.0,0.0,CR
78,3736.5857,8.3699,58.4193,38025.0,363.231,0.0,0.0,0.5017,CR
79,3789.1123,8.2112,58.3906,37975.0,363.8992,0.0,0.0,0.1872,CR
80,3836.9045,8.067,58.3644,38000.0,364.3066,0.0,0.0,0.0,CR
81,3892.8717,7.8975,58.3333,38025.0,363.3644,0.0,0.0,0.3428,CR
82,3936.2124,7.7681,58.3094,38025.0,362.3291,0.0,0.0,0.0,CR
83,3988.2896,7.6112,58.2802,37975.0,363.4099,0.0,0.0,0.2847,CR
84,4037.3989,7.4648,58.2527,38000.0,363.4277,0.0,0.0,0.0,CR
85,4085.9436,7.3191,58.2251,38000.0,364.4364,0.0,0.0,0.1326,CR
86,4144.413,7.1431,58.1916,38000.0,366.0275,0.0,0.0,0.4468,CR
87,4190.9071,7.003,58.1646,38000.0,367.0041,0.0,0.0,0.7565,CR
88,4239.1321,6.8584,58.1366,38000.0,366.314,0.0,0.0,0.294,CR
89,4290.3416,6.7053,58.1068,38000.0,367.6511,0.0,0.0,0.0,CR
90,4338.4029,6.5613,58.0785,38000.0,367.6735,-135.6784,0.0,0.1411,CR
91,4389.6524,6.4069,58.0479,38000.0,368.1526,0.0,0.0,0.3253,CR
92,4441.9015,6.2487,58.0163,38000.0,368.0073,0.0,0.0,0.7682,CR
93,4500.1209,6.0764,57.9816,37975.0,369.8992,-427.0802,0.0,0.0,DE
94,4560.7679,5.8939,57.9445,37975.0,371.8243,0.0,0.0,0.1629,CR
95,4615.4568,5.7285,57.9106,38000.0,374.335,0.0,0.0,0.1482,CR
96,4669.5622,5.5642,57.8766,38010.1759,377.1604,-814.8574,0.0,0.3159,DE
