,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9257,59.6503,0.0,2.0,0.0,0.0,0.0,GND
1,49.3819,17.9251,59.6499,0.0,2.0,0.0,0.0,0.0,GND
2,198.5276,17.9227,59.6497,0.0,11.3819,0.0,0.0,0.152,GND
3,250.1457,17.9223,59.6523,0.0,12.7136,0.0,0.0,0.1085,GND
4,297.5276,17.9233,59.655,0.0,12.0,0.0,38.191,0.152,GND
5,346.3869,17.9243,59.6578,0.0,12.0,0.0,100.0,0.152,GND
6,394.8643,17.9256,59.6616,0.0,16.0,0.0,100.0,0.152,GND
7,443.6734,17.9265,59.6647,0.0,13.0,0.0,100.0,0.152,GND
8,491.5829,17.9239,59.6662,0.0,6.2362,0.0,100.0,0.152,GND
9,540.4372,17.9225,59.663,0.0,63.4673,0.0,100.0,0.152,CL
10,588.8191,17.9111,59.6331,744.3467,159.9548,1891.9598,100.0,0.252,CL
11,637.201,17.8624,59.6016,2465.0754,216.0503,3431.5327,100.0,0.348,CL
12,685.5829,17.7723,59.5761,4961.4322,256.2915,3109.2965,100.0,0.4046,CL
13,733.9648,17.6994,59.5281,7791.3317,285.4824,3555.9045,100.0,0.433,CL
14,781.6834,17.6429,59.4704,10550.7538,300.3467,2898.995,100.0,0.4667,CL
15,830.7286,17.5815,59.4024,12411.4322,350.4322,2787.0603,56.7839,0.5417,CL
16,879.1106,17.5319,59.3253,14843.7186,370.5276,3020.7286,100.0,0.5659,CL
17,931.1156,17.4765,59.2395,17505.7789,382.6231,2811.5578,100.0,0.587,CL
18,983.3116,17.4185,59.1493,19872.6131,398.4372,2609.2965,100.0,0.6257,CL
19,1030.4422,17.365,59.0656,21972.1106,407.0,2907.0352,0.0,0.6505,CL
20,1087.5477,17.2993,58.9625,24184.1709,419.9095,2090.9548,100.0,0.6756,CL
21,1144.0101,17.2321,58.8563,26025.3769,435.0,1503.7688,99.4975,0.7,CL
22,1196.3015,17.1684,58.7549,27632.5377,447.1005,1949.7487,0.0,0.7244,CL
23,1245.5879,17.1075,58.6572,29139.6985,453.196,1701.005,80.402,0.7504,CL
24,1293.8744,17.0477,58.5606,30489.5729,459.0,1619.9749,100.0,0.764,CL
25,1345.7739,16.9828,58.4555,32054.0201,459.0,2250.0,100.0,0.7695,CL
26,1393.8945,16.9235,58.3587,33422.3618,456.4824,1758.794,100.0,0.78,CL
27,1446.7337,16.8597,58.2537,34957.7889,451.4221,1788.9447,100.0,0.7777,CL
28,1503.6935,16.7919,58.1416,36467.3367,446.0,1500.0,0.0,0.776,CL
29,1552.0754,16.7342,58.0462,37507.6633,444.0,1072.9899,100.0,0.7689,CL
30,1597.7286,16.6804,57.9564,38000.0,447.0,0.0,0.0,0.78,CR
31,1656.799,16.6118,57.8411,38000.0,444.0,0.0,4.0201,0.776,CR
32,1709.2211,16.5516,57.7389,38000.0,442.0,0.0,0.0,0.776,CR
33,1761.4523,16.4923,57.638,38000.0,441.0,0.0,0.0,0.772,CR
34,1809.7387,16.4373,57.544,38000.0,439.7538,0.0,0.0,0.772,CR
35,1856.7085,16.3852,57.4543,38000.0,440.0,0.0,34.1709,0.772,CR
36,1905.3116,16.3301,57.3593,38000.0,439.0,0.0,56.2814,0.7743,CR
37,1955.1307,16.2751,57.2638,38000.0,439.0,0.0,0.0,0.7739,CR
38,2003.5126,16.2211,57.1695,38000.0,438.0,0.0,0.0,0.7825,CR
39,2051.1709,16.1689,57.0778,38000.0,438.0,0.0,0.0,0.776,CR
40,2099.9146,16.1156,56.9832,38000.0,437.0,0.0,0.0,0.7727,CR
41,2158.4874,16.052,56.8703,38000.0,437.0,0.0,0.0,0.772,CR
42,2219.0603,15.9868,56.7539,38000.0,438.0,0.0,0.0,0.768,CR
43,2266.5276,15.936,56.6625,38000.0,439.0,0.0,89.4472,0.7804,CR
44,2321.603,15.8767,56.5551,38000.0,439.0,0.0,0.0,0.7832,CR
45,2368.1859,15.827,56.4654,38000.0,438.0,0.0,29.6482,0.7812,CR
46,2421.9598,15.7698,56.3607,38000.0,435.0,0.0,100.0,0.7784,CR
47,2482.9497,15.7068,56.2442,38000.0,433.0,0.0,0.0,0.7661,CR
48,2531.3317,15.6568,56.1515,38000.0,434.0,0.0,0.0,0.768,CR
49,2579.7136,15.607,56.0592,38000.0,435.0,0.0,0.0,0.776,CR
50,2627.0955,15.5582,55.9682,38000.0,435.0,0.0,0.0,0.78,CR
51,2675.608,15.5082,55.8743,38000.0,436.0,0.0,0.0,0.78,CR
52,2724.8241,15.458,55.7796,38000.0,435.0,0.0,0.0,0.784,CR
53,2772.3015,15.4101,55.6886,38000.0,434.0,0.0,0.0,0.78,CR
54,2824.7789,15.3575,55.5881,38000.0,431.0,0.0,0.0,0.78,CR
55,2873.2563,15.3093,55.4959,38000.0,430.0,0.0,0.0,0.772,CR
56,2927.7739,15.2553,55.3919,38000.0,430.0,0.0,0.0,0.7706,CR
57,2986.7688,15.1974,55.2798,38000.0,430.0,0.0,0.0,0.772,CR
58,3038.1508,15.147,55.1815,38000.0,430.5377,0.0,0.0,0.776,CR
59,3086.8995,15.0995,55.0886,38000.0,431.0,0.0,0.0,0.78,CR
60,3134.3719,15.0536,54.9985,38000.0,430.0,0.0,0.0,0.7771,CR
61,3184.2965,15.0054,54.9033,38000.0,430.0,0.0,0.0,0.78,CR
62,3231.6784,14.96,54.8128,38000.0,429.0,0.0,0.0,0.78,CR
63,3280.0603,14.9139,54.7206,38000.0,427.0,0.0,0.0,0.776,CR
64,3329.4422,14.8675,54.6276,38000.0,426.0,0.0,0.0,0.7796,CR
65,3377.8241,14.8218,54.5354,38000.0,426.0,0.0,0.0,0.776,CR
66,3425.3015,14.7777,54.4465,38000.0,426.0,0.0,0.0,0.78,CR
67,3478.5879,14.7281,54.3453,38000.0,425.0,0.0,0.0,0.7784,CR
68,3525.9849,14.6845,54.2561,38000.0,424.0,0.0,0.0,0.776,CR
69,3574.7638,14.6395,54.164,38000.0,425.0,0.0,0.0,0.772,CR
70,3627.1005,14.5913,54.0648,38000.0,426.0,0.0,0.0,0.772,CR
71,3675.6734,14.5474,53.9735,38000.0,427.7789,0.0,0.0,0.7729,CR
72,3724.4975,14.5023,53.8799,38000.0,429.0,0.0,0.0,0.776,CR
73,3772.8492,14.4582,53.7875,38000.0,428.0,0.0,0.0,0.78,CR
74,3822.3266,14.4136,53.6937,38000.0,428.9347,0.0,0.0,0.784,CR
75,3870.804,14.3735,53.6007,38000.0,427.1608,0.0,0.0,0.7794,CR
76,3923.5126,14.3454,53.4974,38000.0,428.0,0.0,0.0,0.776,CR
77,3982.0553,14.3146,53.3845,38000.0,427.0,0.0,0.0,0.7774,CR
78,4033.8945,14.2869,53.2833,38000.0,427.0,0.0,0.0,0.768,CR
79,4083.8844,14.2604,53.1853,38000.0,428.0,0.0,0.0,0.772,CR
80,4134.8291,14.2336,53.086,38000.0,429.6382,0.0,0.0,0.7706,CR
81,4186.201,14.2065,52.9852,38000.0,432.0,0.0,0.0,0.776,CR
82,4234.1457,14.1812,52.8911,38000.0,433.0,0.0,0.0,0.78,CR
83,4288.7739,14.1523,52.7821,38000.0,433.0,0.0,0.0,0.784,CR
84,4344.0603,14.1237,52.6743,38000.0,432.0,0.0,0.0,0.78,CR
85,4399.0402,14.0954,52.5664,38000.0,431.0,0.0,0.0,0.78,CR
86,4456.2663,14.0657,52.4532,38000.0,429.0,0.0,0.0,0.7792,CR
87,4512.9196,14.0373,52.3437,38000.0,428.0,0.0,0.0,0.7788,CR
88,4560.4121,14.0133,52.2509,38000.0,427.0,0.0,0.0,0.7768,CR
89,4622.4925,13.9816,52.1294,38000.0,428.0,0.0,0.0,0.768,CR
90,4678.7789,13.9534,52.0196,38000.0,429.0,0.0,0.0,0.776,CR
91,4734.4422,13.9256,51.9105,38000.0,429.0,0.0,0.0,0.7732,CR
92,4783.9196,13.9011,51.8133,38000.0,429.0,0.0,0.0,0.772,CR
93,4832.5176,13.877,51.7183,38000.0,429.0,0.0,0.0,0.7725,CR
94,4879.9246,13.8531,51.6253,38000.0,428.0,0.0,0.0,0.784,CR
