,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9299,59.653,0.0,0.0,0.0,0.0,0.0,GND
1,45.9212,17.9297,59.6529,0.0,0.0,0.0,0.0,0.0,GND
2,71.7251,17.9292,59.6528,0.0,1.6734,0.0,0.0,0.0,GND
3,97.2498,17.9285,59.6527,0.0,1.9899,0.0,0.0,0.0,GND
4,121.3612,17.928,59.6526,0.0,0.8844,0.0,0.0,0.0,GND
5,146.2568,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
6,176.0248,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
7,212.5678,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
8,247.6279,17.928,59.6526,0.0,0.0,0.0,0.0,0.0,GND
9,277.7726,17.9277,59.653,0.0,0.0804,0.0,0.0,0.0,GND
10,303.6176,17.9265,59.6541,0.0,11.0452,0.0,0.0,0.0,GND
11,329.7586,17.9268,59.6554,0.0,5.1859,0.0,0.0,0.0,GND
12,354.2354,17.9297,59.6557,0.0,9.1457,0.0,0.0,0.0,GND
13,379.1266,17.933,59.6563,0.0,13.9899,0.0,0.0,0.0,GND
14,405.7634,17.9362,59.6579,0.0,1.6231,0.0,0.0,0.0,GND
15,432.0056,17.9373,59.6586,0.0,0.6834,0.0,0.0,0.0,GND
16,457.2963,17.9373,59.6586,0.0,0.0,0.0,0.0,0.0,GND
17,492.9408,17.9373,59.6586,0.0,0.0,0.0,0.0,0.0,GND
18,525.0647,17.9377,59.6586,0.0,6.8593,0.0,0.0,0.0,GND
19,551.4038,17.9569,59.661,-225.0,123.1661,-1236.2496,0.0,0.0,CL
20,585.4242,18.0032,59.6667,1053.8945,152.9594,3628.2777,70.0704,0.1047,CL
21,614.4271,18.0428,59.6725,1810.6784,166.0704,1189.5304,162.0,0.264,CL
22,641.1971,18.0652,59.691,2331.7839,192.3931,1112.6359,155.5779,0.2593,CL
23,665.1719,18.0465,59.7109,3025.0,208.677,192.2111,17.598,0.0277,CL
24,692.5307,17.9954,59.7137,3892.3367,218.8186,1238.1124,148.402,0.2386,CL
25,722.1885,17.9309,59.7085,4659.0452,251.7962,2144.9986,112.9146,0.2089,CL
26,750.9177,17.8674,59.6955,5925.1256,262.4292,4227.4514,53.7688,0.1055,CL
27,781.0408,17.7973,59.6859,7128.0151,275.9993,2102.376,207.5477,0.3918,CL
28,804.8807,17.7429,59.6727,8225.0,279.094,594.0815,173.1357,0.356,CL
29,829.859,17.7127,59.644,9433.794,279.8061,3364.7143,88.1809,0.183,CL
30,854.2439,17.6892,59.6144,10336.6834,290.2678,1295.5999,135.4975,0.2887,CL
31,881.0331,17.6589,59.5799,10828.6432,319.8285,1773.6396,182.8141,0.4306,CL
32,909.5631,17.6121,59.5414,11473.1156,347.7648,2378.4158,16.1307,0.0407,CL
33,935.138,17.5689,59.5056,12340.7035,359.9382,2777.9569,63.4472,0.1648,CL
34,957.52,17.5301,59.4735,13237.0603,365.3015,2224.0236,106.6231,0.2919,CL
35,985.3572,17.4819,59.4333,14269.598,372.9676,2439.4945,158.0804,0.4373,CL
36,1009.1596,17.4404,59.3988,15054.0201,381.1416,60.7725,205.397,0.572,CL
37,1039.9423,17.3824,59.3502,15913.8191,396.3158,2008.9263,38.7136,0.1107,CL
38,1068.3186,17.3292,59.3057,16814.9497,405.0707,1806.3824,127.9698,0.3755,CL
39,1093.7979,17.2809,59.2651,17772.1106,406.3519,2009.3312,133.3467,0.3963,CL
40,1117.7704,17.2341,59.2254,18586.6834,411.277,265.4317,33.3367,0.0997,CL
41,1143.2198,17.1846,59.1836,19195.1005,421.9579,1863.5344,13.9799,0.0426,CL
42,1170.8543,17.1314,59.1385,19964.196,427.0,1337.9397,214.0,0.6629,CL
43,1200.9482,17.0696,59.0858,20700.0,437.3529,781.2278,105.3869,0.329,CL
44,1224.862,17.0205,59.0439,21227.1357,445.1848,1829.9519,0.0,0.0,CL
45,1256.0026,16.9562,58.9886,22102.5126,449.7913,2051.4566,10.3518,0.0346,CL
46,1281.4535,16.9039,58.9434,22720.7286,453.6097,2469.7426,36.5628,0.1182,CL
47,1308.3568,16.8471,58.894,23205.402,463.072,1686.1715,130.1206,0.4281,CL
48,1334.5114,16.7916,58.8457,23784.6734,468.2802,1589.5491,82.804,0.2755,CL
49,1360.2893,16.7367,58.7976,24404.1457,470.5458,1196.9115,34.1608,0.1187,CL
50,1384.8903,16.6854,58.7526,24873.6181,475.996,824.2231,202.1709,0.6878,CL
51,1409.4472,16.6326,58.706,25511.1809,476.0,1273.6127,214.0,0.7331,CL
52,1439.5115,16.5672,58.6483,26137.5628,479.0019,1732.5456,107.5377,0.3739,CL
53,1472.7013,16.4962,58.5853,26721.1055,484.9821,889.3078,153.7789,0.5404,CL
54,1499.172,16.4378,58.5333,27303.0151,486.0419,1250.9183,201.0955,0.7142,CL
55,1528.6959,16.374,58.4762,27795.9799,489.8218,820.8426,172.8744,0.6445,CL
56,1553.3573,16.3203,58.428,28165.4523,493.1769,1872.1729,81.7286,0.2948,CL
57,1582.3839,16.2564,58.3704,28694.8492,495.0265,1129.6305,84.9548,0.3096,CL
58,1609.3518,16.1986,58.3181,29508.794,487.0,263.8191,212.593,0.7727,CL
59,1643.953,16.1247,58.2511,30300.0,485.0269,68.283,204.3216,0.7333,CL
60,1669.3786,16.0701,58.2014,30843.3417,484.2035,2357.0674,56.995,0.2045,CL
61,1698.2214,16.0097,58.1463,31388.4422,482.041,1255.8813,104.3116,0.3744,CL
62,1722.6972,15.9579,58.0987,31939.5729,479.1784,3103.2083,62.3719,0.2238,CL
63,1749.2111,15.9036,58.0487,32426.7588,477.0,35.1759,206.0,0.768,CL
64,1773.8492,15.8522,58.0012,32846.2312,477.0,1273.8693,207.206,0.768,CL
65,1799.6631,15.7995,57.9525,33250.0,476.2182,532.7497,129.397,0.4849,CL
66,1830.7349,15.7349,57.8927,33745.3518,474.3613,834.785,83.8492,0.3126,CL
67,1861.2888,15.6726,57.8345,34000.0,474.1383,0.0,39.7889,0.1421,CR
68,1891.9198,15.6108,57.7767,34000.0,472.03,0.0,198.7538,0.7371,CR
69,1917.92,15.5591,57.7281,34000.0,472.1056,0.0,153.206,0.5682,CR
70,1947.8996,15.4978,57.6702,34000.0,475.2331,0.0,111.8392,0.4014,CR
71,1973.7113,15.4455,57.6206,34000.0,475.2797,0.0,0.0,0.5364,CR
72,2003.5435,15.3854,57.5636,34000.0,476.8066,0.0,0.0,0.0,CR
