,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9277,59.6502,0.0,3.0,0.0,0.0,0.0,GND
1,20.4054,17.9274,59.6499,0.0,2.4724,0.0,0.0,0.0,GND
2,35.8382,17.9274,59.6497,0.0,1.2965,0.0,0.0,0.0,GND
3,50.8597,17.9274,59.6497,0.0,0.0,0.0,0.0,0.0,GND
4,66.8141,17.9274,59.6497,0.0,0.0,0.0,0.0,0.0,GND
5,86.3781,17.9274,59.6497,0.0,0.0,0.0,0.0,0.0,GND
6,106.4908,17.9274,59.6497,0.0,0.0,0.0,0.0,0.0431,GND
7,127.4979,17.9274,59.6497,0.0,0.0,0.0,0.0,0.1803,GND
8,145.4929,17.9268,59.6497,0.0,2.9648,0.0,0.0,0.4625,GND
9,162.8171,17.9257,59.6497,0.0,5.2462,0.0,0.0,0.0,GND
10,177.2633,17.9244,59.6497,0.0,0.0,0.0,0.0,0.0,GND
11,191.4171,17.9226,59.6497,0.0,0.9146,0.0,0.0,0.0,GND
12,207.1296,17.9215,59.6501,0.0,10.6734,0.0,0.0,0.0,GND
13,222.0042,17.9218,59.6511,0.0,4.2965,0.0,0.0,0.0,GND
14,237.3869,17.9222,59.6521,0.0,16.0,0.0,12.0,0.78,GND
15,251.9237,17.9226,59.6532,0.0,8.9347,0.0,7.6583,0.4978,GND
16,267.3755,17.9232,59.6541,0.0,10.5829,0.0,6.5126,0.0098,GND
17,282.6451,17.9245,59.6548,0.0,0.1508,0.0,0.0804,0.0001,GND
18,297.0345,17.9264,59.6553,0.0,2.6533,0.0,1.3266,0.002,GND
19,312.2066,17.9287,59.6556,0.0,11.191,0.0,5.2663,0.0079,GND
20,327.6044,17.931,59.6559,0.0,7.7638,0.0,4.1407,0.0062,GND
21,343.0108,17.9325,59.6561,0.0,6.2412,0.0,5.5477,0.5326,GND
22,357.4057,17.9336,59.6566,0.0,1.4372,0.0,1.0452,0.1003,GND
23,372.1109,17.9342,59.6569,0.0,4.7739,0.0,7.6382,0.7333,GND
24,388.4698,17.9346,59.6571,0.0,3.1156,0.0,6.2312,0.0093,GND
25,403.2324,17.9351,59.6573,0.0,2.7789,0.0,3.1759,0.0048,GND
26,418.1391,17.9361,59.6578,0.0,5.5528,0.0,3.4171,0.0051,GND
27,433.9535,17.9375,59.6585,0.0,3.2663,0.0,2.0101,0.003,CL
28,447.9799,17.9398,59.6589,0.0,31.4372,0.0,7.397,0.0111,CL
29,468.1625,17.9554,59.6609,-15.0754,127.3977,2235.2445,7.196,0.0108,CL
30,490.691,17.9859,59.6649,391.4573,160.7128,3253.9284,118.6734,0.0087,CL
31,505.5509,18.0068,59.6674,1186.3065,159.4972,2219.8633,74.1709,0.1067,CL
32,522.7531,18.0334,59.6705,1690.7035,181.3216,1896.5515,104.2714,0.1633,CL
33,539.3325,18.064,59.6738,2115.7035,214.9217,2478.6293,168.8442,0.2605,CL
34,554.5644,18.0927,59.677,2896.9849,225.2153,3455.7029,4.2211,0.0068,CL
35,567.7151,18.1197,59.68,3771.7337,228.4056,720.6425,25.8593,0.0517,CL
36,583.4172,18.1516,59.6835,4758.1658,233.4074,3921.0322,148.3719,0.2353,CL
37,598.6994,18.1848,59.6872,5826.8844,235.1611,3426.2016,116.7337,0.1807,CL
38,614.5519,18.2182,59.6909,6585.4271,250.2524,1372.691,72.8141,0.1178,CL
39,628.7923,18.2518,59.6945,7021.4824,273.8585,1746.5515,36.0201,0.0585,CL
40,644.0929,18.2895,59.6994,7881.1558,281.0088,3127.9504,246.995,0.4129,CL
41,660.0412,18.329,59.7058,8975.0,283.9761,3204.7237,222.4824,0.344,CL
42,675.2997,18.3676,59.7124,9858.0402,290.1852,4380.7334,175.3367,0.2747,CL
43,690.3827,18.4057,59.719,10700.0,297.3531,1475.5025,125.0352,0.2011,CL
44,708.2076,18.453,59.7272,11356.5327,314.6413,-3355.2653,81.005,0.1275,CL
45,723.7003,18.4949,59.7344,12085.0503,320.9267,2737.4616,283.5176,0.4609,CL
46,737.8703,18.5351,59.7414,12886.3065,324.2878,3650.4679,28.0402,0.0467,CL
47,752.5327,18.5766,59.7486,13764.9497,325.0,4294.1396,330.0,0.52,CL
48,771.8606,18.6311,59.7579,14861.0553,328.274,4499.7966,148.5829,0.237,CL
49,787.0693,18.6748,59.7654,15808.1658,327.066,3762.6374,211.3869,0.3362,CL
50,802.4748,18.7175,59.7727,16719.0955,326.2334,3611.7984,70.8744,0.1129,CL
51,815.9896,18.7565,59.7794,17424.2462,328.0016,4315.5853,337.5075,0.5392,CL
52,831.3667,18.7999,59.7868,18193.2161,329.182,3027.035,300.7035,0.4818,CL
53,847.1811,18.8464,59.7946,19025.0,331.1118,2289.5729,242.8643,0.3908,CL
54,862.2296,18.8892,59.8019,19749.4975,332.6113,1694.5357,180.0905,0.2905,CL
55,877.0363,18.9321,59.8091,20433.6683,334.7293,2421.0894,119.5477,0.1921,CL
56,892.0195,18.9755,59.8165,21050.0,339.4055,361.809,55.7789,0.0898,CL
57,906.6483,19.0187,59.8237,21603.1407,343.6744,2720.0787,0.0,0.0,CL
58,927.3156,19.0825,59.8344,22310.0503,352.1771,2088.9117,303.6181,0.489,CL
59,942.2328,19.1283,59.8421,22881.5327,354.6718,2059.8752,145.4774,0.2352,CL
60,957.6583,19.1758,59.85,23519.0955,357.0,2702.4888,384.8945,0.6258,CL
61,972.2066,19.2208,59.8575,23961.4322,362.8802,1727.0411,105.8291,0.1715,CL
62,987.7554,19.2711,59.8658,24465.4523,367.9411,2217.9138,356.3819,0.5789,CL
63,1003.188,19.32,59.8739,25002.0101,370.5025,1906.743,32.0,0.0521,CL
64,1017.7339,19.3676,59.8817,25525.6281,373.2346,1675.2524,102.0,0.1671,CL
65,1032.462,19.4162,59.8898,25968.2161,376.644,2006.2926,227.1357,0.368,CL
66,1047.5191,19.4663,59.898,26455.402,379.2695,2122.7198,248.0804,0.4086,CL
67,1063.0745,19.5169,59.9062,26997.9899,380.444,2441.2921,88.593,0.1461,CL
68,1079.887,19.5746,59.9156,27669.9749,379.0188,2661.4367,395.4372,0.6565,CL
69,1094.7303,19.6225,59.9234,28178.392,379.4043,2099.2669,56.1709,0.0939,CL
70,1109.1805,19.6706,59.9312,28638.9447,379.6973,4747.3551,289.1457,0.4819,CL
71,1129.4623,19.739,59.9423,29311.5578,379.0,2147.0752,422.9749,0.708,CL
72,1143.8394,19.7853,59.9497,29766.5829,379.0095,2659.3047,282.5729,0.4723,CL
73,1159.4484,19.8371,59.9581,30233.9196,379.0046,1467.9813,357.4975,0.6009,CL
74,1173.7311,19.8844,59.9657,30550.3769,381.8865,624.5945,6.4523,0.0109,CL
75,1188.5729,19.9349,59.9738,30839.3216,386.191,1509.7867,431.6181,0.724,CL
76,1203.9831,19.9884,59.9823,31134.1709,389.4528,1073.8578,274.794,0.4635,CL
