,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9382,59.6531,0.0,0.0,0.0,0.0,0.0,GND
1,78.9697,17.9382,59.6531,0.0,0.0,0.0,0.0,0.0,GND
2,138.6384,17.9392,59.6532,0.0,0.0804,0.0,0.0,0.0,GND
3,189.8867,17.9394,59.654,0.0,2.9095,0.0,0.0,0.0,GND
4,258.799,17.9394,59.654,0.0,0.0,0.0,0.0,0.0,GND
5,338.8426,17.9395,59.6541,0.0,0.0,0.0,0.0,0.0,GND
6,404.7619,17.9394,59.6541,0.0,0.0,0.0,0.0,0.0,GND
7,455.1354,17.9388,59.6553,0.0,0.6332,0.0,0.0,0.0,GND
8,506.9555,17.933,59.6553,0.0,1.5276,0.0,0.0,0.0,GND
9,556.7004,17.9243,59.6528,0.0,2.2613,0.0,0.0,0.0,GND
10,604.7205,17.9221,59.6473,0.0,20.6884,0.0,0.0,0.0,GND
11,653.7573,17.9201,59.6434,0.0,8.005,0.0,0.0,0.0,GND
12,704.9609,17.918,59.6441,0.0,0.7236,0.0,0.0,0.0,GND
13,757.8123,17.9167,59.6468,0.0,45.206,0.0,0.0,0.0,GND
14,820.5779,17.9307,59.6863,1739.4472,157.5779,1860.523,160.0,0.2754,CL
15,880.3618,17.962,59.7342,3738.6935,212.4397,2009.3833,32.2613,0.0507,CL
16,935.4774,18.0869,59.7483,5663.8191,275.6782,2029.2371,179.5879,0.3525,CL
17,989.8117,18.2255,59.7521,8412.1859,288.652,3651.1055,227.1859,0.3615,CL
18,1038.851,18.317,59.7054,10400.0,315.4319,339.196,51.0151,0.0825,CL
19,1098.9617,18.4217,59.6252,11957.0352,364.4005,2208.718,0.0,0.0,CL
20,1161.6137,18.5429,59.534,14354.8995,382.6433,2788.1282,271.6583,0.441,CL
21,1221.5239,18.6605,59.4438,16305.2764,403.3675,-1465.6716,75.1357,0.1224,DE
22,1284.0018,18.7875,59.3459,18594.4724,411.5479,1018.6524,80.0402,0.1335,CL
23,1334.5977,18.892,59.2649,20150.0,421.3349,682.8827,86.4523,0.1442,CL
24,1386.8848,19.003,59.1782,21550.0,433.9696,907.9273,92.6231,0.1553,CL
25,1441.0342,19.1211,59.0854,22699.8744,448.4783,1343.5019,293.5075,0.4912,CL
26,1500.6898,19.2554,58.9791,23836.9347,465.8382,2083.153,289.5678,0.4964,CL
27,1557.6779,19.3863,58.8749,24743.2161,481.664,1065.477,295.8291,0.4984,CL
28,1606.7186,19.5031,58.7809,25642.9648,491.0,1485.7257,412.0,0.696,CL
29,1660.8342,19.6307,58.678,26610.4271,499.7085,1817.2479,419.4171,0.7108,CL
30,1716.4806,19.7635,58.5699,27482.5377,510.6037,-1112.3266,127.8392,0.2159,DE
31,1768.3775,19.8898,58.4665,28134.4221,524.516,506.4558,0.0,0.0,CL
32,1821.3283,20.0233,58.356,28833.0402,537.0079,-1780.8465,139.5779,0.238,DE
33,1876.1196,20.1612,58.2411,29808.4171,541.9937,441.7328,0.0,0.0,CL
34,1942.0309,20.3296,58.0998,31075.0,544.6593,287.7411,150.3518,0.2583,CR
35,1999.9338,20.4686,57.9724,32173.6181,546.1618,1031.9781,286.5226,0.4927,CL
