,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,16.7983,58.944,27700.0,393.0,-171.5879,0.0,0.732,CR
1,61.8936,16.6634,58.8544,29258.5427,403.9527,1322.5088,0.0,0.5106,CL
2,118.5905,16.5406,58.7723,30975.2513,401.9203,1226.5121,0.0,0.2626,CL
3,175.0097,16.414,58.6872,32300.1256,412.0032,2599.4922,0.0,0.8,CL
4,236.6897,16.2784,58.5954,34192.8392,415.3461,961.266,0.0,0.0,CL
5,294.5168,16.1496,58.5077,36375.6281,405.9836,3001.9586,155.8191,0.2775,CL
6,348.0234,16.0315,58.4266,37875.2513,403.9964,1870.2028,455.3769,0.8038,CL
7,405.4748,15.9101,58.3427,39008.9196,403.0638,1246.2805,312.0603,0.5536,CL
8,459.5683,15.7954,58.2632,39808.6683,395.9817,2139.576,301.809,0.5357,CL
9,518.0544,15.6732,58.1776,40000.0,399.0004,0.0,453.0653,0.8037,CR
10,576.7276,15.5528,58.093,40000.0,399.9023,0.0,0.0,0.0,CR
11,633.0194,15.4327,58.0082,40000.0,399.9656,0.0,0.0,0.5316,CR
12,687.0529,15.321,57.9288,40000.0,397.0009,0.0,450.7538,0.7996,CR
13,742.7958,15.2081,57.848,40000.0,397.9482,0.0,142.6935,0.2542,CR
14,801.669,15.0862,57.7604,40000.0,398.93,0.0,294.593,0.5223,CR
15,867.0754,14.9508,57.6622,40000.0,401.0,0.0,0.0,0.8161,CR
16,922.5823,14.8385,57.5804,40000.0,403.0608,0.0,317.608,0.5686,CR
17,975.4065,14.7311,57.5017,40000.0,403.2667,0.0,0.0,0.2952,CR
18,1034.1282,14.6123,57.4141,40000.0,403.4054,0.0,0.0,0.0247,CR
19,1088.1963,14.5019,57.3322,40000.0,402.2231,0.0,0.0,0.2472,CR
20,1141.1005,14.3935,57.2514,40000.0,401.0,0.0,0.0,0.82,CR
21,1191.3835,14.2961,57.1784,40000.0,398.8037,0.0,0.0,0.0,CR
22,1246.363,14.1877,57.0967,40000.0,396.8262,0.0,0.0,0.0,CR
23,1300.8847,14.081,57.0159,40000.0,395.2881,0.0,0.0,0.0,CR
24,1356.1206,13.9704,56.9317,40000.0,395.0,0.0,0.0,0.8198,CR
25,1410.9595,13.8655,56.8512,40000.0,395.148,0.0,0.0,0.5753,CR
26,1461.8551,13.7684,56.7764,40000.0,397.4393,0.0,0.0,0.3075,CR
27,1520.2933,13.656,56.6893,40000.0,399.4629,0.0,0.0,0.0,CR
28,1578.3779,13.5423,56.6008,40000.0,400.0979,0.0,0.0,0.5823,CR
29,1640.3932,13.4222,56.5066,40000.0,402.2059,0.0,0.0,0.5068,CR
30,1695.2179,13.3161,56.423,40000.0,399.9951,0.0,0.0,0.7788,CR
31,1749.877,13.2123,56.3405,40000.0,400.158,0.0,0.0,0.5835,CR
32,1803.5237,13.1108,56.2598,40000.0,402.9917,0.0,0.0,0.4978,CR
33,1860.0643,13.0011,56.1719,40000.0,407.0206,0.0,0.0,0.7633,CR
34,1912.7758,12.902,56.0921,40000.0,409.4127,0.0,0.0,0.2255,CR
35,1967.7908,12.7962,56.0064,40000.0,408.1532,0.0,0.0,0.3214,CR
36,2022.8609,12.6764,55.928,40000.0,410.2157,0.0,0.0,0.0492,CR
37,2073.3436,12.5597,55.8574,40000.0,411.079,0.0,0.0,0.2214,CR
38,2132.8889,12.4233,55.7736,40000.0,411.5664,0.0,0.0,0.4921,CR
39,2187.2613,12.2974,55.696,40000.0,411.0,0.0,0.0,0.816,CR
40,2250.4487,12.1561,55.6084,40000.0,412.1722,0.0,0.0,0.5957,CR
41,2303.5519,12.0382,55.5349,40000.0,414.624,0.0,0.0,0.0,CR
42,2380.2163,11.8646,55.4261,40000.0,414.7844,0.0,0.0,0.058,CR
43,2432.4774,11.7447,55.3504,40000.0,410.0,0.0,0.0,0.82,CR
44,2484.1749,11.6326,55.2792,40000.0,409.0776,0.0,0.0,0.3321,CR
45,2539.6098,11.5111,55.2016,40000.0,410.009,0.0,0.0,0.0621,CR
46,2594.7186,11.3874,55.1222,40000.0,406.0,0.0,0.0,0.816,CR
47,2656.8632,11.256,55.0374,40000.0,405.1758,0.0,0.0,0.0,CR
48,2723.7265,11.1117,54.9437,40000.0,406.4941,0.0,0.0,0.0,CR
49,2789.2339,10.9701,54.8511,40000.0,407.2793,0.0,0.0,0.206,CR
50,2852.665,10.8334,54.7612,40000.0,404.2155,0.0,259.9799,0.4757,CR
51,2919.1155,10.6915,54.6673,40000.0,403.0169,0.0,407.8995,0.7463,CR
52,2979.954,10.5632,54.5819,40000.0,406.3381,0.0,336.1809,0.6151,CR
53,3039.6787,10.4375,54.4978,40000.0,406.3013,0.0,257.7387,0.4739,CR
54,3092.1046,10.3253,54.4223,40000.0,406.0248,0.0,405.6583,0.7422,CR
55,3166.2764,10.1689,54.3162,40000.0,407.0,0.0,0.0,0.816,CR
56,3237.2571,10.0228,54.2166,40000.0,406.1172,0.0,0.0,0.4652,CR
57,3299.6858,9.894,54.1279,40000.0,411.9885,0.0,0.0,0.0775,CR
58,3360.0144,9.7667,54.0401,40000.0,414.6445,0.0,105.3367,0.1937,CR
59,3420.7196,9.6383,53.9511,40000.0,412.4919,0.0,0.0,0.3509,CR
60,3484.9084,9.5062,53.8587,40000.0,415.0571,0.0,0.0,0.082,CR
61,3551.6026,9.3656,53.76,40000.0,414.0935,0.0,0.0,0.6305,CR
62,3611.4591,9.2427,53.6731,40000.0,411.3083,0.0,194.9849,0.3567,CR
63,3680.4221,9.099,53.5708,40000.0,411.0,0.0,446.0,0.816,CR
64,3749.971,8.9606,53.4717,40000.0,409.4413,0.0,100.8543,0.1836,CR
65,3816.0102,8.8262,53.3749,40000.0,412.2859,0.0,248.7739,0.4552,CR
66,3875.8888,8.706,53.2878,40000.0,411.207,0.0,49.3065,0.0902,CR
67,3935.0915,8.5855,53.1999,40000.0,411.0725,0.0,347.3869,0.6325,CR
68,3988.5617,8.478,53.1211,40000.0,413.235,0.0,0.0,0.4466,CR
69,4046.5779,8.3603,53.0346,40000.0,417.0,0.0,0.0,0.812,CR
70,4112.0648,8.2286,52.9371,40000.0,417.1988,0.0,253.9899,0.6397,CR
71,4172.9045,8.1058,52.8456,40000.0,419.0,0.0,177.4673,0.8138,CR
72,4232.3618,7.9863,52.7562,40000.0,418.0,0.0,39.0754,0.812,CR
73,4300.6142,7.8495,52.6529,40000.0,419.0967,0.0,0.0,0.6438,CR
74,4380.3887,7.6922,52.5337,40000.0,420.1828,0.0,0.0,0.3695,CR
75,4484.3769,7.4843,52.3747,40000.0,424.0,0.0,327.0,0.812,CR
76,4623.5879,7.2059,52.1595,40000.0,428.0,0.0,67.3719,0.816,CR
77,4730.7739,6.9944,51.9942,40000.0,425.0,0.0,327.0,0.8138,CR
78,4856.392,6.7483,51.7995,40000.0,428.0,0.0,327.0,0.812,CR
79,4943.196,6.5788,51.6643,40000.0,429.0,0.0,327.0,0.816,CR
80,5088.4673,6.2962,51.4365,40000.0,429.0,0.0,327.0,0.812,CR
81,5195.8141,6.088,51.2667,40000.0,434.0,0.0,0.0,0.8085,CR
82,5307.9851,5.8729,51.0895,40000.0,435.5578,0.0,64.0854,0.1599,CR
83,5462.7037,5.5765,50.8426,40000.0,431.527,0.0,154.4623,0.3817,CR
84,5600.8291,5.3138,50.6209,40000.0,433.0,0.0,0.0,0.8114,CR
85,5801.546,4.9233,50.3072,40000.0,435.4029,0.0,62.4422,0.1551,CR
