,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
1,80.2941,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
2,189.2251,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
3,251.4541,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
4,307.6448,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
5,421.4758,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
6,525.8412,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
7,611.5332,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
8,694.0602,17.9261,59.6505,0.0,0.0,0.0,0.0,0.0,GND
9,778.0177,17.9261,59.6505,0.0,0.0,0.0,0.0,0.0,GND
10,827.2787,17.9261,59.6505,0.0,0.0,0.0,0.0,0.0,GND
11,891.2685,17.9263,59.6507,0.0,0.2663,0.0,0.0,0.0,GND
12,925.3551,17.9262,59.6506,0.0,0.4724,0.0,0.0,0.0,GND
13,977.9699,17.9262,59.6506,0.0,0.0,0.0,0.0,0.0,GND
14,1082.7064,17.926,59.6505,0.0,0.1156,0.0,0.0,0.0,GND
15,1128.5461,17.926,59.6505,0.0,0.0,0.0,0.0,0.0,GND
16,1192.8122,17.9261,59.6506,0.0,0.0,0.0,0.0,0.0,GND
17,1239.3276,17.926,59.6505,0.0,0.4975,0.0,0.0,0.0,GND
18,1273.5395,17.9257,59.6503,0.0,0.0,0.0,0.0,0.0,GND
19,1309.453,17.9253,59.6499,0.0,2.7437,0.0,0.0,0.0,GND
20,1345.8146,17.9255,59.6498,0.0,0.8794,0.0,0.0,0.0,GND
21,1396.1229,17.9255,59.6498,0.0,0.0,0.0,0.0,0.0,GND
22,1435.4268,17.9232,59.6502,0.0,7.9899,0.0,0.0,0.0,GND
23,1474.2449,17.925,59.6534,0.0,16.2513,0.0,0.0,0.0,GND
24,1512.53,17.9325,59.6553,0.0,1.4925,0.0,0.0,0.0,GND
25,1547.6281,17.9412,59.6564,0.0,4.0704,0.0,0.0,0.0,GND
26,1582.2525,17.9494,59.6574,0.0,6.7789,0.0,0.0,0.0,GND
27,1618.5527,17.9523,59.6557,0.0,9.5678,0.0,0.0,0.0,GND
28,1653.2309,17.9536,59.6533,0.0,3.005,0.0,0.0,0.0,GND
29,1689.5463,17.9546,59.6515,0.0,0.3266,0.0,0.0,0.0,GND
30,1724.3825,17.9559,59.6496,0.0,6.5528,0.0,0.0,0.0,GND
31,1758.8357,17.9567,59.6495,0.0,0.0,0.0,0.0,0.0,GND
32,1797.2164,17.9567,59.6495,0.0,0.0,0.0,0.0,0.0,GND
33,1842.2071,17.9567,59.6495,0.0,0.0,0.0,0.0,0.0,GND
34,1892.0769,17.9567,59.6495,0.0,0.0,0.0,0.0,0.0,GND
35,1930.6503,17.9578,59.6493,0.0,2.1106,0.0,0.0,0.0,GND
36,1964.926,17.9583,59.6471,0.0,25.6482,0.0,0.0,0.0,GND
37,2005.6739,17.9502,59.6246,568.8442,154.0176,3454.9746,0.0,0.095,CL
38,2042.5625,17.9364,59.5987,1987.8141,168.466,2034.5381,0.0,0.2322,CL
39,2080.8682,17.9058,59.5702,2848.2412,215.3565,1033.275,0.0,0.0121,CL
40,2120.6292,17.8305,59.5476,4270.7286,252.0871,2680.5613,0.0,0.0,CL
41,2157.2496,17.7569,59.5258,6357.9146,254.0017,4173.8754,0.0,0.2322,CL
42,2191.9534,17.695,59.5005,8027.0101,261.3697,2326.999,0.0,0.1512,CL
43,2232.5643,17.681,59.4514,9931.6583,270.7449,2514.9289,0.0,0.0636,CL
44,2269.0009,17.6732,59.4029,10898.3668,306.7963,975.0738,0.0,0.4786,CL
45,2305.1756,17.6649,59.3489,11436.4322,348.1451,896.9266,0.0,0.3935,CL
46,2339.4443,17.6565,59.2928,12741.4573,358.3939,1929.8105,0.0,0.0,CL
47,2374.8564,17.6477,59.2333,14265.8291,362.3129,2163.9804,0.0,0.421,CL
48,2414.4233,17.6377,59.1665,15661.0553,370.9888,2885.9686,0.0,0.555,CL
49,2453.0319,17.6279,59.1007,17072.6131,375.9954,2023.882,0.0,0.5644,CL
50,2489.7134,17.6185,59.0367,18284.9246,381.0018,2201.668,0.0,0.4638,CL
51,2524.2364,17.6094,58.9757,19525.0,381.9433,1522.6131,0.0,0.3472,CL
52,2561.4893,17.5998,58.9099,20982.1608,377.0145,2332.7567,0.0,0.4995,CL
53,2598.6029,17.5917,58.8469,22383.0402,374.057,1281.0909,0.0,0.0569,CL
54,2644.7251,17.5876,58.764,23290.5779,388.0,2092.9749,0.0,0.7315,CL
55,2681.9723,17.5845,58.6974,24041.7085,395.0227,3082.6188,0.0,0.4946,CL
56,2719.5425,17.5812,58.6291,24771.2312,402.0996,618.477,0.0,0.0,CL
57,2758.3483,17.5784,58.5588,26806.407,374.9625,2990.6248,0.0,0.5414,CL
58,2791.2229,17.5757,58.5013,27700.0,376.0528,1424.6231,0.0,0.68,CL
59,2831.5264,17.5722,58.4308,28413.3166,383.8416,1207.201,0.0,0.6213,CL
60,2867.7122,17.5692,58.3672,29065.9548,389.6475,932.9308,0.0,0.2706,CL
61,2905.0771,17.5661,58.2993,29785.804,393.0516,1135.2264,0.0,0.3284,CL
62,2942.2203,17.5632,58.2315,30500.0,395.9881,1160.804,0.0,0.6005,CL
63,2975.1567,17.5605,58.1711,31225.5025,395.0014,1480.9382,0.0,0.7643,CL
64,3011.0419,17.5576,58.107,31940.7035,393.9754,1189.3868,0.0,0.145,CL
65,3048.6259,17.5544,58.0383,32620.603,395.0268,-1786.0149,0.0,0.4743,CL
66,3084.2662,17.5516,57.9737,33430.1508,390.0088,1201.5419,0.0,0.3136,CL
67,3118.6665,17.5488,57.9123,34014.6985,390.0146,212.2015,0.0,0.0,CL
68,3157.0688,17.5456,57.8416,34674.2462,388.9992,1369.5804,0.0,0.7761,CL
69,3193.7779,17.5428,57.7767,35000.0,393.9935,0.0,0.0,0.6209,CR
70,3228.8158,17.54,57.7127,35000.0,396.4415,0.0,0.0,0.4577,CR
71,3264.5574,17.5372,57.648,35000.0,393.981,0.0,0.0,0.293,CR
72,3299.1702,17.5346,57.585,35000.0,393.9747,0.0,0.0,0.1307,CR
73,3333.9016,17.5318,57.522,35023.995,393.9709,767.8392,0.0,0.0318,CR
74,3372.4233,17.5287,57.4519,35000.0,394.2402,0.0,0.0,0.0,CR
75,3411.7769,17.5258,57.3797,35000.0,393.9863,0.0,0.0,0.4316,CR
76,3449.6498,17.5228,57.3115,35000.0,393.9801,0.0,0.0,0.2693,CR
77,3485.4879,17.52,57.2461,35000.0,395.0093,0.0,0.0,0.6845,CR
78,3521.8519,17.5171,57.1792,35025.0,395.0048,0.0,0.0,0.7363,CR
79,3561.5103,17.5141,57.1076,35006.9095,393.9916,-506.972,0.0,0.5731,CR
80,3599.4498,17.5112,57.039,35000.0,393.9843,0.0,0.0,0.3801,CR
81,3636.0852,17.5084,56.9721,34992.2111,393.9792,-316.4094,0.0,0.2468,CR
82,3673.7737,17.5055,56.9039,35000.0,395.0611,0.0,0.0,0.0832,CR
83,3713.7,17.5024,56.8302,35000.0,396.0,0.0,0.0,0.788,CR
84,3755.4506,17.4992,56.7533,35000.0,397.9769,0.0,0.0,0.5465,CR
85,3791.9687,17.4965,56.6874,35000.0,399.012,0.0,0.0,0.3861,CR
86,3828.8055,17.4937,56.6193,35000.0,399.9725,0.0,0.0,0.5691,CR
87,3864.8782,17.491,56.5531,35000.0,401.0009,0.0,0.0,0.0597,CR
88,3901.5722,17.4881,56.4853,35000.0,401.001,0.0,0.0,0.0,CR
89,3939.0599,17.4852,56.4154,35000.0,402.0335,0.0,0.0,0.5253,CR
90,3982.7543,17.482,56.3349,35025.0,402.0996,0.0,0.0,0.0,CR
91,4018.3297,17.4794,56.2687,35018.7186,401.0007,528.5377,0.0,0.199,CR
92,4054.2377,17.4765,56.2013,35000.0,401.0,0.0,0.0,0.788,CR
93,4091.0758,17.4738,56.1342,34995.9799,402.0836,454.7995,0.0,0.1274,CR
94,4128.3882,17.4711,56.0648,35000.0,401.0004,0.0,0.0,0.5015,CR
95,4164.2676,17.4683,55.9972,35000.0,401.0004,0.0,0.0,0.4514,CR
96,4204.4959,17.4654,55.9243,35000.0,401.0008,0.0,0.0,0.1751,CR
97,4241.1128,17.4627,55.8554,35000.0,402.0015,0.0,0.0,0.7761,CR
98,4276.8799,17.4601,55.7903,35000.0,402.9785,0.0,0.0,0.0,CR
99,4312.4457,17.4574,55.7232,35000.0,404.0465,0.0,0.0,0.3128,CR
100,4350.6697,17.4547,55.6527,35000.0,406.0217,0.0,0.0,0.4776,CR
101,4386.3212,17.452,55.5857,35000.0,406.0104,0.0,0.0,0.6408,CR
102,4420.0991,17.4496,55.5211,35025.0,406.0008,0.0,0.0,0.7801,CR
103,4461.5959,17.4467,55.4445,35000.0,406.0121,0.0,0.0,0.6138,CR
104,4499.8206,17.4438,55.3732,35000.0,407.0,0.0,0.0,0.792,CR
105,4535.1685,17.4412,55.3068,35000.0,406.958,0.0,0.0,0.2905,CR
106,4570.8038,17.4385,55.24,35000.0,407.8662,0.0,0.0,0.1267,CR
107,4611.7722,17.4356,55.1631,34975.0,408.0308,-262.9427,0.0,0.0356,CR
108,4648.8457,17.4328,55.0922,34975.0,410.0,0.0,0.0,0.789,CR
109,4685.0054,17.4303,55.0246,35000.0,410.9491,0.0,0.0,0.4277,CR
110,4722.5545,17.4276,54.9525,35000.0,411.9957,0.0,0.0,0.5227,CR
111,4764.4164,17.4246,54.8723,35000.0,411.9983,0.0,0.0,0.6885,CR
112,4801.0302,17.4219,54.8025,35000.0,413.0065,0.0,0.0,0.7323,CR
113,4848.6748,17.4185,54.7135,35000.0,413.0859,0.0,0.0,0.0,CR
114,4903.5356,17.4148,54.6086,35000.0,413.982,0.0,0.0,0.3861,CR
115,4939.3281,17.4122,54.539,35000.0,415.0,0.0,0.0,0.792,CR
116,4975.4035,17.4098,54.4699,35025.0,414.0,0.0,0.0,0.792,CR
117,5014.8003,17.4071,54.396,35000.0,413.9963,0.0,0.0,0.7084,CR
118,5050.1648,17.4088,54.3274,35000.0,415.982,0.0,315.3065,0.5452,CR
119,5085.5855,17.4113,54.2605,34975.0,415.9702,-725.5906,219.9799,0.3782,CR
120,5121.2307,17.4137,54.1918,34975.0,419.0134,0.0,126.0302,0.2178,CR
121,5159.9793,17.4163,54.1168,34975.0,422.0881,0.0,32.2211,0.0554,CR
122,5196.7363,17.419,54.044,35000.0,423.8607,0.0,395.8593,0.6845,CR
123,5234.8136,17.4216,53.9707,35025.0,424.0247,162.409,302.8141,0.5214,CR
124,5279.0205,17.4248,53.8834,35025.0,424.9779,0.0,251.9598,0.4338,CR
125,5317.0422,17.4276,53.809,35000.0,424.9632,0.0,112.7739,0.194,CR
126,5354.1639,17.4303,53.7347,35000.0,426.002,0.0,439.5879,0.7602,CR
127,5391.093,17.4328,53.664,35000.0,426.0415,0.0,75.9497,0.1313,CR
128,5428.7364,17.4354,53.5899,35000.0,426.9552,0.0,170.3116,0.293,CR
129,5467.8918,17.4381,53.5125,35010.5528,426.9588,-1833.961,194.1709,0.3343,CR
130,5508.9873,17.441,53.4316,35000.0,426.039,0.0,98.9648,0.1711,CR
131,5548.0312,17.4437,53.3551,35000.0,426.0493,0.0,4.6231,0.008,CR
132,5584.3016,17.4463,53.2838,35000.0,424.9607,0.0,89.7588,0.1544,CR
133,5621.494,17.4486,53.2106,35000.0,425.0,0.0,458.0,0.788,CR
134,5657.4396,17.451,53.1402,34975.0,426.0303,0.0,179.5176,0.3089,CR
135,5694.2807,17.4536,53.0665,35000.0,426.0093,0.0,374.4724,0.6415,CR
136,5734.0015,17.4563,52.99,35000.0,427.9799,0.0,458.0,0.788,CR
137,5772.0792,17.4588,52.9145,35000.0,428.9274,0.0,103.5678,0.1773,CR
138,5813.3734,17.4617,52.8323,35025.0,429.0,103.2067,458.0,0.792,CR
139,5855.6646,17.4643,52.7489,35015.9548,428.9661,-349.0119,292.2915,0.5054,CR
140,5892.0864,17.4658,52.6768,35025.0,428.0231,0.0,71.9698,0.1234,CR
141,5928.0167,17.4673,52.606,35025.0,425.8889,0.0,23.2161,0.04,CR
142,5967.02,17.469,52.5293,35025.0,423.9622,0.0,339.1357,0.5831,CR
143,6011.9377,17.4709,52.4411,34975.0,422.9858,0.0,211.7387,0.3643,CR
144,6052.097,17.4726,52.3622,35000.0,423.0,0.0,460.0,0.792,CR
145,6099.3651,17.4746,52.2709,35000.0,422.9967,0.0,402.2111,0.6925,CR
146,6138.0794,17.4763,52.1954,35000.0,421.9899,0.0,421.1759,0.7246,CR
147,6177.5561,17.478,52.1177,34975.0,421.9642,0.0,326.8141,0.5623,CR
148,6217.3633,17.4796,52.0415,35000.0,420.9981,0.0,232.4523,0.402,CR
149,6270.5725,17.48,51.9378,35025.0,419.3199,0.0,138.6935,0.24,CR
150,6309.5794,17.4635,51.8626,35000.0,416.0,0.0,460.0,0.788,CR
151,6355.3281,17.4387,51.7771,34975.0,417.4274,0.0,50.8543,0.0871,CR
152,6401.3106,17.4134,51.6896,34975.0,419.4632,0.0,145.6281,0.2482,CR
153,6436.4116,17.3939,51.6226,34975.0,421.4573,0.0,219.598,0.3762,CR
154,6478.4645,17.3703,51.5408,35025.0,421.0586,0.0,335.1759,0.5771,CR
155,6516.5681,17.3499,51.469,35025.0,421.4071,0.0,30.0503,0.0515,CR
156,6554.6975,17.3288,51.3958,35000.0,421.2159,0.0,395.2764,0.684,CR
157,6609.0618,17.299,51.2917,35025.0,418.3467,0.0,460.0,0.792,CR
158,6658.9965,17.2718,51.1963,34988.8191,419.0,-169.598,460.0,0.788,CR
159,6706.8256,17.2458,51.1044,34975.0,420.7588,0.0,460.0,0.788,CR
160,6751.1724,17.2217,51.0195,35000.0,419.0,0.0,460.0,0.792,CR
161,6806.3755,17.1926,50.9158,35000.0,418.298,0.0,78.593,0.1353,CR
162,6856.0466,17.1661,50.8213,35000.0,417.1625,0.0,173.3668,0.2985,CR
163,6899.7703,17.1428,50.7378,34975.0,418.0,-860.6022,460.0,0.7857,CR
164,6945.8697,17.1188,50.651,34950.0,421.1703,0.0,97.0854,0.1646,CR
165,6991.1653,17.0946,50.5638,35000.0,425.3906,-493.7024,0.0,0.0,CR
166,7035.8318,17.0707,50.4775,35044.9749,424.0587,891.7354,367.5377,0.6328,CR
167,7076.8809,17.0488,50.3976,35000.0,425.407,0.0,460.0,0.792,CR
168,7125.2628,17.023,50.3035,34975.0,428.0,0.0,460.0,0.8,CR
169,7173.734,16.9978,50.2108,35025.0,422.9775,0.0,83.2161,0.1426,CR
170,7225.0015,16.9708,50.112,34975.0,423.0,0.0,460.0,0.788,DE
171,7279.2749,16.9424,50.0071,34573.1156,422.2759,-1289.286,353.6683,0.6058,DE
172,7325.7904,16.9186,49.9183,33482.7889,421.0,-1751.8736,460.0,0.784,DE
173,7384.2427,16.8882,49.8053,31894.7236,427.0,-2089.196,460.0,0.78,DE
174,7439.5543,16.8596,49.6973,29681.1558,423.0,-3257.6383,69.3467,0.784,DE
175,7500.0217,16.8289,49.5823,27477.7638,427.0082,-2048.2263,434.5729,0.7369,DE
176,7564.7234,16.7956,49.4559,25194.598,424.0534,-2065.6854,120.201,0.1965,DE
177,7618.2327,16.7684,49.3523,23408.4171,417.9347,-1940.6383,460.0,0.7259,DE
178,7665.5553,16.7451,49.2639,21892.3367,403.8426,-2217.0264,150.2513,0.2299,DE
179,7719.8256,16.7193,49.1653,20150.8794,388.0,-2786.0847,393.1658,0.677,DE
