,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
1,144.8744,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
2,249.2462,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
3,429.6231,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
4,579.995,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
5,640.3719,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
6,699.2462,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
7,758.2412,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
8,841.1859,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
9,932.8693,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
10,1001.4874,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
11,1057.6181,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
12,1112.4925,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
13,1168.1005,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
14,1331.2412,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
15,1416.1156,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
16,1465.9899,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
17,1515.8643,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
18,1570.7387,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
19,1629.2261,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
20,1706.4623,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
21,1786.3618,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
22,1837.2362,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
23,1899.2211,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
24,1955.9849,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
25,2011.8593,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
26,2064.7337,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
27,2129.608,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
28,2224.4824,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
29,2299.3568,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
30,2374.2312,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
31,2434.1055,17.9264,59.6516,0.0,0.0,0.0,0.0,0.0,GND
32,2630.6834,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
33,3152.8543,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
34,3341.9296,17.9263,59.6516,0.0,0.0,0.0,0.0,0.0,GND
35,3591.603,17.9262,59.6518,0.0,3.0,0.0,0.0,0.0,GND
36,3631.3819,17.9261,59.6524,0.0,3.0,0.0,0.0,0.0,GND
37,3671.2111,17.9262,59.6526,0.0,0.0,0.0,0.0,0.0,GND
38,3744.2261,17.9262,59.6526,0.0,0.0,0.0,0.0,0.0,GND
39,3794.1005,17.9262,59.6526,0.0,0.0,0.0,0.0,0.0,GND
40,3848.9749,17.9262,59.6526,0.0,0.0,0.0,0.0,0.0,GND
41,3895.8794,17.9246,59.6528,0.0,8.9698,0.0,0.0,0.0,GND
42,3935.7789,17.9221,59.6519,0.0,13.9447,0.0,8.0,0.02,GND
43,3978.7588,17.9209,59.6486,0.0,18.0,0.0,0.0,0.0,GND
44,4019.4724,17.9196,59.645,0.0,19.8945,0.0,8.0,0.012,GND
45,4059.4774,17.9183,59.6412,0.0,22.0,0.0,8.0,0.028,GND
46,4099.3769,17.9171,59.6385,0.0,8.3116,0.0,6.7538,0.028,GND
47,4139.2764,17.9159,59.6377,0.0,0.0,0.0,8.0,0.008,GND
48,4182.9698,17.9159,59.6377,0.0,0.0,0.0,8.0,0.008,GND
49,4232.8442,17.9159,59.6377,0.0,0.0,0.0,0.0,0.0,GND
50,4274.9749,17.9134,59.6374,0.0,6.0251,0.0,8.0,0.008,GND
51,4316.3116,17.9134,59.6377,0.0,0.0,0.0,0.0,0.0224,GND
52,4353.0804,17.9155,59.6436,0.0,97.5477,0.0,8.0,0.008,LVL
53,4398.6734,17.9247,59.6718,1308.6683,135.3317,2751.2563,156.0,0.232,CL
54,4438.2161,17.909,59.6927,2464.3216,157.1457,1307.0352,155.7085,0.2637,CL
55,4477.8543,17.8416,59.691,3517.7136,201.0,2856.7839,166.0,0.328,CL
56,4517.7789,17.7642,59.6853,5209.2965,228.3719,1949.1206,150.0,0.3544,CL
57,4557.2714,17.6775,59.6706,6435.1759,271.2714,2358.0402,159.0854,0.4183,CL
58,4597.1709,17.6191,59.6285,8169.9749,288.0854,2339.196,158.6834,0.4342,CL
59,4637.5528,17.5571,59.5842,10039.6985,292.5176,2741.206,166.0,0.4479,CL
60,4677.4623,17.4933,59.5371,11073.8693,325.9849,1901.5075,158.1206,0.502,CL
61,4723.7387,17.4149,59.4773,12826.8844,338.9347,2537.3744,157.4774,0.5259,CL
62,4768.7688,17.3373,59.4179,14544.2211,347.8844,1918.3417,166.0,0.536,CL
63,4809.0854,17.2661,59.363,15637.5628,366.8342,1333.6683,166.0,0.56,CL
64,4849.5678,17.1909,59.3047,16933.794,376.0,2158.794,166.0,0.576,CL
65,4896.1005,17.1028,59.2362,18493.3417,382.7337,1316.5829,150.0,0.588,CL
66,4941.7588,17.0148,59.1674,19385.4271,402.7085,1124.2577,166.0,0.5961,CL
67,5000.2663,16.8953,59.0733,20531.6583,424.6332,1207.107,155.0653,0.6173,CL
68,5048.1658,16.7933,58.9926,21571.8593,437.0,1390.7035,166.0,0.6292,CL
69,5096.0653,16.6908,58.9109,22588.3166,445.2663,1025.1256,44.2111,0.636,CL
70,5136.9648,16.6022,58.84,23199.1206,459.0,1120.603,166.0,0.652,CL
71,5175.2965,16.5163,58.7709,24002.0101,463.0,1054.0201,166.0,0.6591,CL
72,5219.1457,16.4181,58.6914,24898.8693,467.191,1452.2613,166.0,0.672,CL
73,5268.1658,16.3092,58.6029,25779.1457,472.0,1249.7487,166.0,0.684,CL
74,5310.5628,16.2121,58.5235,26607.0352,475.0,1394.4724,166.0,0.6926,CL
75,5351.5779,16.1198,58.4475,27414.4472,479.0,1942.2111,146.8141,0.704,CL
76,5390.5427,16.0329,58.3756,28540.8291,474.0,1522.6131,166.0,0.7004,CL
77,5436.2613,15.932,58.2918,29833.1658,469.0,1244.0955,155.1558,0.7,CL
78,5476.1206,15.8445,58.2188,30827.0101,467.0,1479.8995,6.6734,0.7,CL
79,5520.0603,15.7483,58.138,31776.1307,465.0,1494.3467,166.0,0.7,CL
80,5556.9899,15.6687,58.0708,32574.7487,461.0101,1497.8464,166.0,0.7,CL
81,5599.7889,15.5797,57.9939,33470.603,458.9296,1241.206,166.0,0.7,CL
82,5647.397,15.5047,57.9003,34023.4925,466.9397,140.9548,166.0,0.7,CR
83,5695.402,15.4364,57.8041,34000.0,467.0,0.0,166.0,0.7003,CR
84,5739.2261,15.3741,57.716,34000.0,464.0,0.0,166.0,0.696,CR
85,5781.3216,15.3146,57.631,34000.0,464.0,0.0,166.0,0.696,CR
86,5826.7136,15.2511,57.5399,34000.0,464.0,0.0,166.0,0.696,CR
87,5870.2563,15.1909,57.453,34000.0,465.0,0.0,166.0,0.696,CR
88,5915.1558,15.1283,57.3623,34000.0,466.0,0.0,166.0,0.696,CR
89,5966.0553,15.0582,57.26,34000.0,467.5276,0.0,166.0,0.7,CR
90,6005.2161,15.0033,57.1796,34000.0,470.0,0.0,166.0,0.704,CR
91,6048.7136,14.9435,57.0915,34000.0,472.0,0.0,166.0,0.7011,CR
92,6102.8844,14.8692,56.9813,34000.0,472.0,0.0,166.0,0.704,CR
93,6152.6533,14.8005,56.8789,34000.0,469.0,0.0,166.0,0.704,CR
94,6208.9146,14.7253,56.7662,34000.0,468.0,0.0,166.0,0.704,CR
95,6257.8392,14.659,56.666,34000.0,467.0,0.0,166.0,0.7,CR
