,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0841,41.2931,0.0,9.0,0.0,0.0,0.0,GND
1,59.9211,2.0846,41.2925,0.0,7.1457,0.0,0.0,0.0,GND
2,104.8248,2.0862,41.2898,0.0,9.407,0.0,0.0,0.0,GND
3,148.3336,2.09,41.2896,0.0,11.1256,0.0,0.0,0.0,GND
4,189.3366,2.0946,41.2911,0.0,3.6935,0.0,0.0,0.0,GND
5,237.2675,2.1008,41.2934,0.0,0.0,0.0,0.0,0.0,GND
6,286.3026,2.1028,41.292,0.0,6.8744,0.0,0.0,0.0,GND
7,360.9649,2.06,41.2744,1047.6131,165.6614,2328.4168,0.0,0.1406,CL
8,416.7288,2.0548,41.225,2117.5879,235.9156,1310.0006,69.6482,0.1323,CL
9,471.1457,2.0287,41.1635,4457.2864,267.1457,3203.0117,28.8543,0.4114,CL
10,523.2263,2.008,41.1042,7523.4925,255.5952,1201.2329,0.0,0.0236,CL
11,573.69,2.005,41.0413,9561.6834,292.6211,2761.2626,201.0251,0.3081,CL
12,624.0293,2.0448,40.979,11843.7186,302.3786,2817.9308,150.9045,0.2343,CL
13,679.9648,2.1403,40.9757,13441.0804,327.3216,1554.0521,306.0,0.4813,CL
14,735.1156,2.23,41.0346,14350.0,378.1156,1865.8695,364.4623,0.5725,CL
15,786.6394,2.3255,41.0945,15597.7387,406.0498,2161.7393,34.9146,0.0546,CL
16,843.9738,2.4357,41.1637,17552.7638,413.2277,1592.032,116.2211,0.1838,CL
17,892.3243,2.5323,41.2244,18912.1859,426.6806,1852.8428,201.005,0.3216,CL
18,934.8744,2.6268,41.2726,19964.5729,445.2915,1970.4687,406.0,0.648,CL
19,979.3424,2.7311,41.3209,20979.2714,459.5808,957.8703,35.3668,0.0567,CL
20,1026.397,2.847,41.3743,22209.9246,467.8794,1495.1583,422.0,0.68,CL
21,1076.0201,2.9697,41.4308,23350.5025,478.3467,1377.5126,426.0,0.6947,CL
22,1129.902,3.1068,41.4938,24450.0,490.2008,798.995,232.2412,0.3771,CL
23,1191.0761,3.2658,41.5663,25601.1307,501.9922,1196.4847,115.4975,0.1902,CL
24,1244.3317,3.41,41.6319,26787.4372,507.8894,1541.4573,446.0,0.736,CL
25,1299.2577,3.5554,41.6976,28288.6935,504.9419,1444.9202,66.3317,0.1104,CL
26,1351.2914,3.6946,41.7604,29558.9196,502.4724,-1479.492,154.1307,0.2583,DE
27,1399.6231,3.8251,41.8189,30000.0,507.5628,0.0,438.0,0.736,CR
28,1442.9784,3.9399,41.8702,30000.0,502.1645,0.0,99.397,0.1664,CL
29,1485.1136,4.0526,41.9203,29999.3719,500.9718,3976.1664,417.2462,0.7019,CL
30,1528.6382,4.1701,41.9723,29975.0,496.0,-107.5532,424.0,0.7087,CR
31,1571.2261,4.2821,42.0216,30390.3266,500.6131,1167.175,426.0,0.716,CL
32,1621.6199,4.4101,42.0881,31285.1759,498.9833,1746.8861,175.8392,0.2963,CL
33,1669.4631,4.5164,42.1645,31955.0251,498.2715,963.4883,87.6382,0.1487,CL
34,1718.9945,4.6197,42.2504,32600.0,505.9902,4.6168,437.7889,0.7442,CR
35,1773.2418,4.7341,42.3448,33389.4472,508.3906,576.0122,93.7085,0.1604,CL
36,1834.0583,4.8658,42.453,34054.1457,520.1822,912.34,187.6884,0.322,CL
37,1882.608,4.9713,42.5394,34718.8442,520.1947,1002.4862,169.598,0.291,CL
38,1943.4285,5.1054,42.6487,35879.2714,512.0687,1345.9042,369.799,0.6401,CL
39,1991.686,5.2086,42.7325,36000.0,518.1112,0.0,15.8291,0.0274,CR
40,2032.7627,5.2984,42.8049,36000.0,507.2431,0.0,335.3869,0.5797,CR
41,2080.2907,5.4004,42.8871,36000.0,507.7087,0.0,243.2161,0.4201,CR
42,2136.5969,5.5221,42.9849,36041.3317,511.3419,-134.4186,153.9497,0.2663,CR
43,2198.4762,5.6575,43.0929,36025.0,513.76,-182.4925,61.9095,0.1069,CR
44,2271.8656,5.8192,43.2214,36048.3668,515.7557,249.8981,0.0,0.0,CR
45,2330.6574,5.9051,43.3393,36050.0,485.7337,0.0,0.0,0.0,CR
46,2375.5188,5.9598,43.4324,36025.0,482.1431,0.0,233.0854,0.4014,CR
47,2419.2875,6.0129,43.5215,35950.0,479.4532,0.0,139.2965,0.2406,CR
48,2486.3317,6.0942,43.6581,35950.0,483.1106,0.0,444.2211,0.764,CR
49,2548.7313,6.1709,43.7865,36000.0,486.1351,0.0,42.9648,0.0733,CR
50,2602.0907,6.237,43.8965,36050.0,480.5609,0.0,314.3216,0.5392,CR
51,2650.4371,6.2959,43.9944,36025.0,479.9405,0.0,218.6533,0.3703,CR
52,2705.1934,6.3633,44.1055,36025.0,479.8828,0.0,0.0,0.0,CR
53,2769.3216,6.4433,44.2371,36050.0,475.0,0.0,454.0,0.772,CR
54,2834.4564,6.5215,44.3653,36003.1407,467.439,-331.7879,56.0302,0.0955,DE
55,2882.7779,6.5803,44.4606,35950.0,463.7481,0.0,146.593,0.2494,CR
56,2935.957,6.6337,44.5663,35950.0,451.2488,0.0,237.6583,0.4043,CR
57,2992.0251,6.6724,44.6801,35950.0,453.0,0.0,441.4874,0.752,CR
58,3058.5378,6.7198,44.8158,35950.0,458.4821,0.0,0.0,0.0,CR
59,3122.2881,6.766,44.9493,36025.0,465.9378,0.0,378.2111,0.6416,CR
60,3193.6453,6.8188,45.0991,36050.0,472.9053,38.7653,162.8141,0.275,CR
61,3268.1608,6.8749,45.2584,36050.0,478.0,0.0,452.8643,0.768,CR
62,3350.2261,6.9377,45.4347,36055.6533,476.0,48.995,452.4523,0.768,CR
63,3422.0284,7.0035,45.585,36000.0,482.9462,0.0,440.9548,0.7486,CR
64,3479.8141,7.085,45.7027,36025.0,482.0,69.7236,457.6281,0.7753,CR
65,3560.2563,7.1957,45.8632,35984.799,479.0,-64.9677,453.5678,0.7696,CR
66,3623.608,7.2837,45.99,35975.0,476.0,0.0,452.0,0.768,CR
67,3695.7839,7.3832,46.1324,35975.0,476.0,0.0,450.392,0.7648,CR
68,3769.9497,7.486,46.2788,36000.0,477.0,0.0,451.9799,0.7719,CR
69,3845.1357,7.5914,46.4281,36000.0,476.0,0.0,452.0,0.772,CR
70,3923.4176,7.7009,46.5819,36010.5528,476.3392,-353.3771,191.6382,0.3259,DE
71,3989.9326,7.8109,46.7061,36025.0,472.3984,0.0,283.9196,0.4849,CR
72,4053.8706,7.9191,46.8246,35975.0,472.0319,0.0,375.3769,0.6406,CR
73,4118.7588,8.0286,46.9444,35998.995,473.0,219.8492,448.0804,0.768,CR
74,4184.1709,8.1408,47.0661,36018.8442,472.372,335.8043,339.196,0.5819,CL
75,4257.7387,8.2652,47.2005,36036.3065,466.0,-164.3216,454.0,0.78,CR
76,4368.0251,8.4494,47.3982,35950.0,455.0,0.0,444.0,0.764,CR
77,4459.9497,8.6035,47.5621,36003.392,456.0,288.3704,446.2714,0.776,CL
78,4554.5075,8.736,47.7366,36967.9648,450.9296,796.8413,436.0,0.7557,CL
79,4637.7689,8.8031,47.9041,37750.0,454.2305,134.5142,319.8392,0.5557,CR
80,4699.0704,8.8543,48.03,37987.0603,462.4824,-194.0955,450.0,0.784,CR
81,4794.2462,8.9352,48.2283,38000.0,472.3116,-344.2211,447.2462,0.7732,DE
82,4894.005,9.0214,48.4375,38022.3618,460.7889,-8.3311,455.1558,0.7935,CR
83,5051.6985,9.1562,48.7619,38000.0,463.0,0.0,446.0,0.776,CR
84,5199.7588,9.2855,49.0657,37957.6633,461.9587,-75.1808,306.5126,0.5354,CR
85,5327.9246,9.3954,49.3288,38000.0,459.5126,0.0,445.0251,0.78,CR
86,5475.407,9.5215,49.6273,38000.0,447.0,0.0,442.0,0.7771,CR
87,5611.5276,9.6386,49.9002,38000.0,455.9246,0.0,446.0,0.78,CR
88,5713.4774,9.7296,50.1056,38025.0,456.0,0.0,446.2613,0.784,CR
89,5802.9598,9.8126,50.2873,38025.0,453.6633,0.0,446.6734,0.7813,CR
90,5908.2864,9.9142,50.4983,37975.0,454.5427,0.0,444.0,0.78,CR
91,6007.5025,10.1049,50.6658,38025.0,450.0,0.0,447.4975,0.783,CR
92,6089.1809,10.2639,50.7999,38025.0,442.0,0.0,449.9095,0.7878,CR
93,6173.3568,10.427,50.9362,37954.0201,437.0,-314.6985,440.0,0.772,DE
94,6268.5327,10.6126,51.0899,37975.0,442.0,0.0,442.0,0.7735,CR
95,6401.8442,10.8753,51.3054,38025.0,437.5729,0.0,445.1457,0.78,CR
96,6511.6633,11.09,51.4796,37975.0,435.0,0.0,442.0,0.776,CR
97,6583.7376,11.2305,51.5945,38000.0,435.2892,0.0,6.6935,0.0118,CR
98,6645.2362,11.3231,51.7045,38000.0,437.0,0.0,446.0,0.78,CR
99,6713.4152,11.412,51.831,38000.0,437.1888,0.0,267.7387,0.4704,CR
100,6787.191,11.5097,51.9676,38000.0,437.0,0.0,444.0,0.78,CR
101,6854.7186,11.605,52.09,38000.0,437.0,0.0,444.0,0.7792,CR
102,6934.8643,11.7176,52.2355,38000.0,437.0,0.0,446.0,0.78,CR
103,7028.6654,11.8505,52.4061,38000.0,435.3879,0.0,98.6131,0.1725,CR
104,7087.2148,11.9334,52.5119,38000.0,433.4241,0.0,190.5025,0.3332,CR
105,7137.4325,12.0048,52.6022,38000.0,432.1785,0.0,163.608,0.2876,CR
106,7202.2676,12.0966,52.7181,38000.0,429.1263,0.0,374.2814,0.6546,CR
107,7277.6382,12.2051,52.8537,38000.0,426.0452,0.0,444.0905,0.78,CR
108,7343.8891,12.2979,52.9692,37975.0,425.457,0.0,111.5578,0.195,CR
109,7423.2563,12.4125,53.1108,38000.0,426.0,342.9648,444.0,0.7782,CL
110,7512.6834,12.5406,53.2682,38025.0,425.6633,0.0,446.0,0.78,CR
111,7579.4548,12.637,53.3853,38000.0,425.5306,0.0,58.2714,0.1019,CR
112,7637.9005,12.7217,53.488,38000.0,424.0551,0.0,412.3819,0.7212,CR
113,7686.8022,12.793,53.5739,38025.0,422.0681,0.0,126.0704,0.2206,CR
114,7735.5126,12.8641,53.6593,38000.0,419.0,0.0,446.0,0.78,CR
115,7796.5327,12.9518,53.7645,37975.0,418.3065,0.0,446.0,0.78,CR
116,7875.2873,13.0671,53.9005,38000.0,417.0483,0.0,401.1759,0.7016,CR
