,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0823,41.294,0.0,0.0,0.0,0.0,0.0,GND
1,311.5917,2.0823,41.294,0.0,0.0,0.0,0.0,0.0,GND
2,391.6615,2.0823,41.294,0.0,0.0,0.0,0.0,0.0,GND
3,481.7667,2.0823,41.294,0.0,0.0,0.0,0.0,0.0,GND
4,670.6985,2.0823,41.294,0.0,0.0,0.0,0.0,0.0,GND
5,772.9611,2.0823,41.2934,0.0,4.8744,0.0,0.0,0.0,GND
6,821.8808,2.0839,41.2936,0.0,7.7588,0.0,0.0,0.0,GND
7,869.7159,2.0851,41.2916,0.0,0.4925,0.0,0.0,0.0,GND
8,916.8084,2.0872,41.2886,0.0,12.4774,0.0,0.0,0.0,GND
9,976.8643,2.0927,41.2905,0.0,20.0,0.0,0.0,0.0,GND
10,1035.9945,2.0995,41.2929,0.0,16.1457,0.0,0.0,0.0,GND
11,1091.3114,2.1032,41.2922,0.0,0.0,0.0,0.0,0.0,GND
12,1195.8739,2.0651,41.2618,1525.0,150.4306,105.5276,9.407,0.0142,LVL
13,1281.7902,2.1076,41.1974,3513.5678,271.9296,3208.733,250.4925,0.3776,CL
14,1362.3657,2.2375,41.208,7746.4824,282.5352,2135.0092,19.4171,0.0298,CL
15,1431.7739,2.342,41.2566,11713.6935,271.0754,3000.0,258.1508,0.4,CL
16,1489.7003,2.4304,41.2994,13241.9598,322.2225,1480.4368,286.9146,0.4451,CL
17,1546.7792,2.5367,41.3451,14300.0,379.1968,102.5126,31.608,0.0495,CR
18,1599.9793,2.6536,41.3907,15513.6935,416.3473,2092.0803,36.0,0.0568,CL
19,1648.903,2.7675,41.4364,17242.8392,424.9953,4182.8871,370.8543,0.5861,CL
20,1698.5829,2.8826,41.4826,18497.4874,441.8832,2267.008,42.4121,0.0671,CL
21,1765.3668,3.0453,41.5477,20603.8945,450.0,1788.9447,433.5779,0.692,CL
22,1840.5578,3.233,41.6221,22663.9447,463.0,1582.9146,442.6633,0.7129,CL
23,1937.5377,3.4832,41.7205,24941.3317,480.8844,1165.8919,460.0,0.752,CL
24,2006.6382,3.6678,41.7924,26465.9548,488.0,1463.8191,470.0,0.772,CL
25,2079.3719,3.8637,41.8686,27962.4372,495.0,1276.8334,476.0,0.788,CL
26,2140.608,4.0309,41.933,29540.201,490.0,1501.5805,470.0,0.784,CL
27,2196.3174,4.1801,41.9902,31004.6482,483.2329,1756.221,402.7739,0.6811,CL
28,2252.0814,4.3269,42.0477,32364.4472,477.826,1507.2881,65.2864,0.1109,CL
29,2321.2714,4.4854,42.14,33792.7136,466.0,658.2915,459.7085,0.7874,CL
30,2397.2462,4.6326,42.2604,35313.6935,460.0,915.0754,456.3015,0.788,CL
31,2468.7872,4.7682,42.3721,36746.1055,453.6208,700.0778,70.4121,0.1221,CL
32,2536.3106,4.8965,42.4773,37645.9799,452.3264,379.3874,72.6834,0.1261,CL
33,2617.3367,5.0508,42.6039,38000.0,453.0,0.0,450.3317,0.7847,CR
34,2708.2129,5.2256,42.7458,38000.0,459.3603,0.0,77.5678,0.1346,CR
35,2765.4488,5.3375,42.8362,38025.0,462.07,0.0,79.8492,0.1393,CR
36,2836.1212,5.4761,42.9477,38000.0,463.3304,0.0,82.1307,0.1433,CR
37,2939.2111,5.6718,43.1137,37979.6482,450.6734,-81.407,454.0,0.7887,CR
38,3007.1367,5.7535,43.2415,37975.0,449.6445,0.0,86.3116,0.1497,CR
