,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0735,41.2928,0.0,10.0,0.0,0.0,0.0,GND
1,104.5565,2.0778,41.2942,0.0,1.4372,0.0,0.0,0.0,GND
2,154.9915,2.0814,41.2954,0.0,3.1357,0.0,0.0,0.0,GND
3,203.5419,2.0834,41.2943,0.0,4.3116,0.0,0.0,0.0,GND
4,256.3554,2.0843,41.2917,0.0,6.6834,0.0,0.0,0.0,GND
5,326.5729,2.0822,41.2874,0.0,5.0,0.0,0.0,0.0,GND
6,386.9309,2.0792,41.2858,0.0,13.3266,0.0,0.0,0.0,GND
7,452.494,2.0743,41.2833,0.0,1.196,0.0,0.0,0.0,GND
8,535.734,2.0941,41.2891,-46.7337,149.0917,704.7192,0.0,0.0,CL
9,622.878,2.1892,41.2841,2575.0,225.3518,1300.3305,43.6181,0.0661,CL
10,692.8489,2.2942,41.287,5595.9799,256.6002,2325.1099,83.9899,0.1287,CL
11,762.6482,2.407,41.2974,8471.8593,272.1358,3330.4182,123.2864,0.1906,CL
12,810.7334,2.4902,41.3035,10239.196,288.6894,2317.9262,166.9447,0.2589,CL
13,862.397,2.5912,41.3107,11084.9246,343.6985,1386.9347,338.0,0.5324,CL
14,923.4874,2.725,41.3206,13228.6432,362.0,2549.8148,356.0,0.5567,CL
15,977.7066,2.8463,41.3291,14921.9849,379.2381,1640.3108,14.7136,0.0227,CL
16,1030.2189,2.9698,41.3374,16638.5678,388.5759,1641.1319,0.0,0.0,CL
17,1089.7688,3.1155,41.3475,18349.7487,401.4422,1585.7845,386.8844,0.6138,CL
18,1157.1347,3.2705,41.3165,20350.0,396.707,1166.8342,256.7035,0.4097,CL
19,1215.6455,3.4001,41.2723,22036.1809,399.9495,829.5201,195.8593,0.3165,CL
20,1279.8361,3.5319,41.2064,23655.6533,402.3115,902.8013,255.0352,0.4144,CL
21,1344.1322,3.6652,41.1396,24812.1859,412.3879,979.9101,108.6633,0.1773,CL
22,1421.4877,3.8303,41.0538,26084.2965,426.0063,1608.0895,381.2261,0.6261,CL
23,1491.4557,3.9967,41.0032,27375.1256,432.6434,684.0977,2.2111,0.0037,CL
24,1539.732,4.1196,40.9763,28185.1759,437.0312,-5758.5291,60.2412,0.1004,DE
25,1599.5209,4.2743,40.9427,29138.3166,441.9047,1133.9291,120.3819,0.2013,CL
26,1665.5879,4.4474,40.9068,30329.7739,442.0,989.3216,454.0,0.764,CL
27,1729.5829,4.6194,40.8949,31476.3819,442.0,527.6382,452.0,0.7659,CL
28,1790.688,4.7821,40.8833,32465.8291,440.2636,583.7642,296.2312,0.5056,CL
29,1854.5321,4.9513,40.8712,33509.1709,438.4153,1015.63,94.5528,0.1621,CL
30,1920.6784,5.1287,40.8582,34000.0,440.0804,0.0,446.0,0.768,CR
31,2000.0993,5.3383,40.8425,34000.0,437.046,0.0,421.6884,0.7256,CR
32,2064.4192,5.5084,40.8293,34000.0,439.2334,0.0,0.0,0.0,CR
33,2117.2462,5.6509,40.818,34000.0,440.0,0.0,445.3769,0.768,CR
34,2167.9977,5.7843,40.8075,34000.0,438.1977,0.0,196.3417,0.3378,CR
35,2241.5729,5.9798,40.7916,34000.0,435.0,0.0,448.0,0.768,CR
36,2319.1106,6.1836,40.7748,34000.0,433.0,0.0,443.407,0.764,CR
37,2387.5025,6.3634,40.7595,33950.0,433.0,0.0,440.0,0.76,CR
38,2452.8241,6.534,40.7447,33975.0,436.0,0.0,444.0,0.764,CR
39,2519.2178,6.7081,40.7567,34025.0,441.0621,0.0,405.2261,0.6983,CR
40,2585.106,6.8807,40.7916,34000.0,447.2312,0.0,351.3367,0.6036,CR
41,2661.6608,7.0856,40.8142,34000.0,445.8592,0.0,292.0201,0.5017,CR
42,2718.4572,7.2361,40.7936,34000.0,441.4241,0.0,231.6784,0.3977,CR
43,2780.1823,7.4016,40.7917,34000.0,441.5841,0.0,279.3769,0.4796,CR
44,2854.2881,7.6001,40.7976,34000.0,441.1579,0.0,113.5678,0.195,CR
45,2911.8492,7.7559,40.8025,34000.0,444.914,0.0,395.7286,0.6824,CR
46,2987.6933,7.9622,40.8087,34000.0,449.1098,0.0,4.5628,0.0078,CR
47,3049.5628,8.1313,40.8134,34000.0,435.8593,0.0,445.7186,0.7634,CR
48,3113.0255,8.2986,40.8178,34000.0,435.0755,0.0,324.9749,0.5567,CR
49,3166.206,8.4375,40.8217,34000.0,429.598,0.0,446.0,0.764,CR
50,3216.0085,8.5673,40.8249,33975.0,425.091,0.0,206.5628,0.3533,CR
51,3263.5746,8.6895,40.8274,33950.0,422.9736,0.0,0.0,0.0,CR
52,3315.7488,8.8248,40.8302,34000.0,426.6232,0.0,350.9347,0.6098,CR
53,3388.6985,9.0171,40.8344,34000.0,436.0,0.0,452.0,0.7797,CR
54,3459.1106,9.2053,40.8379,34000.0,438.0553,0.0,452.0,0.7798,CR
55,3525.2542,9.3821,40.8407,34000.0,434.8066,0.0,369.5879,0.635,CR
