,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0757,41.3009,0.0,2.0,0.0,0.0,0.152,GND
1,102.6433,2.077,41.3004,0.0,0.5025,0.0,0.0,0.0382,GND
2,224.4946,2.0773,41.3005,0.0,0.0,0.0,0.0,0.0,GND
3,404.9088,2.077,41.3005,0.0,0.7387,0.0,0.0,0.0374,GND
4,457.2279,2.0758,41.2994,0.0,0.0452,0.0,0.0,0.0008,GND
5,564.2563,2.0683,41.2969,0.0,15.0,0.0,0.0,0.152,GND
6,674.0603,2.0613,41.2936,0.0,10.0,0.0,0.0,0.152,GND
7,723.706,2.0628,41.2909,0.0,10.6231,0.0,0.0,0.1153,GND
8,773.0973,2.0652,41.29,0.0,0.1005,0.0,1.005,0.0015,GND
9,818.3392,2.069,41.2912,0.0,4.4422,0.0,26.1307,0.0397,GND
10,873.3665,2.074,41.2929,0.0,7.3116,0.0,48.7437,0.0741,GND
11,945.0111,2.0779,41.2942,0.0,8.402,0.0,76.3819,0.1161,GND
12,998.2771,2.0821,41.2956,0.0,0.1809,0.0,1.5075,0.0023,GND
13,1053.5027,2.0852,41.296,0.0,3.4623,0.0,26.6332,0.0405,GND
14,1125.1055,2.0885,41.2907,0.0,20.0,0.0,100.0,0.152,GND
15,1192.8139,2.093,41.2906,0.0,12.3015,0.0,76.8844,0.1169,GND
16,1250.1206,2.0993,41.2927,0.0,12.9799,0.0,0.0,0.0,GND
17,1296.9511,2.1025,41.2925,0.0,3.2563,0.0,27.1357,0.0412,GND
18,1349.6007,2.0918,41.2883,-50.0,109.6436,-156.4177,0.0,0.0,LVL
19,1436.138,2.0567,41.2323,2535.4271,193.7558,2441.643,153.2261,0.2322,CL
20,1488.0754,2.0378,41.1849,3801.8844,232.1256,1179.2276,194.1005,0.3522,CL
21,1552.6583,2.0041,41.1116,6276.005,261.0,3089.4578,198.0,0.404,CL
22,1613.0553,1.9819,41.0418,8864.5729,273.5276,2072.8643,270.0,0.412,CL
23,1686.3367,2.0867,41.0203,11213.9447,300.5578,1027.6382,293.1156,0.4542,CL
24,1749.2111,2.2023,41.0648,12456.7839,357.0603,2967.6956,340.1206,0.5281,CL
25,1819.842,2.3429,41.1178,14796.1055,376.8288,1231.6563,257.2563,0.4024,CL
26,1877.9522,2.4676,41.1651,16464.9497,398.8248,1993.9368,201.3467,0.3175,CL
27,1927.3677,2.5781,41.2069,17725.0,416.9037,369.0738,85.5678,0.1348,CL
28,1978.2075,2.6961,41.2515,19231.1558,427.0593,1652.9919,389.7889,0.6213,CL
29,2033.1457,2.8276,41.3006,20785.804,438.0,1821.4824,411.1457,0.6611,CL
30,2085.5881,2.9551,41.3481,22301.8844,442.2447,2468.0254,225.8291,0.3635,CL
31,2150.7337,3.1166,41.4082,23798.6181,455.5779,1556.6005,432.0,0.7,CL
32,2224.1206,3.3036,41.4773,25453.0151,465.0,1318.9992,444.0,0.72,CL
33,2277.5924,3.4406,41.5279,26521.8593,471.5136,385.9793,130.5729,0.2145,CL
34,2326.0283,3.5767,41.5603,27388.5678,482.0366,1167.0115,246.392,0.4059,CL
35,2382.7638,3.7436,41.588,28279.397,489.794,991.8221,461.5879,0.764,CL
36,2449.3166,3.9413,41.6206,29305.6533,496.0452,764.537,467.9095,0.78,CL
37,2531.4824,4.1855,41.6661,30772.2362,489.407,1322.1106,464.0,0.78,CL
38,2611.3819,4.3658,41.7773,32182.1608,473.4523,1125.0,464.0,0.7858,CL
39,2705.7432,4.5699,41.9136,33684.9246,467.813,726.3362,92.0603,0.1568,CL
40,2762.4272,4.6922,41.9948,34000.0,466.6641,0.0,22.9146,0.0392,CR
41,2820.206,4.8186,42.0784,34000.0,464.6985,0.0,452.0,0.776,CR
42,2885.3166,4.959,42.1711,34000.0,463.0,0.0,450.0,0.772,CR
43,2950.4121,5.0994,42.2633,34000.0,462.0,0.0,450.0,0.772,CR
44,3012.608,5.2328,42.3506,34000.0,463.9447,0.0,451.8894,0.772,CR
45,3101.4523,5.4254,42.4765,34000.0,464.6935,0.0,448.0,0.7692,CR
46,3208.1156,5.6604,42.6275,34000.0,467.0,0.0,454.0,0.7778,CR
47,3279.5824,5.8218,42.7267,34000.0,470.892,0.0,367.3065,0.6311,CR
48,3346.0579,5.9764,42.8151,34000.0,470.9924,0.0,428.5025,0.733,CR
