,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0802,41.2917,0.0,2.0,0.0,0.0,0.0,GND
1,22.3266,2.0802,41.2917,0.0,3.5477,0.0,0.0,0.0,GND
2,47.7688,2.0802,41.2917,0.0,9.0,0.0,0.0,0.0,GND
3,78.3166,2.0801,41.2918,0.0,2.0,0.0,0.0,0.0,GND
4,100.5377,2.08,41.292,0.0,2.0,0.0,0.0,0.0,GND
5,120.6332,2.0799,41.2923,0.0,1.7889,0.0,0.0,0.0,GND
6,149.9799,2.0801,41.2926,0.0,2.0,0.0,0.0,0.0,GND
7,171.0955,2.0804,41.2927,0.0,2.0,0.0,0.0,0.0,GND
8,192.3819,2.0804,41.2927,0.0,9.0,0.0,0.0,0.0,GND
9,219.9497,2.0804,41.2927,0.0,9.0,0.0,0.0,0.0,GND
10,247.0553,2.0804,41.2927,0.0,9.0,0.0,0.0,0.0,GND
11,281.1608,2.0802,41.2927,0.0,16.8643,0.0,0.0,0.0,GND
12,310.9196,2.0791,41.2931,0.0,24.6533,0.0,0.0,0.0,GND
13,366.7487,2.0812,41.2953,0.0,15.0,0.0,0.0,0.0,GND
14,389.191,2.0832,41.2958,0.0,15.0,0.0,0.0,0.0,GND
15,413.5829,2.0853,41.296,0.0,15.0,0.0,0.0,0.0,GND
16,434.6131,2.0862,41.2945,0.0,17.0,0.0,0.0,0.0,GND
17,456.0352,2.0871,41.293,0.0,16.2412,0.0,0.0,0.0,GND
18,476.9196,2.088,41.2915,0.0,18.0,0.0,0.0,0.0,GND
19,496.603,2.0891,41.2898,0.0,17.598,0.0,0.0,0.0,GND
20,518.5327,2.0905,41.2897,0.0,31.0,0.0,0.0,0.0,GND
21,538.8593,2.092,41.2902,0.0,32.6432,0.0,0.0,0.0,GND
22,562.7286,2.094,41.2909,0.0,17.5779,0.0,0.0,0.0,GND
23,584.2563,2.096,41.2916,0.0,16.0854,0.0,0.0,0.0,GND
24,607.3065,2.0982,41.2924,0.0,17.0804,0.0,0.0,0.0,GND
25,626.1658,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
26,647.4975,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
27,666.9698,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
28,697.9548,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
29,724.6482,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
30,760.799,2.0989,41.2926,0.0,10.0,0.0,0.0,0.0,GND
31,784.6884,2.0992,41.2928,0.0,19.397,0.0,0.0,0.0,GND
32,803.4523,2.1005,41.2933,0.0,32.5678,0.0,0.0,0.0,GND
33,825.593,2.1025,41.2936,0.0,19.7437,0.0,0.0,0.0,GND
34,846.5528,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
35,871.4322,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
36,892.9598,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
37,918.7236,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
38,944.608,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
39,968.2462,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
40,1001.2211,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
41,1028.0653,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
42,1060.8593,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
43,1085.5377,2.1028,41.2932,0.0,10.0,0.0,0.0,0.0,GND
44,1110.2864,2.1028,41.2932,0.0,9.0,0.0,0.0,0.0,GND
45,1142.7487,2.1028,41.2932,0.0,10.8995,0.0,0.0,0.0,GND
46,1168.196,2.1031,41.2928,0.0,21.0,0.0,0.0,0.0,GND
47,1189.1759,2.1032,41.2922,0.0,21.2161,0.0,0.0,0.0,GND
48,1211.2261,2.1029,41.2921,0.0,9.0,0.0,0.0,0.0,GND
49,1232.005,2.1019,41.2917,0.0,35.1809,0.0,0.0,0.0,GND
50,1285.8291,2.0635,41.2764,1294.3467,159.7739,2439.196,0.0,0.2567,CL
51,1329.8291,2.0495,41.2395,2206.9095,214.8291,861.809,0.0,0.312,CL
52,1362.4874,2.0279,41.2069,3486.5578,247.0,3862.1956,0.0,0.37,CL
53,1391.8744,1.9972,41.1833,4832.7889,260.7186,2777.6382,326.0,0.3944,CL
54,1409.8191,1.9689,41.1766,5789.4472,266.0,3439.6985,326.0,0.416,CL
55,1456.4824,1.9159,41.2117,8478.1407,261.0,4465.0754,280.0,0.436,CL
56,1522.5276,1.8932,41.2842,12489.5729,241.3819,2645.7286,264.0,0.4175,CL
57,1938.6181,1.7643,41.828,25285.3015,370.4121,1032.5397,391.206,0.6584,CL
58,1991.8241,1.7327,41.9178,26141.206,393.8241,2637.2487,415.6482,0.696,CL
59,2012.0905,1.7197,41.9547,26452.2613,400.1357,927.1357,422.0,0.712,CL
60,2075.9849,1.6776,42.0742,27634.6734,418.3317,1355.0251,437.598,0.7432,CL
61,2464.799,1.4982,42.8376,34000.0,440.4874,0.0,452.0,0.776,CR
62,2538.4171,1.4714,42.9877,34000.0,438.0,0.0,452.0,0.776,CR
63,2561.6482,1.4636,43.0313,34000.0,437.0,0.0,450.0,0.776,CR
64,2582.603,1.4558,43.0749,33975.0,436.0,-181.9813,450.3015,0.776,CR
65,2622.1156,1.4414,43.1545,34000.0,435.0,0.0,450.0,0.7735,CR
66,2642.7789,1.4336,43.1973,34000.0,434.0,0.0,450.0,0.7736,CR
67,2697.3518,1.4145,43.3044,34000.0,433.0,0.0,448.0,0.772,CR
68,2989.0201,1.3087,43.884,34000.0,436.0,0.0,448.0704,0.7721,CR
69,3041.7688,1.2888,43.9915,34000.0,436.0,0.0,448.0,0.776,CR
70,3062.3417,1.2811,44.0329,34000.0,437.0,0.0,449.0452,0.776,CR
71,3082.397,1.2737,44.0731,34000.0,436.0,0.0,447.397,0.772,CR
72,3102.7588,1.2656,44.1166,34000.0,436.0,0.0,448.0,0.776,CR
73,3124.5628,1.2585,44.1551,34000.0,437.0,0.0,450.0,0.776,CR
74,3145.1709,1.2502,44.1994,34000.0,437.0,0.0,448.0,0.776,CR
75,3170.7487,1.2408,44.2501,34000.0,437.5829,0.0,448.0,0.772,CR
76,3192.2161,1.2333,44.2902,34000.0,438.196,0.0,446.0,0.772,CR
77,3219.3065,1.2229,44.3462,34000.0,439.1256,0.0,448.0503,0.776,CR
