,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0777,41.3016,0.0,0.0,0.0,0.0,0.0,GND
1,63.6553,2.0778,41.3012,0.0,1.4472,0.0,0.0,0.0733,GND
2,105.2877,2.0783,41.3009,0.0,0.0,0.0,0.0,0.0,GND
3,308.5528,2.0771,41.3004,0.0,8.0,0.0,0.0,0.152,GND
4,346.0704,2.0759,41.2994,0.0,12.0704,0.0,0.0,0.152,GND
5,405.3951,2.0689,41.2971,0.0,10.7136,0.0,0.0,0.0626,GND
6,444.7289,2.0636,41.2952,0.0,2.5327,0.0,0.0,0.016,GND
7,505.2462,2.0622,41.2918,0.0,19.0,0.0,0.0,0.152,GND
8,539.1407,2.0646,41.2902,0.0,17.0,0.0,100.0,0.152,GND
9,568.7277,2.068,41.2909,0.0,15.1407,0.0,65.8291,0.1001,GND
10,612.0619,2.0741,41.293,0.0,21.4271,0.0,82.4121,0.1253,GND
11,660.6935,2.0814,41.2954,0.0,27.0,0.0,100.0,0.152,GND
12,696.6935,2.0852,41.2961,0.0,2.1106,0.0,21.1055,0.0321,GND
13,729.7286,2.0865,41.294,0.0,20.0,0.0,100.0,0.152,GND
14,758.2462,2.0881,41.2913,0.0,26.0,0.0,100.0,0.152,GND
15,796.7638,2.0905,41.2897,0.0,14.7638,0.0,100.0,0.152,GND
16,843.191,2.0968,41.2919,0.0,0.0,0.0,0.0,0.0,GND
17,884.799,2.1016,41.2931,0.0,18.0,0.0,100.0,0.152,GND
18,931.3166,2.1001,41.2911,0.0,54.2663,0.0,100.0,0.152,LVL
19,979.5025,2.0665,41.2785,954.2714,142.1658,2085.4271,100.0,0.248,CL
20,1042.0553,2.0606,41.2353,3185.1759,155.3518,2324.1206,166.0,0.256,CL
21,1109.7468,2.0343,41.1796,4700.0,231.7154,130.6533,21.6884,0.0502,LVL
22,1171.176,2.0583,41.1168,7288.6935,281.5402,2838.0125,106.794,0.1672,CL
23,1238.9135,2.1808,41.1063,11192.8392,308.6162,4629.4496,276.7839,0.4342,CL
24,1306.4221,2.3213,41.0958,14096.1055,357.4221,3000.0,346.0,0.5497,CL
25,1377.8794,2.482,41.098,17370.4774,388.9397,2204.7739,362.0,0.5798,CL
26,1446.9146,2.6231,41.1722,20284.2965,415.4573,2657.0352,382.9146,0.62,CL
27,1519.9303,2.7774,41.2528,23471.8593,426.9872,2802.7243,389.9497,0.6434,CL
28,1587.4774,2.9265,41.3299,25936.5578,440.4925,2257.1752,412.0,0.688,CL
29,1671.0302,3.1163,41.4275,28701.2563,453.9899,3510.8642,416.0201,0.704,CL
30,1731.5831,3.2563,41.4992,30000.0,457.495,0.0,0.0,0.0,CR
31,1794.1357,3.4036,41.5742,30000.0,459.0452,0.0,420.0,0.72,CR
32,1857.095,3.5511,41.6492,30000.0,458.2489,0.0,237.5075,0.4052,CR
33,1943.1608,3.7499,41.7492,30000.0,459.0,0.0,422.0,0.72,CR
34,2016.794,3.9255,41.8371,30000.0,458.0,0.0,424.804,0.724,CR
35,2090.14,4.0999,41.924,31100.0,460.0124,442.2111,371.4573,0.6403,CL
36,2152.5327,4.2503,41.9988,32038.3166,484.3668,1513.2421,444.7337,0.7695,CL
37,2225.4251,4.4319,42.0963,33807.5377,488.9505,1434.2457,377.0653,0.6556,CL
38,2288.9818,4.5618,42.2022,35266.7085,491.9785,1179.933,146.593,0.2587,CL
39,2351.0161,4.688,42.3059,36734.2965,488.1892,228.8834,81.4372,0.145,CR
40,2414.8141,4.8171,42.4117,37975.0,485.0,0.0,438.0,0.78,CR
42,2573.8693,5.1395,42.676,37975.0,481.11,-156.7839,320.593,0.5703,CR
44,2720.9523,5.4383,42.9173,37975.0,479.1996,0.0,334.3116,0.5943,CR
45,2788.5829,5.5758,43.0273,38000.0,478.0,0.0,432.0,0.768,CR
46,2851.9328,5.705,43.1305,38000.0,478.0658,0.0,349.5075,0.6246,CR
47,2914.3266,5.8322,43.231,38000.0,476.5432,0.0,140.4523,0.2509,CR
48,2984.5327,5.9538,43.3555,37975.0,470.0,0.0,428.0,0.764,CR
49,3056.0854,6.0353,43.4996,37975.0,471.0,0.0,428.0,0.764,CR
50,3129.6382,6.1186,43.6461,38000.0,473.8794,0.0,430.0,0.768,CR
51,3206.191,6.2093,43.8049,38000.0,476.0,0.0,430.0,0.768,CR
52,3281.9435,6.324,43.9494,38000.0,482.9625,0.0,36.9045,0.0656,CR
53,3342.8643,6.4248,44.0655,38000.0,483.0,0.0,434.0,0.776,CR
54,3405.8846,6.5279,44.1837,38000.0,484.0139,0.0,410.2915,0.737,CR
55,3474.402,6.6421,44.314,38000.0,484.0,0.0,430.0,0.768,CR
56,3543.8162,6.7579,44.4453,38000.0,485.3703,0.0,6.5126,0.0116,CR
57,3619.7125,6.8213,44.605,38000.0,470.9373,0.0,216.0804,0.3859,CR
58,3685.0603,6.8507,44.7439,37975.0,472.0,0.0,428.0,0.7641,CR
59,3762.6029,6.8868,44.9116,37975.0,474.0786,0.0,227.9799,0.4086,CR
60,3829.1658,6.9182,45.0578,38000.0,480.0,0.0,432.0,0.772,CR
62,3961.258,7.0067,45.3441,37977.2613,485.9634,47.5731,391.1055,0.6985,CR
63,4029.608,7.085,45.487,38000.0,485.392,0.0,434.0,0.7736,CR
64,4095.5025,7.1616,45.6262,37975.0,488.0,0.0,428.0,0.768,CR
65,4176.3728,7.2557,45.7945,37975.0,488.0829,-238.7047,275.2965,0.494,CR
66,4256.6296,7.3521,45.9624,38000.0,486.5827,0.0,68.8241,0.1229,CR
67,4344.1156,7.459,46.1446,38000.0,485.1916,0.0,290.3518,0.521,CR
68,4420.5879,7.5536,46.3034,37995.1005,485.0,-97.9899,426.0,0.764,CR
69,4497.3715,7.6495,46.4613,38000.0,484.0411,0.0,120.8744,0.2165,CR
70,4563.6935,7.7358,46.5988,38000.0,486.2312,0.0,422.4623,0.7591,CR
71,4636.8038,7.8273,46.7496,38000.0,487.0888,0.0,320.4623,0.572,CR
72,4712.3837,7.9176,46.9088,38000.0,488.0093,0.0,113.9899,0.2035,CR
73,4788.3518,8.0115,47.07,38000.0,492.0,0.0,431.5678,0.772,CR
74,4867.9045,8.1099,47.2377,37992.4623,494.0,-150.7538,432.0,0.772,CR
76,5037.0101,8.3202,47.5935,38000.0,488.0,0.0,432.0,0.772,CR
77,5113.5628,8.4156,47.7535,38000.0,485.8543,0.0,430.0,0.768,CR
78,5196.1714,8.5186,47.924,37975.0,481.5651,0.0,268.8442,0.4774,CR
79,5265.9706,8.6039,48.0653,38000.0,477.0758,0.0,377.1256,0.676,CR
80,5335.2211,8.6914,48.209,38000.0,478.0,0.0,430.0,0.764,CR
81,5405.7739,8.7799,48.3535,38000.0,479.0,0.0,434.0,0.772,CR
82,5494.2749,8.8909,48.5332,38000.0,476.551,0.0,244.3116,0.4351,CR
83,5583.8794,9.0028,48.7129,38000.0,469.0,0.0,434.0,0.768,CR
84,5665.4322,9.1048,48.8758,38000.0,468.0,0.0,430.0,0.7619,CR
85,5738.9849,9.1985,49.0242,37975.0,466.0101,0.0,432.0,0.764,CR
86,5810.9529,9.2888,49.1667,38000.0,465.3078,0.0,213.4975,0.3744,CR
87,5877.0905,9.3721,49.2971,38000.0,463.0,0.0,442.0,0.7801,CR
88,5941.8232,9.4538,49.4244,38000.0,459.1034,0.0,238.8141,0.425,CR
89,6016.1194,9.5457,49.5665,37975.0,457.0307,0.0,400.0402,0.7066,CR
90,6096.7487,9.6495,49.7263,38000.0,460.0,0.0,432.8342,0.768,CR
91,6190.3015,9.7695,49.9094,38000.0,462.0,0.0,428.0,0.756,CR
92,6270.4724,9.8752,50.0685,38000.0,470.0,0.0,431.2362,0.7625,CR
93,6339.407,9.9666,50.2067,38000.0,474.0,0.0,432.0,0.76,CR
94,6409.3425,10.0621,50.3495,38000.0,477.3043,0.0,153.2563,0.2691,CR
95,6473.5126,10.1492,50.4786,37975.0,477.0,0.0,438.0,0.772,CR
96,6553.9854,10.2598,50.6414,37975.0,469.2416,0.0,304.2915,0.5342,CR
97,6618.0512,10.3472,50.7678,38000.0,469.8217,0.0,91.8894,0.1615,CR
98,6705.1709,10.4763,50.9372,38000.0,461.2764,0.0,444.5528,0.78,CR
99,6793.3579,10.6025,51.1042,38000.0,458.0843,0.0,335.3869,0.5888,CR
100,6862.2764,10.7031,51.2365,38000.0,457.0,0.0,442.0,0.78,CR
101,6930.1055,10.8022,51.3657,37975.0,454.0,0.0,438.0,0.772,CR
102,7010.0298,10.9186,51.5159,38000.0,450.4602,0.0,89.005,0.1566,CR
103,7090.9347,11.0357,51.6668,38000.0,450.0,0.0,438.0,0.768,CR
104,7166.3242,11.1469,51.808,38000.0,451.9814,0.0,75.1759,0.1319,CR
105,7236.6935,11.2514,51.9403,38000.0,453.0,0.0,442.0,0.776,CR
106,7319.4573,11.3749,52.096,38000.0,452.0,0.0,436.0,0.768,CR
108,7457.8964,11.5834,52.3553,37975.0,452.9856,-155.5766,390.3819,0.6872,CR
109,7523.429,11.6816,52.4766,38000.0,452.9163,0.0,182.6834,0.3203,CR
110,7598.8693,11.799,52.6204,38000.0,453.0653,24.4975,438.0,0.768,CR
111,7671.9403,11.9098,52.7542,37975.0,453.4028,0.0,198.995,0.351,CR
112,7741.8339,12.0185,52.8862,38000.0,451.9782,0.0,13.3266,0.0234,CR
113,7801.3846,12.111,52.9968,38000.0,446.129,0.0,229.6281,0.3998,CR
114,7876.0151,12.226,53.1339,38000.0,443.0,0.0,434.0,0.76,CR
115,7959.5226,12.3554,53.2868,37975.0,445.0,0.0,439.0452,0.7741,CR
116,8022.0672,12.4511,53.3991,37976.005,444.0204,36.0655,418.4724,0.7333,CR
117,8079.6734,12.5414,53.5049,38000.0,443.0,0.0,437.1156,0.768,CR
118,8138.2261,12.6343,53.6126,37976.8844,444.0,37.6884,438.0,0.7717,CR
119,8206.1859,12.7405,53.7354,37975.0,445.0,0.0,440.0,0.7656,CR
120,8262.2211,12.8302,53.8377,38000.0,448.0,0.0,441.7789,0.772,CR
121,8321.6281,12.927,53.948,37975.0,446.0,-205.7503,444.0,0.7785,CR
122,8378.4372,13.0174,54.0505,38000.0,441.0,0.0,440.0,0.768,CR
124,8501.5427,13.2168,54.2748,37995.4774,450.0,-90.4523,442.0,0.772,CR
125,8561.4018,13.3157,54.3849,38000.0,446.3448,0.0,311.5276,0.542,CR
126,8617.4322,13.408,54.4873,37975.0,445.0,0.0,438.0,0.7649,CR
127,8673.7337,13.5012,54.5897,37975.0,445.0,0.0,442.0,0.7731,CR
128,8730.7538,13.5962,54.6935,37993.7186,444.0,0.0,440.5025,0.772,CR
129,8787.5287,13.6893,54.7948,37975.0,441.97,0.0,336.7538,0.5874,CR
134,9044.7136,14.1196,55.2553,37975.0,445.3568,0.0,432.7136,0.7574,CR
136,9148.4837,14.302,55.4469,38000.0,451.2109,0.0,268.7538,0.4694,CR
137,9202.9095,14.3972,55.5464,38000.0,452.0,0.0,440.0,0.768,CR
138,9250.7136,14.4818,55.634,38000.0,454.1001,0.0,191.3568,0.3332,CR
139,9299.9447,14.5701,55.7241,37975.0,447.0,0.0,446.0,0.7762,CR
142,9459.3771,14.85,56.0102,38000.0,446.1317,0.0,222.1106,0.3879,CR
144,9570.0653,15.0487,56.2101,38000.0,445.0,0.0,442.0,0.768,CR
