,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0812,41.292,0.0,0.0,0.0,200.0,0.204,GND
1,32.191,2.0811,41.2922,0.0,10.6382,0.0,200.0,0.204,GND
2,50.6583,2.081,41.2924,0.0,10.0,0.0,200.0,0.204,GND
3,69.4874,2.0808,41.2926,0.0,11.9146,0.0,200.0,0.204,GND
4,87.5528,2.0805,41.2928,0.0,9.4472,0.0,200.0,0.204,GND
5,105.3367,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
6,123.8291,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
7,146.3367,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
8,174.6332,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
9,197.7186,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
10,219.3819,2.0804,41.2927,0.0,0.0,0.0,200.0,0.204,GND
11,237.1206,2.0805,41.2928,0.0,16.1407,0.0,200.0,0.204,GND
12,262.9246,2.0825,41.2934,0.0,16.6583,0.0,200.0,0.204,GND
13,286.7789,2.0843,41.2929,0.0,16.2965,0.0,200.0,0.204,GND
14,306.6734,2.0852,41.2914,0.0,20.9347,0.0,200.0,0.204,GND
15,327.5729,2.0865,41.2893,0.0,18.8543,0.0,200.0,0.204,GND
16,345.6884,2.0875,41.2887,0.0,29.8442,0.0,200.0,0.204,GND
17,364.9447,2.0894,41.2894,0.0,21.6985,0.0,200.0,0.204,GND
18,385.3618,2.092,41.2902,0.0,23.4874,0.0,200.0,0.204,GND
19,406.3769,2.0947,41.2912,0.0,24.1256,0.0,200.0,0.204,GND
20,423.8191,2.0972,41.292,0.0,25.7638,0.0,200.0,0.204,GND
21,442.206,2.0997,41.293,0.0,17.0,0.0,200.0,0.204,GND
22,462.201,2.1014,41.2936,0.0,30.8794,0.0,200.0,0.204,GND
23,479.7136,2.1023,41.2936,0.0,19.3216,0.0,200.0,0.204,GND
24,499.2663,2.1029,41.2931,0.0,25.3166,0.0,200.0,0.204,GND
25,517.7739,2.1031,41.2922,0.0,23.0452,0.0,200.0,0.204,GND
26,534.5578,2.1027,41.292,0.0,11.593,0.0,200.0,0.204,GND
27,554.6181,2.1003,41.2912,0.0,58.1658,0.0,200.0,0.204,CL
28,572.4774,2.089,41.2873,0.0,143.6935,0.0,200.0,0.204,CL
29,599.0151,2.0665,41.2788,651.1307,156.4925,4130.6533,200.0,0.248,CL
30,639.0603,2.0611,41.2477,1630.1508,204.9548,1083.2735,192.0,0.2978,CL
31,672.3518,2.0418,41.2153,3070.9799,228.8643,4891.9598,192.0,0.372,CL
32,694.6884,2.0234,41.1956,4392.2111,230.2663,3233.6683,192.0,0.3497,CL
33,712.7236,2.0048,41.1835,5111.1809,237.0,3469.8492,192.0,0.368,CL
34,764.191,1.9427,41.2069,6899.6231,272.794,2349.2462,276.0,0.4244,CL
35,785.3568,1.9338,41.232,7976.5075,274.3367,2119.8492,284.0,0.436,CL
36,817.8995,1.9218,41.273,9671.8593,279.9749,1918.3417,289.9497,0.4478,CL
37,847.6784,1.9092,41.3131,10801.6332,300.9045,1346.7337,310.0,0.484,CL
38,870.5075,1.8989,41.3443,11200.1256,327.7588,893.0366,328.0,0.528,CL
39,891.5578,1.8876,41.3785,11638.9447,351.5578,1500.0,355.5578,0.5533,CL
