,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0832,41.3037,0.0,0.0,0.0,0.0,0.0,GND
1,37.402,2.0832,41.3037,0.0,0.0,0.0,0.0,0.0,GND
2,61.3367,2.0831,41.3037,0.0,0.0,0.0,0.0,0.0,GND
3,95.206,2.0831,41.3037,0.0,0.0,0.0,0.0,0.0,GND
4,143.0201,2.0832,41.3037,0.0,0.0,0.0,0.0,0.0,GND
5,180.3467,2.0832,41.3037,0.0,0.0,0.0,0.0,0.0,GND
6,210.206,2.0834,41.3036,0.0,10.0,0.0,0.0,0.0,GND
7,234.6784,2.0838,41.3034,0.0,10.0,0.0,0.0,0.0,GND
8,296.6482,2.084,41.3029,0.0,2.9146,0.0,0.0,0.0,GND
9,474.0151,2.0838,41.3028,0.0,0.0,0.0,0.0,0.0,GND
10,512.3467,2.0838,41.3028,0.0,0.0,0.0,0.0,0.0,GND
11,571.7035,2.0838,41.3028,0.0,0.0,0.0,0.0,0.0,GND
12,619.0402,2.0838,41.3028,0.0,0.0,0.0,0.0,0.0,GND
13,661.1307,2.084,41.3028,0.0,9.6784,0.0,0.0,0.0,GND
14,697.3568,2.0844,41.3024,0.0,24.5427,0.0,0.0,0.0,GND
15,781.0302,2.0806,41.2992,0.0,18.005,0.0,0.0,0.0,GND
16,814.2161,2.0821,41.2964,0.0,20.0,0.0,0.0,0.0,GND
17,838.8894,2.0834,41.2944,0.0,19.5276,0.0,0.0,0.0,GND
18,861.0302,2.0845,41.2925,0.0,18.0,0.0,0.0,0.0,GND
19,888.7588,2.0837,41.2903,0.0,19.0,0.0,0.0,0.0,GND
20,911.6935,2.0827,41.2881,0.0,18.6533,0.0,0.0,0.0,GND
21,938.2563,2.0817,41.2867,0.0,28.0,0.0,0.0,0.0,GND
22,971.5628,2.0793,41.2859,0.0,30.0,0.0,0.0,0.0,GND
23,995.6231,2.0777,41.2854,0.0,25.1256,0.0,0.0,0.0,GND
24,1026.6482,2.0761,41.2848,0.0,24.0,0.0,0.0,0.0,GND
25,1185.1508,2.0749,41.2825,0.0,20.9598,0.0,0.0,0.0,GND
26,1228.3015,2.0965,41.2899,107.5377,160.9246,1037.6884,0.0,0.24,CL
27,1254.4271,2.1213,41.2963,1126.1307,162.191,2718.234,0.0,0.252,CL
28,1281.5126,2.1449,41.2883,2280.6533,163.0,3211.0553,0.0,0.256,CL
29,1315.9095,2.1782,41.282,3971.1055,172.5678,3135.6784,0.0,0.2662,CL
30,1357.0402,2.2297,41.2793,5127.0101,242.0302,3000.0,0.0,0.352,CL
31,1385.9749,2.2766,41.2751,6392.9648,278.9749,2163.3166,0.0,0.392,CL
32,1415.3869,2.325,41.2714,7940.9548,296.0,3565.3266,272.0,0.4356,CL
33,1443.8442,2.3777,41.2675,9793.593,302.6332,4053.1826,294.1106,0.4634,CL
34,1468.6683,2.4261,41.2638,10965.3266,324.5025,1756.9095,323.4472,0.504,CL
35,1490.392,2.4732,41.2604,11586.5578,355.7136,2962.3116,350.7136,0.5587,CL
36,1519.8241,2.5343,41.2558,13232.4121,364.5879,4614.1421,338.6935,0.564,CL
37,1543.5829,2.5871,41.2515,14793.7186,364.2915,2784.7571,346.0,0.5514,CL
38,1570.6382,2.652,41.2465,16281.9095,370.8794,3120.603,349.7588,0.556,CL
39,1603.2261,2.7252,41.2409,18066.9598,375.0,4616.0804,353.5477,0.568,CL
40,1630.0402,2.7877,41.2361,19209.6734,388.6935,2163.3166,358.0,0.58,CL
41,1655.5628,2.8513,41.2309,20293.0905,401.2412,1994.257,366.0,0.5963,CL
42,1688.6281,2.9311,41.2244,21672.1106,411.8141,4151.3819,375.6281,0.6193,CL
43,1711.6432,2.9899,41.2198,22793.4673,414.0,2532.3044,382.0,0.632,CL
44,1748.407,3.0812,41.2121,24495.3518,416.2814,2503.7688,388.8744,0.6469,CL
45,1775.0452,3.1548,41.2058,25426.1307,427.0452,1684.6734,388.0,0.648,CL
