,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0769,41.2883,0.0,9.0,0.0,0.0,0.0,GND
1,37.196,2.0773,41.2884,0.0,9.1608,0.0,0.0,0.0,GND
2,72.7136,2.0779,41.2886,0.0,9.3216,0.0,0.0,0.0,GND
3,132.5879,2.0786,41.2888,0.0,10.5176,0.0,0.0,0.0,GND
4,161.3568,2.0788,41.2889,0.0,0.0,0.0,0.0,0.0,GND
5,212.1558,2.0788,41.2889,0.0,0.0,0.0,0.0,0.0,GND
6,270.1759,2.0787,41.2888,0.0,2.3166,0.0,0.0,0.0,GND
7,302.4975,2.0786,41.2882,0.0,19.1256,0.0,0.0,0.0,GND
8,331.5678,2.0794,41.2869,0.0,25.8593,0.0,0.0,0.0,GND
9,357.3166,2.0797,41.2861,0.0,22.0,0.0,0.0,0.0,GND
10,386.7839,2.0784,41.2856,0.0,23.392,0.0,0.0,0.0,GND
11,412.6935,2.0772,41.2852,0.0,25.7688,0.0,0.0,0.0,GND
12,441.2814,2.0756,41.2847,0.0,23.0704,0.0,0.0,0.0,GND
13,468.5477,2.0745,41.2843,0.0,20.1809,0.0,0.0,0.0,GND
14,518.2412,2.0734,41.2833,0.0,23.2462,0.0,0.0,0.0,GND
15,551.7638,2.0745,41.2823,0.0,21.4121,0.0,0.0,0.0,GND
16,577.1357,2.076,41.2828,0.0,33.8342,0.0,0.0,0.0,GND
17,604.5327,2.09,41.2876,0.0,152.6633,0.0,0.0,0.0,CL
18,657.6332,2.1381,41.292,1915.8291,170.9497,1567.0854,166.0,0.0,CL
19,684.6683,2.1705,41.2849,2690.3266,208.5578,1736.1809,195.2261,0.0,CL
20,735.4874,2.244,41.285,4822.3618,248.7839,3947.9541,222.0,0.3423,CL
21,765.8693,2.2874,41.2981,6509.0452,250.6231,3311.5578,230.0,0.356,CL
22,801.8492,2.3371,41.3173,8394.3467,261.0,2922.1106,238.0,0.3658,CL
23,838.603,2.3935,41.3389,9530.1508,304.206,1821.294,272.0,0.4344,CL
24,868.8442,2.446,41.3589,10674.6231,334.407,1535.1759,302.0,0.4811,CL
25,903.9196,2.5154,41.3851,11547.9899,383.9397,1515.0754,340.0,0.552,CL
26,943.0955,2.6003,41.4173,13286.6834,401.8191,2898.2412,370.0,0.5826,CL
27,979.2915,2.6808,41.4476,15182.2864,410.6583,2781.407,376.0,0.6026,CL
28,1008.9849,2.752,41.4742,16574.3719,422.995,2500.0,383.9899,0.614,CL
29,1044.3668,2.8352,41.5054,17868.0905,438.0201,2102.2613,389.3467,0.6307,CL
30,1078.7588,2.9174,41.5363,19157.1608,450.5276,2815.3266,400.0,0.6381,CL
31,1114.196,3.0048,41.5688,20507.1608,462.0452,2354.6579,408.0302,0.6562,CL
32,1154.7085,3.1143,41.6093,22060.4271,472.8543,2900.6396,416.0,0.684,CL
33,1190.0804,3.2081,41.644,23244.3467,482.0,1923.3668,424.0,0.7,CL
34,1229.7286,3.3097,41.6815,24431.5327,490.5327,2034.7452,431.0653,0.716,CL
35,1262.7437,3.4039,41.716,25637.1859,493.6281,2685.9296,432.7437,0.72,CL
36,1309.6332,3.5309,41.7625,27401.3819,491.0,2243.593,429.5779,0.724,CL
37,1345.1508,3.6275,41.7976,28703.7688,486.0,1262.5628,422.0,0.716,CL
38,1375.5578,3.7071,41.8266,29194.4724,488.0,832.9146,422.0,0.716,CL
39,1407.1859,3.7992,41.8598,29736.4322,493.0,1054.2714,426.0,0.724,CL
40,1442.407,3.8941,41.894,29989.196,484.7286,141.9598,422.8643,0.7217,LVL
41,1470.2211,3.9703,41.9215,30000.0,483.0,0.0,418.0,0.716,LVL
42,1506.4925,4.0644,41.9579,30468.4673,482.0,1684.6734,422.4925,0.724,CL
43,1539.2563,4.137,42.0049,31104.2714,473.9146,1000.0,422.5126,0.725,CL
44,1571.9246,4.1987,42.0624,31721.2312,477.9246,2838.4781,430.0,0.7437,CL
45,1604.3467,4.2577,42.1179,32414.5729,483.0,1513.4602,434.4724,0.7529,CL
46,1634.809,4.3155,42.1722,33005.1508,487.603,1079.397,439.206,0.764,CL
47,1665.6533,4.3747,42.2276,33655.2764,490.4422,1389.4472,444.8844,0.776,CL
48,1697.1256,4.4339,42.2829,34446.1055,488.7186,1394.4724,443.4372,0.776,CL
49,1735.3266,4.5054,42.3496,35230.1508,489.1206,1106.6697,443.5176,0.776,CL
50,1771.9196,4.5766,42.4159,35921.9849,492.0,2209.799,442.0804,0.78,CL
51,1807.191,4.6419,42.4764,36979.7739,483.201,1500.0,438.402,0.776,CL
52,1837.8291,4.6999,42.5301,37347.8643,487.6382,750.0,443.2764,0.7826,CL
53,1870.9095,4.7609,42.5868,37710.804,486.5226,831.0302,444.0,0.784,CL
54,1900.3166,4.8205,42.6417,37975.0,480.0,113.9028,442.0,0.78,CL
55,1936.4673,4.8881,42.7039,38000.0,476.0,0.0,438.0,0.7726,CR
56,1971.9899,4.9547,42.7649,38000.0,477.0,0.0,439.9899,0.776,CR
57,2008.6734,5.0207,42.825,38000.0,476.1658,82.9146,440.0,0.776,CR
58,2038.0201,5.079,42.8781,38000.0,477.0,0.0,440.0,0.776,CR
59,2070.0251,5.1401,42.9339,38000.0,475.4874,0.0,440.0,0.7779,CR
60,2105.1106,5.205,42.9931,38000.0,475.0,0.0,440.0,0.776,CR
61,2136.3819,5.2641,43.0466,37995.2261,476.0,-143.2161,438.3819,0.776,CR
62,2184.1206,5.3464,43.1313,37975.0,466.0,0.0,438.0,0.776,CR
63,2223.7387,5.4073,43.2039,37975.0,467.0,0.0,436.2613,0.7725,CR
64,2259.2513,5.4609,43.2677,37975.0,468.0,145.7286,437.4171,0.772,CR
65,2317.0955,5.5535,43.3775,37988.6935,470.0,410.804,438.0,0.776,CR
66,2349.3216,5.6031,43.4362,38000.0,472.0,229.8995,440.0,0.776,CR
67,2383.9045,5.6574,43.4999,38000.0,473.2261,0.0,440.0,0.776,CR
68,2416.392,5.7104,43.5627,38000.0,475.0,0.0,440.0,0.776,CR
69,2450.7136,5.7638,43.6252,38000.0,475.0,0.0,440.0,0.776,CR
70,2487.2312,5.8223,43.6937,37975.0,478.0,0.0,439.4874,0.776,CR
71,2517.3317,5.8707,43.7502,37989.5729,479.0,218.593,441.1658,0.776,CR
72,2550.4221,5.9241,43.8123,38000.0,480.0,0.0,442.0,0.78,CR
73,2578.5678,5.9684,43.8639,38000.0,481.0,0.0,444.0,0.78,CR
74,2606.603,6.0173,43.9206,38022.4874,481.0,-25.1256,442.0,0.78,CR
75,2643.8191,6.0763,43.9891,38000.0,482.0603,0.0,442.0,0.7762,CR
76,2672.3367,6.1249,44.0449,38000.0,482.0,0.0,442.0,0.776,CR
77,2709.8543,6.1848,44.1142,37984.5477,484.0,-309.0452,444.0,0.7825,CR
78,2741.9146,6.2387,44.1757,38025.0,482.0,0.0,442.0,0.776,CR
79,2775.7789,6.2933,44.2383,38000.0,482.0,0.0,444.0,0.78,CR
80,2811.8141,6.3474,44.3081,38000.0,472.7286,0.0,443.7286,0.776,CR
81,2843.9246,6.3851,44.3726,37950.0,470.0,-6.2814,440.0,0.772,CR
82,2888.2111,6.4363,44.4618,37929.6482,471.8141,-81.407,441.6281,0.772,CR
83,2939.6131,6.4962,44.5661,38000.0,475.0,130.0251,446.0,0.7826,CR
84,2989.3266,6.5529,44.6643,38037.3116,476.5075,32.1171,452.9849,0.79,CR
85,3041.995,6.6164,44.7735,38000.0,468.0,0.0,443.3367,0.7747,CR
86,3073.196,6.6502,44.8324,37975.0,472.0,0.0,446.3417,0.78,CR
87,3118.0804,6.7028,44.9226,38000.0,468.0101,98.995,444.0,0.772,CR
88,3154.5477,6.7468,44.9981,37996.2312,475.8492,311.5578,451.6985,0.7874,CR
89,3187.6884,6.7856,45.0642,38050.0,478.0,46.7337,454.0,0.7908,CR
90,3222.5276,6.8282,45.1369,38025.0,480.0,0.0,454.9447,0.792,CR
91,3253.5678,6.8662,45.2011,38000.0,470.2663,0.0,448.0,0.784,CR
92,3281.6181,6.8981,45.2558,38000.0,464.0,0.0,440.0,0.768,CR
93,3309.0905,6.9303,45.3104,37975.0,470.0,0.0,440.0905,0.772,CR
94,3340.3065,6.9689,45.3755,37975.0,477.0,-86.6834,450.8442,0.784,CR
95,3370.1709,7.0049,45.4358,37975.0,473.0,0.0,445.6583,0.7764,CR
96,3406.2513,7.0468,45.5062,37950.0,468.0,0.0,454.0,0.7845,CR
97,3438.206,7.0857,45.5714,37975.0,460.598,0.0,442.0,0.7736,CR
98,3468.4472,7.121,45.6299,38000.0,451.0,0.0,434.0,0.757,CR
99,3501.2412,7.1577,45.6909,38000.0,450.0,0.0,436.1608,0.7563,CR
100,3533.4372,7.1945,45.7529,38000.0,449.9196,60.3015,443.5176,0.76,CR
101,3563.2764,7.2281,45.8085,37981.0302,451.0,-379.397,438.4824,0.76,CR
102,3589.794,7.2632,45.8601,38000.0,455.0,0.0,439.196,0.7624,CR
103,3621.8744,7.3062,45.9217,38000.0,454.0,0.0,434.0,0.7537,CR
104,3656.8291,7.3532,45.9891,37975.0,459.2764,0.0,438.0,0.76,CR
105,3695.3869,7.4038,46.0612,38027.8894,462.1156,203.9663,446.2312,0.7725,CR
106,3735.4121,7.4581,46.1381,38002.2613,463.0,-220.3324,444.0,0.7722,CR
107,3771.1759,7.5071,46.2076,37975.0,466.794,-28.095,446.0,0.7752,CR
108,3802.8995,7.5515,46.27,37975.0,470.0,0.0,448.0,0.7785,CR
109,3838.8894,7.6006,46.3389,38000.0,471.0,0.0,446.0,0.776,CR
110,3873.9347,7.651,46.4097,38000.0,474.3116,0.0,445.8693,0.7772,CR
111,3910.3015,7.7008,46.4797,38025.0,479.0,212.3116,445.5075,0.788,CR
112,3945.9397,7.7519,46.5505,38050.0,481.0,0.0,444.1005,0.784,CR
113,3983.6583,7.807,46.6272,38025.0,482.0,0.0,450.6332,0.784,CR
114,4015.6784,7.8526,46.6902,38025.0,482.0,0.0,454.0,0.788,CR
115,4052.5678,7.9056,46.7632,38050.0,481.0,246.2312,456.0,0.792,CR
116,4080.3869,7.9468,46.8202,38000.0,474.3065,0.0,448.0,0.776,CR
117,4112.1156,7.9909,46.8805,37975.0,472.8141,0.0,446.0,0.7727,CR
118,4143.1005,8.036,46.9425,38000.0,470.0,0.0,448.0,0.78,CR
119,4179.4573,8.0863,47.0114,38000.0,472.8643,0.0,444.0,0.772,CR
120,4215.407,8.1381,47.0822,38017.5879,478.2965,527.6382,455.407,0.7892,CR
121,4246.2563,8.184,47.1445,38025.0,481.0,0.0,454.0,0.788,CR
122,4281.2915,8.2351,47.2138,38015.4523,481.0,-404.5226,454.0,0.788,CR
123,4312.6633,8.282,47.277,38000.0,476.7789,0.0,448.0,0.776,CR
124,4349.1206,8.3333,47.3464,37975.0,475.0,0.0,446.1206,0.776,CR
125,4381.2965,8.3803,47.4097,38000.0,475.8995,0.0,447.799,0.776,CR
126,4415.4322,8.4299,47.4765,38000.0,472.0,0.0,444.0,0.772,CR
127,4450.4673,8.4823,47.5464,37985.5528,471.5779,-144.4724,442.0,0.768,CR
128,4489.9246,8.5397,47.6233,37985.4271,473.8342,32.9278,442.0,0.768,CR
129,4529.5126,8.5971,47.6995,37981.407,478.0,192.2111,444.0,0.772,CR
130,4583.2864,8.6752,47.803,38000.0,478.0,0.0,447.809,0.776,CR
131,4616.2161,8.7273,47.8718,38000.0,478.0,0.0,444.2613,0.7723,CR
132,4643.5477,8.768,47.9252,37911.3065,479.0,-1217.3367,444.0,0.772,DE
133,4678.8392,8.8213,47.9949,37144.3467,475.3869,-1096.7337,444.0,0.776,DE
134,4711.6181,8.8691,48.0576,36398.2412,468.0955,-1995.603,436.191,0.7582,DE
135,4761.5829,8.9283,48.1536,35228.1407,477.0,-1531.0375,434.0,0.764,DE
136,4796.1759,8.9552,48.2312,34370.603,470.7387,-1173.995,442.0,0.772,DE
137,4832.8191,8.9731,48.3072,33529.5226,466.0,-1483.0402,440.0603,0.7641,DE
138,4896.2814,9.0054,48.4447,31942.9648,469.6181,-1571.608,440.3819,0.7608,DE
139,4931.5377,9.0233,48.522,31011.5578,478.0,-1500.0,445.8894,0.7664,DE
140,4965.3869,9.0406,48.595,30128.1407,475.5126,-1389.0285,447.0251,0.768,DE
141,5001.6332,9.0593,48.6729,29176.005,467.6734,-1453.6971,438.0,0.7507,DE
142,5034.4975,9.0755,48.7408,28333.4171,462.8342,-1582.9146,433.6683,0.7393,DE
143,5067.0101,9.0918,48.809,27449.6231,456.0,-1368.0905,427.9899,0.728,DE
144,5095.3769,9.1063,48.87,26686.6834,452.0,-1650.7538,422.0,0.712,DE
145,5123.0503,9.1203,48.9288,25905.402,447.9497,-2676.8844,416.6332,0.704,DE
146,5153.5678,9.1351,48.99,25085.804,432.4774,-1858.0402,400.9548,0.6699,DE
147,5186.1709,9.1492,49.0494,24320.7286,428.3618,-1500.0,394.0,0.656,DE
148,5213.603,9.163,49.1061,23529.8995,429.0,-2199.7487,394.0,0.656,DE
149,5242.0804,9.1757,49.1592,22796.9849,423.9598,-1530.1508,388.0,0.6438,DE
150,5270.7588,9.1899,49.2178,22012.0603,419.0,-2819.0955,382.0,0.632,DE
151,5300.1558,9.2031,49.2709,21246.1055,415.0,-1500.0,378.0,0.624,DE
152,5326.7889,9.2152,49.3213,20419.2211,412.4422,-1995.9799,374.0,0.616,DE
153,5357.794,9.2297,49.3815,19285.3015,407.603,-2246.2312,366.0,0.6,DE
154,5392.7085,9.2457,49.4468,18076.3819,396.7638,-2477.3869,365.0553,0.5911,DE
155,5420.2261,9.2581,49.4959,17192.4623,387.0,-2924.6231,359.8492,0.5837,DE
156,5459.5729,9.2743,49.563,15844.2211,380.0854,-2615.7933,352.0,0.5643,DE
157,5501.5377,9.2924,49.6354,14561.5578,354.9397,-1500.0,324.9548,0.5209,DE
158,5539.1859,9.3071,49.6948,13290.7035,344.593,-2718.2064,316.0,0.5104,DE
159,5574.4322,9.3016,49.7473,11989.196,318.5678,-1743.3597,318.0,0.508,DE
160,5604.6281,9.2592,49.7798,11234.2965,282.1859,-2592.9648,301.2864,0.476,DE
161,5649.3317,9.1997,49.8187,10144.4724,263.8894,-1111.1809,280.0,0.4444,DE
162,5682.6985,9.1584,49.8455,10000.0,240.201,0.0,260.201,0.4122,DE
