,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0822,41.2878,0.0,11.0,0.0,0.0,0.0,GND
1,68.7232,2.0864,41.2883,0.0,13.9899,0.0,0.0,0.0,GND
2,128.4096,2.0931,41.2906,0.0,5.0251,0.0,0.0,0.0,GND
3,210.2713,2.1017,41.2937,0.0,0.0,0.0,0.0,0.0,GND
4,278.9477,2.1018,41.2917,0.0,16.9146,0.0,0.0,0.0,GND
5,363.1189,2.0679,41.2527,1637.1859,187.2214,1168.5034,0.0,0.0,CL
6,435.7497,2.0518,41.1741,3080.402,278.2116,2655.8117,63.5276,0.0995,CL
7,492.9221,2.0573,41.1007,5996.1055,278.9258,2120.603,32.804,0.0507,CL
8,549.7024,2.1308,41.0587,8624.6231,273.1195,2631.9001,1.4271,0.0022,CL
9,618.7254,2.2402,41.0541,10818.4673,307.4619,1400.7912,278.191,0.4382,CL
10,687.9109,2.3508,41.1238,12086.5578,367.5187,2077.3001,96.3618,0.1517,CL
11,744.0088,2.4467,41.1832,14830.9045,355.9734,1249.2941,140.5427,0.223,CL
12,795.8963,2.5348,41.2373,17049.6231,352.4003,2430.1748,182.7136,0.2923,CL
13,854.2296,2.6359,41.2991,18209.1709,380.2194,745.7536,243.1357,0.3951,CL
14,917.1891,2.7541,41.371,20043.0905,391.3453,5417.3843,302.0,0.4917,CL
15,976.2582,2.8667,41.4394,21580.7789,400.0395,2118.4086,360.8442,0.5943,CL
16,1028.9917,2.9671,41.5002,22949.7487,405.004,1807.8409,411.8191,0.6811,CL
17,1082.8738,3.0734,41.5642,24643.2161,401.2983,3119.5959,356.1005,0.5912,CL
18,1148.2059,3.1994,41.6399,26255.402,403.8479,1358.5688,304.3417,0.5141,CL
19,1207.8957,3.3182,41.7102,27225.0,415.83,193.4673,163.2864,0.277,CR
20,1266.7138,3.4528,41.766,27662.1859,433.8963,207.951,227.5779,0.3854,CR
21,1322.7166,3.5912,41.8117,29154.2714,426.7918,2256.4787,158.4724,0.2706,CL
22,1377.687,3.7238,41.8557,29930.9045,432.8941,206.0915,104.392,0.1795,CL
23,1437.3521,3.8742,41.9049,29977.7638,451.8951,55.7034,50.8543,0.0876,CR
24,1500.8313,4.0378,41.9584,30625.0,452.612,15.0754,6.9045,0.0119,CL
25,1554.4372,4.1754,42.003,31514.4472,450.1407,1072.2362,456.2814,0.792,CL
26,1614.6817,4.3282,42.0555,32686.6834,445.9534,2126.692,334.5528,0.5811,CL
27,1674.1455,4.4631,42.1268,33315.201,455.021,418.3763,277.2663,0.4767,CL
28,1731.9349,4.577,42.2158,33975.0,460.0518,0.0,236.0201,0.4099,CR
29,1785.0417,4.68,42.3005,34000.0,464.1007,0.0,294.593,0.512,CR
30,1839.9367,4.7861,42.3875,33975.0,463.479,0.0,106.3317,0.1831,CR
31,1888.7218,4.8799,42.4647,33975.0,462.2725,0.0,47.9095,0.0832,CR
32,1947.5004,4.9938,42.558,34048.995,462.3047,690.3942,0.0,0.0,CL
33,2006.7543,5.1084,42.6511,35000.0,455.609,134.8507,66.1608,0.1148,CR
34,2066.9851,5.2236,42.7445,35975.0,448.4967,407.0352,122.1106,0.2127,CL
36,2184.3873,5.4469,42.9247,35988.0653,448.0107,320.411,236.2211,0.4118,CL
37,2239.5897,5.5523,43.0092,36000.0,447.5204,0.0,158.995,0.2786,CR
38,2303.0672,5.6736,43.1059,36000.0,446.1095,0.0,349.7889,0.6098,CR
39,2360.6771,5.7832,43.1934,35975.0,448.2179,0.0,45.2261,0.0792,CR
40,2412.8686,5.8492,43.2913,35975.0,455.9343,0.0,11.3568,0.0199,CR
41,2465.9257,5.9111,43.3935,36000.0,454.1484,0.0,68.1407,0.1194,CR
42,2521.1975,5.9756,43.4995,36000.0,454.1265,0.0,124.9246,0.2178,CR
43,2583.6482,6.0491,43.6192,35975.0,453.2956,0.0,270.2915,0.4736,CR
44,2648.8894,6.1264,43.7447,36000.0,454.0,0.0,452.0,0.788,CR
45,2722.0402,6.2138,43.886,35983.6683,456.0,173.3668,450.0,0.788,CR
46,2801.8844,6.3092,44.0402,35975.0,460.0,0.0,449.5578,0.7871,CR
47,2869.6259,6.3915,44.1717,35972.6131,464.9105,-21.8484,405.2261,0.7091,CR
48,2928.5528,6.4642,44.287,36000.0,468.4433,0.0,13.6281,0.0239,CR
49,2989.3178,6.5401,44.4075,36025.0,470.5524,0.0,70.4121,0.1234,CR
50,3046.6679,6.5897,44.5274,36000.0,479.225,0.0,324.804,0.5663,CR
51,3105.1859,6.5975,44.6578,36000.0,480.0,0.0,450.0,0.788,CR
52,3174.402,6.6086,44.811,36000.0,477.0,0.0,450.0,0.7901,CR
53,3246.0251,6.6727,44.9609,36000.0,474.0,0.0,448.0,0.784,CR
54,3337.8643,6.7629,45.1518,35950.0,478.0,0.0,448.0,0.784,CR
55,3424.2311,6.8674,45.3281,36000.0,477.0421,0.0,411.1156,0.7204,CR
56,3482.2693,6.9532,45.4396,36000.0,475.9303,-14.1306,15.8291,0.0279,CR
58,3608.2862,7.1419,45.6836,35975.0,475.9793,0.0,321.1055,0.5623,CR
59,3665.5697,7.228,45.7939,35975.0,476.3451,0.0,184.603,0.3247,CR
60,3745.8492,7.3501,45.9493,35975.0,477.0,0.0,450.0,0.788,CR
61,3817.3467,7.4592,46.0877,36000.0,475.3367,0.0,450.0,0.788,CR
62,3882.8347,7.5582,46.2122,36000.0,474.3074,0.0,94.5528,0.1663,CR
63,3965.3417,7.6851,46.371,35975.0,473.0,0.0,449.8291,0.788,CR
64,4038.9196,7.799,46.5127,35975.0,473.0,0.0,448.0,0.788,CR
65,4124.7202,7.914,46.6815,36000.0,477.1137,0.0,375.3769,0.6573,CR
66,4195.5427,7.9858,46.8296,36000.0,476.0,0.0,449.4171,0.788,CR
68,4349.9569,8.1437,47.1509,35975.0,476.08,0.0,204.8643,0.3603,CR
69,4427.7208,8.2241,47.3124,35975.0,477.0176,0.0,148.5829,0.2613,CR
70,4505.4121,8.3058,47.4759,36000.0,478.0258,0.0,357.2864,0.6256,CR
71,4596.76,8.4013,47.6656,35975.0,479.0533,0.0,411.9799,0.7246,CR
72,4694.8643,8.5069,47.8735,36000.0,481.0,0.0,448.0905,0.788,CR
73,4804.3166,8.6246,48.1029,35975.0,482.0,0.0,448.0,0.788,CR
74,4886.0272,8.7132,48.2747,36000.0,482.154,0.0,315.1759,0.5544,CR
75,4966.7337,8.802,48.4452,35975.0,484.0,0.0,448.0,0.788,CR
76,5060.4523,8.9056,48.6427,36000.0,484.9713,0.0,245.3869,0.4316,CR
77,5182.3065,9.0424,48.9007,35983.1658,485.0,122.4874,448.0,0.788,CR
78,5276.005,9.1743,49.0928,36000.0,484.0,0.0,448.402,0.792,CR
79,5379.0624,9.3324,49.2983,35975.0,483.9878,0.0,412.3819,0.7286,CR
81,5542.9544,9.5858,49.6242,35975.0,483.1474,0.0,370.8543,0.6494,CR
82,5622.4925,9.7109,49.7826,36000.0,482.6985,0.0,450.0,0.7892,CR
83,5732.0598,9.8824,49.9977,36000.0,477.9457,0.0,193.0653,0.3383,CR
84,5821.2022,10.0218,50.1723,35975.0,476.6556,0.0,248.7437,0.4356,CR
85,5897.9648,10.1432,50.3224,35975.0,475.0,0.0,449.3568,0.7907,CR
86,5970.3581,10.2583,50.4634,35975.0,476.1581,0.0,360.201,0.6336,CR
88,6095.9292,10.4596,50.7084,36000.0,477.0379,0.0,425.1256,0.7482,CR
89,6155.2142,10.5551,50.8237,36000.0,474.2295,0.0,368.593,0.6487,CR
90,6230.9692,10.6777,50.9708,35975.0,475.015,0.0,310.6734,0.5465,CR
91,6321.407,10.8239,51.1449,35985.804,463.0,-141.9598,436.0,0.768,CR
92,6411.425,10.9693,51.3157,36000.0,468.6123,0.0,245.4271,0.4306,CR
93,6505.9497,11.1505,51.4875,36007.9146,473.0,-12.5628,442.0,0.776,CR
95,6624.4147,11.3788,51.7023,35975.0,471.3583,0.0,28.8744,0.0504,CR
96,6679.8191,11.4868,51.8026,36000.0,472.8794,0.0,444.0,0.7798,CR
97,6741.3742,11.6091,51.9153,35975.0,480.806,0.0,84.0402,0.1473,CR
