,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0725,41.291,0.0,0.0,0.0,0.0,0.0,GND
1,62.1954,2.072,41.2916,0.0,0.0,0.0,0.0,0.0,GND
2,360.3419,2.072,41.2916,0.0,0.0,0.0,0.0,0.0,GND
3,482.9698,2.0737,41.2922,0.0,6.0,0.0,0.0,0.0,GND
4,583.4491,2.079,41.2946,0.0,0.0,0.0,0.0,0.0,GND
5,651.9497,2.083,41.295,0.0,10.0,0.0,0.0,0.0,GND
6,721.9397,2.0844,41.2918,0.0,10.0151,0.0,0.0,0.0,GND
7,775.8544,2.0828,41.2884,0.0,7.7638,0.0,0.0,0.0,GND
8,835.9598,2.08,41.2861,0.0,13.7186,0.0,0.0,0.0,GND
9,884.753,2.0757,41.2847,0.0,8.3618,0.0,0.0,0.0,GND
10,962.9996,2.0748,41.2825,0.0,3.8995,0.0,0.0,0.0,GND
11,1024.2437,2.114,41.2955,882.6633,161.9709,3428.0756,88.6432,0.133,CL
12,1111.8563,2.2012,41.2835,3770.4774,184.9738,1885.1163,0.0,0.0,CL
13,1169.7155,2.2775,41.286,5025.0,243.1494,926.4784,117.1859,0.1683,CL
14,1256.9294,2.4275,41.2632,8196.4824,303.9417,2962.2451,274.0101,0.4207,CL
15,1322.6553,2.5506,41.2424,10636.5578,329.0603,1553.9689,143.3166,0.2219,CL
16,1377.9014,2.6678,41.2221,11969.9749,371.9734,3002.5696,330.1709,0.5145,CL
17,1440.809,2.8088,41.1976,14336.4322,382.8717,3204.2186,163.7085,0.2561,CL
18,1488.6492,2.9186,41.1784,16250.0,385.8471,135.6784,16.4623,0.0261,CL
19,1545.0672,3.0521,41.1548,17797.6131,405.7892,1838.0305,170.9548,0.2714,CL
20,1604.7117,3.1983,41.1289,19568.7186,416.78,1528.4231,19.2965,0.031,CL
21,1667.8686,3.3584,41.1003,21103.2663,434.2769,1561.291,217.7889,0.3516,CL
22,1734.0867,3.5309,41.0691,22743.0905,443.3596,1229.7308,0.0,0.0,CL
23,1831.7038,3.7906,41.0217,25186.0553,448.2096,1895.8708,183.9598,0.3042,CL
24,1928.8191,4.0535,40.9729,26945.4774,464.9146,1454.7739,430.0,0.708,CL
25,2001.0581,4.2535,40.9355,28125.0,477.0115,451.5356,247.6382,0.412,CL
26,2055.8693,4.4089,40.9064,29296.7337,476.1307,1581.1507,448.1307,0.752,CL
27,2112.2801,4.5655,40.8766,30832.4121,465.8799,454.2686,0.0,0.0,CL
28,2166.856,4.7197,40.8518,31746.4824,475.8558,1442.5415,407.1859,0.6917,CL
29,2224.2885,4.8875,40.8502,32460.6784,499.5256,515.8643,189.6482,0.3229,CR
30,2276.5779,5.0436,40.8777,33300.0,504.9368,75.3769,33.4673,0.0573,CR
31,2358.1106,5.2926,40.9207,34035.5528,512.4221,126.6332,450.0,0.772,CR
32,2427.6784,5.5078,40.9566,34422.9899,520.0,449.1771,456.0,0.784,CL
33,2493.4958,5.7116,40.9896,35045.8543,519.7638,1083.4722,268.1407,0.464,CL
34,2549.5433,5.8842,41.0169,35600.0,518.3063,42.7136,39.1256,0.0677,CR
35,2610.4121,6.0741,41.0438,36000.0,512.0,0.0,456.0,0.792,CR
36,2663.7683,6.2404,41.0552,36000.0,506.0226,0.0,412.9347,0.7167,CR
37,2717.8141,6.4074,41.0676,36000.0,510.0,0.0,456.0,0.792,CR
38,2769.6435,6.5663,41.0741,36002.3869,509.9357,-363.3594,412.4623,0.7164,DE
39,2821.7556,6.7299,41.0802,36000.0,512.2501,0.0,272.6834,0.4736,CR
40,2880.6985,6.9152,41.0875,36000.0,514.0,0.0,456.0,0.792,CR
41,2951.191,7.138,41.0951,36000.0,514.603,0.0,458.0,0.792,CR
42,3018.7889,7.3477,41.0897,36000.0,512.0,0.0,456.0,0.792,CR
43,3079.5678,7.5384,41.0923,36000.0,515.0,0.0,456.0,0.792,CR
44,3139.1607,7.7255,41.094,36000.0,514.8393,0.0,50.4121,0.0876,CR
45,3205.5477,7.936,41.0948,36000.0,515.0,0.0,456.0,0.792,CR
46,3265.86,8.1249,41.0953,36000.0,514.9791,0.0,401.5276,0.6969,CR
47,3325.2058,8.3132,41.0955,35975.0,515.9687,-231.7839,280.6131,0.4871,CR
48,3378.5356,8.4796,41.0954,36025.0,515.9279,0.0,55.2362,0.0955,CR
49,3427.6683,8.6355,41.095,36025.0,515.9489,0.0,171.8593,0.2985,CR
50,3485.3719,8.8193,41.0944,36000.0,516.0,0.0,456.0,0.792,CR
51,3537.3373,8.9799,41.0936,36000.0,513.9626,0.0,169.5678,0.2945,CR
52,3587.8393,9.1385,41.0925,36000.0,512.8625,0.0,59.3166,0.103,CR
