,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0784,41.2837,0.0,72.0,0.0,0.0,0.0,LVL
1,160.804,2.256,41.286,4150.1256,250.804,1756.1019,179.0151,0.2788,CL
2,242.402,2.3899,41.3184,7520.1005,289.0,3199.7487,278.392,0.436,CL
3,298.804,2.4858,41.3393,10135.1759,295.201,2625.0,287.608,0.4528,CL
4,357.608,2.5985,41.3644,11341.8342,354.5427,1233.6683,319.8291,0.5213,CL
5,408.005,2.7074,41.3885,13291.8342,371.6683,2082.9146,365.3367,0.572,CL
6,458.206,2.8186,41.4133,15215.201,383.402,2298.995,378.0,0.596,CL
7,511.9497,2.9429,41.4407,17208.9196,393.1357,2019.3826,386.0,0.616,CL
8,595.608,3.1439,41.4851,19861.9347,413.8693,1967.3367,398.0,0.6475,CL
9,655.206,3.2933,41.5125,21635.3015,426.0,2478.9573,414.0,0.6744,CL
10,710.0201,3.4344,41.5359,23200.5025,433.3367,1500.0,420.0,0.688,CL
11,774.1407,3.6048,41.5642,24678.5176,447.0,1500.0,430.0,0.712,CL
12,827.2161,3.7489,41.5876,25855.402,455.0,1441.206,437.608,0.7272,CL
13,891.4523,3.9269,41.6167,27234.4221,462.5377,1278.8945,447.0754,0.7502,CL
14,946.0854,4.0814,41.6416,28295.3518,468.2714,1179.6482,452.0,0.7611,CL
15,1009.0251,4.2599,41.6699,29325.5025,476.0,1125.3769,460.0,0.78,CL
16,1076.9548,4.433,41.7366,30680.402,473.0,1157.6633,454.0,0.772,CL
17,1129.8342,4.5452,41.8163,31572.2362,474.4724,868.0905,458.0,0.784,CL
18,1190.8241,4.6758,41.9084,32740.4523,471.0,1125.0,456.0,0.7848,CL
19,1247.8794,4.798,41.9926,33648.4925,469.0,772.6131,450.0,0.776,CL
20,1300.0201,4.9089,42.0703,34000.0,472.0,0.0,450.0,0.78,CR
21,1357.2563,5.0311,42.156,34000.0,473.0,0.0,448.0,0.776,CR
22,1427.1407,5.1829,42.2611,34000.0,474.0,0.0,450.0,0.776,CR
23,1502.3719,5.3448,42.3728,34000.0,479.8744,0.0,450.0,0.7795,CR
24,1583.2161,5.5238,42.4958,34000.0,482.0,0.0,452.0,0.784,CR
25,1650.3668,5.6731,42.5976,34000.0,485.0,0.0,452.0,0.784,CR
26,1706.3015,5.7987,42.6828,34000.0,484.0754,0.0,452.0,0.784,CR
27,1759.8543,5.9181,42.7646,34000.0,485.809,0.0,453.6181,0.784,CR
28,1811.1709,6.0316,42.8433,34000.0,486.0,0.0,452.0,0.784,CR
29,1864.8291,6.151,42.9263,34000.0,484.0,0.0,454.0,0.784,CR
30,1918.0201,6.2683,43.0071,34000.0,483.0,0.0,454.0,0.788,CR
31,1968.7186,6.3857,43.0804,34000.0,481.0,0.0,456.0,0.788,CR
32,2018.4322,6.5058,43.147,34000.0,479.0,0.0,452.0,0.784,CR
