,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0752,41.2909,0.0,0.0,0.0,0.0,0.0,GND
1,46.2663,2.0755,41.2912,0.0,11.0,0.0,0.0,0.0,GND
2,75.0653,2.0759,41.2915,0.0,11.0,0.0,0.0,0.0,GND
3,103.2965,2.0762,41.2918,0.0,0.0,0.0,0.0,0.0,GND
4,129.0653,2.0762,41.2918,0.0,6.2613,0.0,0.0,0.0,GND
5,165.1658,2.0764,41.292,0.0,0.0,0.0,0.0,0.0,GND
6,363.7889,2.0772,41.2916,0.0,11.201,0.0,0.0,0.0,GND
7,403.7286,2.0783,41.292,0.0,21.2965,0.0,0.0,0.0,GND
8,454.4573,2.0824,41.2934,0.0,19.8492,0.0,0.0,0.0,GND
9,485.4925,2.0845,41.2926,0.0,17.0,0.0,0.0,0.0,GND
10,512.9899,2.0859,41.2902,0.0,23.3317,0.0,0.0,0.0,GND
11,542.8945,2.0877,41.2888,0.0,29.9648,0.0,0.0,0.0,GND
12,571.3819,2.0904,41.2897,0.0,19.196,0.0,0.0,0.0,GND
13,602.1558,2.0941,41.291,0.0,25.2312,0.0,0.0,0.0,GND
14,629.593,2.0983,41.2924,0.0,25.1357,0.0,0.0,0.0,GND
15,656.4824,2.1014,41.2925,0.0,18.005,0.0,0.0,0.0,GND
16,680.5226,2.103,41.2923,0.0,22.0,0.0,0.0,0.0,GND
17,706.5276,2.1015,41.2916,0.0,25.9296,0.0,0.0,0.0,GND
18,741.7638,2.0824,41.285,476.3819,150.397,2381.9095,0.0,0.0,CL
19,777.1508,2.0627,41.2649,2201.5075,172.2111,987.9397,0.0,0.272,CL
20,812.3266,2.0487,41.2354,2633.1658,222.6533,994.9749,0.0,0.344,CL
21,847.4824,2.0248,41.202,4359.2965,235.0,3525.6281,0.0,0.3772,CL
22,881.8593,1.9818,41.1812,5789.4472,251.0,4364.3216,0.0,0.4229,CL
23,930.8141,1.9203,41.2059,8404.7739,269.6884,2950.2513,0.0,0.4325,CL
24,966.7839,1.8884,41.2449,10229.397,276.196,3214.8241,288.0,0.4464,CL
25,1001.4874,1.8551,41.2852,11253.6432,305.8291,2414.5729,306.0,0.5019,CL
26,1031.6231,1.8262,41.3202,12608.0402,308.0,2592.4623,320.0,0.508,CL
27,1067.191,1.7907,41.3631,14161.9347,313.0955,2132.2961,328.0,0.5244,CL
28,1101.7286,1.755,41.4062,15722.8643,317.7286,5029.3777,332.0,0.5349,CL
29,1138.4472,1.7169,41.4559,17129.2714,329.0,3685.9296,342.0,0.5586,CL
30,1175.995,1.6886,41.5089,18399.7487,338.0,2992.4623,348.0,0.572,CL
31,1219.6784,1.6544,41.5728,19861.1809,348.6281,2669.2285,355.2563,0.5865,CL
32,1260.2613,1.6224,41.6327,21144.598,354.2613,2283.9196,362.0,0.604,CL
33,1318.4171,1.5728,41.7251,22855.1508,365.5779,1615.5779,371.3668,0.6236,CL
34,1362.6382,1.5375,41.7909,24065.9548,370.4724,1618.0905,380.0,0.64,CL
35,1408.608,1.4959,41.8678,25165.201,380.3216,996.4824,386.3216,0.6526,CL
36,1455.9698,1.4532,41.947,26139.6985,392.3819,630.9045,391.1759,0.6632,CL
37,1504.407,1.4098,42.0297,27028.1407,408.1357,942.2111,398.5628,0.6811,CL
38,1558.0251,1.3655,42.1292,27631.0302,430.4221,491.1321,426.4824,0.725,CL
39,1617.7739,1.3141,42.2448,28002.0101,452.6935,952.5754,453.3869,0.772,CL
40,1660.6332,1.2755,42.3307,29098.995,447.6734,2406.0302,450.0,0.7667,CL
41,1714.3568,1.2278,42.4362,29891.9598,453.9196,756.0302,459.7588,0.7837,CL
42,1757.7437,1.1889,42.5224,30375.0,460.3719,203.5176,453.1859,0.776,LVL
43,1846.9045,1.1054,42.7068,31366.9598,476.0,1125.0,456.9045,0.784,CL
44,1885.0151,1.0683,42.7879,31671.4824,482.7186,184.135,456.0,0.78,CR
45,1929.402,1.0252,42.8823,32248.4925,485.5226,1215.8871,456.9849,0.778,CL
46,1981.3819,0.9758,42.9898,33378.2663,472.6231,1465.7378,456.0,0.78,CL
47,2023.794,0.9352,43.0781,34325.8794,465.0,1168.9878,452.0,0.776,CL
48,2081.9598,0.8797,43.1947,35589.196,450.608,1534.4221,451.2161,0.772,CL
49,2123.3015,0.8339,43.275,36000.0,450.1256,0.0,452.0503,0.7761,CR
50,2173.2915,0.7786,43.3714,36000.0,457.0,0.0,454.6834,0.78,CR
51,2215.5829,0.7312,43.4536,36000.0,458.0,0.0,456.8342,0.7857,CR
52,2305.402,0.6297,43.6294,36023.1156,455.0754,22.7366,451.8492,0.7757,CR
53,2344.6734,0.5855,43.7055,35975.0,457.0,0.0,451.1156,0.776,CR
54,2440.7638,0.477,43.8916,36000.0,461.0,0.0,454.3819,0.7768,CR
55,2465.4724,0.4472,43.9424,36000.0,461.8241,0.0,454.3518,0.78,CR
56,2504.3719,0.4035,44.0172,36025.0,463.0,0.0,458.9146,0.7862,CR
57,2532.6332,0.3694,44.0751,36025.0,463.0,0.0,458.0,0.784,CR
58,2568.1709,0.3336,44.1451,36025.0,468.0,0.0,458.0,0.784,CR
59,2603.4271,0.3073,44.2186,36025.0,470.0,0.0,456.0,0.78,CR
60,2636.9698,0.2821,44.2921,36000.0,471.0,0.0,458.0,0.784,CR
61,2680.9849,0.2518,44.3805,36025.0,470.0,0.0,458.0,0.784,CR
62,2711.5628,0.2294,44.4454,36000.0,471.2563,0.0,458.0,0.78,CR
63,2747.6734,0.2021,44.5252,36000.0,472.8894,0.0,460.0,0.7836,CR
64,2788.6131,0.1723,44.611,36000.0,474.0,0.0,460.0,0.784,CR
65,2822.7789,0.1472,44.6833,36000.0,475.0,0.0,460.0,0.7834,CR
66,2851.3116,0.127,44.7416,36000.0,475.0,0.0,460.0,0.7808,CR
67,2891.2663,0.0963,44.8301,36014.4472,475.4221,-211.0553,460.0,0.784,CR
68,2926.2211,0.07,44.9056,36000.0,475.0,0.0,458.0,0.784,CR
69,2961.0653,0.0437,44.9806,36000.0,474.0,0.0,456.6231,0.78,CR
70,2996.9648,0.018,45.0543,36000.0,472.0,0.0,458.0,0.7827,CR
71,3027.9095,-0.0057,45.1221,36000.0,471.0,0.0,456.0,0.7802,CR
72,3061.1759,-0.0298,45.1901,36000.0,471.0,0.0,456.0,0.78,CR
73,3097.8844,-0.0581,45.2702,36000.0,471.0,0.0,456.0,0.78,CR
74,3137.7085,-0.0858,45.3489,35975.0,471.0,0.0,456.0,0.776,CR
75,3171.4623,-0.1127,45.4244,35975.0,472.0,0.0,456.0,0.78,CR
76,3206.3618,-0.139,45.4984,36000.0,473.0,0.0,458.0,0.7805,CR
80,3325.6533,-0.2292,45.7495,36025.0,471.0,0.0,458.0,0.784,CR
81,3353.1457,-0.2506,45.8088,36000.0,470.0,0.0,459.4271,0.784,CR
82,3390.598,-0.2778,45.8839,36000.0,469.0804,0.0,458.0,0.784,CR
83,3429.4221,-0.308,45.9674,36000.0,468.4472,0.0,458.0,0.784,CR
84,3468.7437,-0.3377,46.049,36025.0,466.0,0.0,458.3719,0.784,CR
85,3502.0955,-0.364,46.121,36000.0,464.1809,0.0,456.7236,0.7833,CR
86,3531.809,-0.3867,46.1831,35975.0,464.0,0.0,454.9045,0.78,CR
87,3567.3417,-0.4133,46.2553,35975.0,463.0,-457.2864,459.6583,0.7843,CR
88,3597.593,-0.4365,46.3185,36000.0,462.0,0.0,456.0,0.78,CR
89,3624.0553,-0.457,46.374,36000.0,460.0,0.0,456.0,0.78,CR
90,3662.9095,-0.4864,46.4533,35999.6231,460.0,246.2312,456.0,0.78,CR
91,3696.7085,-0.5123,46.5232,36000.0,460.0,0.0,456.7638,0.78,CR
92,3731.0151,-0.5389,46.595,36000.0,459.7487,0.0,458.5025,0.784,CR
93,3775.6131,-0.5728,46.6859,36000.0,458.1156,0.0,456.0,0.78,CR
94,3814.7638,-0.6023,46.7647,35975.0,459.5176,-65.7835,452.9648,0.776,CR
95,3870.9045,-0.6455,46.8824,35975.0,462.0,0.0,454.0,0.7794,CR
96,3928.9196,-0.6902,47.0032,36000.0,465.0,0.0,457.5678,0.784,CR
97,3972.5025,-0.7242,47.0939,36035.4271,466.0,104.2714,458.8342,0.788,CR
98,4005.2513,-0.7506,47.1635,36025.0,466.0,0.0,456.201,0.784,CR
99,4038.7337,-0.7774,47.2322,36025.0,465.6834,0.0,457.3668,0.784,CR
100,4071.5829,-0.8039,47.3009,36025.0,465.6834,0.0,459.3668,0.7867,CR
101,4104.7487,-0.831,47.3701,36025.0,465.0,18.8442,460.0,0.784,CR
102,4137.9146,-0.8574,47.4385,36025.0,465.0,0.0,458.8342,0.7863,CR
103,4188.8593,-0.8972,47.5433,36019.598,459.0553,-7.9054,457.1357,0.7831,CR
104,4338.7387,-1.0152,47.8502,35996.2312,449.1508,84.9246,456.0,0.7806,CR
105,4377.4121,-1.0466,47.9303,35975.0,450.0,0.0,454.0,0.78,CR
106,4421.4623,-1.0814,48.0185,35975.0,449.6533,-265.3266,455.7688,0.7795,CR
