,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0725,41.2924,0.0,27.0,0.0,222.0,0.2,GND
1,11.9146,2.0734,41.2928,0.0,31.2764,0.0,222.0,0.2,GND
2,27.8291,2.0748,41.2932,0.0,19.2764,0.0,222.0,0.2,GND
3,48.2312,2.0774,41.2941,0.0,24.8291,0.0,222.0,0.2,GND
4,67.1055,2.08,41.295,0.0,26.0,0.0,222.0,0.2,GND
5,84.7638,2.0823,41.2957,0.0,16.0,0.0,222.0,0.2,GND
6,98.1457,2.0837,41.2959,0.0,16.0,0.0,222.0,0.2,GND
7,113.402,2.0851,41.2962,0.0,17.0,0.0,222.0,0.2,GND
8,135.6332,2.0861,41.2947,0.0,18.1055,0.0,222.0,0.2,GND
9,158.4623,2.0872,41.2928,0.0,18.0,0.0,222.0,0.2,GND
10,180.2915,2.0883,41.291,0.0,19.3819,0.0,222.0,0.2,GND
11,196.0603,2.0892,41.2897,0.0,17.9799,0.0,222.0,0.2,GND
12,210.3166,2.0905,41.2897,0.0,16.0,0.0,222.0,0.2,GND
13,223.8894,2.0919,41.2902,0.0,18.0,0.0,222.0,0.2,GND
14,237.9347,2.0933,41.2907,0.0,19.0,0.0,222.0,0.2,GND
15,253.4372,2.0952,41.2913,0.0,23.1457,0.0,222.0,0.2,GND
16,269.0553,2.0973,41.2921,0.0,27.0,0.0,222.0,0.2,GND
17,282.5477,2.0993,41.2928,0.0,23.1508,0.0,222.0,0.2,GND
18,300.9497,2.1015,41.2936,0.0,18.5377,0.0,222.0,0.2,GND
19,316.3769,2.1027,41.2934,0.0,22.6231,0.0,222.0,0.2,GND
20,333.2915,2.103,41.2929,0.0,20.7638,0.0,222.0,0.2,GND
21,348.8141,2.1033,41.2923,0.0,22.0,0.0,222.0,0.2,GND
22,365.1608,2.103,41.2921,0.0,0.0,0.0,222.0,0.2,GND
23,384.0704,2.103,41.2921,0.0,0.0,0.0,222.0,0.2,GND
24,403.5829,2.1007,41.2913,0.0,60.1809,0.0,222.0,0.2,GND
25,418.8643,2.0919,41.2883,0.0,129.5477,0.0,222.0,0.2,GND
26,434.3719,2.0787,41.2837,118.593,151.8141,1778.8945,222.0,0.2,CL
27,449.4623,2.0679,41.2772,773.1156,153.1558,2807.7889,222.0,0.248,CL
28,462.7387,2.0654,41.2665,1043.4673,179.0854,1434.6734,222.0,0.2769,CL
29,478.0302,2.0615,41.2545,1275.3769,200.5377,750.0,222.0,0.3,CL
30,491.7487,2.0528,41.2407,1472.3618,230.9146,1091.0804,222.0,0.3,CL
31,514.1357,2.0373,41.2188,2381.7839,252.4322,3108.0402,222.0,0.3831,CL
32,532.5327,2.0233,41.2005,3687.1859,244.4221,4189.0704,222.0,0.372,CL
33,550.1206,2.0053,41.1884,4353.0151,252.2412,1701.364,222.0,0.384,CL
34,561.794,1.9843,41.1851,4804.7739,260.6985,2777.6382,222.0,0.404,CL
35,584.6734,1.9473,41.1818,6083.9196,270.0,4089.196,222.0,0.42,CL
36,608.6734,1.9107,41.1724,7358.6683,274.9246,3012.5628,222.0,0.4279,CL
37,621.8392,1.8883,41.1662,8082.2864,278.6131,3886.9347,222.0,0.4345,CL
38,639.7588,1.8602,41.1586,8894.0955,285.5025,2464.1062,222.0,0.44,CL
39,656.3367,1.8326,41.1513,9714.0704,288.8894,3388.191,222.0,0.4516,CL
40,677.1658,1.7955,41.1414,10602.7638,301.2211,1944.7236,222.0,0.4621,CL
41,692.3216,1.7694,41.1349,10845.603,319.3166,821.0696,222.0,0.49,CL
42,715.0201,1.7238,41.1235,11300.5025,348.8241,1353.0151,222.0,0.5361,CL
43,731.3065,1.6904,41.1166,11768.2161,359.0,2052.7638,222.0,0.5578,CL
44,759.5628,1.6294,41.1103,13078.1407,360.9196,2310.3015,222.0,0.5763,CL
45,777.4372,1.5865,41.1065,14121.8593,360.0,3000.0,222.0,0.58,CL
46,795.5678,1.5501,41.1032,14612.4372,368.8543,1339.4472,222.0,0.5817,CL
47,813.9648,1.5087,41.0995,15148.8693,378.9899,1926.4178,222.0,0.596,CL
48,826.8995,1.4767,41.0967,15579.1457,384.6332,2211.7732,380.0,0.6036,CL
49,845.1709,1.435,41.093,16336.0553,385.2714,2279.5226,382.0,0.6091,CL
50,863.5477,1.391,41.0891,17102.3869,386.9095,2954.7739,386.0,0.616,CL
51,880.6432,1.3496,41.0853,17754.7739,390.5477,2197.8643,386.0,0.62,CL
52,899.5578,1.3021,41.0811,18293.593,398.1859,2203.5176,392.0,0.632,CL
53,927.9447,1.2384,41.0752,19248.6181,401.0,1639.6689,392.0,0.6492,CL
54,948.9246,1.183,41.0701,20171.2312,400.0,2372.6968,400.0,0.6538,CL
55,965.201,1.1486,41.067,20610.0503,400.8995,1111.0553,400.0,0.66,CL
56,982.4322,1.102,41.0626,21110.804,400.4774,1578.392,404.0,0.66,CL
57,997.8844,1.0657,41.0592,21503.2663,403.3769,1741.206,406.0,0.664,CL
58,1014.0754,1.025,41.0554,21901.8844,410.0151,1500.0,412.0,0.6721,CL
59,1030.5729,0.9839,41.0516,22297.9899,413.3065,1533.3812,414.0,0.68,CL
60,1052.0402,0.9283,41.0464,22729.1457,418.2915,1312.6346,418.0,0.688,CL
61,1068.6482,0.8886,41.0426,22946.4824,421.7889,628.1407,416.0,0.688,CL
62,1085.2714,0.8436,41.0384,22950.0,423.4322,-216.0804,418.8643,0.6857,CR
63,1099.2362,0.8068,41.035,22980.1508,414.3819,51.5075,408.0,0.6736,CR
64,1121.5327,0.7516,41.0296,23000.0,407.1558,0.0,406.3116,0.6606,CR
65,1141.4472,0.7019,41.0248,22975.0,406.0,0.0,402.0,0.66,DE
66,1156.4824,0.6678,41.0215,22975.0,405.0,0.0,404.0,0.664,DE
67,1178.5176,0.6116,41.0161,22975.0,403.0,0.0,404.0,0.663,DE
68,1192.191,0.5779,41.0128,22975.0,403.0,-904.5226,403.206,0.66,DE
69,1212.1759,0.5278,41.0079,22975.0,404.9648,0.0,404.0,0.664,CR
70,1228.6935,0.4887,41.0041,22975.0,404.0,0.0,404.0,0.664,CR
71,1251.7387,0.4354,40.9989,22975.0,404.6231,0.0,404.6231,0.6625,CR
72,1274.8492,0.3761,40.993,22975.0,404.0,0.0,404.0,0.6678,CR
73,1289.1759,0.3417,40.9896,22975.0,403.0,0.0,404.0,0.664,CR
74,1310.6784,0.2929,40.9847,22975.0,404.0,0.0,402.0,0.664,CR
75,1324.1859,0.2594,40.9814,22975.0,404.0,0.0,404.0,0.664,CR
76,1336.5126,0.2254,40.9781,22975.0,405.0,0.0,404.0,0.666,CR
77,1352.6734,0.1858,40.9741,22975.0,404.7186,0.0,404.0,0.664,CR
78,1378.6734,0.1213,40.9676,22975.0,403.0,0.0,402.4422,0.6609,CR
79,1397.6683,0.0779,40.9631,22975.0,403.0,0.0,404.0,0.664,CR
80,1410.3317,0.0439,40.9597,22975.0,403.0,0.0,404.0,0.664,CR
81,1431.4673,-0.0053,40.9546,22975.0,403.0,0.0,315.2362,0.664,CR
82,1444.995,-0.0392,40.9511,23000.0,403.0,501.2563,318.4523,0.6653,CR
83,1464.8191,-0.0881,40.9461,22975.0,402.0302,0.0,404.0603,0.664,CR
84,1478.608,-0.1219,40.9427,22975.0,401.392,0.0,404.0,0.664,CR
85,1492.2462,-0.1555,40.9382,23000.0,404.2462,0.0,402.0,0.66,CR
86,1506.5377,-0.1895,40.9316,22975.0,407.1156,0.0,290.5628,0.664,CR
87,1522.6583,-0.2309,40.9228,22975.0,407.4774,0.0,341.8492,0.664,CR
88,1541.4824,-0.2709,40.9142,22975.0,408.0,0.0,381.7387,0.664,CR
89,1558.995,-0.3156,40.9046,22975.0,407.0,0.0,376.6734,0.66,CR
90,1573.8744,-0.3522,40.8967,22975.0,407.0,0.0,400.0,0.66,CR
91,1591.1508,-0.392,40.8881,22975.0,409.0,0.0,276.0,0.6603,CR
92,1605.8543,-0.4255,40.8809,22975.0,408.0,0.0,276.0,0.664,CR
93,1628.7588,-0.4815,40.8688,22975.0,406.0,0.0,276.0,0.66,CR
