,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0763,41.3017,0.0,0.0,0.0,218.0,0.104,GND
1,34.7688,2.0763,41.3017,0.0,0.0,0.0,218.0,0.104,GND
2,75.0754,2.0763,41.3018,0.0,0.0,0.0,218.0,0.104,GND
3,111.8744,2.0762,41.3019,0.0,0.0,0.0,218.0,0.104,GND
4,171.2412,2.076,41.3014,0.0,10.0,0.0,218.0,0.104,GND
5,222.7688,2.0763,41.3008,0.0,10.0,0.0,218.0,0.104,GND
6,287.7487,2.077,41.3004,0.0,9.0,0.0,218.0,0.104,GND
7,472.4874,2.0771,41.2998,0.0,22.3819,0.0,218.0,0.104,GND
8,562.9347,2.0823,41.3008,0.0,23.2764,0.0,218.0,0.104,GND
9,649.7337,2.083,41.3,0.0,0.0,0.0,218.0,0.104,GND
10,744.1508,2.0853,41.296,0.0,23.0,0.0,218.0,0.104,GND
11,774.9146,2.0872,41.2929,0.0,23.5829,0.0,218.0,0.104,GND
12,812.407,2.0893,41.2896,0.0,24.0,0.0,218.0,0.104,GND
13,843.593,2.0909,41.2899,0.0,25.799,0.0,218.0,0.104,GND
14,871.2111,2.0928,41.2905,0.0,29.5528,0.0,218.0,0.104,GND
15,915.7588,2.0963,41.2917,0.0,15.3065,0.0,218.0,0.104,GND
16,954.4221,2.0997,41.293,0.0,17.8442,0.0,218.0,0.104,GND
17,1017.3266,2.1005,41.2933,0.0,7.6985,0.0,218.0,0.104,GND
18,1111.3417,2.1027,41.2933,0.0,6.4824,0.0,218.0,0.104,GND
19,1191.9296,2.1027,41.2933,0.0,0.0,0.0,218.0,0.104,GND
20,1230.6784,2.1027,41.2933,0.0,0.8291,0.0,218.0,0.104,GND
21,1268.4874,2.1032,41.2924,0.0,19.0,0.0,218.0,0.104,GND
22,1301.2462,2.1022,41.2919,0.0,21.995,0.0,218.0,0.104,GND
23,1333.0402,2.0868,41.2866,100.5025,144.7538,252.5126,218.0,0.1484,CL
24,1435.0854,2.0572,41.2273,3806.6583,160.7236,2107.3223,218.0,0.2691,CL
25,1472.5327,2.0829,41.2045,4713.3166,217.0653,1402.6382,218.0,0.34,CL
26,1511.794,2.1325,41.1865,6564.6985,238.598,3000.0,218.0,0.376,CL
27,1548.0553,2.1805,41.1694,8345.3518,249.3518,3432.7889,218.0,0.3852,CL
28,1588.0553,2.2386,41.1494,9883.0402,279.8442,1640.7035,218.0,0.4044,CL
29,1623.1558,2.3024,41.1525,11621.8593,304.0151,2105.5276,218.0,0.4149,CL
30,1655.3568,2.3614,41.1727,12237.9397,348.0352,1270.1005,218.0,0.4843,CL
31,1691.7337,2.4368,41.1982,12834.1709,393.7337,844.9749,218.0,0.5549,CL
32,1732.7236,2.5337,41.2306,13799.1206,430.4824,2615.5779,218.0,0.605,CL
33,1764.8693,2.6097,41.256,14790.4523,445.6231,1791.4573,218.0,0.6195,CL
34,1792.2563,2.6798,41.2793,15897.1106,452.2563,2082.6633,218.0,0.6265,CL
35,1835.5276,2.7899,41.3159,17410.9296,463.3819,2401.5075,218.0,0.648,CL
36,1864.9497,2.8721,41.3431,18430.5276,471.1357,1774.2283,218.0,0.664,CL
37,1897.3367,2.9565,41.371,19530.6533,475.8894,1777.6382,218.0,0.6751,CL
38,1931.9296,3.0496,41.4017,20405.402,487.6432,1920.2261,218.0,0.688,CL
39,1960.1759,3.1305,41.4254,21279.397,492.397,1801.5075,218.0,0.7,CL
40,1994.7538,3.232,41.4468,22397.6131,496.1508,2022.9271,218.0,0.7126,CL
