,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.0782,41.2865,0.0,9.0,0.0,0.0,0.0,GND
1,18.3015,2.0781,41.2864,0.0,2.0,0.0,0.0,0.0,GND
2,34.8241,2.0781,41.2864,0.0,0.0,0.0,0.0,0.0,GND
3,51.7136,2.0781,41.2864,0.0,0.0,0.0,0.0,0.0,GND
4,82.0302,2.0781,41.2864,0.0,0.0,0.0,0.0,0.0,GND
5,103.0452,2.0781,41.2864,0.0,0.0,0.0,0.0,0.0,GND
6,124.0452,2.0781,41.2864,0.0,0.0,0.0,0.0,0.0,GND
7,150.5528,2.0781,41.2864,0.0,2.7739,0.0,0.0,0.0,GND
8,174.4121,2.0786,41.2865,0.0,16.4121,0.0,0.0,0.0,GND
9,191.7085,2.0793,41.2867,0.0,20.4271,0.0,0.0,0.0,GND
10,212.0754,2.0801,41.2862,0.0,24.0,0.0,0.0,0.0,GND
11,232.9497,2.0813,41.2866,0.0,26.3166,0.0,0.0,0.0,GND
12,250.7085,2.0825,41.287,0.0,29.6181,0.0,0.0,0.0,GND
13,277.196,2.0847,41.2877,0.0,16.9196,0.0,0.0,0.0,GND
14,292.6633,2.0863,41.2883,0.0,17.0,0.0,0.0,0.0,GND
15,310.1357,2.0881,41.2889,0.0,18.0,0.0,0.0,0.0,GND
16,327.9447,2.0899,41.2895,0.0,19.8241,0.0,0.0,0.0,GND
17,344.8794,2.0919,41.2902,0.0,21.0,0.0,0.0,0.0,GND
18,363.7085,2.0942,41.291,0.0,22.0,0.0,0.0,0.0,GND
19,380.1859,2.0962,41.2917,0.0,23.0,0.0,0.0,0.0,GND
20,400.0905,2.0991,41.2927,0.0,20.9397,0.0,0.0,0.0,GND
21,417.9899,2.1007,41.2934,0.0,15.6683,0.0,0.0,0.0,GND
22,435.8995,2.1021,41.2937,0.0,28.7337,0.0,0.0,0.0,GND
23,450.8693,2.1028,41.2933,0.0,14.5226,0.0,0.0,0.0,GND
24,470.7085,2.1028,41.2932,0.0,0.0,0.0,0.0,0.0,GND
25,484.1508,2.1028,41.2932,0.0,0.0,0.0,0.0,0.0,GND
26,517.7839,2.1028,41.2932,0.0,0.0,0.0,0.0,0.0,GND
27,546.2814,2.1028,41.2932,0.0,0.0,0.0,0.0,0.0,GND
28,575.2111,2.1028,41.2932,0.0,0.0,0.0,0.0,0.0,GND
29,594.9749,2.1029,41.2931,0.0,12.4874,0.0,0.0,0.0,GND
30,610.3618,2.1031,41.2927,0.0,17.0452,0.0,0.0,0.0,GND
31,634.3467,2.1032,41.2922,0.0,14.0,0.0,0.0,0.0,GND
32,650.2412,2.1026,41.292,0.0,25.1307,0.0,0.0,0.0,GND
