,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5617,49.0232,1775.0,159.0,5.894,170.0,0.26,CL
1,57.1156,2.6243,49.0268,4193.593,163.1156,668.2178,179.4874,0.2765,CL
2,99.5975,2.6847,49.0301,5186.5578,218.0473,3656.8174,60.4824,0.0912,CL
3,150.2447,2.7583,49.0481,6823.1156,248.059,3308.4079,242.3317,0.3785,CL
4,202.3393,2.7682,49.1108,9200.0,269.4594,1864.6182,136.4824,0.2125,CL
5,242.9484,2.7664,49.1618,10603.5176,292.126,-3191.4791,250.9146,0.3987,CL
6,283.571,2.7658,49.2236,11807.7889,326.8515,4709.9253,0.0,0.0,CL
7,331.1258,2.7903,49.2946,13905.5276,340.0824,3931.9599,138.1508,0.2223,CL
8,377.7596,2.8226,49.3655,16395.603,341.2294,5709.1507,8.794,0.0142,CL
9,431.5471,2.8606,49.4474,18493.3417,359.3924,2051.2244,237.7889,0.3893,CL
10,474.1174,2.8928,49.5173,20071.8593,372.1902,3194.8164,104.6834,0.1733,CL
11,518.055,2.927,49.5916,21700.0,384.0746,2764.5828,34.3719,0.0572,CL
12,561.5423,2.961,49.6653,23117.4623,394.7987,-423.7686,209.6985,0.3506,DE
13,601.3982,2.9943,49.737,24404.2714,404.0818,1958.0929,65.3367,0.1101,CL
14,655.7952,3.0403,49.836,26044.8492,416.4776,560.2019,83.2362,0.1417,CL
15,699.1098,3.0774,49.9154,27200.0,425.65,1004.4936,236.9347,0.4068,CL
16,742.6671,3.1172,50.001,28068.7186,441.7761,1334.6517,21.1055,0.0362,CL
17,791.0909,3.1626,50.0975,29081.2814,455.7129,2377.423,0.0,0.0,CL
18,839.8661,3.2085,50.1943,30521.3568,452.9005,2221.5719,129.3568,0.2232,CL
19,878.0235,3.2439,50.2686,31276.6332,458.1233,1324.4601,392.5628,0.6767,CL
20,925.5201,3.2941,50.3665,32165.5779,460.898,1131.6288,238.6332,0.412,CL
21,963.5883,3.3575,50.4345,33000.0,456.0291,0.0,341.4171,0.5922,CR
22,1005.2964,3.4418,50.507,33000.0,456.4847,0.0,75.9799,0.1317,CR
23,1045.2846,3.5198,50.5738,33000.0,455.0297,0.0,187.8392,0.3238,CR
24,1084.7656,3.5987,50.6414,33000.0,454.3648,0.0,31.809,0.0549,CR
25,1132.5212,3.6911,50.7201,33000.0,454.9508,0.0,296.8844,0.5122,CR
26,1172.9324,3.7713,50.7882,33000.0,454.1308,0.0,280.7035,0.4839,CR
27,1222.0854,3.8677,50.8695,33000.0,454.0159,0.0,403.1156,0.6987,CR
28,1268.6482,3.9609,50.9483,33000.0,455.0,0.0,424.0,0.732,CR
29,1311.7874,4.0502,51.0233,33000.0,456.1523,0.0,0.0,0.0,CR
30,1356.8671,4.1405,51.0989,33000.0,456.6851,0.0,66.3618,0.1147,CR
31,1397.5829,4.2143,51.1679,33000.0,457.0,0.0,430.0,0.7419,CR
32,1436.8851,4.2901,51.2392,33000.0,458.3145,0.0,43.4171,0.0752,CR
33,1480.3568,4.3695,51.3132,33000.0,459.2714,0.0,432.5427,0.748,CR
34,1524.0403,4.4551,51.3921,33000.0,460.3518,0.0,155.5578,0.2683,CR
35,1563.0001,4.5277,51.4589,33000.0,460.0016,0.0,429.4271,0.7407,CR
36,1599.7017,4.5986,51.5242,33000.0,460.2116,0.0,266.0704,0.4586,CR
37,1639.4271,4.6751,51.5942,33000.0,459.1611,0.0,329.3166,0.5706,CR
38,1679.3684,4.7506,51.6631,33000.0,459.0873,0.0,377.2965,0.6503,CR
39,1722.0295,4.8341,51.7392,33000.0,460.9932,0.0,218.0905,0.3759,CR
40,1763.5124,4.9162,51.8131,33000.0,460.4782,0.0,54.5226,0.094,CR
41,1804.9793,4.9945,51.8834,33000.0,460.0265,0.0,325.6281,0.5608,CR
42,1848.9704,5.0813,51.9617,33000.0,459.2771,0.0,164.9849,0.2841,CR
43,1885.9799,5.1519,52.0249,33000.0,458.0,0.0,434.0,0.748,CR
44,1923.2634,5.2254,52.0906,33000.0,459.0827,0.0,275.6985,0.4748,CR
45,1960.9743,5.3015,52.158,33000.0,459.4901,0.0,115.0553,0.1982,CR
46,2007.0969,5.3932,52.2388,33000.0,460.3967,0.0,0.0,0.0,CR
47,2045.8283,5.4685,52.3051,33000.0,461.4522,0.0,206.2312,0.3552,CR
48,2083.9858,5.5436,52.3711,33025.0,461.0642,55.5604,370.2714,0.6352,CR
49,2128.4146,5.633,52.4493,33000.0,462.0674,0.0,338.0402,0.5826,CR
50,2169.311,5.7161,52.5215,33000.0,462.9786,0.0,177.4673,0.3045,CR
51,2207.9637,5.792,52.5873,33000.0,463.0065,0.0,422.593,0.7255,CR
52,2250.2629,5.8792,52.6624,33000.0,462.2505,0.0,289.206,0.4988,CR
53,2294.5245,5.9695,52.7399,33000.0,461.6131,0.0,126.4925,0.218,CR
54,2334.9386,6.0528,52.8111,33000.0,460.9863,0.0,0.0,0.0,CR
55,2378.4397,6.1399,52.8852,33000.0,460.1792,0.0,198.0905,0.3401,CR
56,2416.8241,6.2168,52.9507,33000.0,459.0,0.0,436.0,0.748,CR
57,2459.6569,6.3037,53.0244,33000.0,457.0492,0.0,350.5528,0.6014,CR
58,2501.0549,6.3889,53.0959,33000.0,455.2131,0.0,247.5779,0.4247,CR
59,2539.9213,6.4664,53.1608,33000.0,454.0105,0.0,407.8291,0.7029,CR
60,2578.8121,6.5479,53.2289,33000.0,452.5896,0.0,134.593,0.2318,CR
61,2617.6242,6.6257,53.2936,33000.0,451.2399,0.0,295.2362,0.5085,CR
62,2655.5352,6.7054,53.3594,33000.0,450.8856,0.0,23.8794,0.0409,CR
63,2693.3749,6.7807,53.4214,33000.0,450.1877,0.0,248.6231,0.4262,CR
64,2735.1049,6.8658,53.4917,33019.9749,449.1127,269.1427,346.7638,0.5945,CL
65,2773.9727,6.9471,53.5582,33000.0,449.2826,0.0,73.809,0.1264,CR
66,2815.7294,7.0325,53.6278,33000.0,448.3699,0.0,199.3769,0.3421,CR
67,2853.8342,7.1118,53.6925,33000.0,448.0788,0.0,0.0,0.0,CR
68,2895.9719,7.1987,53.7627,33000.0,447.8027,0.0,0.0,0.0,CR
69,2933.3166,7.2729,53.8223,33000.0,446.3417,0.0,434.0,0.7454,CR
70,2970.0688,7.3494,53.8838,33000.0,446.0014,0.0,420.9146,0.7216,CR
71,3009.0207,7.4304,53.9485,33000.0,446.0181,0.0,257.1357,0.4425,CR
72,3047.2015,7.5098,54.0118,33000.0,446.0102,0.0,332.7638,0.5727,CR
73,3092.0648,7.6035,54.0861,33000.0,446.0706,0.0,367.3367,0.6322,CR
74,3128.3706,7.6796,54.1462,33000.0,446.7056,0.0,208.402,0.3589,CR
75,3173.6625,7.7765,54.2225,33000.0,447.3633,0.0,0.0,0.0,CR
76,3211.1286,7.8539,54.2834,33000.0,447.0949,0.0,320.593,0.5525,CR
77,3250.6859,7.9377,54.3491,33000.0,447.3691,0.0,159.206,0.2744,CR
78,3288.9383,8.0206,54.4133,33000.0,448.241,0.0,2.1809,0.0038,CR
79,3329.1945,8.1052,54.4787,33000.0,448.0913,0.0,269.1859,0.4636,CR
80,3371.8487,8.1957,54.5483,33025.0,448.0609,0.0,326.4523,0.5631,CR
81,3415.2859,8.291,54.6215,33000.0,448.0198,0.0,52.1005,0.0897,CR
82,3463.2504,8.393,54.6993,33000.0,447.8999,0.0,212.7437,0.3664,CR
83,3500.9516,8.4762,54.7623,33000.0,448.5892,0.0,58.8844,0.1015,CR
84,3541.5019,8.5616,54.827,33000.0,447.9534,0.0,331.4975,0.5713,CR
85,3580.138,8.6475,54.8919,33000.0,447.8801,0.0,170.1106,0.2932,CR
86,3623.957,8.7409,54.9622,33000.0,446.023,0.0,429.196,0.7369,CR
87,3659.9455,8.8208,55.022,33000.0,445.213,0.0,282.6332,0.4849,CR
88,3701.5841,8.9131,55.0907,33000.0,445.2791,0.0,118.8442,0.2045,CR
89,3743.5405,9.0058,55.1593,33000.0,445.3489,0.0,41.4372,0.071,CR
90,3779.2095,9.083,55.2162,33000.0,444.27,0.0,203.7588,0.3496,CR
91,3815.882,9.1632,55.275,33000.0,444.0815,0.0,365.8894,0.6277,CR
92,3857.7102,9.2576,55.3444,33000.0,444.3677,0.0,0.0,0.0,CR
93,3896.5602,9.3422,55.4061,33000.0,443.4941,0.0,181.0151,0.312,CR
94,3935.8096,9.4282,55.4685,33000.0,443.0284,0.0,412.4623,0.7104,CR
95,3972.4264,9.5094,55.5274,33000.0,444.0938,0.0,290.8945,0.501,CR
