,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5009,49.0146,0.0,10.0,0.0,0.0,0.0,GND
1,136.9957,2.5004,49.0141,0.0,0.0,0.0,0.0,0.0,GND
2,293.642,2.5025,49.0142,0.0,12.8894,0.0,0.0,0.0,GND
3,372.599,2.5078,49.0163,0.0,0.0,0.0,0.0,0.0,GND
4,461.2525,2.5186,49.0169,0.0,0.0,0.0,0.0,0.0,GND
5,539.3317,2.5301,49.0175,0.0,6.3317,0.0,0.0,0.0,GND
6,591.876,2.536,49.0186,0.0,6.7538,0.0,0.0,0.0,GND
7,670.535,2.5472,49.0202,0.0,13.196,0.0,0.0,0.0,GND
8,731.9156,2.5562,49.0208,0.0,0.0,0.0,0.0,0.0,GND
9,782.8995,2.5556,49.0229,0.0,6.1005,0.0,0.0,0.0,GND
10,857.1505,2.4981,49.0198,1318.4673,176.2858,3663.941,0.0,0.0,CL
11,920.0215,2.4199,49.0209,3858.0402,194.5823,2807.7891,45.6784,0.0669,CL
12,967.3769,2.3771,49.0587,5368.8442,242.6884,1823.8784,240.3116,0.368,CL
13,1014.8559,2.3965,49.1159,7222.8643,279.0984,1398.7576,254.2513,0.3878,CL
14,1071.2624,2.4314,49.1873,10072.7387,288.0455,3926.9258,4.3116,0.0068,CL
15,1123.6826,2.4701,49.2594,11248.6181,345.8026,1349.0473,19.3467,0.0301,CL
16,1178.0233,2.5287,49.343,13171.8593,374.362,2560.865,47.4874,0.0744,CL
17,1233.2726,2.5895,49.4307,15119.598,396.1619,1727.5941,318.392,0.4985,CL
18,1282.7102,2.6492,49.5167,16900.0,411.4019,4430.364,108.6633,0.1715,CL
19,1330.684,2.7081,49.6008,18583.4171,421.2889,3192.4668,139.3869,0.2222,CL
20,1384.0779,2.7755,49.697,20150.0,437.282,1549.1099,173.397,0.2768,CL
21,1432.3881,2.8385,49.7862,21685.804,445.0793,3687.5894,226.8141,0.3658,CL
22,1484.3641,2.9081,49.8847,23125.0,454.6268,1046.094,242.1005,0.3922,CL
23,1535.6007,2.9779,49.9829,24430.9045,462.9862,1792.4504,275.6683,0.4574,CL
24,1579.737,3.0392,50.0688,25532.7889,468.2793,-483.1406,312.5528,0.515,DE
25,1623.7467,3.1028,50.1575,26831.9095,466.9385,4012.8081,109.5075,0.1814,CL
26,1676.4261,3.1818,50.2559,28587.1859,458.1724,1910.4236,369.799,0.6169,CL
