,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
1,107.5391,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
2,207.7387,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
3,418.9856,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
4,502.86,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
5,611.8654,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
6,760.4322,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
7,999.5707,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
8,1108.9548,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
9,1217.6482,2.569,49.0021,0.0,0.0,0.0,0.0,0.0,GND
10,1298.8244,2.5692,49.0013,0.0,0.0,0.0,0.0,0.0,GND
11,1717.5416,2.5624,49.0009,0.0,5.1256,0.0,0.0,0.0,GND
12,1767.2194,2.5596,49.0008,0.0,2.5779,0.0,0.0,0.0,GND
13,1814.376,2.5565,49.0006,0.0,0.3618,0.0,0.0,0.0,GND
14,1939.9197,2.5568,48.9985,0.0,0.0,0.0,0.0,0.0,GND
15,2038.6998,2.5594,48.996,0.0,4.2563,0.0,0.0,0.0,GND
16,2112.7396,2.6216,48.9993,1070.4774,169.1563,2296.4679,107.5477,0.1656,CL
17,2167.3151,2.6853,49.0026,3290.5779,168.2537,2150.4656,153.6482,0.233,CL
18,2211.6322,2.7484,49.0061,4271.4824,221.38,4171.7407,16.3216,0.025,CL
19,2277.165,2.8625,48.9992,6930.5276,261.0374,4712.9126,82.4221,0.1257,CL
20,2360.5743,3.0167,48.9752,10385.804,283.2117,2961.616,153.6482,0.2383,CL
21,2426.7538,3.1491,48.9342,12200.1256,331.0,2374.3719,342.5025,0.532,CL
22,2520.1508,3.3522,48.8721,15705.6533,351.0251,2067.2111,362.0,0.572,CL
23,2602.7577,3.5425,48.814,18709.799,358.8255,2340.1934,75.5779,0.1206,CL
24,2669.8643,3.71,48.8013,20632.2864,371.0,930.7731,386.0,0.6217,CL
25,2728.4566,3.855,48.7604,22327.0101,379.5351,2230.3101,0.0,0.0,CL
26,2795.6064,4.0136,48.7046,23959.0452,387.7188,1375.166,49.4472,0.081,CL
27,2857.5318,4.1585,48.6533,25497.3618,387.9344,487.6716,370.3116,0.6082,CL
28,2918.58,4.3096,48.5996,26591.8342,400.0547,1274.2183,0.0,0.0,CL
