,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.4788,49.0189,2225.0,176.0,0.172,314.0,0.284,CL
1,21.0,2.4492,49.0175,3075.0,207.0,2531.25,314.0,0.336,CL
2,59.0,2.3954,49.0388,4900.0,263.0,3818.1818,314.0,0.388,CL
3,72.0,2.3841,49.0516,5600.0,270.0,3500.0,314.0,0.392,CL
4,84.0,2.3714,49.0647,6150.0,283.0,2750.0,270.0,0.416,CL
5,101.0,2.3521,49.0844,7500.0,277.0,4500.0,274.0,0.42,CL
6,120.0,2.3331,49.1044,8525.0,288.0,3600.0,278.0,0.428,CL
7,133.0,2.3199,49.1182,9075.0,298.0,2357.1429,290.0,0.448,CL
8,147.0,2.3071,49.1379,9750.0,306.0,2166.6667,294.0,0.456,CL
9,156.0,2.3041,49.1508,9900.0,320.0,1200.0,300.0,0.468,CL
10,184.0,2.3222,49.1927,9925.0,379.0,-1500.0,354.0,0.548,CR
11,194.0,2.336,49.2116,9925.0,385.0,1500.0,354.0,0.552,CR
12,210.0,2.3544,49.2362,10000.0,397.0,-500.0,368.0,0.572,CR
13,223.0,2.3694,49.2563,9975.0,398.0,0.0,368.0,0.572,CR
14,243.0,2.3937,49.2917,10000.0,400.0,0.0,370.0,0.576,CL
15,255.0,2.4072,49.311,10000.0,400.0,0.0,368.0,0.572,CL
16,272.0,2.4238,49.3374,10100.0,399.0,428.5714,368.0,0.572,CL
17,279.0,2.4337,49.3532,10350.0,403.0,2000.0,372.0,0.58,CL
18,300.0,2.4585,49.3893,11550.0,403.0,3250.0,374.0,0.584,CL
19,314.0,2.4724,49.4099,12150.0,407.0,3000.0,384.0,0.6,CL
20,337.0,2.5032,49.4514,13325.0,419.0,3000.0,388.0,0.608,CL
21,349.0,2.5183,49.4716,13875.0,423.0,3000.0,390.0,0.616,CL
22,362.0,2.5392,49.4974,14450.0,432.0,2550.0,394.0,0.624,CL
23,378.0,2.5605,49.5239,15100.0,438.0,3375.0,398.0,0.632,CL
24,400.0,2.5923,49.564,16000.0,448.0,2250.0,406.0,0.644,CL
25,415.0,2.6129,49.5907,16650.0,453.0,1800.0,408.0,0.652,CL
26,431.0,2.6384,49.6222,17350.0,457.0,2590.9091,464.0,0.656,CL
27,444.0,2.658,49.6475,17850.0,466.0,2357.1429,416.0,0.664,CL
28,458.0,2.6825,49.6773,18475.0,471.0,3000.0,420.0,0.672,CL
29,474.0,2.7058,49.707,19075.0,476.0,2700.0,424.0,0.684,CL
30,488.0,2.7231,49.7294,19325.0,480.0,937.5,426.0,0.688,CL
31,497.0,2.7405,49.7513,19575.0,483.0,1200.0,426.0,0.688,CL
32,519.0,2.7772,49.7966,20000.0,486.0,1038.4615,426.0,0.688,CL
33,528.0,2.7916,49.8141,19975.0,488.0,-300.0,430.0,0.692,CL
34,541.0,2.8109,49.8389,20000.0,488.0,0.0,430.0,0.696,CR
35,554.0,2.8286,49.8617,20000.0,489.0,0.0,430.0,0.696,CR
36,569.0,2.856,49.8951,20000.0,488.0,0.0,430.0,0.696,CR
37,579.0,2.8703,49.9133,20000.0,488.0,0.0,430.0,0.696,CR
38,593.0,2.8946,49.9444,20000.0,487.0,0.0,430.0,0.696,CR
39,615.0,2.9318,49.9886,20000.0,487.0,0.0,430.0,0.696,CR
