,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5487,49.0175,0.0,19.0,0.0,0.0,0.0,GND
1,320.9397,2.5337,49.0217,0.0,99.0754,0.0,0.0,0.0,LVL
2,394.6332,2.6174,49.0263,2098.4925,174.6734,2396.9849,173.9598,0.2653,CL
3,454.5966,2.6924,49.0301,3723.995,182.373,1005.7058,0.0,0.0,CL
4,500.3065,2.7513,49.0517,4341.3317,246.3065,750.0,253.1457,0.3986,CL
5,559.108,2.7526,49.1212,6990.8291,258.3348,2807.2271,181.7889,0.2816,CL
6,616.9196,2.7522,49.1933,8422.9899,276.0,1500.0,282.0,0.436,CL
7,673.2864,2.7523,49.2682,10357.1608,297.2864,1500.0,296.5729,0.4626,CL
8,735.9196,2.7526,49.3638,11805.6533,347.3065,1913.3166,348.0,0.54,CL
9,794.9095,2.7554,49.4596,14121.9849,355.9698,1993.9698,359.9397,0.568,CL
10,849.2663,2.8008,49.5458,15972.4874,369.6332,2112.4372,370.0,0.588,CL
11,892.1859,2.8403,49.6157,17404.6482,378.0,3082.9146,375.1859,0.604,CL
12,934.5716,2.8786,49.6832,18717.9648,384.5005,2057.802,15.4372,0.0249,CL
13,971.4347,2.9145,49.7462,19871.7337,390.6286,2321.608,244.2613,0.3963,CL
14,1011.4322,2.954,49.8152,21060.804,395.2864,1500.0,397.4271,0.648,CL
15,1053.9489,2.9965,49.8894,22196.2312,402.9989,4206.5642,385.598,0.6306,CL
16,1107.8392,3.0509,49.9835,23620.9799,408.0,1354.8995,411.6784,0.6785,CL
17,1168.5528,3.1141,50.0927,25038.8191,416.7236,1228.6432,424.0,0.7011,CL
18,1222.8191,3.1699,50.1885,26646.9849,408.0,993.9698,432.0,0.716,CL
19,1282.4121,3.2323,50.2957,27820.2261,415.0,1154.7739,442.0,0.7376,CL
20,1336.0653,3.2892,50.3927,28569.9749,426.0,849.8744,448.0,0.7579,CL
21,1394.7889,3.3534,50.5015,29694.7236,426.0,1613.5609,454.8744,0.768,CL
22,1431.3719,3.4041,50.566,30379.6482,429.0,1491.3855,454.0,0.772,CL
