,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.599,48.9981,350.0,161.0,1.2949,188.0,0.272,CL
1,29.2161,2.631,48.9995,1503.6432,160.6432,2400.0,188.0,0.272,CL
2,52.4322,2.6585,49.0012,2332.2864,166.0,2216.5111,188.0,0.256,CL
3,74.6482,2.6849,49.0028,3091.206,168.7186,1526.3819,188.0,0.2557,CL
4,102.5829,2.7215,49.0046,3571.608,202.1558,1177.7638,188.0,0.3126,CL
5,128.3769,2.7629,49.0068,3948.6181,244.6734,1441.069,199.6683,0.3615,CL
6,152.7186,2.8045,49.0005,4614.4472,266.0,2234.9246,264.0,0.4114,CL
7,179.5176,2.8285,48.9738,5938.3166,259.4874,3451.9921,276.0,0.42,CL
8,215.1457,2.7982,48.9379,7728.6432,262.1457,2994.9749,276.0,0.432,CL
9,237.8894,2.7662,48.9218,8715.5779,268.3668,2684.9246,276.0,0.4432,CL
10,260.0251,2.7335,48.9052,9747.8643,271.8643,2210.5528,276.0,0.4452,CL
11,278.3015,2.7027,48.8896,10480.6533,282.2261,2165.201,276.0,0.4643,CL
12,298.7487,2.6709,48.8735,10814.8241,306.4673,1517.902,319.7487,0.5006,CL
13,316.4472,2.6393,48.8573,11320.2261,319.3618,1954.7739,332.7236,0.5214,CL
14,335.0201,2.6052,48.8401,12200.7538,321.0,2747.4874,334.0,0.524,CL
15,352.9447,2.5746,48.8246,12897.2362,325.0,2472.3618,338.0,0.5346,CL
16,372.5829,2.5368,48.8053,13721.8593,330.2915,3312.8141,340.0,0.54,CL
17,396.4121,2.4951,48.7841,14455.402,340.6734,2000.0,345.8693,0.5515,CL
18,417.8894,2.4525,48.7623,15315.5779,344.1558,3603.0151,351.1558,0.5623,CL
19,436.4422,2.4178,48.7445,15655.5276,357.4422,750.0,366.4422,0.5755,CL
20,454.3216,2.384,48.722,15868.2161,372.3216,586.4322,383.1859,0.6144,CL
21,473.0151,2.3592,48.6959,16087.6884,385.0151,626.8844,396.0,0.6279,CL
22,492.3015,2.3307,48.6643,16278.7688,400.0,537.6884,410.0,0.6612,CL
23,509.3819,2.3055,48.6364,16464.6985,412.794,1103.0151,420.0,0.6832,CL
24,529.7487,2.2767,48.6044,16982.7889,417.5628,1476.7588,430.0,0.692,CL
25,552.402,2.2424,48.5663,17633.0402,420.0804,1613.8191,434.0,0.6926,CL
26,568.7236,2.2176,48.5384,18050.0,423.7236,414.5729,436.0,0.7069,CL
27,601.4673,2.1955,48.475,18827.5126,433.0,1742.3367,442.0,0.7175,CL
28,628.0302,2.1993,48.4231,19375.5025,436.0201,752.5126,442.0,0.72,CL
29,648.2663,2.2024,48.3813,19732.6633,444.3065,912.0603,446.0,0.728,CL
30,714.8894,2.2209,48.2441,21222.2362,452.2965,972.3618,454.0,0.748,CL
31,751.2161,2.2392,48.1683,21811.4322,459.6985,1024.0819,454.0,0.756,CL
32,785.9146,2.2565,48.0939,22408.2915,466.7487,1116.5829,464.0,0.764,CL
33,830.3568,2.2652,47.9964,23122.6131,473.2261,889.4472,466.0,0.776,CL
34,855.7387,2.2687,47.9407,23543.4673,476.0,1444.0057,466.0,0.784,CL
35,882.5879,2.2737,47.8827,24001.2563,478.5126,804.9174,466.0,0.788,CL
36,911.7789,2.2909,47.8176,24436.6834,482.0,900.0,466.0,0.796,CL
37,966.9749,2.3294,47.7008,25544.4724,478.603,1383.6181,466.0,0.8,CL
38,994.3266,2.3483,47.6434,26183.1658,475.5578,1260.9476,466.0,0.796,CL
39,1012.0854,2.3616,47.6032,26604.2714,473.9146,1628.1407,466.0,0.8,CL
40,1045.4573,2.3857,47.5298,27522.8643,467.2714,2610.662,468.9146,0.796,CL
