,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5706,49.0227,0.0,22.0,0.0,0.0,0.0,GND
1,15.9146,2.5704,49.0232,0.0,22.0,0.0,0.0,0.0,GND
2,26.5528,2.5699,49.0235,0.0,17.206,0.0,0.0,0.0,GND
3,45.6382,2.5693,49.0236,0.0,15.7236,0.0,0.0,0.0,GND
4,58.5879,2.5692,49.0236,0.0,0.0,0.0,0.0,0.0,GND
5,72.191,2.5692,49.0236,0.0,0.0,0.0,0.0,0.0,GND
6,86.6583,2.5692,49.0236,0.0,0.0,0.0,0.0,0.0,GND
7,130.7789,2.5692,49.0236,0.0,0.0,0.0,0.0,0.0,GND
8,146.2462,2.569,49.0236,0.0,25.809,0.0,0.0,0.0,GND
9,171.3166,2.5571,49.023,0.0,112.5226,0.0,0.0,0.0,GND
10,185.5578,2.543,49.0222,0.0,148.9698,0.0,0.0,0.0,CL
11,211.7136,2.5157,49.0208,1343.8442,144.6332,2855.7071,0.0,0.2694,CL
12,222.8693,2.5045,49.0203,1940.8291,137.3417,2986.7193,0.0,0.268,CL
13,234.7286,2.4938,49.0197,2472.2362,133.0,2949.1206,0.0,0.268,CL
14,252.8693,2.4777,49.0189,3177.8894,131.3769,1875.5139,0.0,0.268,CL
15,280.7638,2.4488,49.0174,3944.0955,154.1457,1500.0,174.0,0.3055,CL
16,293.5327,2.4335,49.0182,4225.6281,174.3618,1520.5193,174.0,0.3371,CL
17,337.7487,2.3897,49.0443,5642.4623,238.8995,1847.7387,266.0,0.412,CL
18,362.6583,2.3657,49.0694,7007.9146,247.0,3000.0,275.6583,0.4293,CL
19,386.8794,2.3426,49.0935,7820.9799,251.6683,2000.0,278.8342,0.4302,CL
20,402.7035,2.328,49.1088,8321.9849,257.7638,2338.5678,282.0,0.4424,CL
21,439.9749,2.3177,49.1534,9184.1709,270.3467,1630.6533,284.804,0.4477,CL
22,489.3216,2.3174,49.216,9967.3367,281.3065,369.9749,287.3065,0.452,CL
23,519.6784,2.3211,49.2572,10222.6131,281.6784,1845.2261,290.2613,0.4618,CL
24,548.4221,2.3242,49.2961,11015.8291,313.6332,1914.5729,324.0,0.5088,CL
25,576.9397,2.328,49.3373,12271.2312,327.9698,3731.1558,337.9698,0.5359,CL
26,613.1859,2.333,49.3914,14116.0804,333.7286,2586.3408,345.7286,0.5515,CL
27,653.5176,2.3301,49.4532,16052.1357,332.7688,2604.2115,353.8995,0.5719,CL
28,687.1156,2.3163,49.5051,17643.4673,334.6231,2283.6683,358.7236,0.589,CL
29,699.0101,2.3102,49.524,18212.8141,337.0,2807.7889,357.0352,0.592,CL
30,736.1457,2.2918,49.5804,19830.0251,341.6181,3740.8195,376.0,0.616,CL
31,748.7839,2.2851,49.6011,20439.196,341.2613,4108.0402,376.0,0.617,CL
32,761.4221,2.279,49.6193,20896.1055,344.0,2570.3518,378.5628,0.6286,CL
33,774.3819,2.2725,49.639,21445.1005,344.9397,2513.224,382.0804,0.6363,CL
34,800.4975,2.2593,49.6792,22757.4121,340.1005,2240.7035,392.995,0.644,CL
35,834.3367,2.2416,49.7329,24327.8894,335.0,2055.2764,396.0,0.664,CL
36,867.6332,2.2244,49.7838,25315.8291,343.6583,1792.893,406.0,0.676,CL
37,913.4422,2.1997,49.8582,26361.0553,361.7638,1731.1558,411.2261,0.6963,CL
38,954.4171,2.1773,49.9251,27295.8543,374.4171,1923.85,417.1658,0.708,CL
39,970.9296,2.1678,49.9533,27586.1809,379.6683,861.1809,419.7789,0.7116,CL
40,1001.5276,2.1497,50.0076,28183.794,392.1759,1147.1644,424.7035,0.7214,CL
41,1025.4975,2.1352,50.0509,28733.2915,396.1658,55.2764,427.8894,0.728,CL
42,1056.804,2.1161,50.1078,29196.7337,410.0,988.5678,432.0,0.74,CL
43,1097.1407,2.0917,50.1801,29951.7588,419.6281,831.3442,436.3719,0.7447,CL
44,1146.4171,2.0537,50.2758,31093.0905,419.4523,1692.7495,446.0,0.7668,CL
45,1166.7186,2.0311,50.3095,31503.6432,414.8543,938.9806,446.0,0.7703,CL
